Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated,Team_Rank,Made_Playoffs
Kobe Bryant,LAL,77.0,40.8,10.6,22.8,0.463,1.8,0.344,8.8,0.497,0.502,8.7,10.0,0.868,1.0,4.7,5.7,5.4,1.4,0.5,3.3,31.6,2006-07,0.58,0.36,1,18,1
Carmelo Anthony,DEN,65.0,38.2,10.6,22.4,0.476,0.6,0.268,10.0,0.499,0.489,7.1,8.7,0.808,2.2,3.8,6.0,3.8,1.2,0.4,3.6,28.9,2006-07,0.55,0.36,0,16,1
Gilbert Arenas,WAS,74.0,39.8,8.7,20.9,0.418,2.8,0.351,6.0,0.459,0.484,8.2,9.7,0.844,0.8,3.7,4.6,6.0,1.9,0.2,3.2,28.4,2006-07,0.56,0.33,0,20,1
Dwyane Wade,MIA,51.0,37.9,9.3,18.9,0.491,0.4,0.266,8.8,0.511,0.502,8.5,10.5,0.807,1.0,3.7,4.7,7.5,2.1,1.2,4.2,27.4,2006-07,0.58,0.53,1,17,1
LeBron James,CLE,78.0,40.9,9.9,20.8,0.476,1.3,0.319,8.6,0.513,0.507,6.3,9.0,0.698,1.1,5.7,6.7,6.0,1.6,0.7,3.2,27.3,2006-07,0.55,0.33,1,13,1
Michael Redd,MIL,53.0,38.4,9.0,19.3,0.465,2.2,0.382,6.8,0.501,0.522,6.5,7.8,0.829,0.8,2.9,3.7,2.3,1.2,0.2,2.3,26.7,2006-07,0.59,0.38,0,34,0
Ray Allen,SEA,55.0,40.3,9.2,21.0,0.438,3.0,0.372,6.2,0.479,0.51,5.1,5.6,0.903,1.0,3.5,4.5,4.1,1.5,0.2,2.8,26.4,2006-07,0.56,0.39,0,32,0
Allen Iverson,2TM,65.0,42.5,8.9,20.2,0.442,1.0,0.315,8.0,0.465,0.466,7.5,9.4,0.795,0.4,2.6,3.0,7.2,1.9,0.2,4.1,26.3,2006-07,0.54,0.33,1,-1,0
Vince Carter,NJN,82.0,38.1,8.9,19.5,0.454,1.9,0.357,7.0,0.491,0.503,5.6,7.0,0.802,1.4,4.6,6.0,4.8,1.0,0.4,2.6,25.2,2006-07,0.56,0.28,0,21,1
Joe Johnson,ATL,57.0,41.4,9.4,20.0,0.471,2.1,0.381,7.3,0.504,0.523,4.1,5.5,0.748,0.9,3.3,4.2,4.4,1.1,0.2,3.1,25.0,2006-07,0.56,0.35,0,33,0
