Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated,Team_Rank,Made_Playoffs
Kosta Koufos,SAC,71.0,19.6,3.1,5.5,0.571,0.0,,3.1,0.571,0.571,0.5,1.0,0.446,2.1,4.5,6.6,1.2,0.7,0.5,0.7,6.7,2017-18,0.56,0.17,0,25,0
Malik Monk,CHO,63.0,13.6,2.4,6.7,0.36,1.3,0.342,1.1,0.385,0.458,0.5,0.6,0.842,0.1,0.9,1.0,1.4,0.3,0.1,0.8,6.7,2017-18,0.48,0.07,0,20,0
Jordan Crawford,NOP,5.0,10.6,2.4,5.4,0.444,1.6,0.571,0.8,0.308,0.593,0.2,0.2,1.0,0.4,0.4,0.8,2.6,0.2,0.2,1.0,6.6,2017-18,0.6,1.28,0,9,1
Shaquille Harrison,PHO,23.0,16.7,2.6,5.4,0.476,0.3,0.231,2.3,0.541,0.5,1.2,1.7,0.737,0.4,2.3,2.7,2.4,1.1,0.3,1.0,6.6,2017-18,0.54,0.38,0,30,0
Danuel House Jr.,PHO,23.0,17.5,2.4,5.6,0.434,0.7,0.259,1.8,0.577,0.492,1.1,1.3,0.806,0.6,2.7,3.3,1.1,0.3,0.3,0.5,6.6,2017-18,0.53,0.33,0,30,0
Isaiah Taylor,ATL,67.0,17.4,2.4,5.8,0.418,0.3,0.25,2.1,0.461,0.444,1.5,2.1,0.702,0.3,1.1,1.4,3.1,0.5,0.1,1.3,6.6,2017-18,0.49,0.1,0,27,0
Dragan Bender,PHO,82.0,25.2,2.3,5.9,0.386,1.4,0.366,0.8,0.426,0.508,0.5,0.6,0.765,0.5,3.9,4.4,1.6,0.3,0.6,1.4,6.5,2017-18,0.53,0.1,0,30,0
Tyson Chandler,PHO,46.0,25.0,2.6,4.1,0.647,0.0,,2.6,0.647,0.647,1.3,2.0,0.624,2.9,6.2,9.1,1.2,0.3,0.6,1.3,6.5,2017-18,0.65,0.31,0,30,0
Maurice Harkless,POR,59.0,21.4,2.5,5.0,0.495,0.8,0.415,1.7,0.547,0.577,0.7,1.0,0.712,0.8,2.0,2.7,0.9,0.8,0.7,0.7,6.5,2017-18,0.6,0.14,0,7,1
Nenê,HOU,52.0,14.6,2.6,4.6,0.569,0.0,0.0,2.6,0.574,0.569,1.3,2.1,0.636,1.0,2.3,3.4,0.9,0.5,0.3,0.7,6.5,2017-18,0.59,0.16,0,1,1
Richaun Holmes,PHI,48.0,15.5,2.8,5.0,0.56,0.1,0.129,2.7,0.624,0.568,0.8,1.2,0.661,1.2,3.2,4.4,1.3,0.4,0.6,0.5,6.5,2017-18,0.59,0.21,0,5,1
Josh Gray,PHO,5.0,17.2,2.2,8.2,0.268,0.6,0.231,1.6,0.286,0.305,1.4,2.2,0.636,0.4,1.6,2.0,2.4,1.6,0.4,1.4,6.4,2017-18,0.35,0.92,0,30,0
Sean Kilpatrick,4TM,52.0,12.3,2.1,5.7,0.374,0.9,0.319,1.2,0.427,0.452,1.2,1.4,0.889,0.1,1.6,1.7,0.9,0.3,0.1,0.7,6.3,2017-18,0.5,0.09,0,-1,0
Sean Kilpatrick,BRK,16.0,11.4,1.6,5.4,0.287,0.7,0.256,0.9,0.318,0.351,1.1,1.2,0.947,0.1,2.1,2.2,0.9,0.1,0.1,1.0,4.9,2017-18,0.41,0.21,0,23,0
Sean Kilpatrick,MIL,23.0,8.9,1.3,3.6,0.378,0.6,0.283,0.8,0.5,0.457,0.8,0.8,0.947,0.0,1.0,1.1,0.7,0.2,0.0,0.4,4.0,2017-18,0.51,0.14,0,15,1
Sean Kilpatrick,LAC,4.0,9.5,1.8,4.5,0.389,0.8,0.429,1.0,0.364,0.472,0.5,0.5,1.0,0.0,0.5,0.5,0.8,0.0,0.0,0.3,4.8,2017-18,0.51,0.77,0,18,0
Sean Kilpatrick,CHI,9.0,23.8,5.2,11.9,0.439,2.1,0.396,3.1,0.475,0.528,2.9,3.6,0.813,0.3,2.4,2.8,1.4,0.7,0.3,1.3,15.4,2017-18,0.57,1.32,0,24,0
Trevor Booker,3TM,68.0,17.0,2.6,5.0,0.516,0.1,0.242,2.5,0.545,0.528,1.0,1.4,0.71,1.7,3.0,4.7,1.2,0.4,0.3,0.9,6.3,2017-18,0.56,0.14,0,-1,0
Trevor Booker,BRK,18.0,21.9,4.3,8.3,0.513,0.2,0.25,4.1,0.536,0.523,1.3,2.4,0.558,2.1,4.5,6.6,2.1,0.4,0.3,1.7,10.1,2017-18,0.54,0.71,0,23,0
Trevor Booker,PHI,33.0,15.0,1.8,3.3,0.56,0.1,0.286,1.8,0.578,0.569,1.0,1.2,0.821,1.4,2.3,3.7,0.8,0.5,0.3,0.6,4.7,2017-18,0.61,0.23,0,5,1
Trevor Booker,IND,17.0,15.8,2.3,4.9,0.464,0.2,0.214,2.1,0.514,0.482,0.6,0.6,0.909,1.9,2.6,4.5,1.0,0.2,0.3,0.5,5.4,2017-18,0.52,0.49,0,8,1
Troy Williams,2TM,21.0,14.6,2.4,5.2,0.468,0.5,0.289,1.9,0.563,0.518,1.0,1.4,0.667,1.0,2.0,3.0,0.8,1.0,0.2,0.9,6.3,2017-18,0.54,0.34,0,-1,0
Jahlil Okafor,2TM,28.0,12.6,2.8,4.9,0.558,0.0,0.25,2.7,0.567,0.562,0.8,1.0,0.724,0.8,2.3,3.0,0.4,0.1,0.6,0.8,6.3,2017-18,0.59,0.26,0,-1,0
Malcolm Delaney,ATL,54.0,18.8,2.0,5.3,0.382,0.9,0.371,1.2,0.391,0.463,1.4,1.7,0.804,0.2,1.7,1.9,3.0,0.6,0.1,1.2,6.3,2017-18,0.52,0.13,0,27,0
T.J. McConnell,PHI,76.0,22.4,2.8,5.5,0.499,0.4,0.435,2.4,0.51,0.531,0.4,0.5,0.795,0.5,2.5,3.0,4.0,1.2,0.2,1.5,6.3,2017-18,0.55,0.14,0,5,1
Jodie Meeks,WAS,77.0,14.5,2.0,5.1,0.399,0.9,0.343,1.1,0.464,0.491,1.3,1.5,0.863,0.2,1.4,1.6,0.9,0.4,0.1,0.5,6.3,2017-18,0.55,0.07,0,17,1
Isaiah Whitehead,BRK,16.0,11.3,2.5,5.4,0.465,0.4,0.389,2.1,0.485,0.506,0.8,1.2,0.684,0.3,1.4,1.6,1.3,0.5,0.1,1.5,6.3,2017-18,0.53,0.31,0,23,0
Justin Anderson,PHI,38.0,13.7,2.3,5.3,0.431,0.9,0.33,1.4,0.535,0.515,0.7,1.0,0.737,0.7,1.8,2.4,0.7,0.4,0.2,0.4,6.2,2017-18,0.54,0.16,0,5,1
Langston Galloway,DET,58.0,14.9,2.2,5.9,0.371,1.3,0.344,0.9,0.418,0.481,0.6,0.7,0.805,0.2,1.4,1.6,1.0,0.6,0.1,0.3,6.2,2017-18,0.5,0.09,0,19,0
Kobi Simmons,MEM,32.0,20.1,2.5,5.9,0.423,0.3,0.282,2.2,0.46,0.452,0.8,0.8,1.0,0.4,1.1,1.6,2.1,0.6,0.2,1.4,6.1,2017-18,0.49,0.18,0,29,0
P.J. Tucker,HOU,82.0,27.8,2.1,5.4,0.39,1.4,0.371,0.7,0.435,0.52,0.5,0.7,0.717,1.1,4.4,5.6,0.9,1.0,0.3,0.9,6.1,2017-18,0.53,0.12,0,1,1
Boban Marjanović,2TM,39.0,8.6,2.0,3.8,0.534,0.0,,2.0,0.534,0.534,2.0,2.5,0.794,1.2,2.5,3.7,0.6,0.3,0.3,0.9,6.0,2017-18,0.61,0.2,0,-1,0
Aron Baynes,BOS,81.0,18.3,2.6,5.5,0.471,0.0,0.143,2.6,0.487,0.474,0.7,1.0,0.756,1.6,3.8,5.4,1.1,0.3,0.6,1.0,6.0,2017-18,0.51,0.11,0,4,1
Andre Iguodala,GSW,64.0,25.3,2.3,5.0,0.463,0.5,0.282,1.8,0.567,0.514,0.9,1.4,0.632,0.8,3.1,3.8,3.3,0.8,0.6,1.0,6.0,2017-18,0.53,0.16,0,3,1
Rodney Purvis,ORL,16.0,18.1,2.2,6.7,0.327,0.8,0.25,1.4,0.4,0.388,0.8,0.9,0.867,0.1,1.6,1.7,1.1,0.2,0.2,0.6,6.0,2017-18,0.42,0.25,0,26,0
Quincy Acy,BRK,70.0,19.4,1.9,5.2,0.356,1.5,0.349,0.4,0.384,0.496,0.7,0.9,0.817,0.6,3.1,3.7,0.8,0.5,0.4,0.9,5.9,2017-18,0.53,0.1,0,23,0
OG Anunoby,TOR,74.0,20.0,2.2,4.7,0.471,1.0,0.371,1.2,0.604,0.577,0.5,0.8,0.629,0.6,1.9,2.5,0.7,0.7,0.2,0.6,5.9,2017-18,0.58,0.09,0,2,1
Dāvis Bertāns,SAS,77.0,14.1,2.1,4.8,0.44,1.2,0.373,0.9,0.588,0.568,0.5,0.6,0.816,0.2,1.8,2.0,1.0,0.3,0.4,0.5,5.9,2017-18,0.58,0.08,0,13,1
Gorgui Dieng,MIN,79.0,16.9,2.4,4.9,0.479,0.2,0.311,2.1,0.511,0.504,1.0,1.3,0.775,1.3,3.2,4.6,0.9,0.6,0.5,0.7,5.9,2017-18,0.54,0.11,0,12,1
Kenneth Faried,DEN,32.0,14.4,2.4,4.6,0.514,0.0,0.0,2.4,0.517,0.514,1.1,1.6,0.706,2.1,2.7,4.8,0.6,0.4,0.4,0.7,5.9,2017-18,0.56,0.27,0,14,0
Dorian Finney-Smith,DAL,21.0,21.3,2.2,5.8,0.38,1.0,0.299,1.2,0.481,0.463,0.5,0.7,0.733,1.0,2.5,3.6,1.2,0.5,0.2,1.0,5.9,2017-18,0.48,0.31,0,28,0
