Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated,Team_Rank,Made_Playoffs
Michael Jordan,CHI,82.0,38.8,10.7,23.1,0.465,0.4,0.238,10.4,0.482,0.473,6.9,8.8,0.784,1.6,4.2,5.8,3.5,1.7,0.5,2.3,28.7,1997-98,0.53,0.29,1,6,1
Shaquille O'Neal,LAL,60.0,36.3,11.2,19.1,0.584,0.0,,11.2,0.584,0.584,6.0,11.4,0.527,3.5,7.9,11.4,2.4,0.7,2.4,2.9,28.3,1997-98,0.59,0.48,1,7,1
Karl Malone,UTA,81.0,37.4,9.6,18.2,0.53,0.0,0.333,9.6,0.531,0.531,7.8,10.2,0.761,2.3,8.0,10.3,3.9,1.2,0.9,3.0,27.0,1997-98,0.6,0.36,1,5,1
Glenn Robinson,MIL,56.0,41.0,9.5,20.3,0.47,0.4,0.385,9.1,0.475,0.481,3.8,4.8,0.808,1.5,4.0,5.5,2.8,1.2,0.6,3.6,23.4,1997-98,0.52,0.32,0,25,0
Mitch Richmond,SAC,70.0,36.7,7.8,17.4,0.445,1.9,0.389,5.9,0.466,0.498,5.8,6.7,0.864,0.7,2.6,3.3,4.0,1.3,0.2,2.6,23.2,1997-98,0.57,0.27,1,27,0
Antoine Walker,BOS,82.0,39.9,8.8,20.8,0.423,1.1,0.312,7.7,0.447,0.45,3.7,5.8,0.645,3.3,6.9,10.2,3.3,1.7,0.7,3.6,22.4,1997-98,0.48,0.25,0,24,0
Shareef Abdur-Rahim,VAN,82.0,36.0,8.0,16.4,0.485,0.3,0.412,7.7,0.488,0.493,6.1,7.8,0.784,2.8,4.3,7.1,2.6,1.1,0.9,3.1,22.3,1997-98,0.56,0.25,0,29,0
Glen Rice,CHH,82.0,40.2,7.7,16.9,0.457,1.6,0.433,6.1,0.464,0.504,5.2,6.1,0.849,1.1,3.2,4.3,2.2,0.9,0.3,2.2,22.3,1997-98,0.57,0.22,1,13,1
Allen Iverson,PHI,80.0,39.4,8.1,17.6,0.461,0.9,0.298,7.2,0.494,0.486,4.9,6.7,0.729,1.1,2.6,3.7,6.2,2.2,0.3,3.1,22.0,1997-98,0.54,0.25,1,26,0
Chris Webber,WAS,71.0,39.6,9.1,18.9,0.482,0.9,0.317,8.2,0.512,0.507,2.8,4.7,0.589,2.5,7.0,9.5,3.8,1.6,1.7,2.6,21.9,1997-98,0.52,0.34,0,20,0
David Robinson,SAS,73.0,33.7,7.5,14.6,0.511,0.0,0.25,7.4,0.512,0.511,6.6,9.0,0.735,3.3,7.3,10.6,2.7,0.9,2.6,2.8,21.6,1997-98,0.58,0.36,0,11,1
Michael Finley,DAL,82.0,41.4,8.2,18.4,0.449,1.1,0.357,7.2,0.466,0.477,4.0,5.1,0.784,1.8,3.5,5.3,4.9,1.6,0.4,2.7,21.5,1997-98,0.52,0.24,0,28,0
Latrell Sprewell,GSW,14.0,39.1,7.9,19.8,0.397,0.6,0.188,7.2,0.441,0.413,5.0,6.7,0.745,0.5,3.1,3.6,4.9,1.4,0.4,3.1,21.4,1997-98,0.47,1.07,0,30,0
Tim Duncan,SAS,82.0,39.1,8.6,15.7,0.549,0.0,0.0,8.6,0.553,0.549,3.9,5.9,0.662,3.3,8.6,11.9,2.7,0.7,2.5,3.4,21.1,1997-98,0.58,0.32,0,11,1
Grant Hill,DET,81.0,40.7,7.6,16.8,0.452,0.0,0.143,7.6,0.457,0.453,5.9,8.0,0.74,1.1,6.5,7.7,6.8,1.8,0.7,3.5,21.1,1997-98,0.52,0.29,1,23,0
Patrick Ewing,NYK,26.0,32.6,7.8,15.5,0.504,0.0,0.0,7.8,0.506,0.504,5.2,7.2,0.72,2.3,7.9,10.2,1.1,0.6,2.2,3.0,20.8,1997-98,0.56,0.85,1,19,1
Tom Gugliotta,MIN,41.0,38.6,7.8,15.5,0.502,0.0,0.118,7.7,0.513,0.504,4.5,5.4,0.821,2.6,6.1,8.7,4.1,1.5,0.5,2.7,20.1,1997-98,0.56,0.58,1,17,1
Steve Smith,ATL,73.0,39.1,6.7,15.1,0.444,1.3,0.351,5.4,0.475,0.488,5.3,6.2,0.855,1.8,2.4,4.2,4.0,1.0,0.4,2.4,20.1,1997-98,0.56,0.25,1,14,1
Eric Williams,DEN,4.0,36.3,6.0,15.3,0.393,0.0,,6.0,0.393,0.393,7.8,11.3,0.689,2.5,2.8,5.3,3.0,1.0,0.0,2.3,19.8,1997-98,0.49,3.5,0,33,0
Isaiah Rider,POR,74.0,37.6,7.4,17.6,0.423,1.8,0.321,5.6,0.472,0.475,3.0,3.6,0.828,1.3,3.3,4.7,3.1,0.7,0.3,2.5,19.7,1997-98,0.51,0.21,0,16,1
Keith Van Horn,NJN,62.0,37.5,7.2,16.9,0.426,1.1,0.308,6.1,0.458,0.459,4.2,4.9,0.846,2.3,4.3,6.6,1.7,1.0,0.4,2.6,19.7,1997-98,0.52,0.26,0,18,1
Sam Cassell,NJN,75.0,34.7,6.8,15.4,0.441,0.2,0.188,6.6,0.46,0.448,5.8,6.8,0.86,1.0,2.1,3.0,8.0,1.6,0.3,3.6,19.6,1997-98,0.53,0.26,0,18,1
Ray Allen,MIL,82.0,40.1,6.9,16.0,0.428,1.6,0.364,5.2,0.453,0.479,4.2,4.8,0.875,1.5,3.4,4.9,4.3,1.4,0.1,3.2,19.5,1997-98,0.54,0.21,0,25,0
Reggie Miller,IND,81.0,34.5,6.4,13.3,0.477,2.0,0.429,4.3,0.504,0.553,4.7,5.4,0.868,0.6,2.3,2.9,2.1,1.0,0.1,1.6,19.5,1997-98,0.62,0.2,0,9,1
Vin Baker,SEA,82.0,35.9,7.7,14.2,0.542,0.0,0.143,7.7,0.545,0.543,3.8,6.4,0.591,3.5,4.5,8.0,1.9,1.1,1.0,2.1,19.2,1997-98,0.56,0.24,0,8,1
Alonzo Mourning,MIA,58.0,33.4,6.9,12.6,0.551,0.0,,6.9,0.551,0.551,5.3,8.0,0.665,3.3,6.3,9.6,0.9,0.7,2.2,3.1,19.2,1997-98,0.6,0.36,1,12,1
Gary Payton,SEA,82.0,38.4,7.1,15.6,0.453,1.6,0.338,5.4,0.505,0.505,3.4,4.6,0.744,0.9,3.6,4.6,8.3,2.3,0.2,2.8,19.2,1997-98,0.54,0.27,1,8,1
Scottie Pippen,CHI,44.0,37.5,7.2,16.0,0.447,1.4,0.318,5.8,0.496,0.491,3.4,4.4,0.777,1.2,4.0,5.2,5.8,1.8,1.0,2.5,19.1,1997-98,0.53,0.47,1,6,1
Tim Hardaway,MIA,81.0,37.4,6.9,16.0,0.431,1.9,0.351,5.0,0.472,0.49,3.2,4.1,0.781,0.6,3.1,3.7,8.3,1.7,0.2,2.8,18.9,1997-98,0.53,0.25,1,12,1
Kevin Garnett,MIN,82.0,39.3,7.7,15.8,0.491,0.0,0.188,7.7,0.495,0.492,3.0,4.0,0.738,2.7,6.9,9.6,4.2,1.7,1.8,2.3,18.5,1997-98,0.53,0.3,0,17,1
Juwan Howard,WAS,64.0,40.0,7.2,15.5,0.467,0.0,0.0,7.2,0.468,0.467,4.0,5.6,0.721,2.5,4.5,7.0,3.3,1.3,0.4,2.9,18.5,1997-98,0.51,0.28,0,20,0
Clyde Drexler,HOU,70.0,35.3,6.5,15.1,0.427,1.5,0.317,4.9,0.477,0.477,4.0,4.9,0.801,1.5,3.4,4.9,5.5,1.8,0.6,2.7,18.4,1997-98,0.53,0.27,0,21,1
Allan Houston,NYK,82.0,34.7,7.0,15.6,0.447,1.0,0.385,6.0,0.46,0.479,3.5,4.1,0.851,0.5,2.8,3.3,2.6,0.8,0.3,2.4,18.4,1997-98,0.53,0.17,0,19,1
Shawn Kemp,CLE,80.0,34.6,6.5,14.6,0.445,0.0,0.25,6.5,0.446,0.446,5.1,7.0,0.727,2.7,6.6,9.3,2.5,1.4,1.1,3.4,18.0,1997-98,0.51,0.24,0,15,1
Rod Strickland,WAS,76.0,39.7,6.4,14.9,0.434,0.2,0.25,6.3,0.442,0.439,4.7,6.5,0.726,1.5,3.9,5.3,10.5,1.7,0.3,3.5,17.8,1997-98,0.5,0.29,0,20,0
Stephon Marbury,MIN,82.0,38.0,6.3,15.1,0.415,1.2,0.313,5.1,0.448,0.453,4.0,5.5,0.731,0.7,2.1,2.8,8.6,1.3,0.1,3.1,17.7,1997-98,0.51,0.21,0,17,1
Corliss Williamson,SAC,79.0,35.7,7.1,14.4,0.495,0.0,0.0,7.1,0.499,0.495,3.5,5.6,0.63,2.1,3.6,5.6,2.9,1.0,0.6,2.5,17.7,1997-98,0.52,0.2,0,27,0
Derrick Coleman,PHI,59.0,36.2,6.0,14.7,0.411,0.4,0.265,5.6,0.429,0.426,5.1,6.6,0.772,2.5,7.4,9.9,2.5,0.8,1.2,2.7,17.6,1997-98,0.5,0.32,0,26,0
Damon Stoudamire,2TM,71.0,40.0,6.3,15.4,0.411,1.3,0.299,5.0,0.454,0.452,3.4,4.0,0.829,1.2,3.0,4.2,8.2,1.6,0.1,3.1,17.3,1997-98,0.5,0.26,0,-1,0
Kerry Kittles,NJN,77.0,36.5,6.6,15.0,0.44,1.4,0.418,5.2,0.447,0.488,2.6,3.2,0.808,1.7,3.0,4.7,2.3,1.7,0.5,1.4,17.2,1997-98,0.52,0.21,0,18,1
Eddie Jones,LAL,80.0,36.4,6.1,12.6,0.484,1.8,0.389,4.3,0.538,0.555,2.9,3.8,0.765,1.1,2.7,3.8,3.1,2.0,0.7,1.8,16.9,1997-98,0.59,0.22,0,7,1
Terrell Brandon,MIL,50.0,35.7,6.8,14.6,0.464,0.6,0.333,6.2,0.483,0.485,2.6,3.1,0.846,0.5,3.1,3.5,7.7,2.2,0.3,2.9,16.8,1997-98,0.53,0.39,0,25,0
Rik Smits,IND,73.0,28.6,7.0,14.2,0.495,0.0,0.0,7.0,0.497,0.495,2.6,3.3,0.783,1.7,5.2,6.9,1.4,0.5,1.2,1.8,16.7,1997-98,0.53,0.23,0,9,1
