Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated,Team_Rank,Made_Playoffs
Joel Embiid,PHI,68.0,33.8,9.8,19.6,0.499,1.4,0.371,8.4,0.529,0.534,9.6,11.8,0.814,2.1,9.6,11.7,4.2,1.1,1.5,3.1,30.6,2021-22,0.62,0.5,1,8,1
LeBron James,LAL,56.0,37.2,11.4,21.8,0.524,2.9,0.359,8.6,0.62,0.59,4.5,6.0,0.756,1.1,7.1,8.2,6.2,1.3,1.1,3.5,30.3,2021-22,0.62,0.57,1,23,0
Giannis Antetokounmpo,MIL,67.0,32.9,10.3,18.6,0.553,1.1,0.293,9.2,0.616,0.582,8.3,11.4,0.722,2.0,9.6,11.6,5.8,1.1,1.4,3.3,29.9,2021-22,0.63,0.52,1,6,1
Kevin Durant,BRK,55.0,37.2,10.5,20.3,0.518,2.1,0.383,8.4,0.568,0.57,6.8,7.4,0.91,0.5,6.9,7.4,6.4,0.9,0.9,3.5,29.9,2021-22,0.63,0.57,0,14,1
Luka Dončić,DAL,65.0,35.4,9.9,21.6,0.457,3.1,0.353,6.8,0.528,0.529,5.6,7.5,0.744,0.9,8.3,9.1,8.7,1.2,0.6,4.5,28.4,2021-22,0.57,0.46,1,5,1
Trae Young,ATL,76.0,34.9,9.4,20.3,0.46,3.1,0.382,6.3,0.512,0.536,6.6,7.3,0.904,0.7,3.1,3.7,9.7,0.9,0.1,4.0,28.4,2021-22,0.6,0.36,0,17,1
DeMar DeRozan,CHI,76.0,36.1,10.2,20.2,0.504,0.7,0.352,9.5,0.52,0.521,6.8,7.8,0.877,0.7,4.4,5.2,4.9,0.9,0.3,2.4,27.9,2021-22,0.59,0.34,0,13,1
Kyrie Irving,BRK,29.0,37.6,10.0,21.2,0.469,3.4,0.418,6.5,0.501,0.55,4.1,4.4,0.915,0.6,3.8,4.4,5.8,1.4,0.6,2.5,27.4,2021-22,0.59,0.88,0,14,1
Ja Morant,MEM,57.0,33.1,10.2,20.6,0.493,1.5,0.344,8.6,0.534,0.53,5.5,7.3,0.761,1.4,4.4,5.7,6.7,1.2,0.4,3.4,27.4,2021-22,0.58,0.45,0,2,1
Nikola Jokić,DEN,74.0,33.5,10.3,17.7,0.583,1.3,0.337,9.0,0.652,0.62,5.1,6.3,0.81,2.8,11.0,13.8,7.9,1.5,0.9,3.8,27.1,2021-22,0.66,0.52,1,10,1
Jayson Tatum,BOS,76.0,35.9,9.3,20.6,0.453,3.0,0.353,6.3,0.524,0.526,5.3,6.2,0.853,1.1,6.9,8.0,4.4,1.0,0.6,2.9,26.9,2021-22,0.58,0.34,0,7,1
Devin Booker,PHO,68.0,34.5,9.7,20.9,0.466,2.7,0.383,7.0,0.508,0.53,4.6,5.3,0.868,0.7,4.4,5.0,4.8,1.1,0.4,2.4,26.8,2021-22,0.58,0.35,0,1,1
Donovan Mitchell,UTA,67.0,33.8,9.2,20.5,0.448,3.5,0.355,5.7,0.533,0.533,4.0,4.7,0.853,0.8,3.4,4.2,5.3,1.5,0.2,3.0,25.9,2021-22,0.57,0.33,0,9,1
Stephen Curry,GSW,64.0,34.5,8.4,19.1,0.437,4.5,0.38,3.9,0.527,0.554,4.3,4.7,0.923,0.5,4.7,5.2,6.3,1.3,0.4,3.2,25.5,2021-22,0.6,0.38,1,3,1
Karl-Anthony Towns,MIN,74.0,33.5,8.7,16.4,0.529,2.0,0.41,6.6,0.58,0.591,5.2,6.3,0.822,2.6,7.2,9.8,3.6,1.0,1.1,3.1,24.6,2021-22,0.64,0.38,0,12,1
Shai Gilgeous-Alexander,OKC,56.0,34.7,8.5,18.8,0.453,1.6,0.3,6.9,0.514,0.496,5.9,7.2,0.81,0.7,4.3,5.0,5.9,1.3,0.8,2.8,24.5,2021-22,0.56,0.41,0,27,0
Zach LaVine,CHI,67.0,34.7,8.4,17.7,0.476,2.8,0.389,5.7,0.534,0.554,4.8,5.6,0.853,0.3,4.3,4.6,4.5,0.6,0.3,2.6,24.4,2021-22,0.61,0.32,0,13,1
Paul George,LAC,31.0,34.7,8.6,20.5,0.421,2.9,0.354,5.7,0.467,0.493,4.1,4.8,0.858,0.4,6.5,6.9,5.7,2.2,0.4,4.1,24.3,2021-22,0.54,0.74,0,18,0
Damian Lillard,POR,29.0,36.4,7.7,19.0,0.402,3.2,0.324,4.5,0.485,0.486,5.5,6.2,0.878,0.4,3.7,4.1,7.3,0.6,0.4,2.9,24.0,2021-22,0.55,0.74,1,25,0
Jaylen Brown,BOS,66.0,33.6,8.7,18.4,0.473,2.5,0.358,6.2,0.544,0.541,3.7,4.8,0.758,0.8,5.3,6.1,3.5,1.1,0.3,2.7,23.6,2021-22,0.58,0.32,0,7,1
Bradley Beal,WAS,40.0,36.0,8.7,19.3,0.451,1.6,0.3,7.1,0.508,0.492,4.2,5.1,0.833,1.0,3.8,4.7,6.6,0.9,0.4,3.4,23.2,2021-22,0.54,0.52,0,21,0
Anthony Davis,LAL,40.0,35.1,9.3,17.4,0.532,0.3,0.186,8.9,0.571,0.542,4.4,6.1,0.713,2.7,7.2,9.9,3.1,1.2,2.3,2.1,23.2,2021-22,0.58,0.7,0,23,0
De'Aaron Fox,SAC,59.0,35.3,8.7,18.5,0.473,1.3,0.297,7.5,0.524,0.506,4.4,5.9,0.75,0.4,3.5,3.9,5.6,1.2,0.4,2.8,23.2,2021-22,0.55,0.34,0,24,0
Pascal Siakam,TOR,68.0,37.9,8.8,17.8,0.494,1.1,0.344,7.7,0.527,0.525,4.2,5.6,0.749,1.9,6.6,8.5,5.3,1.3,0.6,2.7,22.8,2021-22,0.56,0.37,0,11,1
Brandon Ingram,NOP,55.0,34.0,8.2,17.9,0.461,1.3,0.327,6.9,0.501,0.498,4.8,5.9,0.826,0.6,5.2,5.8,5.6,0.6,0.5,2.7,22.7,2021-22,0.55,0.39,0,20,1
CJ McCollum,2TM,62.0,34.6,8.6,18.8,0.46,2.9,0.388,5.7,0.509,0.539,1.9,2.7,0.682,0.9,3.5,4.3,5.1,1.1,0.4,2.0,22.1,2021-22,0.55,0.32,0,-1,0
James Harden,2TM,65.0,37.2,6.3,15.3,0.41,2.3,0.33,4.0,0.476,0.485,7.2,8.2,0.877,0.8,6.8,7.7,10.3,1.3,0.6,4.4,22.0,2021-22,0.58,0.42,1,-1,0
Darius Garland,CLE,68.0,35.7,8.0,17.3,0.462,2.6,0.383,5.4,0.512,0.536,3.2,3.5,0.892,0.6,2.7,3.3,8.6,1.3,0.1,3.6,21.7,2021-22,0.58,0.32,0,15,0
Jimmy Butler,MIA,57.0,33.9,7.0,14.5,0.48,0.5,0.233,6.5,0.52,0.496,6.9,8.0,0.87,1.8,4.1,5.9,5.5,1.6,0.5,2.1,21.4,2021-22,0.59,0.42,0,4,1
Anthony Edwards,MIN,72.0,34.3,7.6,17.3,0.441,3.0,0.357,4.6,0.519,0.527,3.1,3.9,0.786,0.9,3.9,4.8,3.8,1.5,0.6,2.6,21.3,2021-22,0.56,0.26,0,12,1
Dejounte Murray,SAS,68.0,34.8,8.4,18.3,0.462,1.4,0.327,7.0,0.504,0.5,2.9,3.6,0.794,1.2,7.1,8.3,9.2,2.0,0.3,2.6,21.1,2021-22,0.53,0.41,0,22,0
Tyler Herro,MIA,66.0,32.6,7.6,17.0,0.447,2.7,0.399,4.9,0.477,0.525,2.9,3.3,0.868,0.5,4.5,5.0,4.0,0.7,0.1,2.6,20.7,2021-22,0.56,0.27,0,4,1
Klay Thompson,GSW,32.0,29.4,7.7,17.9,0.429,3.6,0.385,4.1,0.477,0.529,1.4,1.6,0.902,0.5,3.4,3.9,2.8,0.5,0.5,1.3,20.4,2021-22,0.55,0.51,0,3,1
Fred VanVleet,TOR,65.0,37.9,6.8,16.9,0.403,3.7,0.377,3.1,0.44,0.513,3.0,3.4,0.874,0.7,3.8,4.4,6.7,1.7,0.5,2.6,20.3,2021-22,0.55,0.32,0,11,1
Kristaps Porziņģis,2TM,51.0,29.0,6.9,15.0,0.459,1.5,0.31,5.4,0.532,0.51,4.9,5.6,0.867,2.0,6.1,8.1,2.3,0.7,1.6,1.6,20.2,2021-22,0.58,0.44,0,-1,0
Miles Bridges,CHO,80.0,35.5,7.5,15.2,0.491,1.9,0.331,5.5,0.59,0.554,3.3,4.2,0.802,1.1,5.9,7.0,3.8,0.9,0.8,1.9,20.2,2021-22,0.59,0.28,0,16,0
LaMelo Ball,CHO,75.0,32.3,7.2,16.7,0.429,2.9,0.389,4.2,0.462,0.517,2.8,3.2,0.872,1.4,5.2,6.7,7.6,1.6,0.4,3.3,20.1,2021-22,0.56,0.31,0,16,0
Khris Middleton,MIL,66.0,32.4,6.8,15.5,0.443,2.5,0.373,4.4,0.494,0.522,3.9,4.4,0.89,0.6,4.8,5.4,5.4,1.2,0.3,2.9,20.1,2021-22,0.58,0.31,0,6,1
