Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated,Team_Rank,Made_Playoffs
Terry Porter,POR,82.0,36.5,5.6,10.9,0.519,0.3,0.348,5.3,0.533,0.533,3.3,4.0,0.846,0.8,3.8,4.6,10.1,1.8,0.2,3.0,14.9,1987-88,0.59,0.28,0,10,1
Armen Gilliam,PHO,55.0,32.9,6.2,13.1,0.475,0.0,,6.2,0.475,0.475,2.4,3.5,0.679,2.4,5.5,7.9,1.3,1.1,0.5,2.2,14.8,1987-88,0.51,0.28,0,23,0
John Stockton,UTA,82.0,34.7,5.5,9.6,0.574,0.3,0.358,5.2,0.594,0.589,3.3,4.0,0.84,0.7,2.2,2.9,13.8,3.0,0.2,3.2,14.7,1987-88,0.65,0.32,0,13,1
Kareem Abdul-Jabbar,LAL,80.0,28.9,6.0,11.3,0.532,0.0,0.0,6.0,0.532,0.532,2.6,3.4,0.762,1.5,4.5,6.0,1.7,0.6,1.2,2.0,14.6,1987-88,0.57,0.2,0,5,1
Michael Cage,LAC,72.0,36.9,5.0,10.6,0.47,0.0,0.0,5.0,0.471,0.47,4.5,6.6,0.688,5.2,7.9,13.0,1.5,1.3,0.8,2.2,14.5,1987-88,0.54,0.29,0,27,0
Robert Parish,BOS,74.0,31.2,6.0,10.1,0.589,0.0,0.0,6.0,0.59,0.589,2.4,3.3,0.734,2.3,6.1,8.5,1.6,0.7,1.1,2.1,14.3,1987-88,0.62,0.26,1,6,1
Purvis Short,HOU,81.0,24.1,5.9,12.2,0.481,0.1,0.238,5.8,0.486,0.483,2.5,3.0,0.858,0.9,1.9,2.7,2.0,0.7,0.2,1.5,14.3,1987-88,0.53,0.14,0,14,1
Joe Dumars,DET,82.0,33.3,5.5,11.7,0.472,0.0,0.211,5.5,0.477,0.474,3.1,3.8,0.815,0.8,1.7,2.4,4.7,1.1,0.2,2.1,14.2,1987-88,0.53,0.17,0,7,1
Sam Perkins,DAL,75.0,33.3,5.3,11.7,0.45,0.1,0.167,5.2,0.46,0.453,3.6,4.4,0.822,2.7,5.3,8.0,1.6,1.0,0.7,1.6,14.2,1987-88,0.52,0.22,0,9,1
Doc Rivers,ATL,80.0,31.3,5.0,11.1,0.453,0.1,0.273,4.9,0.46,0.458,4.0,5.3,0.758,1.0,3.5,4.6,9.3,1.8,0.5,2.6,14.2,1987-88,0.53,0.25,0,12,1
Michael Adams,DEN,82.0,33.9,5.1,11.3,0.449,1.7,0.367,3.4,0.505,0.524,2.0,2.4,0.834,0.5,2.2,2.7,6.1,2.0,0.2,1.8,13.9,1987-88,0.56,0.2,0,8,1
Vern Fleming,IND,80.0,34.2,5.5,10.6,0.523,0.0,0.0,5.5,0.531,0.523,2.8,3.5,0.802,1.3,3.2,4.6,7.1,1.4,0.1,2.2,13.9,1987-88,0.57,0.24,0,20,0
Danny Schayes,DEN,81.0,26.7,4.5,8.2,0.54,0.0,0.0,4.5,0.542,0.54,5.0,6.0,0.836,2.5,5.7,8.2,1.3,0.8,1.1,1.9,13.9,1987-88,0.64,0.23,0,8,1
Kenny Smith,SAC,61.0,35.6,5.4,11.4,0.477,0.2,0.308,5.2,0.487,0.486,2.7,3.3,0.819,0.7,1.6,2.3,7.1,1.5,0.1,3.0,13.8,1987-88,0.54,0.25,0,24,0
Maurice Cheeks,PHI,79.0,36.3,5.4,10.9,0.495,0.0,0.136,5.4,0.504,0.497,2.9,3.5,0.825,0.7,2.5,3.2,8.0,2.1,0.3,2.0,13.7,1987-88,0.55,0.24,0,21,0
Mark Jackson,NYK,82.0,39.6,5.3,12.4,0.432,0.4,0.254,5.0,0.458,0.448,2.5,3.2,0.774,1.5,3.4,4.8,10.6,2.5,0.1,3.1,13.6,1987-88,0.49,0.25,0,19,1
Bill Laimbeer,DET,82.0,35.3,5.5,11.3,0.493,0.2,0.333,5.4,0.5,0.5,2.3,2.6,0.874,2.0,8.1,10.1,2.4,0.8,1.0,1.7,13.5,1987-88,0.54,0.24,0,7,1
Mike Mitchell,SAS,68.0,22.1,5.6,11.5,0.482,0.0,0.25,5.5,0.486,0.484,2.4,2.9,0.825,0.8,2.1,2.9,1.0,0.5,0.2,0.8,13.5,1987-88,0.53,0.16,0,22,1
Steve Stipanovich,IND,80.0,33.7,5.1,10.4,0.496,0.0,0.2,5.1,0.502,0.498,3.2,3.9,0.809,2.0,6.3,8.3,2.3,1.1,0.9,2.0,13.5,1987-88,0.56,0.23,0,20,0
Roy Tarpley,DAL,81.0,28.5,5.5,11.0,0.5,0.0,0.0,5.5,0.503,0.5,2.5,3.4,0.74,4.4,7.4,11.8,1.1,1.3,1.1,2.1,13.5,1987-88,0.54,0.25,0,9,1
Quintin Dailey,LAC,67.0,19.1,4.9,11.3,0.434,0.0,0.167,4.9,0.439,0.436,3.6,4.7,0.776,0.9,1.4,2.3,1.6,1.0,0.1,1.8,13.4,1987-88,0.5,0.14,0,27,0
Paul Pressey,MIL,75.0,33.1,4.6,9.4,0.491,0.1,0.205,4.5,0.508,0.497,3.8,4.8,0.798,1.7,3.3,5.0,7.0,1.5,0.5,2.6,13.1,1987-88,0.57,0.25,0,16,1
Benoit Benjamin,LAC,66.0,32.9,5.2,10.5,0.491,0.0,0.0,5.2,0.496,0.491,2.7,3.9,0.706,1.7,6.3,8.0,2.6,0.8,3.4,3.4,13.0,1987-88,0.53,0.27,0,27,0
John Long,IND,81.0,25.0,5.1,10.9,0.474,0.4,0.442,4.7,0.478,0.494,2.0,2.3,0.907,0.9,1.9,2.8,2.1,1.0,0.1,1.6,12.8,1987-88,0.54,0.14,0,20,0
John Williams,WSB,82.0,29.6,5.2,11.1,0.469,0.1,0.132,5.1,0.484,0.472,2.3,3.1,0.734,1.5,3.9,5.4,2.8,1.4,0.4,1.8,12.8,1987-88,0.51,0.17,0,18,1
Joe Barry Carroll,2TM,77.0,26.0,5.2,12.0,0.435,0.0,0.0,5.2,0.436,0.435,2.2,2.9,0.764,1.7,4.6,6.4,1.5,0.6,1.4,2.1,12.7,1987-88,0.48,0.17,1,-1,0
Blair Rasmussen,DEN,79.0,22.5,5.5,11.2,0.492,0.0,,5.5,0.492,0.492,1.7,2.2,0.776,1.6,3.9,5.5,1.0,0.3,1.0,0.9,12.7,1987-88,0.52,0.17,0,8,1
Derek Smith,SAC,35.0,25.7,5.0,10.4,0.478,0.2,0.348,4.7,0.487,0.489,2.5,3.2,0.77,1.0,1.9,2.9,2.5,0.6,0.5,1.4,12.7,1987-88,0.54,0.33,0,24,0
Dennis Johnson,BOS,77.0,34.7,4.6,10.4,0.438,0.2,0.261,4.4,0.449,0.446,3.3,3.9,0.856,0.8,2.3,3.1,7.8,1.2,0.4,2.5,12.6,1987-88,0.52,0.21,0,6,1
Terry Teagle,GSW,47.0,20.4,5.3,11.6,0.454,0.0,0.111,5.3,0.46,0.455,2.1,2.6,0.802,0.9,0.9,1.7,1.3,0.7,0.1,1.7,12.6,1987-88,0.49,0.17,0,25,0
Winston Garland,GSW,67.0,31.7,5.1,11.6,0.439,0.2,0.333,4.9,0.444,0.447,2.1,2.3,0.879,1.0,2.4,3.4,6.4,1.7,0.1,2.5,12.4,1987-88,0.49,0.22,0,25,0
Rodney McCray,HOU,81.0,33.2,4.4,9.2,0.481,0.0,0.0,4.4,0.484,0.481,3.6,4.5,0.785,2.9,4.9,7.8,3.3,0.7,0.6,1.8,12.4,1987-88,0.55,0.21,0,14,1
Charles Oakley,CHI,82.0,34.3,4.6,9.5,0.483,0.0,0.25,4.5,0.487,0.485,3.2,4.4,0.727,4.0,9.0,13.0,3.0,0.8,0.3,2.9,12.4,1987-88,0.54,0.25,0,11,1
Vinnie Johnson,DET,82.0,23.6,5.2,11.7,0.443,0.1,0.208,5.1,0.449,0.446,1.8,2.6,0.677,1.1,1.7,2.8,3.3,0.7,0.2,1.9,12.2,1987-88,0.47,0.12,0,7,1
Mike McGee,2TM,48.0,20.9,4.6,11.0,0.421,1.1,0.331,3.5,0.459,0.471,1.6,2.1,0.745,1.1,1.5,2.7,1.5,1.1,0.1,1.4,12.0,1987-88,0.5,0.19,0,-1,0
Tim McCormick,2TM,70.0,30.2,5.0,9.3,0.537,0.0,0.0,5.0,0.539,0.537,2.1,3.1,0.674,2.1,4.6,6.7,1.7,0.5,0.3,1.6,12.0,1987-88,0.56,0.2,0,-1,0
John Bagley,NJN,82.0,33.8,4.8,10.9,0.439,0.6,0.292,4.2,0.471,0.465,1.8,2.2,0.822,0.7,2.4,3.1,5.8,1.3,0.1,2.5,12.0,1987-88,0.51,0.16,0,26,0
Randy Breuer,MIL,81.0,27.9,4.8,9.7,0.495,0.0,,4.8,0.495,0.495,2.3,3.5,0.657,2.4,4.4,6.8,1.3,0.6,1.3,1.3,12.0,1987-88,0.53,0.18,0,16,1
James Edwards,2TM,69.0,24.7,4.4,9.3,0.47,0.0,0.0,4.4,0.47,0.47,3.0,4.7,0.654,1.7,4.2,6.0,1.1,0.2,0.5,1.9,11.8,1987-88,0.52,0.16,0,-1,0
Otis Smith,2TM,72.0,21.5,4.5,9.2,0.491,0.2,0.317,4.3,0.502,0.501,2.5,3.2,0.777,1.8,1.7,3.4,2.2,1.3,0.6,1.5,11.7,1987-88,0.55,0.17,0,-1,0
