Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated,Team_Rank,Made_Playoffs
Shaquille O'Neal,LAL,79.0,40.0,12.1,21.1,0.574,0.0,0.0,12.1,0.575,0.574,5.5,10.4,0.524,4.3,9.4,13.6,3.8,0.5,3.0,2.8,29.7,1999-00,0.58,0.43,1,5,1
Allen Iverson,PHI,70.0,40.8,10.4,24.8,0.421,1.3,0.341,9.1,0.435,0.446,6.3,8.9,0.713,1.0,2.8,3.8,4.7,2.1,0.1,3.3,28.4,1999-00,0.49,0.27,1,14,1
Grant Hill,DET,74.0,37.5,9.4,19.2,0.489,0.5,0.347,8.9,0.5,0.501,6.5,8.2,0.795,1.3,5.3,6.6,5.2,1.4,0.6,3.2,25.8,1999-00,0.57,0.34,1,20,1
Vince Carter,TOR,82.0,38.1,9.6,20.7,0.465,1.2,0.403,8.5,0.475,0.493,5.3,6.7,0.791,1.8,4.0,5.8,3.9,1.3,1.1,2.2,25.7,1999-00,0.54,0.28,1,17,1
Karl Malone,UTA,82.0,35.9,9.2,18.0,0.509,0.0,0.25,9.1,0.511,0.51,7.2,9.0,0.797,2.1,7.4,9.5,3.7,1.0,0.9,2.8,25.5,1999-00,0.58,0.33,1,8,1
Chris Webber,SAC,75.0,38.4,10.0,20.6,0.483,0.4,0.284,9.6,0.496,0.492,4.1,5.5,0.751,2.5,8.0,10.5,4.6,1.6,1.7,2.9,24.5,1999-00,0.53,0.37,1,18,1
Gary Payton,SEA,82.0,41.8,9.1,20.3,0.448,2.2,0.34,7.0,0.497,0.502,3.8,5.2,0.735,1.2,5.2,6.5,8.9,1.9,0.2,2.7,24.2,1999-00,0.54,0.32,1,16,1
Jerry Stackhouse,DET,82.0,38.4,7.5,17.6,0.428,1.0,0.288,6.5,0.462,0.456,7.5,9.2,0.815,1.4,2.4,3.8,4.5,1.3,0.4,3.8,23.6,1999-00,0.55,0.22,0,20,1
Tim Duncan,SAS,74.0,38.9,8.5,17.3,0.49,0.0,0.091,8.5,0.494,0.491,6.2,8.1,0.761,3.5,8.9,12.4,3.2,0.9,2.2,3.3,23.2,1999-00,0.56,0.38,1,10,1
Kevin Garnett,MIN,81.0,40.0,9.4,18.8,0.497,0.4,0.37,9.0,0.504,0.507,3.8,5.0,0.765,2.8,9.0,11.8,5.0,1.5,1.6,3.3,22.9,1999-00,0.55,0.36,1,13,1
Michael Finley,DAL,82.0,42.2,9.1,20.0,0.457,1.2,0.401,7.9,0.467,0.487,3.2,3.9,0.82,1.5,4.8,6.3,5.3,1.3,0.4,2.4,22.6,1999-00,0.52,0.27,0,22,0
Kobe Bryant,LAL,66.0,38.2,8.4,17.9,0.468,0.7,0.319,7.7,0.489,0.488,5.0,6.1,0.821,1.6,4.7,6.3,4.9,1.6,0.9,2.8,22.5,1999-00,0.55,0.35,0,5,1
Stephon Marbury,NJN,74.0,38.9,7.7,17.8,0.432,0.9,0.283,6.8,0.464,0.457,5.9,7.2,0.813,0.8,2.4,3.2,8.4,1.5,0.2,3.6,22.2,1999-00,0.53,0.28,0,27,0
Ray Allen,MIL,82.0,37.4,7.8,17.2,0.455,2.1,0.423,5.7,0.468,0.516,4.3,4.9,0.887,1.0,3.4,4.4,3.8,1.3,0.2,2.2,22.1,1999-00,0.57,0.24,0,19,1
Alonzo Mourning,MIA,79.0,34.8,8.3,15.0,0.551,0.0,0.0,8.3,0.553,0.551,5.2,7.4,0.711,2.7,6.8,9.5,1.6,0.5,3.7,2.7,21.7,1999-00,0.59,0.32,1,11,1
Glenn Robinson,MIL,81.0,35.9,8.5,18.0,0.472,1.1,0.363,7.5,0.493,0.502,2.8,3.5,0.802,1.3,4.7,6.0,2.4,1.0,0.5,2.8,20.9,1999-00,0.53,0.22,1,19,1
Antoine Walker,BOS,82.0,36.6,7.9,18.4,0.43,0.9,0.256,7.0,0.471,0.455,3.8,5.4,0.699,2.4,5.5,8.0,3.7,1.4,0.4,3.2,20.5,1999-00,0.49,0.23,0,24,0
