Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,Team_Rank,TS%,EFF,Nominated
Michael Jordan,CHI,82.0,39.0,12.6,24.0,0.526,1.1,0.376,11.5,0.548,0.55,7.2,8.5,0.848,1.7,5.1,6.9,6.3,2.8,0.7,3.0,33.6,1989-90,13,0.61,0.42,1
Karl Malone,UTA,82.0,38.1,11.1,19.8,0.562,0.2,0.372,11.0,0.567,0.567,8.5,11.1,0.762,2.8,8.3,11.1,2.8,1.5,0.6,3.7,31.0,1989-90,11,0.63,0.39,1
Patrick Ewing,NYK,82.0,38.6,11.2,20.4,0.551,0.0,0.25,11.2,0.552,0.551,6.1,7.9,0.775,2.9,8.0,10.9,2.2,1.0,4.0,3.4,28.6,1989-90,10,0.6,0.39,1
Tom Chambers,PHO,81.0,37.6,10.0,20.0,0.501,0.3,0.279,9.7,0.513,0.508,6.9,8.0,0.861,1.5,5.6,7.0,2.3,1.1,0.6,2.7,27.2,1989-90,8,0.58,0.3,1
Dominique Wilkins,ATL,80.0,36.1,10.1,20.9,0.484,0.7,0.322,9.4,0.504,0.502,5.7,7.1,0.807,2.7,3.8,6.5,2.5,1.6,0.6,2.2,26.7,1989-90,9,0.56,0.29,0
Charles Barkley,PHI,79.0,39.1,8.9,14.9,0.6,0.3,0.217,8.7,0.632,0.608,7.1,9.4,0.749,4.6,6.9,11.5,3.9,1.9,0.6,3.1,25.2,1989-90,15,0.66,0.4,1
Chris Mullin,GSW,78.0,36.3,8.7,16.3,0.536,1.1,0.372,7.6,0.573,0.57,6.5,7.3,0.889,1.7,4.3,5.9,4.1,1.6,0.6,3.1,25.1,1989-90,18,0.64,0.33,1
Reggie Miller,IND,82.0,38.9,8.1,15.7,0.514,1.8,0.414,6.2,0.552,0.572,6.6,7.6,0.868,1.2,2.4,3.6,3.8,1.3,0.2,2.7,24.6,1989-90,23,0.65,0.27,0
Larry Bird,BOS,75.0,39.3,9.6,20.2,0.473,0.9,0.333,8.7,0.494,0.495,4.3,4.6,0.93,1.2,8.3,9.5,7.5,1.4,0.8,3.2,24.3,1989-90,19,0.55,0.39,0
Jeff Malone,WSB,75.0,34.2,10.4,21.2,0.491,0.0,0.167,10.4,0.492,0.491,3.4,3.9,0.877,0.7,2.0,2.7,3.2,0.6,0.1,1.7,24.3,1989-90,20,0.53,0.24,0
Hakeem Olajuwon,HOU,82.0,38.1,9.8,19.6,0.501,0.0,0.167,9.8,0.502,0.501,4.7,6.5,0.713,3.6,10.4,14.0,2.9,2.1,4.6,3.9,24.3,1989-90,16,0.54,0.4,1
David Robinson,SAS,82.0,36.6,8.4,15.9,0.531,0.0,0.0,8.4,0.532,0.531,7.5,10.2,0.732,3.7,8.3,12.0,2.0,1.7,3.9,3.1,24.3,1989-90,26,0.6,0.37,0
Dale Ellis,SEA,55.0,37.0,9.1,18.4,0.497,1.7,0.375,7.4,0.538,0.544,3.5,4.3,0.818,1.6,2.7,4.3,2.0,1.1,0.1,2.2,23.5,1989-90,14,0.58,0.34,0
Clyde Drexler,POR,73.0,36.8,9.2,18.6,0.494,0.4,0.283,8.8,0.512,0.505,4.6,5.9,0.774,2.8,4.1,6.9,5.9,2.0,0.7,2.6,23.3,1989-90,21,0.55,0.35,0
Tony Campbell,MIN,82.0,38.6,8.8,19.3,0.457,0.1,0.167,8.7,0.468,0.46,5.5,6.9,0.787,2.5,3.0,5.5,2.6,1.4,0.4,3.1,23.2,1989-90,-1,0.52,0.22,0
Ricky Pierce,MIL,59.0,29.0,8.5,16.7,0.51,0.8,0.346,7.7,0.535,0.533,5.2,6.2,0.839,1.1,1.7,2.8,2.3,0.8,0.1,2.2,23.0,1989-90,12,0.59,0.3,0
Ron Harper,2TM,35.0,39.1,8.6,18.2,0.473,0.4,0.275,8.2,0.49,0.484,5.2,6.6,0.788,2.1,3.8,5.9,5.2,2.3,1.2,2.9,22.8,1989-90,-1,0.54,0.67,0
Kevin Johnson,PHO,74.0,37.6,7.8,15.7,0.499,0.1,0.195,7.7,0.51,0.502,6.8,8.1,0.838,0.6,3.1,3.6,11.4,1.3,0.2,3.6,22.5,1989-90,8,0.58,0.35,1
Terry Cummings,SAS,81.0,34.8,9.0,18.9,0.475,0.2,0.322,8.8,0.481,0.481,4.2,5.4,0.78,2.8,5.6,8.4,2.7,1.4,0.6,2.5,22.4,1989-90,26,0.53,0.27,1
Bernard King,WSB,82.0,32.8,8.7,17.8,0.487,0.0,0.13,8.6,0.493,0.488,5.0,6.3,0.803,1.6,3.4,4.9,4.6,0.6,0.1,3.0,22.4,1989-90,20,0.54,0.23,0
Magic Johnson,LAL,79.0,37.2,6.9,14.4,0.48,1.3,0.384,5.6,0.51,0.526,7.2,8.1,0.89,1.6,5.0,6.6,11.5,1.7,0.4,3.7,22.3,1989-90,7,0.62,0.38,1
Wayman Tisdale,SAC,79.0,37.2,9.2,17.5,0.525,0.0,0.0,9.2,0.527,0.525,3.9,4.9,0.783,2.3,5.2,7.5,1.4,0.7,0.7,1.9,22.3,1989-90,24,0.57,0.27,0
Mitch Richmond,GSW,78.0,35.9,8.2,16.5,0.497,0.4,0.358,7.8,0.508,0.51,5.2,6.0,0.866,1.3,3.4,4.6,2.9,1.3,0.3,2.6,22.1,1989-90,18,0.58,0.25,0
Xavier McDaniel,SEA,69.0,35.2,8.9,17.9,0.496,0.1,0.294,8.8,0.498,0.498,3.5,4.8,0.733,2.4,4.1,6.5,2.5,1.1,0.5,2.7,21.3,1989-90,14,0.53,0.27,0
Charles Smith,LAC,78.0,35.0,7.6,14.7,0.52,0.0,0.083,7.6,0.524,0.52,5.8,7.3,0.794,2.3,4.4,6.7,1.5,1.1,1.5,2.1,21.1,1989-90,27,0.59,0.27,0
James Worthy,LAL,80.0,37.0,8.9,16.2,0.548,0.2,0.306,8.7,0.557,0.554,3.1,4.0,0.782,2.0,4.0,6.0,3.6,1.2,0.6,2.0,21.1,1989-90,7,0.59,0.28,0
Kevin McHale,BOS,82.0,33.2,7.9,14.4,0.549,0.3,0.333,7.6,0.562,0.558,4.8,5.4,0.893,2.5,5.8,8.3,2.1,0.4,1.9,2.2,20.9,1989-90,19,0.62,0.3,0
Chuck Person,IND,77.0,35.2,7.9,16.1,0.487,1.2,0.372,6.6,0.517,0.525,2.7,3.5,0.781,1.6,4.1,5.8,3.0,0.7,0.3,2.2,19.7,1989-90,23,0.56,0.24,0
Mark Price,CLE,73.0,37.1,6.7,14.6,0.459,2.1,0.406,4.6,0.487,0.53,4.1,4.6,0.888,0.9,2.5,3.4,9.1,1.6,0.1,2.9,19.6,1989-90,6,0.59,0.31,1
Rolando Blackman,DAL,80.0,36.7,7.8,15.7,0.498,0.2,0.302,7.7,0.505,0.504,3.6,4.3,0.844,1.1,2.4,3.5,3.6,1.0,0.3,2.2,19.4,1989-90,22,0.55,0.21,0
Terry Catledge,ORL,74.0,33.3,7.4,15.6,0.474,0.0,0.25,7.4,0.476,0.475,4.6,6.6,0.702,3.7,3.9,7.6,1.0,0.5,0.2,2.4,19.4,1989-90,-1,0.52,0.22,0
Moses Malone,ATL,81.0,33.8,6.4,13.3,0.48,0.0,0.111,6.4,0.483,0.481,6.1,7.8,0.781,4.5,5.5,10.0,1.6,0.6,1.0,2.9,18.9,1989-90,9,0.56,0.25,1
Reggie Theus,ORL,76.0,30.9,6.8,15.5,0.439,0.3,0.248,6.5,0.458,0.45,5.0,5.8,0.853,1.0,1.9,2.9,5.4,0.8,0.2,3.0,18.9,1989-90,-1,0.52,0.21,0
Hersey Hawkins,PHI,82.0,34.8,6.4,13.9,0.46,1.0,0.42,5.3,0.468,0.496,4.7,5.3,0.888,1.0,2.7,3.7,3.2,1.6,0.3,2.3,18.5,1989-90,15,0.57,0.21,0
Isiah Thomas,DET,81.0,37.0,7.1,16.3,0.438,0.5,0.309,6.6,0.453,0.454,3.6,4.7,0.775,0.9,2.9,3.8,9.4,1.7,0.2,4.0,18.4,1989-90,5,0.5,0.24,1
Fat Lever,DEN,79.0,35.8,7.2,16.2,0.443,0.5,0.414,6.7,0.445,0.457,3.4,4.3,0.804,2.9,6.4,9.3,6.5,2.1,0.2,2.0,18.3,1989-90,17,0.51,0.31,0
John Williams,WSB,18.0,35.1,7.2,15.2,0.474,0.1,0.111,7.1,0.5,0.478,3.6,4.7,0.774,1.5,6.1,7.6,4.7,1.2,0.5,2.4,18.2,1989-90,20,0.53,1.15,0
Derek Harper,DAL,82.0,36.7,6.9,14.2,0.488,1.1,0.371,5.8,0.519,0.527,3.0,3.8,0.794,0.7,2.3,3.0,7.4,2.3,0.3,2.5,18.0,1989-90,22,0.57,0.25,0
Danny Ainge,SAC,75.0,36.4,6.7,15.4,0.438,1.4,0.374,5.3,0.46,0.485,3.0,3.6,0.831,0.9,3.4,4.3,6.0,1.5,0.2,2.5,17.9,1989-90,24,0.53,0.24,0
Alex English,DEN,80.0,27.6,7.9,16.2,0.491,0.0,0.4,7.9,0.491,0.492,2.0,2.3,0.88,1.5,2.1,3.6,2.8,0.6,0.3,1.2,17.9,1989-90,17,0.52,0.19,0
Joe Dumars,DET,75.0,34.4,6.8,14.1,0.48,0.3,0.4,6.5,0.485,0.491,4.0,4.4,0.9,0.8,2.0,2.8,4.9,0.8,0.0,1.9,17.8,1989-90,5,0.56,0.22,1
Jeff Hornacek,PHO,67.0,34.0,7.2,13.4,0.536,0.6,0.408,6.6,0.552,0.558,2.6,3.0,0.856,1.3,3.4,4.7,5.0,1.7,0.2,1.9,17.6,1989-90,8,0.6,0.31,0
Terry Porter,POR,80.0,34.8,5.6,12.1,0.462,1.1,0.374,4.5,0.491,0.508,5.3,5.9,0.892,0.7,2.7,3.4,9.1,1.9,0.1,3.1,17.6,1989-90,21,0.6,0.27,0
Rex Chapman,CHH,54.0,32.6,7.0,17.1,0.408,0.9,0.331,6.1,0.422,0.433,2.7,3.6,0.75,1.0,2.4,3.3,2.4,0.9,0.1,1.9,17.5,1989-90,28,0.47,0.21,0
Walter Davis,DEN,69.0,23.7,7.2,15.0,0.481,0.1,0.13,7.1,0.497,0.484,3.0,3.3,0.912,0.7,1.9,2.6,2.2,0.9,0.1,1.5,17.5,1989-90,17,0.53,0.2,0
John Stockton,UTA,78.0,37.4,6.1,11.8,0.514,0.6,0.416,5.4,0.528,0.54,4.5,5.5,0.819,0.7,1.9,2.6,14.5,2.7,0.2,3.5,17.2,1989-90,11,0.6,0.35,1
Otis Thorpe,HOU,82.0,35.9,6.7,12.2,0.548,0.0,0.0,6.7,0.554,0.548,3.7,5.4,0.688,3.1,5.8,9.0,3.2,0.8,0.3,2.8,17.1,1989-90,16,0.59,0.25,0
Reggie Lewis,BOS,79.0,31.9,6.8,13.8,0.496,0.1,0.267,6.8,0.499,0.498,3.2,4.0,0.808,1.4,3.0,4.4,2.8,1.1,0.8,1.5,17.0,1989-90,19,0.55,0.21,0
Eddie Johnson,PHO,64.0,28.3,6.4,14.2,0.453,1.1,0.38,5.3,0.472,0.492,2.9,3.2,0.917,1.1,2.8,3.8,1.7,0.5,0.2,1.7,16.9,1989-90,8,0.54,0.21,0
Brad Daugherty,CLE,41.0,35.1,6.0,12.4,0.479,0.0,0.0,6.0,0.481,0.479,4.9,7.0,0.704,1.9,7.2,9.1,3.2,0.7,0.5,2.7,16.8,1989-90,6,0.54,0.47,1
Roy Tarpley,DAL,45.0,36.6,7.0,15.5,0.451,0.0,0.0,7.0,0.455,0.451,2.9,3.8,0.756,4.2,8.9,13.1,1.5,1.8,1.6,2.6,16.8,1989-90,22,0.49,0.51,0
Hot Rod Williams,CLE,82.0,33.9,6.4,13.0,0.493,0.0,,6.4,0.493,0.493,4.0,5.4,0.739,2.7,5.4,8.1,2.0,1.0,2.0,1.7,16.8,1989-90,6,0.55,0.25,0
Armen Gilliam,2TM,76.0,31.9,6.4,12.4,0.515,0.0,0.0,6.4,0.516,0.515,4.0,5.5,0.723,2.8,5.1,7.9,1.3,0.9,0.7,2.4,16.7,1989-90,-1,0.56,0.23,0
Rodney McCray,SAC,82.0,39.5,6.5,12.7,0.515,0.1,0.262,6.4,0.525,0.52,3.3,4.2,0.784,2.3,5.8,8.2,4.6,0.7,0.9,2.1,16.6,1989-90,24,0.57,0.27,0
Rony Seikaly,MIA,74.0,32.6,6.6,13.1,0.502,0.0,0.0,6.6,0.503,0.502,3.5,5.8,0.594,3.4,6.9,10.4,1.1,1.1,1.7,3.2,16.6,1989-90,29,0.53,0.26,0
Scottie Pippen,CHI,82.0,38.4,6.9,14.0,0.489,0.3,0.25,6.5,0.514,0.501,2.4,3.6,0.675,1.8,4.8,6.7,5.4,2.6,1.2,3.4,16.5,1989-90,13,0.53,0.25,0
Danny Manning,LAC,71.0,32.0,6.2,11.6,0.533,0.0,0.0,6.2,0.536,0.533,3.9,5.2,0.741,2.0,3.9,5.9,2.6,1.3,0.5,2.6,16.3,1989-90,27,0.59,0.24,0
Larry Nance,CLE,62.0,33.3,6.6,13.0,0.511,0.0,1.0,6.6,0.51,0.511,3.0,3.9,0.778,2.6,5.7,8.3,2.6,0.9,2.0,1.8,16.3,1989-90,6,0.55,0.34,1
Kevin Duckworth,POR,82.0,30.0,6.7,14.0,0.478,0.0,,6.7,0.478,0.478,2.8,3.8,0.74,2.2,4.0,6.2,1.1,0.4,0.4,2.1,16.2,1989-90,21,0.52,0.17,0
Detlef Schrempf,IND,78.0,33.0,5.4,10.5,0.516,0.2,0.354,5.2,0.526,0.526,5.2,6.3,0.82,1.9,6.0,7.9,3.2,0.8,0.2,2.3,16.2,1989-90,23,0.61,0.25,0
Ken Norman,LAC,70.0,33.3,6.9,13.6,0.51,0.1,0.438,6.8,0.511,0.514,2.2,3.5,0.632,2.0,4.7,6.7,2.3,1.1,0.8,2.7,16.1,1989-90,27,0.53,0.23,0
Terry Teagle,GSW,82.0,29.0,6.6,13.7,0.48,0.0,0.214,6.5,0.483,0.481,3.0,3.6,0.83,1.4,3.1,4.5,1.9,1.1,0.2,1.8,16.1,1989-90,18,0.53,0.17,0
Dell Curry,CHH,67.0,27.8,6.9,14.8,0.466,0.8,0.354,6.1,0.485,0.492,1.4,1.6,0.923,0.5,2.0,2.5,2.4,1.5,0.4,1.5,16.0,1989-90,28,0.52,0.2,0
Jerome Kersey,POR,82.0,34.7,6.3,13.2,0.478,0.0,0.15,6.3,0.485,0.48,3.3,4.8,0.69,3.1,5.4,8.4,2.3,1.5,0.8,1.8,16.0,1989-90,21,0.52,0.23,0
