Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,Team_Rank,TS%,EFF,Nominated
Dominique Wilkins,ATL,78.0,39.1,11.4,24.3,0.468,0.2,0.186,11.2,0.479,0.472,7.4,9.0,0.818,3.3,4.6,7.9,2.6,1.8,0.6,3.2,30.3,1985-86,21,0.54,0.33,1
Adrian Dantley,UTA,76.0,36.1,10.8,19.1,0.563,0.0,0.091,10.8,0.567,0.563,8.3,10.5,0.791,2.3,2.9,5.2,3.5,0.8,0.1,3.0,29.8,1985-86,16,0.63,0.34,0
Alex English,DEN,81.0,37.3,11.7,23.3,0.504,0.0,0.2,11.7,0.505,0.504,6.3,7.3,0.862,2.4,2.6,5.0,4.0,0.9,0.4,3.1,29.8,1985-86,9,0.56,0.3,1
Larry Bird,BOS,82.0,38.0,9.7,19.6,0.496,1.0,0.423,8.7,0.506,0.521,5.4,6.0,0.896,2.3,7.5,9.8,6.8,2.0,0.6,3.2,25.8,1985-86,5,0.58,0.38,1
Purvis Short,GSW,64.0,37.9,9.9,20.5,0.482,0.2,0.306,9.7,0.489,0.488,5.5,6.3,0.865,2.0,3.2,5.1,3.7,1.4,0.3,2.9,25.5,1985-86,27,0.55,0.34,1
Kiki Vandeweghe,POR,79.0,35.3,9.1,16.9,0.54,0.0,0.125,9.1,0.542,0.54,6.6,7.6,0.869,1.2,1.6,2.7,2.4,0.7,0.2,2.2,24.8,1985-86,14,0.61,0.25,0
Moses Malone,PHI,74.0,36.6,7.7,16.8,0.458,0.0,0.0,7.7,0.459,0.458,8.3,10.6,0.787,4.6,7.2,11.8,1.2,0.9,1.0,3.5,23.8,1985-86,8,0.55,0.32,1
Hakeem Olajuwon,HOU,68.0,36.3,9.2,17.5,0.526,0.0,,9.2,0.526,0.526,5.1,7.9,0.645,4.9,6.6,11.5,2.0,2.0,3.4,2.9,23.5,1985-86,10,0.56,0.42,1
Derek Smith,LAC,11.0,30.8,9.1,16.5,0.552,0.1,0.5,9.0,0.553,0.555,5.3,7.6,0.69,1.8,1.9,3.7,2.8,0.8,1.2,3.0,23.5,1985-86,24,0.59,1.75,0
Kareem Abdul-Jabbar,LAL,79.0,33.3,9.6,16.9,0.564,0.0,0.0,9.6,0.565,0.564,4.3,5.6,0.765,1.7,4.4,6.1,3.5,0.8,1.6,2.6,23.4,1985-86,6,0.6,0.31,1
World B. Free,CLE,75.0,33.8,8.7,19.1,0.455,0.9,0.42,7.7,0.46,0.48,5.1,6.5,0.78,1.0,1.9,2.9,4.2,1.2,0.3,2.3,23.4,1985-86,19,0.53,0.24,1
Mike Mitchell,SAS,82.0,36.2,9.8,20.7,0.473,0.0,0.0,9.8,0.476,0.473,3.9,4.8,0.809,1.6,3.4,5.0,2.3,0.7,0.3,2.2,23.4,1985-86,15,0.51,0.22,0
Michael Jordan,CHI,18.0,25.1,8.3,18.2,0.457,0.2,0.167,8.2,0.474,0.462,5.8,6.9,0.84,1.3,2.3,3.6,2.9,2.1,1.2,2.5,22.7,1985-86,18,0.53,1.06,1
Mark Aguirre,DAL,74.0,33.8,9.0,17.9,0.503,0.2,0.286,8.8,0.513,0.509,4.3,6.1,0.705,2.4,3.6,6.0,4.6,0.8,0.2,3.4,22.6,1985-86,12,0.55,0.27,0
Jeff Malone,WSB,80.0,37.4,9.2,19.0,0.483,0.0,0.176,9.2,0.486,0.484,4.0,4.6,0.868,0.8,2.8,3.6,2.4,0.9,0.2,2.1,22.4,1985-86,17,0.53,0.21,0
