Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated,Team_Rank,Made_Playoffs
Michael Jordan,CHI,80.0,38.8,11.8,22.7,0.519,0.3,0.27,11.5,0.533,0.526,6.1,7.4,0.832,1.1,5.3,6.4,6.1,2.3,0.9,2.5,30.1,1991-92,0.58,0.39,1,5,1
Dominique Wilkins,ATL,42.0,38.1,10.1,21.8,0.464,0.9,0.289,9.2,0.492,0.484,7.0,8.4,0.835,2.5,4.6,7.0,3.8,1.2,0.6,2.9,28.1,1991-92,0.55,0.59,1,22,0
Karl Malone,UTA,81.0,37.7,9.9,18.7,0.526,0.0,0.176,9.8,0.53,0.527,8.3,10.7,0.778,2.8,8.4,11.2,3.0,1.3,0.6,3.1,28.0,1991-92,0.6,0.37,1,8,1
Chris Mullin,GSW,81.0,41.3,10.2,19.6,0.524,0.8,0.366,9.5,0.544,0.544,4.3,5.2,0.833,1.6,4.0,5.6,3.5,2.1,0.8,2.5,25.6,1991-92,0.58,0.31,0,9,1
Clyde Drexler,POR,76.0,36.2,9.1,19.4,0.47,1.5,0.337,7.6,0.51,0.509,5.3,6.6,0.794,2.2,4.4,6.6,6.7,1.8,0.9,3.2,25.0,1991-92,0.56,0.34,1,7,1
Patrick Ewing,NYK,82.0,38.4,9.7,18.6,0.522,0.0,0.167,9.7,0.523,0.522,4.6,6.2,0.738,2.8,8.5,11.2,1.9,1.1,3.0,2.5,24.0,1991-92,0.56,0.34,1,12,1
Tim Hardaway,GSW,81.0,41.1,9.1,19.7,0.461,1.6,0.338,7.5,0.499,0.501,3.7,4.8,0.766,1.0,2.8,3.8,10.0,2.0,0.2,3.3,23.4,1991-92,0.54,0.3,1,9,1
David Robinson,SAS,68.0,37.7,8.7,15.8,0.551,0.0,0.125,8.7,0.554,0.552,5.8,8.3,0.701,3.8,8.4,12.2,2.7,2.3,4.5,2.7,23.2,1991-92,0.6,0.48,1,15,1
Charles Barkley,PHI,75.0,38.4,8.3,15.0,0.552,0.4,0.234,7.9,0.597,0.567,6.1,8.7,0.695,3.6,7.5,11.1,4.1,1.8,0.6,3.1,23.1,1991-92,0.61,0.38,1,23,0
Mitch Richmond,SAC,80.0,38.7,8.6,18.3,0.468,1.3,0.384,7.3,0.486,0.503,4.1,5.1,0.813,0.8,3.2,4.0,5.1,1.2,0.4,3.1,22.5,1991-92,0.55,0.24,0,26,0
Glen Rice,MIA,79.0,38.1,8.5,18.1,0.469,2.0,0.391,6.5,0.499,0.523,3.4,4.0,0.836,1.1,3.9,5.0,2.3,1.1,0.4,1.8,22.3,1991-92,0.56,0.24,0,21,1
Ricky Pierce,SEA,78.0,34.1,7.9,16.7,0.475,0.4,0.268,7.5,0.496,0.487,5.3,5.8,0.916,1.2,1.8,3.0,3.1,1.1,0.3,2.4,21.7,1991-92,0.56,0.22,0,14,1
Hakeem Olajuwon,HOU,70.0,37.7,8.4,16.8,0.502,0.0,0.0,8.4,0.503,0.502,4.7,6.1,0.766,3.5,8.6,12.1,2.2,1.8,4.3,2.7,21.6,1991-92,0.55,0.42,1,18,0
Brad Daugherty,CLE,73.0,36.2,7.9,13.8,0.57,0.0,0.0,7.9,0.571,0.57,5.7,7.3,0.777,2.6,7.8,10.4,3.6,0.9,1.1,2.5,21.5,1991-92,0.63,0.38,0,6,1
Scottie Pippen,CHI,82.0,38.6,8.4,16.6,0.506,0.2,0.2,8.2,0.525,0.511,4.0,5.3,0.76,2.3,5.4,7.7,7.0,1.9,1.1,3.1,21.0,1991-92,0.55,0.32,0,5,1
Reggie Lewis,BOS,82.0,37.4,8.6,17.0,0.503,0.1,0.238,8.5,0.507,0.505,3.6,4.2,0.851,1.4,3.4,4.8,2.3,1.5,1.3,1.7,20.8,1991-92,0.55,0.24,0,11,1
Reggie Miller,IND,82.0,38.0,6.9,13.7,0.501,1.6,0.378,5.3,0.555,0.559,5.4,6.3,0.858,1.0,2.9,3.9,3.8,1.3,0.3,1.9,20.7,1991-92,0.63,0.25,0,20,1
Dražen Petrović,NJN,82.0,36.9,8.1,16.0,0.508,1.5,0.444,6.6,0.525,0.555,2.8,3.5,0.808,1.2,2.0,3.1,3.1,1.3,0.1,2.6,20.6,1991-92,0.59,0.21,0,19,1
Kendall Gill,CHH,79.0,36.8,8.4,18.1,0.467,0.1,0.24,8.4,0.471,0.469,3.6,4.8,0.745,2.1,3.0,5.1,4.2,1.9,0.6,2.3,20.5,1991-92,0.51,0.24,0,24,0
Larry Bird,BOS,45.0,36.9,7.8,16.8,0.466,1.2,0.406,6.7,0.478,0.5,3.3,3.6,0.926,1.0,8.6,9.6,6.8,0.9,0.7,2.8,20.2,1991-92,0.55,0.58,1,11,1
Jeff Malone,UTA,81.0,36.1,8.5,16.7,0.511,0.0,0.083,8.5,0.515,0.511,3.2,3.5,0.898,0.6,2.3,2.9,2.2,0.7,0.1,1.7,20.2,1991-92,0.55,0.2,0,8,1
Jeff Hornacek,PHO,81.0,38.0,7.8,15.3,0.512,1.0,0.439,6.8,0.525,0.546,3.4,3.9,0.886,1.3,3.7,5.0,5.1,2.0,0.4,2.1,20.1,1991-92,0.59,0.28,0,10,1
