Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season
Corey Kispert,25.0,WAS,SF,19.0,0.0,27.6,4.0,9.7,0.413,1.8,5.9,0.313,2.2,3.8,0.569,0.508,1.1,1.3,0.833,0.4,3.1,3.4,1.5,0.6,0.2,1.1,1.7,10.9,,2024-25
Jose Alvarado,26.0,NOP,PG,11.0,7.0,25.6,3.6,9.2,0.396,2.2,5.5,0.4,1.5,3.7,0.39,0.515,1.3,1.5,0.824,0.5,1.6,2.2,4.5,1.5,0.3,1.3,2.4,10.7,,2024-25
Dorian Finney-Smith,31.0,BRK,PF,15.0,15.0,29.0,3.8,8.1,0.467,2.3,5.5,0.422,1.5,2.6,0.564,0.611,0.7,1.2,0.611,1.8,2.5,4.3,1.8,0.9,0.5,1.1,3.1,10.7,,2024-25
Grayson Allen,29.0,PHO,SG,17.0,1.0,23.5,3.3,8.2,0.403,2.2,6.1,0.356,1.1,2.1,0.543,0.536,1.9,2.3,0.821,0.5,2.4,2.9,1.8,0.6,0.4,1.1,1.4,10.6,,2024-25
Rudy Gobert,32.0,MIN,C,21.0,21.0,34.0,4.0,6.0,0.659,0.0,0.0,,4.0,6.0,0.659,0.659,2.7,3.4,0.789,3.4,7.7,11.1,2.1,0.7,1.5,1.6,2.9,10.6,,2024-25
Alex Sarr,19.0,WAS,C,20.0,20.0,26.8,4.0,10.5,0.383,1.1,4.4,0.25,2.9,6.1,0.479,0.435,1.5,2.2,0.659,2.1,4.2,6.3,2.0,0.8,1.9,1.4,2.7,10.6,,2024-25
Clint Capela,30.0,ATL,C,23.0,23.0,22.8,4.7,8.0,0.585,0.0,0.0,,4.7,8.0,0.585,0.585,1.2,2.1,0.563,3.6,5.9,9.5,1.3,0.7,1.0,0.8,1.9,10.5,,2024-25
Derrick Jones Jr.,27.0,LAC,SF,24.0,24.0,25.5,4.0,8.0,0.497,1.3,3.0,0.417,2.8,5.0,0.545,0.575,1.1,1.3,0.871,1.3,2.3,3.5,1.0,1.3,0.2,1.1,2.2,10.4,,2024-25
T.J. McConnell,32.0,IND,PG,22.0,0.0,19.6,4.8,8.5,0.561,0.1,0.4,0.25,4.7,8.1,0.575,0.567,0.8,1.0,0.739,0.5,2.1,2.6,3.9,1.3,0.2,1.6,1.1,10.4,,2024-25
Chris Paul,39.0,SAS,PG,22.0,22.0,28.8,3.5,8.1,0.43,1.9,5.2,0.357,1.6,2.9,0.563,0.545,1.5,1.5,1.0,0.5,3.2,3.7,8.3,1.4,0.2,1.7,1.9,10.4,,2024-25
