Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated,Team_Rank,Made_Playoffs
Dave Corzine,SAS,82.0,23.9,4.5,9.1,0.49,0.0,0.0,4.5,0.492,0.49,1.5,2.1,0.714,2.8,5.0,7.8,1.4,0.5,1.2,1.6,10.5,1980-81,0.52,0.18,0,10,1
Mike Dunleavy,HOU,74.0,21.7,4.2,8.5,0.491,0.0,0.063,4.2,0.502,0.491,2.1,2.5,0.839,0.4,1.2,1.6,3.6,0.9,0.0,1.9,10.5,1980-81,0.55,0.14,0,16,1
Louis Orr,IND,82.0,21.8,4.2,8.6,0.491,0.0,0.0,4.2,0.495,0.491,2.0,2.5,0.807,2.1,2.3,4.4,1.6,0.7,0.3,1.5,10.5,1980-81,0.54,0.14,0,14,1
Bob McAdoo,2TM,16.0,20.1,4.3,9.8,0.433,0.0,0.0,4.3,0.436,0.433,1.8,2.6,0.707,1.1,3.1,4.2,1.9,1.1,0.8,2.0,10.3,1980-81,0.47,0.62,0,-1,0
Dave Robisch,2TM,84.0,25.2,3.9,8.8,0.446,0.0,,3.9,0.446,0.446,2.4,2.9,0.81,1.9,4.1,5.9,2.1,0.4,0.4,1.0,10.2,1980-81,0.51,0.15,0,-1,0
Reggie Johnson,SAS,79.0,21.7,4.3,8.6,0.499,0.0,0.0,4.3,0.499,0.499,1.6,2.4,0.663,1.7,2.9,4.5,1.0,0.6,0.6,1.6,10.2,1980-81,0.53,0.13,0,10,1
Brian Taylor,SDC,80.0,28.9,3.9,7.4,0.525,0.6,0.383,3.3,0.559,0.562,1.8,2.3,0.789,0.7,1.2,1.9,5.5,1.5,0.3,1.4,10.1,1980-81,0.6,0.17,0,20,0
Richard Washington,2TM,80.0,22.7,4.3,9.3,0.455,0.0,0.5,4.2,0.455,0.456,1.5,2.0,0.748,2.0,3.7,5.7,1.6,0.6,0.8,1.6,10.0,1980-81,0.49,0.15,0,-1,0
Mike Bratz,CLE,80.0,32.4,4.0,10.2,0.39,0.7,0.337,3.3,0.404,0.425,1.3,1.7,0.811,0.8,1.7,2.5,5.7,1.7,0.2,2.0,10.0,1980-81,0.46,0.14,0,24,0
Bob Dandridge,WSB,23.0,23.7,4.4,10.3,0.426,0.0,0.0,4.4,0.428,0.426,1.2,1.7,0.718,0.8,2.8,3.6,2.6,0.7,0.4,1.4,10.0,1980-81,0.45,0.41,0,18,0
Kevin McHale,BOS,82.0,20.1,4.3,8.1,0.533,0.0,0.0,4.3,0.535,0.533,1.3,1.9,0.679,1.9,2.5,4.4,0.7,0.3,1.8,1.3,10.0,1980-81,0.56,0.14,0,6,1
Bob Wilkerson,CHI,80.0,28.0,4.1,8.9,0.462,0.0,0.1,4.1,0.467,0.462,1.7,2.0,0.84,1.1,2.5,3.5,3.4,1.3,0.3,2.2,10.0,1980-81,0.51,0.14,0,12,1
Ollie Mack,2TM,65.0,25.9,4.3,9.3,0.46,0.0,0.0,4.3,0.467,0.46,1.2,1.9,0.64,1.4,2.1,3.5,2.5,0.9,0.1,1.1,9.8,1980-81,0.48,0.15,0,-1,0
Bill Laimbeer,CLE,81.0,30.4,4.2,8.3,0.503,0.0,,4.2,0.503,0.503,1.4,1.9,0.765,3.3,5.3,8.6,2.7,0.7,1.0,1.6,9.8,1980-81,0.54,0.2,0,24,0
Billy McKinney,2TM,84.0,25.8,3.9,7.7,0.507,0.0,0.167,3.9,0.513,0.509,1.9,2.2,0.862,0.4,1.8,2.2,4.3,1.2,0.1,1.9,9.7,1980-81,0.56,0.14,0,-1,0
Larry Smith,GSW,82.0,31.4,3.7,7.2,0.512,0.0,,3.7,0.512,0.512,2.2,3.7,0.588,5.3,6.8,12.1,1.1,0.9,0.8,1.8,9.6,1980-81,0.54,0.22,0,17,0
Charlie Criss,ATL,66.0,25.9,3.3,7.3,0.454,0.0,0.048,3.3,0.472,0.455,2.8,3.2,0.864,0.4,1.1,1.5,4.3,0.9,0.0,2.0,9.5,1980-81,0.55,0.15,0,22,0
Lionel Hollins,PHI,82.0,26.3,4.0,8.5,0.47,0.0,0.133,4.0,0.477,0.471,1.5,2.1,0.731,0.6,1.8,2.3,4.3,1.3,0.2,2.5,9.5,1980-81,0.5,0.12,0,5,1
Ben Poquette,UTA,82.0,34.2,4.0,7.5,0.528,0.0,0.5,3.9,0.528,0.53,1.5,2.0,0.778,2.0,5.7,7.7,2.0,0.8,2.1,1.5,9.5,1980-81,0.57,0.2,0,23,0
Maurice Cheeks,PHI,81.0,29.8,3.8,7.2,0.534,0.0,0.375,3.8,0.536,0.536,1.7,2.2,0.787,0.8,2.2,3.0,6.9,2.4,0.5,2.1,9.4,1980-81,0.58,0.2,0,5,1
Michael Cooper,LAL,81.0,32.4,4.0,8.1,0.491,0.0,0.211,3.9,0.499,0.494,1.4,1.8,0.785,1.5,2.7,4.1,4.1,1.6,1.0,2.0,9.4,1980-81,0.53,0.17,0,9,1
Rickey Green,UTA,47.0,27.8,3.7,7.8,0.481,0.0,0.0,3.7,0.482,0.481,1.5,2.1,0.722,0.6,1.8,2.5,5.0,1.6,0.0,1.8,9.0,1980-81,0.52,0.25,0,23,0
Rick Robey,BOS,82.0,19.1,3.6,6.7,0.545,0.0,0.0,3.6,0.546,0.545,1.8,3.1,0.574,1.6,3.1,4.8,1.5,0.5,0.2,1.7,9.0,1980-81,0.56,0.12,0,6,1
Chris Ford,BOS,82.0,33.2,3.8,8.6,0.444,0.4,0.33,3.4,0.465,0.47,0.8,1.1,0.736,0.9,1.1,2.0,3.6,1.2,0.3,1.5,8.9,1980-81,0.49,0.11,0,6,1
John Roche,DEN,26.0,23.5,3.2,6.9,0.458,0.3,0.333,2.8,0.48,0.483,2.2,3.0,0.753,0.2,1.2,1.4,5.4,0.7,0.3,2.0,8.9,1980-81,0.54,0.39,0,19,0
Scott Lloyd,DAL,72.0,30.4,3.4,7.6,0.448,0.0,0.0,3.4,0.45,0.448,2.0,2.8,0.717,2.2,4.1,6.3,2.2,0.5,0.3,2.0,8.8,1980-81,0.5,0.15,0,27,0
Joe Hassett,2TM,41.0,17.4,3.5,8.3,0.421,1.3,0.34,2.2,0.489,0.499,0.4,0.5,0.81,0.6,1.1,1.7,1.8,0.3,0.0,0.5,8.7,1980-81,0.51,0.17,0,-1,0
Allan Bristow,UTA,82.0,24.4,3.3,7.5,0.444,0.1,0.278,3.2,0.449,0.448,2.0,2.4,0.838,1.3,4.0,5.2,4.7,0.8,0.0,2.1,8.7,1980-81,0.51,0.15,0,23,0
Edgar Jones,NJN,60.0,15.8,3.2,6.0,0.529,0.0,0.0,3.2,0.535,0.529,2.4,3.6,0.67,1.5,2.9,4.4,0.7,0.6,1.4,1.7,8.7,1980-81,0.57,0.17,0,25,0
Ron Brewer,2TM,75.0,19.4,3.7,8.4,0.436,0.0,0.143,3.7,0.439,0.437,1.2,1.5,0.798,0.5,0.7,1.1,2.0,0.8,0.5,1.2,8.6,1980-81,0.47,0.09,0,-1,0
Jeff Cook,PHO,79.0,27.7,3.6,7.8,0.464,0.0,0.0,3.6,0.468,0.464,1.3,2.0,0.645,2.2,3.8,5.9,2.5,1.0,0.7,1.8,8.5,1980-81,0.49,0.15,0,8,1
Johnny High,PHO,81.0,21.6,3.0,7.1,0.427,0.0,0.083,3.0,0.442,0.429,2.3,3.3,0.693,1.1,1.7,2.8,2.5,1.6,0.3,2.3,8.4,1980-81,0.49,0.1,0,8,1
Cedrick Hordges,DEN,68.0,23.5,3.3,7.1,0.46,0.0,0.0,3.3,0.463,0.46,1.9,2.7,0.699,1.8,5.0,6.7,1.5,0.5,0.3,1.8,8.4,1980-81,0.51,0.16,0,19,0
Abdul Jeelani,DAL,66.0,16.8,2.8,6.7,0.425,0.0,0.0,2.8,0.426,0.425,2.7,3.3,0.814,1.3,2.2,3.5,1.0,0.7,0.5,1.3,8.4,1980-81,0.52,0.13,0,27,0
John Lucas,GSW,66.0,29.1,3.4,7.7,0.439,0.1,0.167,3.3,0.452,0.443,1.6,2.2,0.738,0.5,1.8,2.3,7.0,1.3,0.0,2.8,8.4,1980-81,0.48,0.17,0,17,0
Wally Walker,SEA,82.0,21.9,3.5,7.6,0.463,0.0,0.0,3.5,0.465,0.463,1.3,2.1,0.645,1.3,2.6,3.8,1.5,0.6,0.2,1.4,8.4,1980-81,0.49,0.1,0,21,0
Mike Glenn,NYK,82.0,18.4,3.5,6.2,0.558,0.0,0.364,3.4,0.562,0.562,1.2,1.3,0.891,0.3,0.7,1.1,1.3,0.9,0.1,0.8,8.2,1980-81,0.61,0.1,0,11,1
Allen Leavell,HOU,79.0,21.3,3.3,6.9,0.471,0.0,0.118,3.2,0.482,0.473,1.6,1.9,0.832,0.4,1.3,1.7,4.9,1.2,0.2,2.4,8.1,1980-81,0.52,0.12,0,16,1
Kyle Macy,PHO,82.0,17.9,3.3,6.5,0.511,0.1,0.235,3.2,0.541,0.523,1.3,1.5,0.899,0.5,1.1,1.6,2.0,0.9,0.1,1.2,8.1,1980-81,0.57,0.1,0,8,1
Dudley Bradley,IND,82.0,22.8,3.2,6.8,0.474,0.0,0.125,3.2,0.484,0.476,1.5,2.2,0.702,0.9,1.5,2.4,2.3,2.3,0.5,1.5,8.0,1980-81,0.51,0.12,0,14,1
Pat Cummings,MIL,74.0,14.6,3.4,6.2,0.539,0.0,0.0,3.4,0.541,0.539,1.3,1.9,0.707,1.3,2.6,3.9,0.8,0.4,0.3,1.5,8.0,1980-81,0.57,0.11,0,7,1
Robert Smith,CLE,1.0,20.0,2.0,5.0,0.4,0.0,,2.0,0.4,0.4,4.0,4.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,3.0,8.0,1980-81,0.59,8.0,0,24,0
Wes Unseld,WSB,63.0,32.3,3.6,6.8,0.524,0.0,0.5,3.5,0.525,0.527,0.9,1.4,0.64,3.3,7.4,10.7,2.7,0.8,0.6,1.5,8.0,1980-81,0.54,0.28,0,18,0
Wayne Robinson,DET,81.0,19.7,2.9,6.3,0.46,0.0,0.0,2.9,0.465,0.46,2.2,3.0,0.729,1.4,2.2,3.6,1.4,0.6,0.3,1.8,7.9,1980-81,0.52,0.1,0,26,0
Ron Boone,UTA,52.0,22.0,3.1,7.1,0.431,0.2,0.282,2.9,0.449,0.446,1.4,1.8,0.798,0.3,1.3,1.6,3.1,0.6,0.2,2.1,7.8,1980-81,0.49,0.13,0,23,0
Marty Byrnes,DAL,72.0,18.9,3.0,6.3,0.479,0.1,0.45,2.9,0.48,0.489,1.7,2.2,0.764,1.0,1.4,2.5,1.6,0.4,0.2,0.8,7.8,1980-81,0.54,0.11,0,27,0
Bob Gross,POR,82.0,23.6,3.1,5.8,0.528,0.0,0.0,3.1,0.538,0.528,1.6,1.9,0.849,1.5,2.5,4.0,3.1,1.1,0.8,1.8,7.8,1980-81,0.59,0.15,0,13,1
Gerald Henderson,BOS,82.0,19.6,3.2,7.1,0.451,0.0,0.063,3.2,0.462,0.452,1.4,1.9,0.72,0.5,1.1,1.6,2.6,1.0,0.1,2.0,7.8,1980-81,0.49,0.08,0,6,1
Kenny Higgs,DEN,72.0,23.5,2.9,6.6,0.441,0.1,0.118,2.8,0.466,0.445,1.9,2.4,0.814,0.3,1.7,2.0,5.7,1.4,0.1,2.3,7.8,1980-81,0.51,0.15,0,19,0
