Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated
George Gervin,SAS,79.0,35.7,12.6,25.2,0.5,0.1,0.278,12.4,0.504,0.502,7.0,8.1,0.864,1.7,3.2,5.0,2.4,1.0,0.6,2.7,32.3,1981-82,0.56,0.32,1
Moses Malone,HOU,81.0,42.0,11.7,22.5,0.519,0.0,0.0,11.7,0.52,0.519,7.8,10.2,0.762,6.9,7.8,14.7,1.8,0.9,1.5,3.6,31.1,1981-82,0.58,0.41,1
Adrian Dantley,UTA,81.0,39.8,11.2,19.6,0.57,0.0,0.333,11.1,0.57,0.57,8.0,10.1,0.792,2.9,3.5,6.3,4.0,1.2,0.2,3.7,30.3,1981-82,0.63,0.34,1
Alex English,DEN,82.0,36.8,10.4,18.9,0.551,0.0,0.0,10.4,0.553,0.551,4.5,5.4,0.84,2.6,4.2,6.8,5.3,1.1,1.5,3.2,25.4,1981-82,0.6,0.34,0
Julius Erving,PHI,81.0,34.4,9.6,17.6,0.546,0.0,0.273,9.6,0.548,0.547,5.1,6.7,0.763,2.7,4.2,6.9,3.9,2.0,1.7,2.6,24.4,1981-82,0.59,0.33,1
Kareem Abdul-Jabbar,LAL,76.0,35.2,9.9,17.1,0.579,0.0,0.0,9.9,0.58,0.579,4.1,5.8,0.706,2.3,6.4,8.7,3.0,0.8,2.7,3.0,23.9,1981-82,0.61,0.36,1
Gus Williams,SEA,80.0,36.0,9.7,19.9,0.486,0.1,0.225,9.6,0.492,0.488,4.0,5.5,0.734,1.2,1.9,3.1,6.9,2.2,0.5,2.5,23.4,1981-82,0.52,0.27,0
Bernard King,GSW,79.0,36.2,9.4,16.5,0.566,0.0,0.2,9.4,0.568,0.567,4.5,6.3,0.705,1.8,4.2,5.9,3.6,1.0,0.3,3.4,23.2,1981-82,0.6,0.27,1
Larry Bird,BOS,77.0,38.0,9.2,18.4,0.503,0.1,0.212,9.1,0.514,0.507,4.3,4.9,0.863,2.6,8.3,10.9,5.8,1.9,0.9,3.3,22.9,1981-82,0.56,0.38,1
World B. Free,GSW,78.0,35.8,8.3,18.6,0.448,0.1,0.179,8.2,0.458,0.451,6.1,8.3,0.74,1.5,1.7,3.2,5.4,0.9,0.1,2.7,22.9,1981-82,0.51,0.22,0
Dan Issel,DEN,81.0,30.5,8.0,15.3,0.527,0.0,0.667,8.0,0.526,0.528,6.7,8.1,0.834,2.1,5.4,7.5,2.2,0.8,0.7,2.1,22.9,1981-82,0.61,0.29,0
