Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,MVP_Rank,Nominated
Michael Jordan,CHI,81.0,40.2,11.9,22.2,0.538,0.3,0.276,11.6,0.553,0.546,8.3,9.8,0.85,1.8,6.2,8.0,8.0,2.9,0.8,3.6,32.5,1988-89,0.61,0.45,,1
Karl Malone,UTA,80.0,39.1,10.1,19.5,0.519,0.1,0.313,10.1,0.521,0.521,8.8,11.5,0.766,3.2,7.4,10.7,2.7,1.8,0.9,3.6,29.1,1988-89,0.59,0.37,,1
Dale Ellis,SEA,82.0,38.9,10.5,20.9,0.501,2.0,0.478,8.5,0.507,0.549,4.6,5.6,0.816,1.9,2.3,4.2,2.0,1.3,0.3,2.7,27.5,1988-89,0.59,0.26,,0
Clyde Drexler,POR,78.0,39.3,10.6,21.4,0.496,0.3,0.26,10.3,0.511,0.504,5.6,7.0,0.799,3.7,4.2,7.9,5.8,2.7,0.7,3.2,27.2,1988-89,0.56,0.37,,1
Alex English,DEN,82.0,36.5,11.3,22.9,0.491,0.0,0.25,11.2,0.492,0.492,4.0,4.6,0.858,1.8,2.2,4.0,4.7,0.8,0.1,2.4,26.5,1988-89,0.53,0.26,,1
Chris Mullin,GSW,82.0,37.7,10.1,19.9,0.509,0.3,0.23,9.8,0.527,0.516,6.0,6.7,0.892,1.9,4.0,5.9,5.1,2.1,0.5,3.6,26.5,1988-89,0.58,0.32,,0
Dominique Wilkins,ATL,80.0,37.5,10.2,22.0,0.464,0.4,0.276,9.8,0.475,0.472,5.5,6.6,0.844,3.2,3.7,6.9,2.6,1.5,0.7,2.3,26.2,1988-89,0.53,0.28,,1
Charles Barkley,PHI,79.0,39.1,8.9,15.3,0.579,0.4,0.216,8.4,0.636,0.594,7.6,10.1,0.753,5.1,7.4,12.5,4.1,1.6,0.8,3.2,25.8,1988-89,0.65,0.41,,1
Tom Chambers,PHO,81.0,37.1,9.6,20.3,0.471,0.3,0.326,9.2,0.479,0.48,6.3,7.4,0.851,1.8,6.7,8.4,2.9,1.1,0.7,2.9,25.7,1988-89,0.55,0.3,,0
Hakeem Olajuwon,HOU,82.0,36.9,9.6,19.0,0.508,0.0,0.0,9.6,0.511,0.508,5.5,8.0,0.696,4.1,9.4,13.5,1.8,2.6,3.4,3.4,24.8,1988-89,0.55,0.38,,1
Terry Cummings,MIL,80.0,35.3,9.1,19.5,0.467,0.1,0.467,9.0,0.467,0.469,4.5,5.8,0.787,3.5,4.6,8.1,2.5,1.3,0.9,2.5,22.9,1988-89,0.52,0.27,,0
Patrick Ewing,NYK,80.0,36.2,9.1,16.0,0.567,0.0,0.0,9.1,0.57,0.567,4.5,6.1,0.746,2.7,6.6,9.3,2.4,1.5,3.5,3.3,22.7,1988-89,0.61,0.34,,0
Kelly Tripucka,CHH,71.0,32.4,8.0,17.1,0.467,0.4,0.357,7.6,0.476,0.48,6.2,7.2,0.866,1.1,2.6,3.8,3.2,1.2,0.2,3.3,22.6,1988-89,0.56,0.25,,0
Magic Johnson,LAL,77.0,37.5,7.5,14.8,0.509,0.8,0.314,6.8,0.548,0.535,6.7,7.3,0.911,1.4,6.4,7.9,12.8,1.8,0.3,4.1,22.5,1988-89,0.62,0.43,,1
Kevin McHale,BOS,78.0,36.9,8.5,15.5,0.546,0.0,0.0,8.5,0.548,0.546,5.6,6.8,0.818,2.9,5.3,8.2,2.2,0.3,1.2,2.5,22.5,1988-89,0.61,0.3,,0
Mitch Richmond,GSW,79.0,34.4,8.2,17.5,0.468,0.4,0.367,7.8,0.475,0.48,5.2,6.4,0.81,2.0,3.9,5.9,4.2,1.0,0.2,3.4,22.0,1988-89,0.54,0.25,,0
Jeff Malone,WSB,76.0,31.8,8.9,18.6,0.48,0.0,0.053,8.9,0.486,0.48,3.9,4.5,0.871,0.7,1.6,2.4,2.9,0.5,0.2,2.2,21.7,1988-89,0.53,0.2,,0
Chuck Person,IND,80.0,37.7,8.9,18.2,0.489,0.8,0.307,8.1,0.519,0.511,3.0,3.8,0.792,1.8,4.7,6.5,3.6,1.0,0.2,3.9,21.6,1988-89,0.54,0.24,,0
Eddie Johnson,PHO,70.0,29.2,8.7,17.5,0.497,1.0,0.413,7.7,0.51,0.526,3.1,3.6,0.868,1.3,3.1,4.4,2.3,0.7,0.1,1.7,21.5,1988-89,0.56,0.26,,0
Bernard King,WSB,81.0,31.6,8.1,16.9,0.477,0.1,0.167,8.0,0.484,0.479,4.5,5.4,0.819,1.6,3.1,4.7,3.6,0.8,0.2,2.8,20.7,1988-89,0.54,0.22,,0
Xavier McDaniel,SEA,82.0,29.1,8.3,16.9,0.489,0.1,0.306,8.1,0.494,0.493,3.8,5.2,0.732,2.2,3.1,5.3,1.6,1.0,0.5,2.6,20.5,1988-89,0.53,0.2,,0
James Worthy,LAL,81.0,36.5,8.7,15.8,0.548,0.0,0.087,8.6,0.556,0.548,3.1,4.0,0.782,2.1,4.0,6.0,3.6,1.3,0.7,2.2,20.5,1988-89,0.58,0.27,,0
Kevin Johnson,PHO,81.0,39.2,7.0,13.9,0.505,0.0,0.091,7.0,0.514,0.506,6.3,7.1,0.882,0.6,3.6,4.2,12.2,1.7,0.3,4.0,20.4,1988-89,0.6,0.33,,0
Moses Malone,ATL,81.0,35.5,6.6,13.5,0.491,0.0,0.0,6.6,0.496,0.491,6.9,8.8,0.789,4.8,7.0,11.8,1.4,1.0,1.2,3.0,20.2,1988-89,0.58,0.29,,0
Fat Lever,DEN,71.0,38.7,7.9,17.2,0.457,0.3,0.348,7.5,0.463,0.466,3.8,4.8,0.785,2.6,6.7,9.3,7.9,2.7,0.3,2.2,19.8,1988-89,0.51,0.39,,1
Rolando Blackman,DAL,78.0,37.8,7.6,16.0,0.476,0.4,0.353,7.2,0.485,0.488,4.1,4.7,0.854,0.9,2.6,3.5,3.7,0.8,0.3,2.1,19.7,1988-89,0.55,0.22,,0
Byron Scott,LAL,74.0,35.2,7.9,16.2,0.491,1.0,0.399,6.9,0.508,0.523,2.6,3.1,0.863,1.0,3.1,4.1,3.1,1.5,0.4,2.1,19.6,1988-89,0.56,0.24,,0
Thurl Bailey,UTA,82.0,33.9,7.5,15.5,0.483,0.0,0.4,7.5,0.484,0.484,4.4,5.4,0.825,1.4,4.0,5.5,1.7,0.6,1.1,2.5,19.5,1988-89,0.55,0.21,,0
Larry Bird,BOS,6.0,31.5,8.2,17.3,0.471,0.0,,8.2,0.471,0.471,3.0,3.2,0.947,0.2,6.0,6.2,4.8,1.0,0.8,1.8,19.3,1988-89,0.52,3.5,,1
