Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF
Stephen Curry,GSW,79.0,34.2,10.2,20.2,0.504,5.1,0.454,5.1,0.566,0.63,4.6,5.1,0.908,0.9,4.6,5.4,6.7,2.1,0.2,3.3,30.1,2015-16,0.67,0.39
James Harden,HOU,82.0,38.1,8.7,19.7,0.439,2.9,0.359,5.8,0.494,0.512,8.8,10.2,0.86,0.8,5.3,6.1,7.5,1.7,0.6,4.6,29.0,2015-16,0.6,0.34
Kevin Durant,OKC,72.0,35.8,9.7,19.2,0.505,2.6,0.387,7.1,0.569,0.573,6.2,6.9,0.898,0.6,7.6,8.2,5.0,1.0,1.2,3.5,28.2,2015-16,0.63,0.42
DeMarcus Cousins,SAC,65.0,34.6,9.2,20.5,0.451,1.1,0.333,8.2,0.473,0.477,7.3,10.2,0.718,2.4,9.1,11.5,3.3,1.6,1.4,3.8,26.9,2015-16,0.54,0.41
LeBron James,CLE,76.0,35.6,9.7,18.6,0.52,1.1,0.309,8.6,0.573,0.551,4.7,6.5,0.731,1.5,6.0,7.4,6.8,1.4,0.6,3.3,25.3,2015-16,0.59,0.36
Damian Lillard,POR,75.0,35.7,8.2,19.7,0.419,3.1,0.375,5.2,0.45,0.497,5.5,6.2,0.892,0.6,3.4,4.0,6.8,0.9,0.4,3.2,25.1,2015-16,0.56,0.29
Anthony Davis,NOP,61.0,35.5,9.2,18.6,0.493,0.6,0.324,8.6,0.511,0.508,5.3,7.0,0.758,2.1,8.1,10.3,1.9,1.3,2.0,2.0,24.3,2015-16,0.56,0.44
DeMar DeRozan,TOR,78.0,35.9,7.9,17.7,0.446,0.6,0.338,7.3,0.458,0.463,7.1,8.4,0.85,0.8,3.7,4.5,4.0,1.0,0.3,2.2,23.5,2015-16,0.55,0.26
Russell Westbrook,OKC,80.0,34.4,8.2,18.1,0.454,1.3,0.296,6.9,0.503,0.489,5.8,7.2,0.812,1.8,6.0,7.8,10.4,2.0,0.3,4.3,23.5,2015-16,0.55,0.35
Paul George,IND,81.0,34.8,7.5,17.9,0.418,2.6,0.371,4.9,0.447,0.49,5.6,6.5,0.86,1.0,6.0,7.0,4.1,1.9,0.4,3.3,23.1,2015-16,0.56,0.27
Isaiah Thomas,BOS,82.0,32.2,7.2,16.9,0.428,2.0,0.359,5.2,0.462,0.488,5.8,6.6,0.871,0.6,2.4,3.0,6.2,1.1,0.1,2.7,22.2,2015-16,0.56,0.24
Klay Thompson,GSW,80.0,33.3,8.1,17.3,0.47,3.5,0.425,4.7,0.51,0.569,2.4,2.8,0.873,0.4,3.4,3.8,2.1,0.8,0.6,1.7,22.1,2015-16,0.6,0.23
Carmelo Anthony,NYK,72.0,35.1,7.9,18.2,0.434,1.5,0.339,6.4,0.463,0.474,4.6,5.6,0.829,1.4,6.4,7.7,4.2,0.9,0.5,2.4,21.8,2015-16,0.53,0.3
Blake Griffin,LAC,35.0,33.4,8.6,17.2,0.499,0.2,0.333,8.4,0.504,0.504,4.0,5.5,0.727,1.5,6.9,8.4,4.9,0.8,0.5,2.4,21.4,2015-16,0.55,0.67
Kawhi Leonard,SAS,72.0,33.1,7.7,15.1,0.506,1.8,0.443,5.9,0.528,0.565,4.1,4.6,0.874,1.3,5.5,6.8,2.6,1.8,1.0,1.5,21.2,2015-16,0.62,0.33
Kyle Lowry,TOR,77.0,37.0,6.6,15.6,0.427,2.8,0.388,3.9,0.461,0.516,5.2,6.4,0.811,0.7,4.0,4.7,6.4,2.1,0.4,2.9,21.2,2015-16,0.58,0.28
Jimmy Butler,CHI,67.0,36.9,7.0,15.4,0.454,1.0,0.312,6.1,0.489,0.485,5.9,7.1,0.832,1.2,4.2,5.3,4.8,1.6,0.6,2.0,20.9,2015-16,0.56,0.32
Kemba Walker,CHO,81.0,35.6,7.0,16.4,0.427,2.2,0.371,4.8,0.459,0.495,4.6,5.4,0.847,0.7,3.7,4.4,5.2,1.6,0.5,2.1,20.9,2015-16,0.56,0.25
CJ McCollum,POR,80.0,34.8,8.0,17.9,0.448,2.5,0.417,5.6,0.463,0.517,2.3,2.8,0.827,0.6,2.7,3.2,4.3,1.2,0.3,2.5,20.8,2015-16,0.54,0.21
Andrew Wiggins,MIN,81.0,35.1,7.3,16.0,0.459,0.7,0.3,6.6,0.486,0.481,5.3,7.0,0.761,1.3,2.3,3.6,2.0,1.0,0.6,2.2,20.7,2015-16,0.54,0.19
Brook Lopez,BRK,73.0,33.7,8.1,15.8,0.511,0.0,0.143,8.1,0.515,0.512,4.3,5.5,0.787,2.8,5.1,7.8,2.0,0.8,1.7,2.4,20.6,2015-16,0.57,0.3
Eric Bledsoe,PHO,31.0,34.2,7.2,15.9,0.453,1.5,0.372,5.6,0.482,0.502,4.5,5.5,0.802,0.6,3.5,4.0,6.1,2.0,0.6,3.5,20.4,2015-16,0.56,0.64
John Wall,WAS,77.0,36.2,7.4,17.5,0.424,1.5,0.351,5.9,0.448,0.467,3.5,4.5,0.791,0.5,4.4,4.9,10.2,1.9,0.8,4.1,19.9,2015-16,0.51,0.29
Gordon Hayward,UTA,80.0,36.2,6.5,15.0,0.433,1.8,0.349,4.7,0.477,0.493,4.9,6.0,0.824,0.8,4.2,5.0,3.7,1.2,0.3,2.5,19.7,2015-16,0.56,0.22
Kyrie Irving,CLE,53.0,31.5,7.4,16.6,0.448,1.6,0.321,5.8,0.502,0.496,3.2,3.6,0.885,0.8,2.1,3.0,4.7,1.1,0.3,2.3,19.6,2015-16,0.54,0.32
Brandon Knight,PHO,52.0,36.0,7.1,17.2,0.415,2.3,0.342,4.8,0.461,0.482,3.0,3.5,0.852,0.7,3.2,3.9,5.1,1.2,0.4,3.4,19.6,2015-16,0.52,0.31
Danilo Gallinari,DEN,53.0,34.7,5.4,13.2,0.41,1.6,0.364,3.8,0.434,0.472,7.1,8.2,0.868,1.0,4.3,5.3,2.5,0.8,0.4,1.5,19.5,2015-16,0.58,0.34
Chris Paul,LAC,74.0,32.7,7.0,15.1,0.462,1.6,0.371,5.3,0.501,0.517,4.0,4.4,0.896,0.5,3.7,4.2,10.0,2.1,0.2,2.6,19.5,2015-16,0.57,0.34
Chris Bosh,MIA,53.0,33.5,6.8,14.5,0.467,1.5,0.365,5.2,0.508,0.52,4.0,5.1,0.795,0.9,6.5,7.4,2.4,0.7,0.6,1.5,19.1,2015-16,0.57,0.38
Dwyane Wade,MIA,74.0,30.5,7.3,16.0,0.456,0.1,0.159,7.2,0.468,0.459,4.4,5.5,0.793,1.1,3.0,4.1,4.6,1.1,0.6,2.7,19.0,2015-16,0.52,0.23
Reggie Jackson,DET,79.0,30.7,6.8,15.7,0.434,1.5,0.353,5.3,0.464,0.482,3.7,4.3,0.864,0.7,2.5,3.2,6.2,0.7,0.1,2.8,18.8,2015-16,0.53,0.21
Dirk Nowitzki,DAL,75.0,31.5,6.6,14.8,0.448,1.7,0.368,5.0,0.483,0.504,3.3,3.7,0.893,0.7,5.8,6.5,1.8,0.7,0.7,1.1,18.3,2015-16,0.56,0.24
Karl-Anthony Towns,MIN,82.0,32.0,7.6,14.1,0.542,0.4,0.341,7.3,0.559,0.555,2.7,3.4,0.811,2.8,7.7,10.5,2.0,0.7,1.7,2.2,18.3,2015-16,0.59,0.29
Khris Middleton,MIL,79.0,36.1,6.4,14.5,0.444,1.8,0.396,4.6,0.466,0.507,3.5,3.9,0.888,0.6,3.3,3.8,4.2,1.7,0.2,2.3,18.2,2015-16,0.56,0.22
Nikola Vučević,ORL,65.0,31.3,8.2,16.1,0.51,0.0,0.222,8.2,0.512,0.511,1.7,2.3,0.753,2.7,6.2,8.9,2.8,0.8,1.1,1.9,18.2,2015-16,0.53,0.33
LaMarcus Aldridge,SAS,74.0,30.6,7.2,14.1,0.513,0.0,0.0,7.2,0.521,0.513,3.5,4.1,0.858,2.4,6.2,8.5,1.5,0.5,1.1,1.3,18.0,2015-16,0.57,0.28
Kobe Bryant,LAL,66.0,28.2,6.0,16.9,0.358,2.0,0.285,4.0,0.41,0.417,3.5,4.3,0.826,0.6,3.1,3.7,2.8,0.9,0.2,2.0,17.6,2015-16,0.47,0.17
Jahlil Okafor,PHI,53.0,30.0,7.5,14.7,0.508,0.0,0.167,7.5,0.511,0.509,2.5,3.7,0.686,2.3,4.7,7.0,1.2,0.4,1.2,2.3,17.5,2015-16,0.54,0.31
Bradley Beal,WAS,55.0,31.1,6.5,14.5,0.449,1.9,0.387,4.6,0.481,0.515,2.5,3.2,0.767,0.7,2.7,3.4,2.9,1.0,0.2,2.0,17.4,2015-16,0.55,0.26
Rudy Gay,SAC,70.0,34.0,6.7,14.4,0.463,1.1,0.344,5.6,0.495,0.5,2.8,3.6,0.78,1.5,5.0,6.5,1.7,1.4,0.7,2.0,17.2,2015-16,0.54,0.24
Paul Millsap,ATL,81.0,32.7,6.2,13.2,0.47,0.9,0.319,5.3,0.512,0.505,3.8,5.0,0.757,2.4,6.6,9.0,3.3,1.8,1.7,2.4,17.1,2015-16,0.56,0.28
Ryan Anderson,NOP,66.0,30.4,6.0,14.1,0.427,2.0,0.366,4.0,0.466,0.498,3.0,3.5,0.873,2.0,4.0,6.0,1.1,0.6,0.4,1.4,17.0,2015-16,0.54,0.23
Giannis Antetokounmpo,MIL,80.0,35.3,6.4,12.7,0.506,0.4,0.257,6.1,0.537,0.52,3.7,5.1,0.724,1.4,6.2,7.7,4.3,1.2,1.4,2.6,16.9,2015-16,0.57,0.26
Jrue Holiday,NOP,65.0,28.2,6.3,14.4,0.439,1.3,0.336,5.0,0.478,0.485,2.8,3.3,0.843,0.4,2.6,3.0,6.0,1.4,0.3,2.6,16.8,2015-16,0.53,0.25
Marc Gasol,MEM,52.0,34.4,6.3,13.6,0.464,0.0,0.667,6.3,0.463,0.465,3.9,4.7,0.829,1.1,5.8,7.0,3.8,1.0,1.3,2.3,16.6,2015-16,0.53,0.37
Pau Gasol,CHI,72.0,31.8,6.5,13.8,0.469,0.3,0.348,6.2,0.478,0.481,3.2,4.0,0.792,2.2,8.9,11.0,4.1,0.6,2.0,2.3,16.5,2015-16,0.53,0.33
Derrick Favors,UTA,62.0,32.0,6.7,13.1,0.515,0.0,0.0,6.7,0.518,0.515,2.9,4.1,0.709,2.7,5.4,8.1,1.5,1.2,1.5,1.7,16.4,2015-16,0.55,0.31
Derrick Rose,CHI,66.0,31.8,6.8,15.9,0.427,0.7,0.293,6.1,0.449,0.448,2.2,2.7,0.793,0.7,2.7,3.4,4.7,0.7,0.2,2.7,16.4,2015-16,0.48,0.2
JJ Redick,LAC,75.0,28.0,5.6,11.7,0.48,2.7,0.475,3.0,0.484,0.593,2.4,2.7,0.888,0.1,1.7,1.9,1.4,0.6,0.1,1.0,16.3,2015-16,0.63,0.17
Andre Drummond,DET,81.0,32.9,6.8,13.1,0.521,0.0,0.333,6.8,0.522,0.522,2.6,7.2,0.355,4.9,9.9,14.8,0.8,1.5,1.4,1.9,16.2,2015-16,0.5,0.27
Kevin Love,CLE,77.0,31.5,5.3,12.7,0.419,2.1,0.36,3.3,0.467,0.499,3.4,4.1,0.822,1.9,8.0,9.9,2.4,0.8,0.5,1.8,16.0,2015-16,0.55,0.26
