Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,MVP_Rank
Kevin Garnett,BOS,57.0,31.1,6.9,13.0,0.531,0.0,0.25,6.9,0.534,0.532,1.9,2.3,0.841,1.4,7.1,8.5,2.5,1.1,1.2,1.6,15.8,2008-09,0.56,0.37,
Steve Nash,PHO,74.0,33.6,5.8,11.5,0.503,1.5,0.439,4.3,0.529,0.566,2.6,2.8,0.933,0.3,2.8,3.0,9.7,0.7,0.1,3.4,15.7,2008-09,0.62,0.27,
Tracy McGrady,HOU,35.0,33.7,5.4,13.9,0.388,1.3,0.376,4.1,0.391,0.433,3.6,4.5,0.801,0.6,3.8,4.4,5.0,1.2,0.4,2.0,15.6,2008-09,0.49,0.43,
Josh Smith,ATL,69.0,35.1,6.1,12.3,0.492,0.4,0.299,5.7,0.514,0.508,3.1,5.2,0.588,1.9,5.3,7.2,2.4,1.4,1.6,2.3,15.6,2008-09,0.53,0.26,
Manu Ginóbili,SAS,44.0,26.8,5.1,11.2,0.454,1.6,0.33,3.5,0.546,0.524,3.8,4.3,0.884,0.5,4.0,4.5,3.6,1.5,0.4,2.0,15.5,2008-09,0.59,0.38,
Andrea Bargnani,TOR,78.0,31.4,5.5,12.3,0.45,1.5,0.409,4.0,0.468,0.512,2.8,3.4,0.831,0.9,4.4,5.3,1.2,0.4,1.2,1.7,15.4,2008-09,0.56,0.18,
Russell Westbrook,OKC,82.0,32.5,5.3,13.4,0.398,0.4,0.271,4.9,0.415,0.414,4.3,5.2,0.815,2.2,2.7,4.9,5.3,1.3,0.2,3.3,15.3,2008-09,0.49,0.18,
Thaddeus Young,PHI,75.0,34.4,6.3,12.8,0.495,0.7,0.341,5.6,0.526,0.524,1.9,2.5,0.735,1.9,3.2,5.0,1.1,1.3,0.3,1.6,15.3,2008-09,0.55,0.19,
J.R. Smith,DEN,81.0,27.7,5.2,11.7,0.446,2.2,0.397,3.0,0.491,0.541,2.5,3.4,0.754,0.5,3.1,3.7,2.8,1.0,0.2,1.9,15.2,2008-09,0.58,0.17,
Mike Dunleavy,IND,18.0,27.5,5.2,12.9,0.401,1.8,0.356,3.4,0.43,0.47,2.9,3.6,0.815,0.8,3.0,3.8,2.4,0.7,0.5,2.1,15.1,2008-09,0.52,0.67,
Mike Bibby,ATL,79.0,34.7,5.5,12.7,0.435,2.1,0.39,3.4,0.468,0.518,1.7,2.2,0.789,0.5,3.0,3.5,5.0,1.2,0.1,1.6,14.9,2008-09,0.55,0.19,
Baron Davis,LAC,65.0,34.6,5.5,14.8,0.37,1.5,0.302,3.9,0.406,0.422,2.4,3.2,0.757,0.7,3.0,3.7,7.7,1.7,0.5,3.0,14.9,2008-09,0.46,0.24,
T.J. Ford,IND,74.0,30.5,5.6,12.3,0.452,0.5,0.337,5.1,0.467,0.472,3.3,3.8,0.872,0.8,2.7,3.5,5.3,1.2,0.2,2.4,14.9,2008-09,0.53,0.21,
Nenê,DEN,77.0,32.6,5.6,9.2,0.604,0.0,0.2,5.5,0.607,0.604,3.5,4.8,0.723,2.4,5.4,7.8,1.4,1.2,1.3,1.9,14.6,2008-09,0.65,0.25,
Kelenna Azubuike,GSW,74.0,32.1,5.3,11.4,0.464,1.3,0.448,4.0,0.469,0.52,2.5,3.1,0.808,1.5,3.5,5.0,1.6,0.8,0.7,1.3,14.4,2008-09,0.56,0.2,
Wilson Chandler,NYK,82.0,33.4,5.5,12.9,0.432,1.3,0.328,4.3,0.476,0.481,2.1,2.6,0.795,1.1,4.3,5.4,2.1,0.9,0.9,1.7,14.4,2008-09,0.51,0.17,
Andrew Bynum,LAL,50.0,28.9,5.6,10.0,0.56,0.0,,5.6,0.56,0.56,3.0,4.3,0.707,2.7,5.2,8.0,1.4,0.4,1.8,1.7,14.3,2008-09,0.6,0.37,
Troy Murphy,IND,73.0,34.0,5.0,10.5,0.475,2.2,0.45,2.8,0.496,0.58,2.1,2.5,0.826,2.0,9.8,11.8,2.4,0.8,0.5,1.6,14.3,2008-09,0.62,0.31,
Leandro Barbosa,PHO,70.0,24.4,5.2,10.8,0.482,1.3,0.375,3.9,0.532,0.542,2.4,2.8,0.881,0.5,2.1,2.6,2.3,1.2,0.1,1.3,14.2,2008-09,0.59,0.19,
Raymond Felton,CHA,82.0,37.6,5.4,13.2,0.408,0.7,0.285,4.7,0.437,0.435,2.7,3.3,0.805,0.7,3.1,3.8,6.7,1.5,0.4,2.8,14.2,2008-09,0.48,0.19,
Tayshaun Prince,DET,82.0,37.3,5.6,12.4,0.45,0.7,0.397,4.9,0.458,0.477,2.3,3.0,0.778,1.6,4.2,5.8,3.1,0.5,0.6,1.2,14.2,2008-09,0.52,0.19,
Luol Deng,CHI,49.0,34.0,5.4,12.1,0.448,0.2,0.4,5.2,0.45,0.455,3.1,3.9,0.796,1.6,4.4,6.0,1.9,1.2,0.5,1.5,14.1,2008-09,0.51,0.3,
Michael Beasley,MIA,81.0,24.8,5.6,11.8,0.472,0.4,0.407,5.2,0.478,0.49,2.3,3.0,0.772,1.4,4.1,5.4,1.0,0.5,0.5,1.5,13.9,2008-09,0.53,0.16,
Marvin Williams,ATL,61.0,34.3,4.7,10.2,0.458,0.9,0.355,3.8,0.493,0.502,3.6,4.5,0.806,1.8,4.5,6.3,1.3,0.9,0.6,1.1,13.9,2008-09,0.57,0.25,
Elton Brand,PHI,29.0,31.7,5.6,12.6,0.447,0.0,,5.6,0.447,0.447,2.5,3.7,0.676,2.7,6.1,8.8,1.3,0.6,1.6,2.3,13.8,2008-09,0.48,0.54,
Ronnie Brewer,UTA,81.0,32.2,5.2,10.2,0.508,0.3,0.259,4.9,0.537,0.522,3.0,4.3,0.702,1.2,2.5,3.7,2.2,1.7,0.4,1.4,13.7,2008-09,0.57,0.17,
Cuttino Mobley,LAC,11.0,33.2,5.7,13.3,0.432,1.1,0.343,4.6,0.459,0.473,1.2,1.6,0.722,0.8,1.8,2.6,1.1,1.4,0.2,1.6,13.7,2008-09,0.49,0.85,
Marquis Daniels,IND,54.0,31.5,5.8,12.8,0.451,0.3,0.2,5.4,0.489,0.464,1.7,2.4,0.721,1.5,3.1,4.6,2.1,1.1,0.5,1.7,13.6,2008-09,0.49,0.23,
Paul Millsap,UTA,76.0,30.1,5.3,9.9,0.534,0.0,0.0,5.3,0.537,0.534,3.0,4.3,0.699,3.3,5.3,8.6,1.8,1.0,1.0,1.7,13.5,2008-09,0.57,0.24,
Rodney Stuckey,DET,79.0,31.9,5.1,11.6,0.439,0.3,0.295,4.8,0.453,0.452,2.9,3.7,0.803,0.9,2.6,3.5,4.9,1.0,0.1,2.2,13.4,2008-09,0.51,0.17,
Jermaine O'Neal,2TM,68.0,29.8,5.4,11.3,0.474,0.0,0.0,5.4,0.475,0.474,2.6,3.3,0.788,1.9,4.5,6.4,1.8,0.4,2.0,2.1,13.3,2008-09,0.52,0.22,
Ryan Gomes,MIN,82.0,31.9,5.1,11.9,0.431,1.3,0.372,3.8,0.456,0.486,1.8,2.2,0.807,1.3,3.5,4.8,1.6,0.8,0.3,1.6,13.3,2008-09,0.52,0.15,
Peja Stojaković,NOH,61.0,34.2,4.7,11.8,0.399,2.4,0.378,2.3,0.424,0.5,1.5,1.7,0.894,0.7,3.6,4.3,1.2,0.9,0.0,0.8,13.3,2008-09,0.53,0.19,
Boris Diaw,2TM,81.0,34.0,5.5,10.9,0.507,0.9,0.414,4.6,0.531,0.549,1.2,1.8,0.687,1.5,3.9,5.3,4.1,0.8,0.7,2.7,13.2,2008-09,0.56,0.19,
Emeka Okafor,CHA,82.0,32.8,5.3,9.4,0.561,0.0,,5.3,0.561,0.561,2.7,4.5,0.593,3.4,6.7,10.1,0.6,0.6,1.7,1.8,13.2,2008-09,0.58,0.23,
Jarrett Jack,IND,82.0,33.1,4.7,10.4,0.453,1.0,0.353,3.8,0.487,0.498,2.7,3.2,0.852,0.5,2.8,3.4,4.1,1.1,0.2,2.2,13.1,2008-09,0.55,0.16,
Gilbert Arenas,WAS,2.0,31.5,3.0,11.5,0.261,1.0,0.286,2.0,0.25,0.304,6.0,8.0,0.75,0.5,4.0,4.5,10.0,0.0,0.5,0.5,13.0,2008-09,0.43,8.5,
Brook Lopez,NJN,82.0,30.5,5.5,10.3,0.531,0.0,0.0,5.5,0.532,0.531,2.1,2.6,0.793,2.7,5.4,8.1,1.0,0.5,1.8,1.8,13.0,2008-09,0.57,0.21,
Shawn Marion,2TM,69.0,35.8,5.5,11.4,0.485,0.1,0.189,5.4,0.506,0.491,1.7,2.1,0.796,2.6,5.9,8.5,2.0,1.3,1.0,1.5,12.9,2008-09,0.52,0.26,
Zydrunas Ilgauskas,CLE,65.0,27.2,5.3,11.1,0.472,0.2,0.385,5.0,0.477,0.483,2.1,2.7,0.799,2.4,5.1,7.5,1.0,0.4,1.3,1.4,12.9,2008-09,0.52,0.24,
José Calderón,TOR,68.0,34.3,4.7,9.5,0.497,1.2,0.406,3.5,0.538,0.561,2.2,2.3,0.981,0.2,2.6,2.9,8.9,1.1,0.1,2.1,12.8,2008-09,0.61,0.28,
Travis Outlaw,POR,81.0,27.7,4.8,10.5,0.453,1.1,0.377,3.7,0.482,0.505,2.2,3.0,0.723,0.9,3.2,4.1,1.0,0.6,0.7,1.2,12.8,2008-09,0.54,0.14,
Lou Williams,PHI,81.0,23.7,4.1,10.4,0.398,0.8,0.286,3.4,0.438,0.435,3.8,4.8,0.79,0.4,1.6,2.0,3.0,1.0,0.2,1.9,12.8,2008-09,0.51,0.12,
Francisco García,SAC,65.0,30.4,4.5,10.2,0.444,1.4,0.398,3.2,0.466,0.51,2.2,2.7,0.82,0.9,2.5,3.4,2.3,1.2,1.0,1.7,12.7,2008-09,0.56,0.2,
Luis Scola,HOU,82.0,30.3,5.2,9.7,0.531,0.0,0.0,5.2,0.533,0.531,2.4,3.1,0.76,2.4,6.3,8.8,1.5,0.8,0.1,1.5,12.7,2008-09,0.57,0.21,
Ramon Sessions,MIL,79.0,27.5,4.4,9.8,0.445,0.1,0.176,4.3,0.457,0.449,3.6,4.5,0.794,0.8,2.6,3.4,5.7,1.1,0.1,1.9,12.4,2008-09,0.53,0.18,
Ronald Murray,ATL,80.0,24.7,4.4,9.9,0.447,1.1,0.36,3.4,0.485,0.501,2.2,2.9,0.76,0.3,1.8,2.1,2.0,1.1,0.2,1.6,12.2,2008-09,0.55,0.12,
Grant Hill,PHO,82.0,29.8,4.8,9.1,0.523,0.3,0.316,4.5,0.547,0.54,2.2,2.7,0.808,0.8,4.2,4.9,2.3,1.1,0.7,1.5,12.0,2008-09,0.58,0.18,
Chris Kaman,LAC,31.0,29.7,5.2,9.8,0.528,0.0,,5.2,0.528,0.528,1.6,2.4,0.68,2.4,5.5,8.0,1.5,0.5,1.5,2.7,12.0,2008-09,0.55,0.5,
Rasheed Wallace,DET,66.0,32.2,4.6,10.9,0.419,1.7,0.354,2.9,0.471,0.498,1.2,1.5,0.772,0.8,6.6,7.4,1.4,0.9,1.3,0.9,12.0,2008-09,0.52,0.23,
Drew Gooden,3TM,51.0,24.8,4.6,9.9,0.468,0.0,0.0,4.6,0.472,0.468,2.6,3.1,0.84,2.2,4.9,7.1,0.9,0.6,0.4,1.5,11.9,2008-09,0.53,0.27,
Drew Gooden,CHI,31.0,29.6,5.2,11.4,0.457,0.0,0.0,5.2,0.461,0.457,2.7,3.1,0.866,2.6,5.9,8.6,1.4,0.8,0.5,1.8,13.1,2008-09,0.51,0.52,
Drew Gooden,SAC,1.0,26.0,5.0,9.0,0.556,0.0,,5.0,0.556,0.556,2.0,2.0,1.0,3.0,10.0,13.0,2.0,0.0,0.0,3.0,12.0,2008-09,0.61,20.0,
Drew Gooden,SAS,19.0,16.8,3.7,7.6,0.49,0.0,0.0,3.7,0.493,0.49,2.4,3.0,0.789,1.5,2.9,4.4,0.2,0.2,0.2,0.8,9.8,2008-09,0.55,0.5,
Raja Bell,2TM,67.0,34.6,4.5,10.2,0.437,1.7,0.421,2.8,0.448,0.52,1.3,1.5,0.853,0.6,3.0,3.6,2.1,0.7,0.1,1.3,11.9,2008-09,0.55,0.17,
Andris Biedriņš,GSW,62.0,30.0,5.0,8.6,0.578,0.0,0.0,5.0,0.579,0.578,1.9,3.5,0.551,3.6,7.6,11.2,2.0,1.0,1.5,1.8,11.9,2008-09,0.59,0.33,
Marc Gasol,MEM,82.0,30.7,4.3,8.1,0.53,0.0,0.0,4.3,0.53,0.53,3.4,4.6,0.733,2.5,4.9,7.4,1.7,0.8,1.1,2.0,11.9,2008-09,0.59,0.19,
Brad Miller,2TM,70.0,30.0,4.2,8.8,0.476,0.3,0.411,3.8,0.482,0.494,3.2,3.9,0.824,2.1,5.6,7.8,3.3,0.7,0.5,1.9,11.9,2008-09,0.57,0.24,
Rajon Rondo,BOS,80.0,33.0,4.8,9.5,0.505,0.2,0.313,4.6,0.518,0.514,2.2,3.4,0.642,1.3,4.0,5.2,8.2,1.9,0.1,2.6,11.9,2008-09,0.54,0.24,
D.J. Augustin,CHA,72.0,26.5,3.7,8.6,0.43,1.5,0.439,2.2,0.424,0.517,2.9,3.2,0.893,0.2,1.6,1.8,3.5,0.6,0.0,1.7,11.8,2008-09,0.59,0.15,
