Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,MVP_Rank
Dwyane Wade,MIA,79.0,38.6,10.8,22.0,0.491,1.1,0.317,9.7,0.524,0.516,7.5,9.8,0.765,1.1,3.9,5.0,7.5,2.2,1.3,3.4,30.2,2008-09,0.57,0.37,
LeBron James,CLE,81.0,37.7,9.7,19.9,0.489,1.6,0.344,8.1,0.535,0.53,7.3,9.4,0.78,1.3,6.3,7.6,7.2,1.7,1.1,3.0,28.4,2008-09,0.59,0.38,
Kobe Bryant,LAL,82.0,36.1,9.8,20.9,0.467,1.4,0.351,8.3,0.496,0.502,5.9,6.9,0.856,1.1,4.1,5.2,4.9,1.5,0.5,2.6,26.8,2008-09,0.56,0.3,
Dirk Nowitzki,DAL,81.0,37.7,9.6,20.0,0.479,0.8,0.359,8.8,0.493,0.498,6.0,6.7,0.89,1.1,7.3,8.4,2.4,0.8,0.8,1.9,25.9,2008-09,0.56,0.31,
Danny Granger,IND,67.0,36.2,8.5,19.1,0.447,2.7,0.404,5.8,0.47,0.518,6.0,6.9,0.878,0.7,4.4,5.1,2.7,1.0,1.4,2.5,25.8,2008-09,0.58,0.33,
Kevin Durant,OKC,74.0,39.0,8.9,18.8,0.476,1.3,0.422,7.6,0.486,0.51,6.1,7.1,0.863,1.0,5.5,6.5,2.8,1.3,0.7,3.0,25.3,2008-09,0.58,0.31,
Kevin Martin,SAC,51.0,38.2,6.7,15.9,0.42,2.3,0.415,4.4,0.423,0.491,9.0,10.3,0.867,0.6,3.0,3.6,2.7,1.2,0.2,2.9,24.6,2008-09,0.6,0.37,
Al Jefferson,MIN,50.0,36.7,9.7,19.5,0.497,0.0,0.0,9.7,0.499,0.497,3.7,5.0,0.738,3.4,7.5,11.0,1.6,0.8,1.7,1.8,23.1,2008-09,0.53,0.51,
Carmelo Anthony,DEN,66.0,34.5,8.1,18.3,0.443,1.0,0.371,7.2,0.455,0.469,5.6,7.1,0.793,1.6,5.2,6.8,3.4,1.1,0.4,3.0,22.8,2008-09,0.53,0.3,
Chris Paul,NOH,78.0,38.5,8.1,16.1,0.503,0.8,0.364,7.3,0.525,0.528,5.8,6.7,0.868,0.9,4.7,5.5,11.0,2.8,0.1,3.0,22.8,2008-09,0.6,0.39,
Chris Bosh,TOR,77.0,38.0,8.0,16.4,0.487,0.2,0.245,7.8,0.497,0.492,6.5,8.0,0.817,2.8,7.2,10.0,2.5,0.9,1.0,2.3,22.7,2008-09,0.57,0.32,
Brandon Roy,POR,78.0,37.2,8.1,16.9,0.48,1.1,0.377,7.1,0.501,0.512,5.3,6.5,0.824,1.3,3.4,4.7,5.1,1.1,0.3,1.9,22.6,2008-09,0.57,0.28,
Antawn Jamison,WAS,81.0,38.2,8.3,17.8,0.468,1.4,0.351,6.9,0.501,0.507,4.2,5.6,0.754,2.4,6.5,8.9,1.9,1.2,0.3,1.5,22.2,2008-09,0.55,0.27,
Tony Parker,SAS,72.0,34.1,8.9,17.5,0.506,0.3,0.292,8.6,0.518,0.513,3.9,5.0,0.782,0.4,2.7,3.1,6.9,0.9,0.1,2.6,22.0,2008-09,0.56,0.29,
Joe Johnson,ATL,79.0,39.5,7.8,18.0,0.437,1.9,0.36,6.0,0.468,0.489,3.8,4.6,0.826,0.8,3.6,4.4,5.8,1.1,0.2,2.5,21.4,2008-09,0.53,0.25,
Amar'e Stoudemire,PHO,53.0,36.8,7.6,14.1,0.539,0.1,0.429,7.6,0.54,0.541,6.1,7.3,0.835,2.2,5.9,8.1,2.0,0.9,1.1,2.8,21.4,2008-09,0.62,0.43,
Devin Harris,NJN,69.0,36.1,6.6,15.1,0.438,0.9,0.291,5.7,0.477,0.469,7.2,8.8,0.82,0.4,2.9,3.3,6.9,1.7,0.2,3.1,21.3,2008-09,0.56,0.29,
Michael Redd,MIL,33.0,36.5,7.5,16.6,0.455,2.1,0.366,5.4,0.503,0.519,4.0,4.9,0.814,0.7,2.5,3.2,2.7,1.1,0.1,1.6,21.2,2008-09,0.57,0.51,
David West,NOH,76.0,39.2,8.0,17.0,0.472,0.1,0.24,7.9,0.477,0.474,4.8,5.5,0.884,2.1,6.4,8.5,2.3,0.6,0.9,2.1,21.0,2008-09,0.54,0.28,
Zach Randolph,2TM,50.0,35.1,8.3,17.5,0.475,0.6,0.33,7.7,0.494,0.494,3.6,4.9,0.734,3.1,6.9,10.1,2.1,0.9,0.3,2.3,20.8,2008-09,0.53,0.43,
Caron Butler,WAS,67.0,38.6,7.3,16.2,0.453,1.0,0.31,6.4,0.487,0.482,5.1,6.0,0.858,1.8,4.4,6.2,4.3,1.6,0.3,3.1,20.8,2008-09,0.55,0.3,
Vince Carter,NJN,80.0,36.8,7.4,16.8,0.437,1.9,0.385,5.5,0.459,0.493,4.2,5.1,0.817,0.9,4.2,5.1,4.7,1.0,0.5,2.1,20.8,2008-09,0.55,0.25,
Ben Gordon,CHI,82.0,36.6,7.3,16.0,0.455,2.1,0.41,5.2,0.476,0.521,4.0,4.7,0.864,0.6,2.8,3.5,3.4,0.9,0.3,2.4,20.7,2008-09,0.57,0.21,
Stephen Jackson,GSW,59.0,39.6,7.0,16.9,0.414,1.7,0.338,5.3,0.448,0.466,5.0,6.0,0.826,1.2,3.9,5.1,6.5,1.5,0.5,3.9,20.7,2008-09,0.53,0.33,
Dwight Howard,ORL,79.0,35.7,7.1,12.4,0.572,0.0,0.0,7.1,0.573,0.572,6.4,10.7,0.594,4.3,9.6,13.8,1.4,1.0,2.9,3.0,20.6,2008-09,0.6,0.34,
Paul Pierce,BOS,81.0,37.5,6.7,14.6,0.457,1.5,0.391,5.2,0.48,0.508,5.7,6.8,0.83,0.7,5.0,5.6,3.6,1.0,0.3,2.8,20.5,2008-09,0.58,0.24,
Al Harrington,2TM,73.0,34.9,7.3,16.6,0.439,2.3,0.364,4.9,0.487,0.509,3.2,4.0,0.793,1.4,4.9,6.2,1.4,1.2,0.3,2.2,20.1,2008-09,0.55,0.23,
Jamal Crawford,2TM,65.0,38.1,6.4,15.7,0.41,2.2,0.36,4.3,0.441,0.479,4.6,5.3,0.872,0.4,2.6,3.0,4.4,0.9,0.2,2.3,19.7,2008-09,0.55,0.24,
Yao Ming,HOU,77.0,33.6,7.4,13.4,0.548,0.0,1.0,7.3,0.548,0.549,4.9,5.7,0.866,2.6,7.2,9.9,1.8,0.4,1.9,3.0,19.7,2008-09,0.62,0.31,
Richard Jefferson,MIL,82.0,35.8,6.5,14.9,0.439,1.4,0.397,5.1,0.453,0.487,5.1,6.3,0.805,0.7,3.9,4.6,2.4,0.8,0.2,2.0,19.6,2008-09,0.55,0.2,
Jason Terry,DAL,74.0,33.7,7.3,15.8,0.463,2.3,0.366,5.1,0.525,0.535,2.7,3.0,0.88,0.5,1.9,2.4,3.4,1.3,0.3,1.6,19.6,2008-09,0.57,0.22,
Deron Williams,UTA,68.0,36.8,6.8,14.5,0.471,1.0,0.31,5.8,0.518,0.506,4.8,5.6,0.849,0.4,2.5,2.9,10.7,1.1,0.3,3.4,19.4,2008-09,0.57,0.33,
Tim Duncan,SAS,75.0,33.7,7.4,14.8,0.504,0.0,0.0,7.4,0.505,0.504,4.5,6.4,0.692,2.7,8.0,10.7,3.5,0.5,1.7,2.2,19.3,2008-09,0.55,0.32,
Monta Ellis,GSW,25.0,35.7,7.8,17.2,0.451,0.3,0.308,7.4,0.46,0.46,3.1,3.8,0.83,0.6,3.8,4.3,3.7,1.6,0.3,2.7,19.0,2008-09,0.5,0.64,
Pau Gasol,LAL,81.0,37.0,7.3,12.9,0.567,0.0,0.5,7.3,0.567,0.567,4.2,5.4,0.781,3.2,6.4,9.6,3.5,0.6,1.0,1.9,18.9,2008-09,0.62,0.31,
Rudy Gay,MEM,79.0,37.3,7.2,16.0,0.453,1.1,0.351,6.2,0.477,0.487,3.3,4.4,0.767,1.4,4.2,5.5,1.7,1.2,0.7,2.6,18.9,2008-09,0.53,0.2,
Andre Iguodala,PHI,82.0,39.9,6.6,14.0,0.473,1.0,0.307,5.6,0.521,0.507,4.6,6.4,0.724,1.1,4.6,5.7,5.3,1.6,0.4,2.7,18.8,2008-09,0.56,0.24,
Corey Maggette,GSW,51.0,31.1,5.7,12.4,0.461,0.5,0.253,5.3,0.497,0.479,6.7,8.1,0.824,1.0,4.6,5.5,1.8,0.9,0.2,2.4,18.6,2008-09,0.58,0.32,
O.J. Mayo,MEM,82.0,38.0,6.9,15.6,0.438,1.8,0.384,5.1,0.461,0.495,3.0,3.4,0.879,0.7,3.1,3.8,3.2,1.1,0.2,2.8,18.5,2008-09,0.54,0.18,
Richard Hamilton,DET,67.0,34.0,7.0,15.6,0.447,1.0,0.368,5.9,0.464,0.48,3.3,3.9,0.848,0.7,2.4,3.1,4.4,0.6,0.1,2.0,18.3,2008-09,0.53,0.23,
John Salmons,2TM,79.0,37.5,6.5,13.8,0.472,1.6,0.417,4.9,0.493,0.53,3.6,4.4,0.83,0.7,3.5,4.2,3.2,1.1,0.3,2.1,18.3,2008-09,0.58,0.21,
Ray Allen,BOS,79.0,36.4,6.3,13.2,0.48,2.5,0.409,3.8,0.542,0.575,3.0,3.2,0.952,0.8,2.7,3.5,2.8,0.9,0.2,1.7,18.2,2008-09,0.62,0.21,
LaMarcus Aldridge,POR,81.0,37.1,7.4,15.3,0.484,0.1,0.25,7.3,0.489,0.486,3.2,4.1,0.781,2.9,4.6,7.5,1.9,1.0,1.0,1.5,18.1,2008-09,0.53,0.24,
Josh Howard,DAL,52.0,32.0,6.8,15.1,0.451,1.1,0.345,5.7,0.48,0.488,3.3,4.2,0.782,1.1,3.9,5.1,1.6,1.1,0.6,1.7,18.0,2008-09,0.53,0.3,
Shaquille O'Neal,PHO,75.0,30.0,6.8,11.2,0.609,0.0,0.0,6.8,0.61,0.609,4.1,6.9,0.595,2.5,5.9,8.4,1.7,0.7,1.4,2.2,17.8,2008-09,0.63,0.27,
Mo Williams,CLE,81.0,35.0,6.5,13.9,0.467,2.3,0.436,4.2,0.486,0.548,2.6,2.8,0.912,0.6,2.9,3.4,4.1,0.9,0.1,2.2,17.8,2008-09,0.59,0.2,
Chauncey Billups,2TM,79.0,35.3,5.2,12.4,0.418,2.1,0.408,3.1,0.425,0.501,5.3,5.8,0.913,0.4,2.6,3.0,6.4,1.2,0.2,2.2,17.7,2008-09,0.59,0.24,
Rashard Lewis,ORL,79.0,36.2,6.1,13.8,0.439,2.8,0.397,3.3,0.482,0.54,2.8,3.4,0.836,1.2,4.6,5.7,2.6,1.0,0.6,2.0,17.7,2008-09,0.58,0.22,
Allen Iverson,2TM,57.0,36.7,6.1,14.6,0.417,0.5,0.283,5.6,0.435,0.434,4.8,6.1,0.781,0.5,2.5,3.0,5.0,1.5,0.1,2.6,17.5,2008-09,0.51,0.26,
Nate Robinson,NYK,74.0,29.9,6.1,13.9,0.437,1.7,0.325,4.4,0.504,0.498,3.4,4.0,0.841,1.3,2.6,3.9,4.1,1.3,0.1,1.9,17.2,2008-09,0.55,0.22,
Metta World Peace,HOU,69.0,35.5,6.0,15.0,0.401,2.2,0.399,3.8,0.402,0.475,2.8,3.8,0.748,0.9,4.3,5.2,3.3,1.5,0.3,2.0,17.1,2008-09,0.51,0.22,
Mehmet Okur,UTA,72.0,33.5,6.0,12.3,0.485,1.3,0.446,4.7,0.497,0.536,3.8,4.6,0.817,1.7,6.0,7.7,1.7,0.8,0.7,1.8,17.0,2008-09,0.59,0.26,
Jason Richardson,2TM,72.0,33.5,6.5,13.5,0.477,1.8,0.397,4.7,0.518,0.544,2.1,2.8,0.769,1.1,3.4,4.4,2.0,1.1,0.4,1.3,16.8,2008-09,0.57,0.22,
Derrick Rose,CHI,81.0,37.0,7.1,14.9,0.475,0.2,0.222,6.9,0.491,0.482,2.4,3.1,0.788,1.2,2.7,3.9,6.3,0.8,0.2,2.5,16.8,2008-09,0.52,0.21,
Al Thornton,LAC,71.0,37.4,6.6,14.8,0.446,0.3,0.253,6.3,0.462,0.456,3.3,4.4,0.754,1.7,3.5,5.2,1.5,0.8,0.9,1.8,16.8,2008-09,0.5,0.2,
Hedo Türkoğlu,ORL,77.0,36.6,5.5,13.3,0.413,1.7,0.356,3.8,0.445,0.478,4.1,5.1,0.807,0.6,4.7,5.3,4.9,0.8,0.2,2.6,16.8,2008-09,0.54,0.22,
Jameer Nelson,ORL,42.0,31.2,6.4,12.6,0.503,2.0,0.453,4.4,0.529,0.58,2.0,2.3,0.887,0.5,3.0,3.5,5.4,1.2,0.1,2.0,16.7,2008-09,0.61,0.44,
Gerald Wallace,CHA,71.0,37.6,5.5,11.4,0.48,0.5,0.298,4.9,0.515,0.504,5.1,6.4,0.804,1.6,6.2,7.8,2.7,1.7,0.9,2.1,16.6,2008-09,0.58,0.29,
Jeff Green,OKC,78.0,36.8,6.1,13.7,0.446,1.2,0.389,4.9,0.463,0.491,3.1,3.9,0.788,1.5,5.1,6.7,2.0,1.0,0.4,2.2,16.5,2008-09,0.54,0.21,
Randy Foye,MIN,70.0,35.6,5.7,14.0,0.407,1.6,0.36,4.1,0.428,0.463,3.3,3.9,0.846,0.5,2.6,3.1,4.3,1.0,0.4,2.1,16.3,2008-09,0.52,0.2,
Andre Miller,PHI,82.0,36.3,6.0,12.7,0.473,0.2,0.283,5.8,0.483,0.48,4.1,5.0,0.826,1.5,3.0,4.5,6.5,1.3,0.2,2.4,16.3,2008-09,0.55,0.23,
Carlos Boozer,UTA,37.0,32.4,6.8,13.8,0.49,0.0,,6.8,0.49,0.49,2.6,3.8,0.698,3.0,7.4,10.4,2.1,1.1,0.2,2.1,16.2,2008-09,0.52,0.53,
Charlie Villanueva,MIL,78.0,26.9,6.2,14.0,0.447,1.1,0.345,5.1,0.479,0.488,2.6,3.1,0.838,2.0,4.7,6.7,1.8,0.6,0.7,1.8,16.2,2008-09,0.53,0.2,
Eric Gordon,LAC,78.0,34.3,5.3,11.6,0.456,1.7,0.389,3.6,0.496,0.529,3.8,4.5,0.854,0.6,2.0,2.6,2.8,1.0,0.4,2.1,16.1,2008-09,0.59,0.18,
David Lee,NYK,81.0,34.9,6.4,11.7,0.549,0.0,0.0,6.4,0.551,0.549,3.1,4.1,0.755,3.2,8.6,11.7,2.1,1.0,0.3,1.9,16.0,2008-09,0.59,0.28,
