Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,MVP_Rank,Nominated
Bernard King,NYK,55.0,37.5,12.6,23.7,0.53,0.0,0.1,12.5,0.534,0.531,7.7,10.0,0.772,2.1,3.7,5.8,3.7,1.3,0.3,3.7,32.9,1984-85,0.59,0.49,,1
Larry Bird,BOS,80.0,39.5,11.5,22.0,0.522,0.7,0.427,10.8,0.529,0.538,5.0,5.7,0.882,2.1,8.5,10.5,6.6,1.6,1.2,3.1,28.7,1984-85,0.59,0.43,,1
Michael Jordan,CHI,82.0,38.3,10.2,19.8,0.515,0.1,0.173,10.1,0.526,0.518,7.7,9.1,0.845,2.0,4.5,6.5,5.9,2.4,0.8,3.5,28.2,1984-85,0.59,0.36,,0
Purvis Short,GSW,78.0,39.5,10.5,22.8,0.46,0.6,0.313,9.9,0.474,0.473,6.4,7.9,0.817,2.0,3.1,5.1,3.0,1.5,0.3,3.1,28.0,1984-85,0.53,0.27,,0
Alex English,DEN,81.0,36.1,11.6,22.4,0.518,0.0,0.2,11.6,0.519,0.518,4.7,5.7,0.829,2.5,3.1,5.7,4.2,1.2,0.6,3.1,27.9,1984-85,0.56,0.3,,0
Dominique Wilkins,ATL,81.0,37.3,10.5,23.3,0.451,0.3,0.309,10.2,0.457,0.458,6.0,7.4,0.806,2.8,4.1,6.9,2.5,1.7,0.7,2.8,27.4,1984-85,0.52,0.27,,0
Adrian Dantley,UTA,55.0,35.8,9.3,17.5,0.531,0.0,,9.3,0.531,0.531,8.0,9.9,0.804,2.7,3.2,5.9,3.4,1.0,0.1,3.1,26.6,1984-85,0.61,0.43,,1
Mark Aguirre,DAL,80.0,33.7,9.9,19.6,0.506,0.3,0.318,9.6,0.517,0.515,5.5,7.3,0.759,2.4,3.6,6.0,3.1,0.8,0.3,3.2,25.7,1984-85,0.56,0.26,,1
Moses Malone,PHI,79.0,37.4,7.6,16.3,0.469,0.0,0.0,7.6,0.47,0.469,9.3,11.4,0.815,4.9,8.2,13.1,1.6,0.8,1.6,3.6,24.6,1984-85,0.58,0.35,,1
Terry Cummings,MIL,79.0,34.5,9.6,19.4,0.495,0.0,0.0,9.6,0.496,0.495,4.3,5.9,0.741,3.1,6.0,9.1,2.9,1.5,0.8,2.4,23.6,1984-85,0.54,0.31,,0
Calvin Natt,DEN,78.0,34.1,8.8,16.1,0.546,0.0,0.0,8.8,0.547,0.546,5.7,7.2,0.793,2.7,5.1,7.8,3.1,1.0,0.4,2.4,23.3,1984-85,0.6,0.31,,0
Eddie Johnson,KCK,82.0,36.9,9.4,19.1,0.491,0.2,0.241,9.2,0.5,0.496,4.0,4.5,0.871,1.8,3.1,5.0,3.3,1.0,0.3,2.7,22.9,1984-85,0.54,0.24,,0
Orlando Woolridge,CHI,77.0,36.6,8.8,15.9,0.554,0.0,0.0,8.8,0.557,0.554,5.3,6.8,0.785,2.1,3.6,5.6,1.8,0.8,0.5,2.3,22.9,1984-85,0.61,0.27,,0
Darrell Griffith,UTA,78.0,35.6,9.3,20.4,0.457,1.2,0.358,8.2,0.476,0.486,2.8,3.8,0.725,1.6,2.8,4.4,3.1,1.7,0.4,3.2,22.6,1984-85,0.51,0.22,,0
World B. Free,CLE,71.0,31.7,8.6,18.7,0.459,1.0,0.368,7.6,0.474,0.485,4.3,5.8,0.749,0.9,2.1,3.0,4.5,1.1,0.2,2.0,22.5,1984-85,0.53,0.25,,1
Kiki Vandeweghe,POR,72.0,34.8,8.6,16.1,0.534,0.2,0.333,8.4,0.54,0.538,5.1,5.7,0.896,1.0,2.1,3.2,1.5,0.5,0.3,1.6,22.4,1984-85,0.6,0.25,,0
Mike Mitchell,SAS,82.0,34.8,9.5,19.0,0.497,0.1,0.217,9.4,0.502,0.499,3.3,4.2,0.777,1.8,3.3,5.1,1.8,0.7,0.3,1.8,22.2,1984-85,0.53,0.22,,0
Ralph Sampson,HOU,82.0,37.6,9.2,18.3,0.502,0.0,0.0,9.2,0.504,0.502,3.7,5.5,0.676,2.8,7.6,10.4,2.7,1.0,2.0,4.0,22.1,1984-85,0.53,0.28,,0
Derek Smith,LAC,80.0,34.5,8.5,15.9,0.537,0.0,0.158,8.5,0.542,0.538,5.0,6.3,0.794,2.2,3.2,5.3,2.7,1.0,0.7,2.9,22.1,1984-85,0.59,0.25,,0
Kareem Abdul-Jabbar,LAL,79.0,33.3,9.2,15.3,0.599,0.0,0.0,9.2,0.6,0.599,3.7,5.0,0.732,2.1,5.8,7.9,3.2,0.8,2.1,2.5,22.0,1984-85,0.63,0.33,,1
Sidney Moncrief,MIL,73.0,37.5,7.7,15.9,0.483,0.1,0.273,7.6,0.489,0.487,6.2,7.5,0.828,2.0,3.3,5.4,5.2,1.6,0.5,2.5,21.7,1984-85,0.57,0.31,,1
Tom Chambers,SEA,81.0,36.1,7.8,16.1,0.483,0.1,0.273,7.7,0.487,0.485,5.9,7.0,0.832,2.0,5.1,7.1,2.6,0.9,0.7,3.2,21.5,1984-85,0.56,0.25,,0
