Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF
James Harden,HOU,68.0,36.5,9.9,22.3,0.444,4.4,0.355,5.5,0.556,0.543,10.2,11.8,0.865,1.0,5.5,6.6,7.5,1.8,0.9,4.5,34.3,2019-20,0.62,0.48
Bradley Beal,WAS,57.0,36.0,10.4,22.9,0.455,3.0,0.353,7.4,0.515,0.52,6.8,8.0,0.842,0.9,3.3,4.2,6.1,1.2,0.4,3.4,30.5,2019-20,0.58,0.44
Damian Lillard,POR,66.0,37.5,9.5,20.4,0.463,4.1,0.401,5.4,0.524,0.563,7.0,7.8,0.888,0.5,3.8,4.3,8.0,1.1,0.3,2.9,30.0,2019-20,0.63,0.44
Trae Young,ATL,60.0,35.3,9.1,20.8,0.437,3.4,0.361,5.7,0.501,0.519,8.0,9.3,0.86,0.5,3.7,4.3,9.3,1.1,0.1,4.8,29.6,2019-20,0.59,0.44
Giannis Antetokounmpo,MIL,63.0,30.4,10.9,19.7,0.553,1.4,0.304,9.5,0.631,0.589,6.3,10.0,0.633,2.2,11.4,13.6,5.6,1.0,1.0,3.7,29.5,2019-20,0.61,0.55
Luka Dončić,DAL,61.0,33.6,9.5,20.6,0.463,2.8,0.316,6.7,0.574,0.531,7.0,9.2,0.758,1.3,8.1,9.4,8.8,1.0,0.2,4.3,28.8,2019-20,0.58,0.5
Kyrie Irving,BRK,20.0,32.9,10.0,20.8,0.478,2.8,0.394,7.2,0.522,0.546,4.7,5.1,0.922,1.1,4.1,5.2,6.4,1.4,0.5,2.6,27.4,2019-20,0.59,1.36
Russell Westbrook,HOU,57.0,35.9,10.6,22.5,0.472,1.0,0.258,9.6,0.514,0.493,5.1,6.7,0.763,1.8,6.2,7.9,7.0,1.6,0.4,4.5,27.2,2019-20,0.53,0.46
Kawhi Leonard,LAC,57.0,32.4,9.3,19.9,0.47,2.2,0.378,7.2,0.506,0.524,6.2,7.1,0.886,0.9,6.1,7.1,4.9,1.8,0.6,2.6,27.1,2019-20,0.59,0.48
Devin Booker,PHO,70.0,35.9,9.0,18.3,0.489,2.0,0.354,6.9,0.549,0.544,6.7,7.3,0.919,0.4,3.8,4.2,6.5,0.7,0.3,3.8,26.6,2019-20,0.62,0.35
Karl-Anthony Towns,MIN,35.0,33.9,9.0,17.8,0.508,3.3,0.412,5.8,0.586,0.6,5.1,6.5,0.796,2.7,8.1,10.8,4.4,0.9,1.2,3.1,26.5,2019-20,0.64,0.87
Anthony Davis,LAL,62.0,34.4,8.9,17.7,0.503,1.2,0.33,7.7,0.546,0.536,7.2,8.5,0.846,2.3,7.0,9.3,3.2,1.5,2.3,2.5,26.1,2019-20,0.61,0.48
Zach LaVine,CHI,60.0,34.8,9.0,20.0,0.45,3.1,0.38,5.9,0.497,0.526,4.5,5.6,0.802,0.7,4.1,4.8,4.2,1.5,0.5,3.4,25.5,2019-20,0.57,0.35
LeBron James,LAL,67.0,34.6,9.6,19.4,0.493,2.2,0.348,7.4,0.564,0.55,3.9,5.7,0.693,1.0,6.9,7.8,10.2,1.2,0.5,3.9,25.3,2019-20,0.58,0.44
Donovan Mitchell,UTA,69.0,34.3,8.7,19.4,0.449,2.5,0.366,6.2,0.494,0.513,4.0,4.7,0.863,0.8,3.6,4.4,4.3,1.0,0.2,2.7,24.0,2019-20,0.56,0.29
Brandon Ingram,NOP,62.0,33.9,8.2,17.7,0.463,2.4,0.391,5.8,0.501,0.531,5.0,5.9,0.851,0.8,5.3,6.1,4.2,1.0,0.6,3.0,23.8,2019-20,0.59,0.36
Jayson Tatum,BOS,66.0,34.3,8.4,18.6,0.45,2.9,0.403,5.5,0.48,0.527,3.8,4.7,0.812,1.0,6.0,7.0,3.0,1.4,0.9,2.3,23.4,2019-20,0.57,0.34
D'Angelo Russell,2TM,45.0,32.3,8.0,18.8,0.426,3.5,0.367,4.5,0.487,0.519,3.6,4.4,0.809,0.4,3.6,3.9,6.3,1.1,0.3,3.3,23.1,2019-20,0.56,0.44
Joel Embiid,PHI,51.0,29.5,7.5,15.7,0.477,1.1,0.331,6.4,0.517,0.512,6.9,8.5,0.807,2.8,8.9,11.6,3.0,0.9,1.3,3.1,23.0,2019-20,0.59,0.53
Pascal Siakam,TOR,60.0,35.2,8.3,18.4,0.453,2.2,0.359,6.2,0.499,0.512,4.0,5.1,0.792,1.1,6.3,7.3,3.5,1.0,0.9,2.5,22.9,2019-20,0.55,0.37
