Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF
Adrian Dantley,UTA,22.0,40.3,10.6,18.3,0.58,0.0,,10.6,0.58,0.58,9.5,11.3,0.847,2.6,3.7,6.4,4.8,0.9,0.0,3.7,30.7,1982-83,0.66,1.35
Alex English,DEN,82.0,36.4,11.7,22.6,0.516,0.0,0.167,11.7,0.519,0.517,5.0,6.0,0.829,3.2,4.1,7.3,4.8,1.4,1.5,3.2,28.4,1982-83,0.56,0.35
Kiki Vandeweghe,DEN,82.0,35.5,10.3,18.7,0.547,0.2,0.294,10.1,0.556,0.552,6.0,6.8,0.875,1.5,3.8,5.3,2.5,0.8,0.5,2.2,26.7,1982-83,0.62,0.3
Kelly Tripucka,DET,58.0,38.8,9.7,19.9,0.489,0.2,0.378,9.5,0.492,0.495,6.8,8.0,0.845,2.2,2.4,4.6,4.1,1.2,0.3,3.2,26.5,1982-83,0.57,0.38
George Gervin,SAS,78.0,36.3,9.7,19.9,0.487,0.2,0.364,9.6,0.49,0.491,6.6,7.8,0.853,1.4,3.2,4.6,3.4,1.1,0.9,3.2,26.2,1982-83,0.56,0.28
Moses Malone,PHI,78.0,37.5,8.4,16.7,0.501,0.0,0.0,8.4,0.502,0.501,7.7,10.1,0.761,5.7,9.6,15.3,1.3,1.1,2.0,3.4,24.5,1982-83,0.58,0.39
Mark Aguirre,DAL,81.0,34.4,9.5,19.6,0.483,0.2,0.211,9.3,0.496,0.488,5.3,7.3,0.728,2.4,3.9,6.3,4.1,1.0,0.3,3.2,24.4,1982-83,0.53,0.26
Joe Barry Carroll,GSW,79.0,37.8,9.9,19.4,0.513,0.0,0.0,9.9,0.514,0.513,4.3,5.9,0.719,2.8,5.9,8.7,2.1,1.4,2.0,3.6,24.1,1982-83,0.55,0.3
World B. Free,2TM,73.0,36.1,8.9,19.5,0.456,0.2,0.333,8.7,0.46,0.461,5.9,8.0,0.738,1.3,1.5,2.8,4.0,1.3,0.2,2.9,23.9,1982-83,0.52,0.23
Reggie Theus,CHI,82.0,34.8,9.1,19.1,0.478,0.3,0.231,8.9,0.493,0.485,5.3,6.6,0.801,1.1,2.5,3.7,5.9,1.7,0.2,3.9,23.8,1982-83,0.54,0.25
Terry Cummings,SDC,70.0,36.2,9.8,18.7,0.523,0.0,0.0,9.8,0.523,0.523,4.2,5.9,0.709,4.3,6.3,10.6,2.5,1.8,0.9,2.9,23.7,1982-83,0.56,0.37
Larry Bird,BOS,79.0,37.7,9.5,18.7,0.504,0.3,0.286,9.2,0.516,0.512,4.4,5.3,0.84,2.4,8.6,11.0,5.8,1.9,0.9,3.0,23.6,1982-83,0.56,0.38
Isiah Thomas,DET,81.0,38.2,9.0,19.0,0.472,0.4,0.288,8.5,0.488,0.483,4.5,6.4,0.71,1.3,2.8,4.0,7.8,2.5,0.4,4.0,22.9,1982-83,0.52,0.27
Sidney Moncrief,MIL,76.0,35.7,8.0,15.2,0.524,0.0,0.1,8.0,0.528,0.525,6.6,7.9,0.826,2.5,3.2,5.8,3.9,1.5,0.3,2.6,22.5,1982-83,0.6,0.3
Darrell Griffith,UTA,77.0,36.2,9.8,20.2,0.484,0.5,0.288,9.3,0.502,0.496,2.2,3.2,0.679,1.3,2.6,3.9,3.5,1.8,0.4,3.3,22.2,1982-83,0.51,0.22
Bernard King,NYK,68.0,32.5,8.9,16.8,0.528,0.0,0.0,8.9,0.531,0.528,4.1,5.7,0.722,1.5,3.3,4.8,2.9,1.3,0.2,2.9,21.9,1982-83,0.57,0.27
Kareem Abdul-Jabbar,LAL,79.0,32.3,9.1,15.5,0.588,0.0,0.0,9.1,0.589,0.588,3.5,4.7,0.749,2.1,5.4,7.5,2.5,0.8,2.2,2.5,21.8,1982-83,0.62,0.31
Jim Paxson,POR,81.0,33.8,8.4,16.3,0.515,0.0,0.16,8.4,0.522,0.517,4.8,5.9,0.812,0.8,1.3,2.1,2.9,1.7,0.2,1.9,21.7,1982-83,0.57,0.22
Dan Issel,DEN,80.0,30.4,8.3,16.2,0.51,0.1,0.211,8.2,0.514,0.512,5.0,6.0,0.835,1.9,5.6,7.5,2.8,1.0,0.5,2.2,21.6,1982-83,0.57,0.28
Julius Erving,PHI,72.0,33.6,8.4,16.3,0.517,0.0,0.286,8.4,0.518,0.518,4.6,6.0,0.759,2.4,4.4,6.8,3.7,1.6,1.8,2.7,21.4,1982-83,0.56,0.32
Marques Johnson,MIL,80.0,35.7,9.0,17.8,0.509,0.1,0.2,9.0,0.514,0.511,3.3,4.5,0.735,2.5,4.6,7.0,4.5,1.3,0.7,2.5,21.4,1982-83,0.54,0.28
Purvis Short,GSW,67.0,35.8,8.8,18.0,0.487,0.1,0.267,8.7,0.49,0.489,3.8,4.6,0.828,2.2,3.1,5.3,3.4,1.4,0.2,2.9,21.4,1982-83,0.53,0.28
John Drew,UTA,44.0,27.4,7.2,15.3,0.474,0.0,0.0,7.2,0.477,0.474,6.7,8.9,0.755,2.2,3.1,5.3,2.2,0.8,0.2,3.1,21.2,1982-83,0.55,0.37
Calvin Natt,POR,80.0,36.0,8.1,14.8,0.543,0.0,0.15,8.0,0.549,0.544,4.2,5.4,0.792,2.7,4.8,7.5,2.1,0.8,0.4,2.5,20.4,1982-83,0.59,0.26
Larry Drew,KCK,75.0,35.9,8.0,16.2,0.492,0.0,0.125,8.0,0.497,0.493,4.1,5.0,0.82,0.6,2.2,2.8,8.1,1.7,0.1,3.6,20.1,1982-83,0.55,0.27
Clark Kellogg,IND,81.0,34.1,8.4,17.5,0.479,0.0,0.222,8.3,0.482,0.48,3.2,4.3,0.741,4.2,6.4,10.6,2.8,1.7,0.5,2.7,20.1,1982-83,0.52,0.28
Gus Williams,SEA,80.0,34.5,8.3,17.3,0.477,0.0,0.047,8.2,0.491,0.478,3.5,4.6,0.751,0.9,1.7,2.6,8.0,2.3,0.3,2.9,20.0,1982-83,0.52,0.25
Mike Mitchell,SAS,80.0,35.0,8.6,16.8,0.511,0.0,0.0,8.6,0.512,0.511,2.7,3.6,0.758,2.4,4.4,6.7,1.2,0.7,0.7,1.6,19.9,1982-83,0.54,0.23
Eddie Johnson,KCK,82.0,35.8,8.3,16.7,0.494,0.2,0.282,8.0,0.506,0.501,3.0,3.9,0.779,2.3,3.8,6.1,2.6,0.9,0.2,2.2,19.8,1982-83,0.54,0.22
Andrew Toney,PHI,81.0,30.5,7.7,15.4,0.501,0.3,0.289,7.5,0.514,0.51,4.0,5.1,0.788,0.5,2.3,2.8,4.5,1.0,0.2,3.3,19.7,1982-83,0.56,0.2
Jamaal Wilkes,LAL,80.0,31.9,8.6,16.1,0.53,0.0,0.0,8.6,0.533,0.53,2.5,3.4,0.757,1.8,2.5,4.3,2.3,0.8,0.2,1.9,19.6,1982-83,0.56,0.21
Jeff Ruland,WSB,79.0,36.2,7.3,13.3,0.552,0.0,0.333,7.3,0.552,0.552,4.7,6.9,0.689,3.7,7.3,11.0,3.0,0.9,1.0,3.8,19.4,1982-83,0.59,0.29
Robert Parish,BOS,78.0,31.5,7.9,14.4,0.55,0.0,0.0,7.9,0.551,0.55,3.5,5.0,0.698,3.3,7.3,10.6,1.8,1.0,1.9,2.4,19.3,1982-83,0.58,0.31
Walter Davis,PHO,80.0,31.1,8.3,16.1,0.516,0.1,0.304,8.2,0.52,0.519,2.3,2.8,0.818,0.8,1.7,2.5,5.0,1.5,0.2,2.4,19.0,1982-83,0.55,0.22
Dan Roundfield,ATL,77.0,36.5,7.3,15.5,0.47,0.1,0.185,7.2,0.477,0.472,4.4,5.8,0.749,3.4,8.1,11.4,2.9,0.8,1.5,3.2,19.0,1982-83,0.53,0.3
Jay Vincent,DAL,81.0,33.7,7.7,15.7,0.489,0.0,0.0,7.7,0.49,0.489,3.3,4.2,0.784,2.7,4.6,7.3,2.6,0.9,0.6,2.3,18.7,1982-83,0.53,0.23
Jack Sikma,SEA,75.0,34.2,6.5,13.9,0.464,0.0,0.0,6.5,0.468,0.464,5.3,6.4,0.837,2.8,8.6,11.4,3.1,1.2,0.9,2.5,18.2,1982-83,0.54,0.32
Mike Woodson,KCK,81.0,30.0,7.2,14.2,0.506,0.1,0.212,7.1,0.515,0.509,3.7,4.7,0.79,1.0,2.0,3.1,3.1,1.7,0.7,2.1,18.2,1982-83,0.56,0.21
Greg Ballard,WSB,78.0,36.4,7.7,16.3,0.473,0.2,0.351,7.6,0.477,0.478,2.3,3.0,0.781,1.6,4.9,6.5,3.4,1.7,0.3,2.0,18.0,1982-83,0.51,0.24
Artis Gilmore,SAS,82.0,34.1,6.8,10.8,0.626,0.0,0.0,6.8,0.63,0.626,4.5,6.0,0.74,3.6,8.4,12.0,1.5,0.5,2.3,3.1,18.0,1982-83,0.67,0.31
