Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,Previously_Nominated,TS%,EFF
Michael Jordan,CHI,82.0,40.0,13.4,27.8,0.482,0.1,0.182,13.2,0.491,0.484,10.2,11.9,0.857,2.0,3.2,5.2,4.6,2.9,1.5,3.3,37.1,1986-87,0,0.56,0.39
Dominique Wilkins,ATL,79.0,37.6,10.5,22.6,0.463,0.4,0.292,10.1,0.474,0.472,7.7,9.4,0.818,2.7,3.6,6.3,3.3,1.5,0.6,2.7,29.0,1986-87,1,0.54,0.31
Alex English,DEN,82.0,37.6,11.8,23.4,0.503,0.0,0.267,11.7,0.504,0.504,5.0,5.9,0.844,1.8,2.4,4.2,5.1,0.9,0.3,2.6,28.6,1986-87,1,0.55,0.29
Larry Bird,BOS,74.0,40.6,10.6,20.2,0.525,1.2,0.4,9.4,0.547,0.555,5.6,6.1,0.91,1.7,7.5,9.2,7.6,1.8,0.9,3.2,28.1,1986-87,1,0.61,0.46
Kiki Vandeweghe,POR,79.0,38.3,10.2,19.6,0.523,0.5,0.481,9.7,0.525,0.536,5.9,6.7,0.886,1.1,2.1,3.2,2.8,0.7,0.2,1.8,26.9,1986-87,0,0.6,0.28
Kevin McHale,BOS,77.0,39.7,10.3,17.0,0.604,0.0,0.0,10.3,0.606,0.604,5.6,6.6,0.836,3.2,6.7,9.9,2.6,0.5,2.2,2.6,26.1,1986-87,1,0.66,0.4
Mark Aguirre,DAL,80.0,33.3,9.8,19.9,0.495,0.7,0.353,9.2,0.51,0.512,5.4,7.0,0.77,2.3,3.1,5.3,3.2,1.1,0.4,2.7,25.7,1986-87,0,0.56,0.27
Dale Ellis,SEA,82.0,37.5,9.6,18.5,0.516,1.0,0.358,8.5,0.546,0.545,4.7,6.0,0.787,2.3,3.2,5.5,2.9,1.3,0.4,2.9,24.9,1986-87,0,0.59,0.27
Moses Malone,WSB,73.0,34.1,8.2,18.0,0.454,0.0,0.0,8.2,0.458,0.454,7.8,9.5,0.824,4.7,6.6,11.3,1.6,0.8,1.3,2.8,24.1,1986-87,1,0.54,0.34
Magic Johnson,LAL,80.0,36.3,8.5,16.4,0.522,0.1,0.205,8.4,0.532,0.525,6.7,7.9,0.848,1.5,4.8,6.3,12.2,1.7,0.5,3.8,23.9,1986-87,1,0.6,0.4
Walter Davis,PHO,79.0,33.5,9.9,19.2,0.514,0.3,0.259,9.6,0.529,0.521,3.6,4.2,0.862,1.1,1.9,3.1,4.6,1.2,0.1,2.9,23.6,1986-87,0,0.56,0.25
Hakeem Olajuwon,HOU,75.0,36.8,9.0,17.8,0.508,0.0,0.2,9.0,0.509,0.509,5.3,7.6,0.702,4.2,7.2,11.4,2.9,1.9,3.4,3.0,23.4,1986-87,1,0.55,0.39
Tom Chambers,SEA,82.0,36.8,8.0,17.6,0.456,0.7,0.372,7.4,0.466,0.475,6.5,7.7,0.849,2.0,4.7,6.6,3.0,1.0,0.6,3.3,23.3,1986-87,0,0.56,0.25
Charles Barkley,PHI,68.0,40.3,8.2,13.8,0.594,0.3,0.202,7.9,0.643,0.606,6.3,8.3,0.761,5.7,8.9,14.6,4.9,1.8,1.5,4.7,23.0,1986-87,1,0.66,0.49
Xavier McDaniel,SEA,82.0,37.0,9.8,19.3,0.509,0.0,0.214,9.8,0.512,0.51,3.4,4.8,0.696,4.1,4.5,8.6,2.5,1.4,0.6,2.9,23.0,1986-87,0,0.54,0.27
Ron Harper,CLE,82.0,37.4,9.0,19.7,0.455,0.2,0.213,8.7,0.47,0.461,4.7,6.9,0.684,2.1,2.7,4.8,4.8,2.5,1.0,4.2,22.9,1986-87,0,0.5,0.23
Bernard King,NYK,6.0,35.7,8.7,17.5,0.495,0.0,,8.7,0.495,0.495,5.3,7.2,0.744,2.2,3.2,5.3,3.2,0.3,0.0,2.5,22.7,1986-87,0,0.55,3.05
Larry Nance,PHO,69.0,37.2,8.5,15.4,0.551,0.0,0.2,8.5,0.553,0.551,5.5,7.1,0.773,2.7,6.0,8.7,3.4,1.2,2.1,2.2,22.5,1986-87,0,0.61,0.39
Jeff Malone,WSB,80.0,34.5,8.6,18.9,0.457,0.1,0.154,8.6,0.462,0.458,4.7,5.3,0.885,0.6,2.1,2.7,3.7,0.9,0.2,2.3,22.0,1986-87,0,0.52,0.2
Clyde Drexler,POR,82.0,38.0,8.6,17.2,0.502,0.1,0.234,8.5,0.511,0.506,4.4,5.7,0.76,2.8,3.5,6.3,6.9,2.5,0.9,3.1,21.7,1986-87,0,0.55,0.31
Karl Malone,UTA,82.0,34.8,8.9,17.3,0.512,0.0,0.0,8.9,0.514,0.512,3.9,6.6,0.598,3.4,7.0,10.4,1.9,1.3,0.7,2.9,21.7,1986-87,0,0.54,0.27
Adrian Dantley,DET,81.0,33.8,7.4,13.9,0.534,0.0,0.167,7.4,0.536,0.534,6.7,8.2,0.812,1.3,2.8,4.1,2.0,0.8,0.1,2.2,21.5,1986-87,1,0.61,0.23
Patrick Ewing,NYK,63.0,35.0,8.4,16.7,0.503,0.0,0.0,8.4,0.507,0.503,4.7,6.6,0.713,2.5,6.3,8.8,1.7,1.4,2.3,3.6,21.5,1986-87,0,0.55,0.35
Joe Barry Carroll,GSW,81.0,33.6,8.5,18.0,0.472,0.0,,8.5,0.472,0.472,4.2,5.3,0.787,2.1,5.1,7.3,2.6,1.1,1.5,2.8,21.2,1986-87,0,0.52,0.25
Rolando Blackman,DAL,80.0,34.5,7.8,15.8,0.495,0.1,0.333,7.8,0.497,0.497,5.2,5.9,0.884,1.2,2.3,3.5,3.3,0.8,0.3,2.2,21.0,1986-87,0,0.57,0.23
Terry Cummings,MIL,82.0,33.8,8.9,17.4,0.511,0.0,0.0,8.9,0.512,0.511,3.0,4.6,0.662,2.6,5.9,8.5,2.8,1.6,1.0,2.1,20.8,1986-87,1,0.54,0.27
Orlando Woolridge,NJN,75.0,35.2,7.4,14.2,0.521,0.0,0.125,7.4,0.524,0.522,5.8,7.5,0.777,1.6,3.3,4.9,3.5,0.7,1.1,2.8,20.7,1986-87,0,0.59,0.26
Isiah Thomas,DET,81.0,37.2,7.7,16.7,0.463,0.2,0.194,7.5,0.484,0.47,4.9,6.4,0.768,1.0,2.9,3.9,10.0,1.9,0.2,4.2,20.6,1986-87,1,0.53,0.27
Reggie Theus,SAC,79.0,36.4,7.3,15.5,0.472,0.2,0.218,7.1,0.489,0.479,5.4,6.3,0.867,1.1,2.3,3.4,8.8,1.0,0.2,3.7,20.3,1986-87,0,0.56,0.26
Ricky Pierce,MIL,79.0,31.7,7.3,13.6,0.534,0.0,0.107,7.2,0.545,0.535,4.9,5.6,0.88,1.5,1.9,3.4,1.8,0.8,0.3,1.5,19.5,1986-87,0,0.61,0.22
James Worthy,LAL,82.0,34.4,7.9,14.7,0.539,0.0,0.0,7.9,0.545,0.539,3.6,4.7,0.751,1.9,3.8,5.7,2.8,1.3,1.0,2.0,19.4,1986-87,1,0.58,0.25
Gerald Wilkins,NYK,80.0,34.5,7.9,16.3,0.486,0.3,0.351,7.6,0.494,0.496,2.9,4.2,0.701,1.5,2.2,3.7,4.4,1.1,0.2,2.7,19.1,1986-87,0,0.53,0.2
Fat Lever,DEN,82.0,37.2,7.8,16.7,0.469,0.3,0.239,7.6,0.486,0.477,3.0,3.8,0.782,2.6,6.3,8.9,8.0,2.5,0.4,2.0,18.9,1986-87,0,0.51,0.33
Otis Thorpe,SAC,82.0,36.0,6.9,12.8,0.54,0.0,0.0,6.9,0.542,0.54,5.0,6.6,0.761,3.2,6.8,10.0,2.5,0.6,0.7,2.3,18.9,1986-87,0,0.6,0.28
Sleepy Floyd,GSW,82.0,37.4,6.1,12.6,0.488,0.9,0.384,5.2,0.512,0.524,5.6,6.5,0.86,0.7,2.6,3.3,10.3,1.8,0.2,3.4,18.8,1986-87,0,0.61,0.29
Chuck Person,IND,82.0,36.0,7.7,16.6,0.468,0.6,0.355,7.1,0.48,0.486,2.7,3.6,0.747,2.0,6.2,8.3,3.6,1.1,0.2,2.6,18.8,1986-87,0,0.52,0.24
Eddie Johnson,SAC,81.0,30.3,7.5,16.2,0.463,0.5,0.314,7.0,0.478,0.477,3.3,4.0,0.829,1.8,2.6,4.4,3.1,0.5,0.2,2.0,18.7,1986-87,0,0.52,0.19
Purvis Short,GSW,34.0,27.9,7.1,14.7,0.479,0.1,0.235,6.9,0.488,0.483,4.0,4.7,0.856,1.6,2.4,4.0,2.5,1.3,0.2,2.0,18.3,1986-87,0,0.55,0.47
Buck Williams,NJN,82.0,36.3,6.4,11.4,0.557,0.0,0.0,6.4,0.557,0.557,5.2,7.2,0.731,3.9,8.5,12.5,1.6,1.0,1.1,3.4,18.0,1986-87,1,0.62,0.29
Alvin Robertson,SAS,81.0,33.3,7.3,15.6,0.466,0.2,0.271,7.1,0.474,0.471,3.0,4.0,0.753,2.3,2.9,5.2,5.2,3.2,0.4,3.0,17.7,1986-87,1,0.51,0.24
Kareem Abdul-Jabbar,LAL,78.0,31.3,7.2,12.7,0.564,0.0,0.333,7.2,0.565,0.564,3.1,4.4,0.714,1.9,4.8,6.7,2.6,0.6,1.2,2.4,17.5,1986-87,1,0.6,0.25
Bill Cartwright,NYK,58.0,34.3,5.8,10.9,0.531,0.0,,5.8,0.531,0.531,6.0,7.6,0.79,2.3,5.4,7.7,1.7,0.7,0.4,2.2,17.5,1986-87,0,0.61,0.33
John Lucas,MIL,43.0,31.6,6.6,14.5,0.457,1.1,0.365,5.6,0.48,0.494,3.2,4.0,0.787,0.7,2.2,2.9,6.7,1.7,0.1,2.1,17.5,1986-87,0,0.54,0.42
Robert Parish,BOS,80.0,37.4,7.4,13.2,0.556,0.0,0.0,7.4,0.557,0.556,2.8,3.9,0.735,3.2,7.5,10.6,2.2,0.8,1.8,2.4,17.5,1986-87,0,0.59,0.3
Mike Woodson,LAC,74.0,28.7,6.7,15.3,0.437,0.5,0.276,6.2,0.457,0.452,3.2,3.9,0.828,0.9,1.3,2.2,2.6,1.4,0.2,2.3,17.1,1986-87,0,0.5,0.16
Byron Scott,LAL,82.0,33.3,6.8,13.8,0.489,0.8,0.436,6.0,0.496,0.517,2.7,3.1,0.892,0.8,2.7,3.5,3.4,1.5,0.2,1.8,17.0,1986-87,0,0.56,0.2
Julius Erving,PHI,60.0,32.0,6.7,14.2,0.471,0.2,0.264,6.4,0.484,0.479,3.2,3.9,0.813,1.9,2.5,4.4,3.2,1.3,1.6,2.6,16.8,1986-87,0,0.53,0.28
Steve Johnson,POR,79.0,29.7,6.3,11.3,0.556,0.0,,6.3,0.556,0.556,4.3,6.2,0.698,2.5,4.7,7.2,2.0,0.6,1.0,3.5,16.8,1986-87,0,0.6,0.22
Marques Johnson,LAC,10.0,30.2,6.8,15.5,0.439,0.0,0.0,6.8,0.456,0.439,3.0,4.2,0.714,0.9,2.4,3.3,2.8,1.2,0.5,1.7,16.6,1986-87,0,0.48,1.28
Derek Smith,SAC,52.0,31.9,6.5,14.6,0.446,0.2,0.273,6.3,0.454,0.452,3.4,4.4,0.781,1.2,2.3,3.5,3.9,0.9,0.4,2.4,16.6,1986-87,0,0.5,0.27
Mike Gminski,NJN,72.0,31.6,6.0,13.2,0.457,0.0,,6.0,0.457,0.457,4.3,5.1,0.846,2.7,6.1,8.8,1.4,0.7,1.0,1.8,16.4,1986-87,0,0.53,0.26
Kevin Willis,ATL,81.0,32.4,6.6,12.4,0.536,0.0,0.25,6.6,0.538,0.537,2.8,4.0,0.709,4.0,6.5,10.5,0.8,0.8,0.8,2.1,16.1,1986-87,0,0.57,0.25
Sam Bowie,POR,5.0,32.6,6.0,13.2,0.455,0.0,,6.0,0.455,0.455,4.0,6.0,0.667,2.8,3.8,6.6,1.8,0.2,2.0,3.0,16.0,1986-87,0,0.51,2.88
Derek Harper,DAL,77.0,33.2,6.5,12.9,0.501,1.0,0.358,5.5,0.539,0.539,2.1,3.0,0.684,0.7,1.9,2.6,7.9,2.2,0.3,1.8,16.0,1986-87,0,0.56,0.26
