Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,MVP_Rank
Gary Clark,3TM,39.0,16.8,1.0,3.4,0.303,0.8,0.287,0.2,0.375,0.42,0.2,0.3,0.8,0.8,2.1,2.9,0.8,0.3,0.2,0.4,3.1,2020-21,0.44,0.11,
Gary Clark,ORL,35.0,18.2,1.1,3.7,0.305,0.9,0.287,0.3,0.391,0.424,0.2,0.3,0.8,0.9,2.3,3.2,0.9,0.3,0.2,0.5,3.4,2020-21,0.44,0.14,
Gary Clark,DEN,2.0,2.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2020-21,,0.25,
Gary Clark,PHI,2.0,6.5,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,2020-21,0.0,0.75,
Ryan Arcidiacono,CHI,44.0,10.2,1.1,2.7,0.419,0.6,0.373,0.5,0.48,0.526,0.3,0.5,0.65,0.1,1.4,1.5,1.3,0.2,0.0,0.2,3.1,2020-21,0.53,0.09,
Mamadi Diakite,MIL,14.0,10.1,1.1,2.9,0.4,0.1,0.125,1.1,0.469,0.413,0.8,1.0,0.786,0.6,1.9,2.4,0.6,0.5,0.4,0.2,3.1,2020-21,0.46,0.34,
Anthony Gill,WAS,26.0,8.4,1.2,2.3,0.5,0.3,0.292,0.9,0.639,0.558,0.5,0.6,0.813,0.6,1.3,2.0,0.4,0.4,0.2,0.3,3.1,2020-21,0.6,0.18,
Romeo Langford,BOS,18.0,15.7,1.2,3.3,0.356,0.3,0.278,0.9,0.39,0.398,0.5,0.7,0.75,0.7,1.3,1.9,0.7,0.3,0.3,0.6,3.1,2020-21,0.43,0.19,
Alfonzo McKinnie,LAL,39.0,6.6,1.2,2.4,0.516,0.4,0.41,0.8,0.593,0.602,0.3,0.5,0.556,0.6,0.8,1.4,0.2,0.2,0.0,0.1,3.1,2020-21,0.59,0.09,
Jahmi'us Ramsey,SAC,13.0,7.2,1.2,2.9,0.395,0.4,0.263,0.8,0.526,0.461,0.4,0.4,1.0,0.2,0.6,0.8,0.5,0.3,0.1,0.2,3.1,2020-21,0.5,0.22,
Cameron Reynolds,2TM,5.0,8.0,1.2,3.6,0.333,0.6,0.25,0.6,0.5,0.417,0.0,0.0,,0.4,0.6,1.0,0.4,0.0,0.0,0.0,3.0,2020-21,0.42,0.4,
Nicolò Melli,2TM,45.0,12.6,1.0,3.1,0.326,0.5,0.271,0.5,0.411,0.408,0.4,0.6,0.76,0.6,2.1,2.7,1.0,0.3,0.1,0.3,3.0,2020-21,0.45,0.1,
Sam Merrill,MIL,30.0,7.8,1.1,2.4,0.444,0.7,0.447,0.4,0.44,0.59,0.1,0.1,1.0,0.2,0.8,1.0,0.7,0.3,0.0,0.3,3.0,2020-21,0.61,0.11,
Reggie Perry,BRK,26.0,8.1,1.2,3.0,0.41,0.2,0.19,1.1,0.491,0.436,0.4,0.5,0.769,1.0,1.8,2.8,0.5,0.2,0.2,0.6,3.0,2020-21,0.47,0.16,
Thanasis Antetokounmpo,MIL,57.0,9.7,1.2,2.4,0.489,0.1,0.241,1.1,0.556,0.515,0.4,0.9,0.51,0.9,1.2,2.2,0.8,0.4,0.2,0.8,2.9,2020-21,0.52,0.07,
Trent Forrest,UTA,30.0,10.1,1.1,2.4,0.451,0.2,0.192,0.9,0.6,0.486,0.6,0.6,1.0,0.4,1.1,1.5,1.5,0.3,0.1,0.7,2.9,2020-21,0.54,0.14,
Bruno Caboclo,HOU,6.0,6.0,1.3,2.8,0.471,0.0,0.0,1.3,0.667,0.471,0.2,0.3,0.5,0.5,1.8,2.3,0.2,0.0,0.3,0.7,2.8,2020-21,0.48,0.55,
