Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,Previously_Nominated,TS%,EFF
Adrian Dantley,UTA,79.0,37.8,10.2,18.2,0.558,0.0,0.25,10.1,0.559,0.558,10.3,12.0,0.859,2.3,3.4,5.7,3.9,0.8,0.1,3.3,30.6,1983-84,0,0.65,0.36
Mark Aguirre,DAL,79.0,36.7,11.7,22.3,0.524,0.2,0.268,11.5,0.532,0.528,5.9,7.9,0.749,2.0,3.9,5.9,4.5,1.0,0.3,3.6,29.5,1983-84,0,0.57,0.32
Kiki Vandeweghe,DEN,78.0,35.1,11.5,20.6,0.558,0.1,0.367,11.3,0.562,0.562,6.3,7.4,0.852,1.1,3.7,4.8,3.1,0.7,0.6,2.0,29.4,1983-84,1,0.62,0.34
Alex English,DEN,82.0,35.0,11.1,20.9,0.529,0.0,0.143,11.0,0.531,0.529,4.3,5.2,0.824,2.6,3.0,5.7,5.0,1.0,1.2,2.7,26.4,1983-84,1,0.57,0.32
Bernard King,NYK,77.0,34.6,10.3,18.1,0.572,0.0,0.0,10.3,0.573,0.572,5.7,7.3,0.779,1.6,3.5,5.1,2.1,1.0,0.2,2.6,26.3,1983-84,1,0.62,0.29
George Gervin,SAS,76.0,34.0,10.1,20.5,0.49,0.1,0.417,9.9,0.491,0.493,5.6,6.7,0.842,1.4,2.7,4.1,2.9,1.0,0.6,2.9,25.9,1983-84,1,0.55,0.26
Larry Bird,BOS,79.0,38.3,9.6,19.5,0.492,0.2,0.247,9.4,0.504,0.497,4.7,5.3,0.888,2.3,7.8,10.1,6.6,1.8,0.9,3.0,24.2,1983-84,1,0.55,0.38
Mike Mitchell,SAS,79.0,36.1,9.9,20.2,0.488,0.1,0.429,9.8,0.488,0.49,3.5,4.5,0.779,2.4,4.8,7.2,1.2,0.8,0.9,1.8,23.3,1983-84,0,0.53,0.26
Terry Cummings,SDC,81.0,35.9,9.1,18.4,0.494,0.0,0.0,9.1,0.495,0.494,4.7,6.5,0.72,4.0,5.6,9.6,1.7,1.1,0.7,2.7,22.9,1983-84,1,0.54,0.27
Purvis Short,GSW,79.0,37.3,9.0,19.1,0.473,0.3,0.306,8.8,0.482,0.48,4.5,5.6,0.793,2.3,3.2,5.5,3.1,1.3,0.1,2.9,22.8,1983-84,0,0.53,0.24
Moses Malone,PHI,71.0,36.8,7.5,15.5,0.483,0.0,0.0,7.5,0.485,0.483,7.7,10.2,0.75,5.0,8.4,13.4,1.4,1.0,1.5,3.5,22.7,1983-84,1,0.57,0.37
Rolando Blackman,DAL,81.0,37.3,8.9,16.3,0.546,0.0,0.091,8.9,0.55,0.547,4.6,5.7,0.812,1.5,3.1,4.6,3.6,0.7,0.5,2.1,22.4,1983-84,0,0.6,0.26
Julius Erving,PHI,77.0,34.8,8.8,17.2,0.512,0.1,0.333,8.7,0.515,0.515,4.7,6.3,0.754,2.5,4.4,6.9,4.0,1.8,1.8,3.0,22.4,1983-84,1,0.56,0.31
World B. Free,CLE,75.0,31.7,8.3,18.8,0.445,0.3,0.319,8.1,0.451,0.453,5.3,6.7,0.784,1.2,1.7,2.9,3.0,1.3,0.1,2.1,22.3,1983-84,0,0.51,0.21
Jeff Ruland,WSB,75.0,41.1,8.0,13.8,0.579,0.0,0.143,8.0,0.582,0.579,6.2,8.5,0.733,3.5,8.8,12.3,3.9,0.9,1.0,4.6,22.2,1983-84,1,0.63,0.37
Eddie Johnson,KCK,82.0,35.6,9.2,18.9,0.485,0.2,0.313,8.9,0.493,0.492,3.3,4.0,0.81,2.0,3.5,5.5,3.6,0.9,0.3,2.6,21.9,1983-84,0,0.53,0.23
Dominique Wilkins,ATL,81.0,36.6,8.4,17.6,0.479,0.0,0.0,8.4,0.482,0.479,4.7,6.1,0.77,3.1,4.0,7.2,1.6,1.4,1.1,2.7,21.6,1983-84,0,0.53,0.24
Kareem Abdul-Jabbar,LAL,80.0,32.8,9.0,15.5,0.578,0.0,0.0,9.0,0.579,0.578,3.6,4.9,0.723,2.1,5.2,7.3,2.6,0.7,1.8,2.8,21.5,1983-84,1,0.61,0.29
Jim Paxson,POR,81.0,33.2,8.4,16.3,0.514,0.2,0.288,8.2,0.525,0.521,4.3,5.1,0.841,0.8,1.3,2.1,3.1,1.5,0.1,1.8,21.3,1983-84,0,0.57,0.22
Isiah Thomas,DET,82.0,36.7,8.2,17.7,0.462,0.3,0.338,7.9,0.468,0.47,4.7,6.5,0.733,1.3,2.7,4.0,11.1,2.5,0.4,3.7,21.3,1983-84,1,0.52,0.3
