Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,Previously_Nominated,TS%,EFF
Michael Jordan,CHI,82.0,37.0,12.1,22.4,0.539,0.4,0.312,11.7,0.551,0.547,7.0,8.2,0.851,1.4,4.6,6.0,5.5,2.7,1.0,2.5,31.5,1990-91,1,0.61,0.4
Karl Malone,UTA,82.0,40.3,10.3,19.6,0.527,0.0,0.286,10.3,0.529,0.528,8.3,10.8,0.77,2.9,8.9,11.8,3.3,1.1,1.0,3.0,29.0,1990-91,1,0.6,0.38
Bernard King,WSB,64.0,37.5,11.1,23.6,0.472,0.1,0.216,11.0,0.478,0.475,6.0,7.6,0.79,1.8,3.2,5.0,4.6,0.9,0.3,4.0,28.4,1990-91,0,0.53,0.33
Charles Barkley,PHI,67.0,37.3,9.9,17.4,0.57,0.7,0.284,9.3,0.614,0.589,7.1,9.8,0.722,3.9,6.3,10.1,4.2,1.6,0.5,3.1,27.6,1990-91,1,0.64,0.46
Patrick Ewing,NYK,81.0,38.3,10.4,20.3,0.514,0.0,0.0,10.4,0.516,0.514,5.7,7.7,0.745,2.4,8.8,11.2,3.0,1.0,3.2,3.6,26.6,1990-91,1,0.56,0.36
Michael Adams,DEN,66.0,35.5,8.5,21.5,0.394,2.5,0.296,6.0,0.459,0.453,7.0,8.0,0.879,0.9,3.0,3.9,10.5,2.2,0.1,3.6,26.5,1990-91,0,0.53,0.39
Dominique Wilkins,ATL,81.0,38.0,9.5,20.2,0.47,1.0,0.341,8.5,0.492,0.495,5.9,7.1,0.829,3.2,5.8,9.0,3.3,1.5,0.8,2.5,25.9,1990-91,0,0.56,0.32
Chris Mullin,GSW,82.0,40.4,9.5,17.7,0.536,0.5,0.301,9.0,0.56,0.55,6.3,7.1,0.884,1.7,3.7,5.4,4.0,2.1,0.8,3.0,25.7,1990-91,0,0.62,0.32
David Robinson,SAS,82.0,37.7,9.2,16.7,0.552,0.0,0.143,9.2,0.554,0.552,7.2,9.5,0.762,4.1,8.9,13.0,2.5,1.5,3.9,3.3,25.6,1990-91,1,0.61,0.41
Orlando Woolridge,DEN,53.0,34.4,9.2,18.5,0.498,0.0,0.0,9.2,0.501,0.498,6.6,8.3,0.797,2.7,4.2,6.8,2.2,1.3,0.4,2.9,25.1,1990-91,0,0.57,0.41
Mitch Richmond,GSW,77.0,39.3,9.1,18.5,0.494,0.5,0.348,8.6,0.506,0.508,5.1,6.0,0.847,1.9,4.0,5.9,3.1,1.6,0.4,3.0,23.9,1990-91,0,0.57,0.28
