Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,Previously_Nominated,TS%,EFF
Kevin Durant,OKC,81.0,38.5,10.5,20.8,0.503,2.4,0.391,8.1,0.549,0.56,8.7,9.9,0.873,0.7,6.7,7.4,5.5,1.3,0.7,3.5,32.0,2013-14,0,0.64,0.39
Carmelo Anthony,NYK,77.0,38.7,9.6,21.3,0.452,2.2,0.402,7.5,0.469,0.503,6.0,7.0,0.848,1.9,6.2,8.1,3.1,1.2,0.7,2.6,27.4,2013-14,0,0.56,0.33
LeBron James,MIA,77.0,37.7,10.0,17.6,0.567,1.5,0.379,8.5,0.622,0.61,5.7,7.6,0.75,1.1,5.9,6.9,6.3,1.6,0.3,3.5,27.1,2013-14,0,0.65,0.38
Kevin Love,MIN,77.0,36.3,8.4,18.5,0.457,2.5,0.376,6.0,0.502,0.524,6.8,8.2,0.821,2.9,9.6,12.5,4.4,0.8,0.5,2.5,26.1,2013-14,0,0.59,0.39
James Harden,HOU,73.0,38.0,7.5,16.5,0.456,2.4,0.366,5.1,0.515,0.529,7.9,9.1,0.866,0.8,3.9,4.7,6.1,1.6,0.4,3.6,25.4,2013-14,0,0.62,0.33
Blake Griffin,LAC,80.0,35.8,9.0,17.0,0.528,0.2,0.273,8.8,0.537,0.533,6.0,8.4,0.715,2.4,7.1,9.5,3.9,1.2,0.6,2.8,24.1,2013-14,0,0.58,0.33
Stephen Curry,GSW,78.0,36.5,8.4,17.7,0.471,3.3,0.424,5.0,0.509,0.566,3.9,4.5,0.885,0.6,3.7,4.3,8.5,1.6,0.2,3.8,24.0,2013-14,0,0.61,0.32
LaMarcus Aldridge,POR,69.0,36.2,9.4,20.6,0.458,0.0,0.2,9.4,0.461,0.459,4.3,5.2,0.822,2.4,8.7,11.1,2.6,0.9,1.0,1.8,23.2,2013-14,0,0.51,0.36
DeMarcus Cousins,SAC,71.0,32.4,8.3,16.8,0.496,0.0,0.0,8.3,0.499,0.496,6.1,8.4,0.726,3.1,8.6,11.7,2.9,1.5,1.3,3.5,22.7,2013-14,0,0.55,0.36
DeMar DeRozan,TOR,79.0,38.2,7.6,17.8,0.429,0.8,0.305,6.8,0.451,0.452,6.6,8.0,0.824,0.6,3.7,4.3,4.0,1.1,0.4,2.2,22.7,2013-14,0,0.53,0.24
Al Jefferson,CHA,73.0,35.0,9.6,18.8,0.509,0.0,0.2,9.5,0.512,0.51,2.6,3.8,0.69,2.1,8.7,10.8,2.1,0.9,1.1,1.7,21.8,2013-14,0,0.53,0.34
Russell Westbrook,OKC,46.0,30.7,7.5,17.2,0.437,1.5,0.318,6.0,0.482,0.48,5.3,6.4,0.826,1.2,4.5,5.7,6.9,1.9,0.2,3.8,21.8,2013-14,0,0.54,0.48
Paul George,IND,80.0,36.2,7.2,17.0,0.424,2.3,0.364,4.9,0.458,0.49,5.0,5.8,0.864,0.8,6.0,6.8,3.5,1.9,0.3,2.8,21.7,2013-14,0,0.55,0.26
Dirk Nowitzki,DAL,80.0,32.9,7.9,15.9,0.497,1.6,0.398,6.3,0.532,0.549,4.2,4.7,0.899,0.5,5.7,6.2,2.7,0.9,0.6,1.5,21.7,2013-14,0,0.6,0.28
Anthony Davis,NOP,67.0,35.2,7.8,15.0,0.519,0.0,0.222,7.8,0.522,0.52,5.2,6.6,0.791,3.1,7.0,10.0,1.6,1.3,2.8,1.6,20.8,2013-14,0,0.58,0.39
Kyrie Irving,CLE,71.0,35.2,7.5,17.4,0.43,1.7,0.358,5.8,0.458,0.48,4.1,4.8,0.861,0.7,2.9,3.6,6.1,1.5,0.3,2.7,20.8,2013-14,0,0.53,0.27
Damian Lillard,POR,82.0,35.8,6.7,15.9,0.424,2.7,0.394,4.1,0.447,0.508,4.5,5.2,0.871,0.4,3.1,3.5,5.6,0.8,0.3,2.4,20.7,2013-14,0,0.57,0.23
Brook Lopez,BRK,17.0,31.4,7.6,13.5,0.563,0.0,0.0,7.6,0.566,0.563,5.5,6.8,0.817,2.3,3.7,6.0,0.9,0.5,1.8,1.6,20.7,2013-14,0,0.63,1.24
Goran Dragić,PHO,76.0,35.1,7.3,14.4,0.505,1.6,0.408,5.7,0.542,0.561,4.2,5.5,0.76,0.9,2.3,3.2,5.9,1.4,0.3,2.8,20.3,2013-14,0,0.6,0.26
Isaiah Thomas,SAC,72.0,34.7,6.9,15.2,0.453,1.8,0.349,5.1,0.504,0.51,4.8,5.7,0.85,0.7,2.3,2.9,6.3,1.3,0.1,3.0,20.3,2013-14,0,0.57,0.26
Rudy Gay,2TM,73.0,34.7,7.4,16.2,0.455,0.9,0.33,6.5,0.481,0.483,4.4,5.3,0.822,1.5,4.4,6.0,2.9,1.3,0.8,3.1,20.0,2013-14,0,0.54,0.25
Ryan Anderson,NOP,22.0,36.1,7.0,16.1,0.438,3.0,0.409,4.0,0.463,0.532,2.7,2.8,0.952,3.0,3.5,6.5,0.8,0.5,0.3,0.9,19.8,2013-14,0,0.57,0.81
John Wall,WAS,82.0,36.3,7.1,16.3,0.433,1.3,0.351,5.7,0.458,0.473,3.9,4.8,0.805,0.5,3.6,4.1,8.8,1.8,0.5,3.6,19.3,2013-14,0,0.52,0.25
Kevin Martin,MIN,68.0,32.0,6.5,15.0,0.43,1.7,0.387,4.8,0.448,0.486,4.5,5.0,0.891,0.5,2.5,3.0,1.8,1.0,0.1,1.6,19.1,2013-14,0,0.56,0.21
Chris Paul,LAC,62.0,35.0,6.5,14.0,0.467,1.3,0.368,5.3,0.498,0.511,4.8,5.6,0.855,0.6,3.7,4.3,10.7,2.5,0.1,2.3,19.1,2013-14,0,0.58,0.42
Monta Ellis,DAL,82.0,36.9,7.0,15.6,0.451,0.8,0.33,6.2,0.474,0.478,4.1,5.2,0.788,0.5,3.1,3.6,5.7,1.7,0.3,3.2,19.0,2013-14,0,0.53,0.21
Dwyane Wade,MIA,54.0,32.9,7.7,14.1,0.545,0.2,0.281,7.5,0.557,0.551,3.5,4.8,0.733,1.1,3.4,4.5,4.7,1.5,0.5,3.0,19.0,2013-14,0,0.59,0.36
Jamal Crawford,LAC,69.0,30.3,6.1,14.7,0.416,2.3,0.361,3.8,0.46,0.496,4.0,4.7,0.866,0.5,1.8,2.3,3.2,0.9,0.2,2.0,18.6,2013-14,0,0.55,0.2
Al Horford,ATL,29.0,33.0,8.2,14.5,0.567,0.1,0.364,8.1,0.572,0.571,2.0,2.9,0.682,2.3,6.1,8.4,2.6,0.9,1.5,2.2,18.6,2013-14,0,0.59,0.78
Klay Thompson,GSW,81.0,35.4,6.9,15.5,0.444,2.8,0.417,4.1,0.464,0.533,1.8,2.3,0.795,0.5,2.6,3.1,2.2,0.9,0.5,1.7,18.4,2013-14,0,0.56,0.18
Dwight Howard,HOU,71.0,33.7,6.7,11.3,0.591,0.0,0.286,6.6,0.594,0.593,4.9,9.0,0.547,3.3,8.9,12.2,1.8,0.8,1.8,3.2,18.3,2013-14,0,0.6,0.32
Arron Afflalo,ORL,73.0,35.0,6.4,13.8,0.459,1.8,0.427,4.6,0.473,0.522,3.8,4.6,0.815,0.4,3.2,3.6,3.4,0.5,0.0,2.0,18.2,2013-14,0,0.58,0.21
David Lee,GSW,69.0,33.2,7.4,14.2,0.523,0.0,0.0,7.4,0.523,0.523,3.3,4.3,0.78,2.6,6.7,9.3,2.1,0.7,0.4,2.2,18.2,2013-14,0,0.57,0.3
Brandon Knight,MIL,72.0,33.3,6.4,15.2,0.422,1.5,0.325,4.9,0.466,0.473,3.6,4.5,0.802,0.6,2.9,3.5,4.9,1.0,0.2,2.6,17.9,2013-14,0,0.52,0.21
Kyle Lowry,TOR,79.0,36.2,5.8,13.7,0.423,2.4,0.38,3.4,0.46,0.511,4.0,4.9,0.813,1.1,3.6,4.7,7.4,1.5,0.2,2.5,17.9,2013-14,0,0.56,0.26
Paul Millsap,ATL,74.0,33.5,6.5,14.1,0.461,1.0,0.358,5.5,0.487,0.498,3.9,5.3,0.731,2.1,6.4,8.5,3.1,1.7,1.1,2.5,17.9,2013-14,0,0.54,0.28
Nick Young,LAL,64.0,28.3,6.0,13.9,0.435,2.1,0.386,3.9,0.468,0.511,3.7,4.5,0.825,0.5,2.1,2.6,1.5,0.7,0.2,1.5,17.9,2013-14,0,0.56,0.2
Thaddeus Young,PHI,79.0,34.4,7.4,16.2,0.454,1.1,0.308,6.2,0.496,0.489,2.1,2.9,0.712,2.1,3.9,6.0,2.3,2.1,0.5,2.1,17.9,2013-14,0,0.51,0.22
Eric Bledsoe,PHO,43.0,32.9,6.2,12.9,0.477,1.2,0.357,5.0,0.517,0.522,4.3,5.5,0.772,0.6,4.1,4.7,5.5,1.6,0.3,3.3,17.7,2013-14,0,0.58,0.43
Kemba Walker,CHA,73.0,35.8,6.2,15.7,0.393,1.5,0.333,4.7,0.417,0.441,3.9,4.6,0.837,0.5,3.7,4.2,6.1,1.2,0.4,2.3,17.7,2013-14,0,0.5,0.23
Ty Lawson,DEN,62.0,35.8,5.6,13.0,0.431,1.2,0.356,4.4,0.455,0.475,5.2,6.5,0.798,0.6,2.8,3.5,8.8,1.6,0.2,3.2,17.6,2013-14,0,0.55,0.32
Nikola Peković,MIN,54.0,30.8,7.0,13.0,0.541,0.0,,7.0,0.541,0.541,3.4,4.6,0.747,3.8,4.9,8.7,0.9,0.6,0.4,1.6,17.5,2013-14,0,0.58,0.36
Pau Gasol,LAL,60.0,31.4,7.1,14.8,0.48,0.1,0.286,7.0,0.483,0.482,3.1,4.2,0.736,2.1,7.6,9.7,3.4,0.5,1.5,2.4,17.4,2013-14,0,0.52,0.35
Zach Randolph,MEM,79.0,34.2,7.1,15.2,0.467,0.0,0.1,7.1,0.474,0.468,3.2,4.3,0.742,3.4,6.7,10.1,2.5,0.7,0.3,2.3,17.4,2013-14,0,0.51,0.25
Mike Conley,MEM,73.0,33.5,6.3,14.1,0.45,1.4,0.361,4.9,0.484,0.5,3.1,3.8,0.815,0.6,2.4,2.9,6.0,1.5,0.2,2.1,17.2,2013-14,0,0.55,0.24
Bradley Beal,WAS,73.0,34.7,6.6,15.7,0.419,1.9,0.402,4.7,0.426,0.479,2.0,2.6,0.788,0.7,3.0,3.7,3.3,1.0,0.2,1.8,17.1,2013-14,0,0.51,0.19
Jeff Green,BOS,82.0,34.2,5.9,14.3,0.412,1.6,0.341,4.2,0.448,0.469,3.5,4.3,0.795,0.7,4.0,4.6,1.7,0.7,0.6,2.0,16.9,2013-14,0,0.52,0.16
Michael Carter-Williams,PHI,70.0,34.5,6.1,15.1,0.405,0.8,0.264,5.3,0.44,0.431,3.7,5.2,0.703,1.4,4.8,6.2,6.3,1.9,0.6,3.5,16.7,2013-14,0,0.48,0.25
Tony Parker,SAS,68.0,29.4,6.7,13.4,0.499,0.4,0.373,6.3,0.509,0.513,2.9,3.6,0.811,0.3,2.0,2.3,5.7,0.5,0.1,2.2,16.7,2013-14,0,0.56,0.23
