Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,MVP_Rank,Nominated
LeBron James,CLE,75.0,40.4,10.6,21.9,0.484,1.5,0.315,9.1,0.531,0.518,7.3,10.3,0.712,1.8,6.1,7.9,7.2,1.8,1.1,3.4,30.0,2007-08,0.57,0.4,,1
Kobe Bryant,LAL,82.0,38.9,9.5,20.6,0.459,1.8,0.361,7.6,0.49,0.503,7.6,9.0,0.84,1.1,5.2,6.3,5.4,1.8,0.5,3.1,28.3,2007-08,0.58,0.33,,1
Allen Iverson,DEN,82.0,41.8,8.7,19.0,0.458,1.2,0.345,7.5,0.482,0.488,7.9,9.7,0.809,0.6,2.4,3.0,7.1,2.0,0.1,3.0,26.4,2007-08,0.57,0.29,,0
Carmelo Anthony,DEN,77.0,36.4,9.5,19.2,0.492,0.8,0.354,8.7,0.509,0.511,6.0,7.7,0.786,2.3,5.1,7.4,3.4,1.3,0.5,3.3,25.7,2007-08,0.57,0.31,,1
Amar'e Stoudemire,PHO,79.0,33.9,9.0,15.3,0.59,0.1,0.161,9.0,0.601,0.592,7.0,8.7,0.805,2.3,6.8,9.1,1.5,0.8,2.1,2.2,25.2,2007-08,0.66,0.36,,1
Dwyane Wade,MIA,51.0,38.3,8.6,18.4,0.469,0.4,0.286,8.2,0.485,0.48,6.9,9.2,0.758,0.9,3.3,4.2,6.9,1.7,0.7,4.4,24.6,2007-08,0.55,0.42,,1
Kevin Martin,SAC,61.0,36.3,6.8,15.0,0.456,1.8,0.402,5.1,0.478,0.515,8.2,9.5,0.869,0.8,3.7,4.5,2.1,1.0,0.1,2.1,23.7,2007-08,0.62,0.32,,0
Dirk Nowitzki,DAL,77.0,36.0,8.2,17.1,0.479,1.0,0.359,7.2,0.504,0.51,6.2,7.1,0.879,1.2,7.3,8.6,3.5,0.7,0.9,2.1,23.6,2007-08,0.58,0.33,,1
Michael Redd,MIL,72.0,37.5,7.6,17.3,0.442,1.8,0.362,5.8,0.475,0.495,5.6,6.8,0.82,1.2,3.1,4.3,3.4,0.9,0.2,2.5,22.7,2007-08,0.56,0.25,,0
Richard Jefferson,NJN,82.0,39.0,7.5,16.2,0.466,0.9,0.362,6.6,0.486,0.495,6.6,8.3,0.798,1.1,3.0,4.2,3.1,0.9,0.3,2.4,22.6,2007-08,0.57,0.22,,0
