Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,MVP_Rank,Nominated
Chris Bosh,TOR,67.0,36.2,7.6,15.3,0.494,0.1,0.4,7.4,0.496,0.499,7.0,8.3,0.844,2.6,6.1,8.7,2.6,0.9,1.0,2.3,22.3,2007-08,0.59,0.36,,1
Corey Maggette,LAC,70.0,35.7,6.5,14.3,0.458,1.1,0.384,5.4,0.477,0.497,7.9,9.7,0.812,1.1,4.5,5.6,2.7,1.0,0.1,2.8,22.1,2007-08,0.6,0.27,,0
Yao Ming,HOU,55.0,37.2,7.9,15.5,0.507,0.0,0.0,7.9,0.508,0.507,6.3,7.4,0.85,3.1,7.7,10.8,2.3,0.5,2.0,3.3,22.0,2007-08,0.59,0.47,,0
Baron Davis,GSW,82.0,39.0,7.9,18.6,0.426,2.1,0.33,5.8,0.477,0.483,3.9,5.2,0.75,1.2,3.5,4.7,7.6,2.3,0.5,2.8,21.8,2007-08,0.52,0.27,,1
Jason Richardson,CHA,82.0,38.4,7.9,17.9,0.441,3.0,0.406,4.9,0.466,0.524,3.0,4.0,0.752,1.0,4.4,5.4,3.1,1.4,0.7,2.0,21.8,2007-08,0.55,0.24,,0
Joe Johnson,ATL,82.0,40.8,7.9,18.3,0.432,2.1,0.381,5.8,0.454,0.489,3.9,4.6,0.834,1.0,3.5,4.5,5.8,1.0,0.2,2.7,21.7,2007-08,0.53,0.24,,0
Tracy McGrady,HOU,66.0,37.0,8.3,19.8,0.419,1.3,0.292,7.0,0.457,0.452,3.7,5.4,0.684,0.6,4.5,5.1,5.9,1.0,0.5,2.4,21.6,2007-08,0.49,0.28,,1
Antawn Jamison,WAS,79.0,38.7,7.8,17.9,0.436,1.5,0.339,6.3,0.468,0.478,4.2,5.5,0.76,2.7,7.5,10.2,1.5,1.3,0.4,1.4,21.4,2007-08,0.53,0.28,,0
Vince Carter,NJN,76.0,38.9,7.7,16.9,0.456,1.3,0.359,6.4,0.482,0.494,4.6,5.6,0.816,1.5,4.5,6.0,5.1,1.2,0.4,2.4,21.3,2007-08,0.55,0.28,,0
Carlos Boozer,UTA,81.0,34.9,8.8,16.0,0.547,0.0,0.0,8.8,0.547,0.547,3.6,4.9,0.738,2.4,8.0,10.4,2.9,1.2,0.5,2.6,21.1,2007-08,0.58,0.31,,1
Chris Paul,NOH,80.0,37.6,7.9,16.1,0.488,1.2,0.369,6.7,0.516,0.524,4.2,4.9,0.851,0.8,3.2,4.0,11.6,2.7,0.1,2.5,21.1,2007-08,0.58,0.35,,0
Al Jefferson,MIN,82.0,35.6,8.8,17.6,0.5,0.0,0.0,8.8,0.502,0.5,3.5,4.8,0.721,3.8,7.4,11.1,1.4,0.9,1.5,2.0,21.0,2007-08,0.53,0.29,,0
Dwight Howard,ORL,82.0,37.7,7.1,11.9,0.599,0.0,0.0,7.1,0.601,0.599,6.5,10.9,0.59,3.4,10.8,14.2,1.3,0.9,2.1,3.2,20.7,2007-08,0.62,0.33,,0
Jamal Crawford,NYK,80.0,39.9,7.1,17.4,0.41,2.2,0.356,4.9,0.439,0.473,4.1,4.8,0.864,0.5,2.1,2.6,5.0,1.0,0.2,2.4,20.6,2007-08,0.53,0.2,,0
David West,NOH,76.0,37.8,8.3,17.2,0.482,0.1,0.24,8.2,0.487,0.484,3.9,4.6,0.85,2.4,6.5,8.9,2.3,0.8,1.3,2.2,20.6,2007-08,0.54,0.29,,0
Metta World Peace,SAC,57.0,38.1,7.6,16.9,0.453,1.5,0.38,6.2,0.475,0.497,3.7,5.2,0.719,1.8,4.0,5.8,3.5,2.3,0.7,2.6,20.5,2007-08,0.53,0.34,,0
Caron Butler,WAS,58.0,39.9,7.6,16.3,0.466,1.1,0.357,6.4,0.492,0.501,4.1,4.5,0.901,1.6,5.1,6.7,4.9,2.2,0.3,2.6,20.3,2007-08,0.56,0.39,,0
Kevin Durant,SEA,80.0,34.6,7.3,17.1,0.43,0.7,0.288,6.6,0.455,0.451,4.9,5.6,0.873,0.9,3.5,4.4,2.4,1.0,0.9,2.9,20.3,2007-08,0.52,0.2,,0
Monta Ellis,GSW,81.0,37.9,8.0,15.1,0.531,0.1,0.231,7.9,0.545,0.536,4.0,5.1,0.767,1.6,3.3,5.0,3.9,1.5,0.3,2.1,20.2,2007-08,0.58,0.25,,0
Rudy Gay,MEM,81.0,37.0,7.7,16.7,0.461,1.7,0.346,6.1,0.507,0.511,3.1,3.9,0.785,1.7,4.4,6.2,2.0,1.4,1.0,2.3,20.1,2007-08,0.55,0.23,,0
Stephen Jackson,GSW,73.0,39.1,6.7,16.5,0.405,2.5,0.363,4.2,0.435,0.481,4.2,5.1,0.832,0.9,3.4,4.4,4.1,1.3,0.4,2.7,20.1,2007-08,0.54,0.23,,0
Josh Howard,DAL,76.0,36.3,7.5,16.4,0.455,0.9,0.319,6.6,0.482,0.482,4.1,5.1,0.813,1.6,5.4,7.0,2.2,0.8,0.4,1.5,19.9,2007-08,0.53,0.25,,0
Andre Iguodala,PHI,82.0,39.5,7.1,15.6,0.456,1.2,0.329,5.9,0.496,0.495,4.5,6.2,0.721,1.0,4.4,5.4,4.8,2.1,0.6,2.6,19.9,2007-08,0.54,0.24,,0
Danny Granger,IND,80.0,36.0,6.7,15.1,0.446,2.1,0.404,4.6,0.468,0.517,4.0,4.7,0.852,1.2,4.9,6.1,2.1,1.2,1.1,2.1,19.6,2007-08,0.57,0.24,,0
Paul Pierce,BOS,80.0,35.9,6.4,13.7,0.464,1.8,0.392,4.6,0.499,0.529,5.1,6.1,0.843,0.7,4.5,5.1,4.5,1.3,0.5,2.8,19.6,2007-08,0.6,0.25,,0
Manu Ginóbili,SAS,74.0,31.1,6.1,13.3,0.46,2.1,0.401,4.0,0.499,0.54,5.1,6.0,0.86,0.9,3.9,4.8,4.5,1.5,0.4,2.7,19.5,2007-08,0.61,0.27,,0
Hedo Türkoğlu,ORL,82.0,36.9,6.8,14.9,0.456,2.0,0.4,4.8,0.485,0.524,4.0,4.8,0.829,1.0,4.7,5.7,5.0,0.9,0.3,3.0,19.5,2007-08,0.57,0.24,,0
Gilbert Arenas,WAS,13.0,32.7,6.0,15.1,0.398,1.7,0.282,4.3,0.475,0.454,5.7,7.4,0.771,0.5,3.5,3.9,5.1,1.8,0.1,3.8,19.4,2007-08,0.53,1.21,,1
Gerald Wallace,CHA,62.0,38.3,6.6,14.6,0.449,1.1,0.321,5.4,0.491,0.488,5.0,6.9,0.731,0.9,5.1,6.0,3.5,2.1,0.9,2.9,19.4,2007-08,0.55,0.31,,0
Tim Duncan,SAS,78.0,34.0,7.5,15.1,0.497,0.0,0.0,7.5,0.498,0.497,4.3,5.9,0.73,3.0,8.3,11.3,2.8,0.7,1.9,2.3,19.3,2007-08,0.55,0.31,,1
Mike Dunleavy,IND,82.0,36.0,6.5,13.6,0.476,2.0,0.424,4.5,0.504,0.55,4.1,4.9,0.834,0.7,4.5,5.2,3.5,1.0,0.4,2.3,19.1,2007-08,0.61,0.23,,0
Brandon Roy,POR,74.0,37.7,7.2,15.8,0.454,1.0,0.34,6.2,0.48,0.485,3.8,5.0,0.753,1.1,3.6,4.7,5.8,1.1,0.2,1.8,19.1,2007-08,0.53,0.26,,0
Pau Gasol,2TM,66.0,35.6,7.2,13.5,0.534,0.1,0.25,7.1,0.539,0.536,4.4,5.5,0.807,2.3,6.0,8.4,3.2,0.5,1.5,1.9,18.9,2007-08,0.59,0.35,,0
Kevin Garnett,BOS,71.0,32.8,7.5,13.9,0.539,0.0,0.0,7.5,0.545,0.539,3.8,4.7,0.801,1.9,7.3,9.2,3.4,1.4,1.3,1.9,18.8,2007-08,0.59,0.35,,1
Tony Parker,SAS,69.0,33.5,7.5,15.1,0.494,0.2,0.258,7.2,0.51,0.502,3.6,5.0,0.715,0.4,2.8,3.2,6.0,0.8,0.1,2.4,18.8,2007-08,0.54,0.25,,1
Deron Williams,UTA,82.0,37.3,6.9,13.6,0.507,1.0,0.395,5.9,0.533,0.544,4.0,5.0,0.803,0.4,2.5,3.0,10.5,1.1,0.3,3.4,18.8,2007-08,0.59,0.28,,0
Ben Gordon,CHI,72.0,31.8,6.4,14.8,0.434,2.0,0.41,4.5,0.445,0.5,3.7,4.1,0.908,0.6,2.5,3.1,3.0,0.8,0.1,2.1,18.6,2007-08,0.56,0.2,,0
Rashard Lewis,ORL,81.0,38.0,6.4,14.0,0.455,2.8,0.409,3.6,0.498,0.554,2.7,3.2,0.838,1.2,4.2,5.4,2.4,1.2,0.5,1.7,18.2,2007-08,0.59,0.22,,0
LaMarcus Aldridge,POR,76.0,34.9,7.4,15.3,0.484,0.0,0.143,7.4,0.486,0.484,3.0,3.9,0.762,2.9,4.7,7.6,1.6,0.7,1.2,1.7,17.8,2007-08,0.52,0.24,,0
Elton Brand,LAC,8.0,34.3,6.5,14.3,0.456,0.0,,6.5,0.456,0.456,4.6,5.9,0.787,2.6,5.4,8.0,2.0,0.4,1.9,2.1,17.6,2007-08,0.52,2.34,,0
Zach Randolph,NYK,69.0,32.5,7.0,15.3,0.459,0.3,0.275,6.7,0.474,0.47,3.2,4.2,0.772,2.7,7.6,10.3,2.0,0.9,0.2,2.7,17.6,2007-08,0.51,0.28,,0
Ray Allen,BOS,73.0,35.9,6.0,13.5,0.445,2.5,0.398,3.5,0.485,0.537,2.9,3.2,0.907,1.0,2.6,3.7,3.1,0.9,0.2,1.7,17.4,2007-08,0.58,0.22,,0
Richard Hamilton,DET,72.0,33.7,6.9,14.3,0.484,0.9,0.44,6.1,0.492,0.515,2.6,3.1,0.833,1.0,2.2,3.3,4.2,1.0,0.1,1.8,17.3,2007-08,0.55,0.22,,0
Josh Smith,ATL,81.0,35.5,6.4,14.0,0.457,0.3,0.253,6.1,0.477,0.468,4.1,5.8,0.71,2.0,6.2,8.2,3.4,1.5,2.8,3.0,17.2,2007-08,0.52,0.26,,0
Mo Williams,MIL,66.0,36.5,6.7,13.9,0.48,1.3,0.385,5.3,0.512,0.528,2.5,2.9,0.856,0.6,2.9,3.5,6.3,1.2,0.2,2.8,17.2,2007-08,0.57,0.27,,0
Chauncey Billups,DET,78.0,32.3,5.0,11.2,0.448,1.8,0.401,3.3,0.479,0.526,5.1,5.6,0.918,0.5,2.2,2.7,6.8,1.3,0.2,2.1,17.0,2007-08,0.62,0.25,,1
Luol Deng,CHI,63.0,33.8,6.8,14.2,0.479,0.1,0.364,6.7,0.482,0.483,3.2,4.2,0.77,2.2,4.1,6.3,2.5,0.9,0.5,1.9,17.0,2007-08,0.53,0.27,,0
Andre Miller,PHI,82.0,36.8,6.9,14.1,0.492,0.0,0.088,6.9,0.504,0.494,3.1,4.1,0.772,1.2,2.8,4.0,6.9,1.3,0.1,2.5,17.0,2007-08,0.53,0.23,,0
Steve Nash,PHO,81.0,34.3,6.0,11.9,0.504,2.2,0.47,3.8,0.527,0.597,2.7,3.0,0.906,0.3,3.1,3.5,11.1,0.7,0.1,3.6,16.9,2007-08,0.64,0.28,,1
Mike Miller,MEM,70.0,35.3,5.9,11.8,0.502,2.2,0.432,3.7,0.557,0.596,2.3,3.0,0.774,0.7,5.9,6.7,3.4,0.5,0.2,2.6,16.4,2007-08,0.62,0.26,,0
Peja Stojaković,NOH,77.0,35.2,5.9,13.3,0.44,3.0,0.441,2.9,0.438,0.552,1.7,1.8,0.929,0.8,3.5,4.3,1.2,0.7,0.1,0.8,16.4,2007-08,0.58,0.19,,0
Chris Kaman,LAC,56.0,37.2,6.0,12.5,0.483,0.0,0.0,6.0,0.486,0.483,3.6,4.7,0.762,3.1,9.6,12.7,1.9,0.6,2.8,2.9,15.7,2007-08,0.54,0.41,,0
Leandro Barbosa,PHO,82.0,29.5,5.8,12.5,0.462,2.0,0.389,3.8,0.514,0.543,2.1,2.6,0.822,0.5,2.3,2.8,2.6,0.9,0.2,1.4,15.6,2007-08,0.57,0.16,,0
Jason Terry,DAL,82.0,31.5,5.7,12.3,0.467,1.7,0.375,4.1,0.519,0.535,2.3,2.7,0.857,0.4,2.2,2.5,3.2,1.1,0.2,1.1,15.5,2007-08,0.57,0.18,,0
Shawn Marion,2TM,63.0,36.7,6.3,12.5,0.508,1.0,0.333,5.3,0.567,0.55,1.7,2.4,0.707,2.2,8.0,10.2,2.2,2.0,1.3,1.4,15.4,2007-08,0.57,0.36,,0
Rashad McCants,MIN,75.0,26.9,5.7,12.6,0.453,1.9,0.407,3.8,0.481,0.529,1.5,2.1,0.748,0.7,2.1,2.7,2.2,0.9,0.2,2.3,14.9,2007-08,0.55,0.15,,0
Devin Harris,2TM,64.0,31.6,5.0,10.8,0.463,0.9,0.335,4.1,0.504,0.504,3.9,4.7,0.824,0.4,2.3,2.7,5.8,1.4,0.2,2.5,14.8,2007-08,0.58,0.25,,0
Marvin Williams,ATL,80.0,34.6,5.3,11.5,0.462,0.0,0.1,5.3,0.466,0.462,4.2,5.1,0.822,1.5,4.2,5.7,1.7,1.0,0.4,1.6,14.8,2007-08,0.54,0.19,,0
Mehmet Okur,UTA,72.0,33.2,5.2,11.7,0.445,1.6,0.388,3.6,0.475,0.512,2.6,3.2,0.804,1.8,5.9,7.7,2.0,0.8,0.4,1.4,14.5,2007-08,0.55,0.23,,0
Raymond Felton,CHA,79.0,37.6,5.2,12.6,0.413,0.7,0.28,4.5,0.447,0.441,3.3,4.1,0.8,0.5,2.5,3.0,7.4,1.2,0.2,2.7,14.4,2007-08,0.5,0.19,,0
Andrew Bogut,MIL,78.0,34.9,6.0,11.7,0.511,0.0,0.0,6.0,0.515,0.511,2.4,4.1,0.587,3.1,6.6,9.8,2.6,0.8,1.7,2.2,14.3,2007-08,0.53,0.25,,0
Lamar Odom,LAL,77.0,37.9,5.4,10.3,0.525,0.4,0.274,5.0,0.566,0.544,3.0,4.3,0.698,2.6,8.1,10.6,3.5,1.0,0.9,2.0,14.2,2007-08,0.58,0.29,,0
Zydrunas Ilgauskas,CLE,73.0,30.4,5.7,12.0,0.474,0.0,0.0,5.7,0.475,0.474,2.7,3.3,0.802,3.6,5.7,9.3,1.4,0.5,1.6,1.8,14.1,2007-08,0.52,0.25,,0
Mike Bibby,2TM,48.0,32.8,5.2,12.6,0.411,1.9,0.375,3.2,0.437,0.488,1.6,2.1,0.78,0.3,3.0,3.3,6.0,1.1,0.1,2.5,13.9,2007-08,0.51,0.29,,0
Stephon Marbury,NYK,24.0,33.5,4.6,11.0,0.419,1.2,0.378,3.5,0.435,0.472,3.5,4.8,0.716,0.7,1.8,2.5,4.7,0.9,0.1,2.0,13.9,2007-08,0.53,0.52,,0
Ricky Davis,MIA,82.0,36.1,5.1,11.8,0.433,1.6,0.405,3.5,0.447,0.502,1.9,2.4,0.787,0.7,3.6,4.3,3.4,1.1,0.2,2.3,13.8,2007-08,0.54,0.16,,0
Emeka Okafor,CHA,82.0,33.1,5.6,10.5,0.535,0.0,,5.6,0.535,0.535,2.6,4.6,0.57,3.1,7.6,10.7,0.9,0.8,1.7,2.0,13.8,2007-08,0.55,0.23,,0
Shaquille O'Neal,2TM,61.0,28.7,5.4,9.1,0.593,0.0,,5.4,0.593,0.593,2.8,5.5,0.503,2.7,6.4,9.1,1.5,0.5,1.4,3.0,13.6,2007-08,0.59,0.27,,1
Al Harrington,GSW,81.0,27.0,5.0,11.4,0.434,1.9,0.375,3.1,0.482,0.517,1.8,2.3,0.774,1.3,4.1,5.4,1.6,0.9,0.2,1.1,13.6,2007-08,0.55,0.17,,0
Jermaine O'Neal,IND,42.0,28.7,5.4,12.2,0.439,0.0,0.0,5.4,0.444,0.439,2.9,3.9,0.742,2.0,4.8,6.7,2.2,0.5,2.1,2.5,13.6,2007-08,0.49,0.35,,0
Brad Miller,SAC,72.0,34.9,4.7,10.1,0.463,0.4,0.311,4.3,0.484,0.482,3.6,4.3,0.848,2.3,7.1,9.5,3.7,1.0,1.0,2.3,13.4,2007-08,0.56,0.28,,0
Chris Wilcox,SEA,62.0,28.0,5.4,10.3,0.524,0.0,0.0,5.4,0.526,0.524,2.6,4.0,0.645,2.0,5.0,7.0,1.2,0.7,0.6,1.7,13.4,2007-08,0.56,0.24,,0
Travis Outlaw,POR,82.0,26.7,5.1,11.8,0.433,0.5,0.396,4.6,0.437,0.453,2.7,3.6,0.741,1.2,3.4,4.6,1.3,0.7,0.8,1.3,13.3,2007-08,0.5,0.14,,0
Eddy Curry,NYK,59.0,25.9,5.0,9.2,0.546,0.0,,5.0,0.546,0.546,3.2,5.1,0.623,1.9,2.8,4.7,0.5,0.2,0.5,2.1,13.2,2007-08,0.58,0.18,,0
Andrés Nocioni,CHI,82.0,24.6,4.6,10.7,0.432,1.5,0.364,3.1,0.476,0.504,2.4,3.0,0.807,0.6,3.6,4.2,1.2,0.3,0.5,1.6,13.2,2007-08,0.55,0.14,,0
Tayshaun Prince,DET,82.0,32.9,5.1,11.5,0.448,0.6,0.363,4.5,0.463,0.476,2.3,2.9,0.768,1.3,3.5,4.9,3.3,0.5,0.4,1.1,13.2,2007-08,0.52,0.17,,0
Rafer Alston,HOU,74.0,34.1,4.9,12.5,0.394,1.9,0.351,3.0,0.427,0.471,1.3,1.9,0.715,0.4,3.1,3.5,5.3,1.3,0.2,2.2,13.1,2007-08,0.49,0.18,,0
Andrew Bynum,LAL,35.0,28.8,5.4,8.5,0.636,0.0,,5.4,0.636,0.636,2.3,3.4,0.695,3.0,7.2,10.2,1.7,0.3,2.1,1.5,13.1,2007-08,0.66,0.62,,0
Randy Foye,MIN,39.0,32.3,5.1,11.8,0.429,1.6,0.412,3.5,0.436,0.495,1.4,1.7,0.815,0.3,2.9,3.3,4.2,0.9,0.1,2.0,13.1,2007-08,0.52,0.32,,0
Grant Hill,PHO,70.0,31.7,5.1,10.2,0.503,0.5,0.317,4.6,0.535,0.526,2.4,2.8,0.867,1.1,4.0,5.0,2.9,0.9,0.8,1.4,13.1,2007-08,0.57,0.23,,0
Cuttino Mobley,LAC,77.0,35.1,4.9,11.3,0.433,0.9,0.349,4.0,0.457,0.472,2.1,2.6,0.819,0.6,2.9,3.6,2.6,1.0,0.4,1.6,12.8,2007-08,0.51,0.15,,0
Beno Udrih,SAC,65.0,32.0,5.0,10.9,0.463,0.8,0.387,4.2,0.482,0.501,1.9,2.3,0.85,0.5,2.8,3.3,4.3,0.9,0.2,2.3,12.8,2007-08,0.54,0.2,,0
Nate Robinson,NYK,72.0,26.2,4.6,10.9,0.423,1.3,0.332,3.3,0.478,0.485,2.1,2.7,0.786,0.7,2.4,3.1,2.9,0.8,0.0,1.4,12.7,2007-08,0.53,0.16,,0
Al Thornton,LAC,79.0,27.3,4.7,11.0,0.429,0.5,0.331,4.2,0.447,0.454,2.7,3.6,0.743,1.2,3.3,4.5,1.2,0.6,0.5,1.6,12.7,2007-08,0.5,0.14,,0
Rasheed Wallace,DET,77.0,30.5,4.9,11.3,0.432,1.5,0.356,3.4,0.476,0.497,1.5,1.9,0.767,1.1,5.5,6.6,1.8,1.2,1.7,1.1,12.7,2007-08,0.52,0.21,,0
Ryan Gomes,MIN,82.0,29.7,4.8,10.5,0.457,0.7,0.33,4.1,0.491,0.492,2.3,2.8,0.83,1.6,4.2,5.8,1.8,0.8,0.1,1.2,12.6,2007-08,0.54,0.17,,0
Anthony Parker,TOR,82.0,32.1,4.8,10.1,0.476,1.6,0.438,3.2,0.499,0.557,1.2,1.5,0.816,0.6,3.5,4.1,2.2,1.0,0.2,1.1,12.5,2007-08,0.58,0.16,,0
John Salmons,SAC,81.0,31.1,4.7,9.9,0.477,0.5,0.325,4.2,0.504,0.501,2.6,3.2,0.823,0.9,3.4,4.3,2.6,1.1,0.4,2.1,12.5,2007-08,0.55,0.16,,0
Willie Green,PHI,74.0,26.6,5.1,11.8,0.436,0.7,0.285,4.4,0.475,0.465,1.5,2.0,0.757,0.4,2.0,2.5,2.0,0.7,0.3,1.5,12.4,2007-08,0.49,0.12,,0
Kenyon Martin,DEN,71.0,30.4,5.3,9.8,0.538,0.0,0.182,5.3,0.544,0.539,1.7,3.0,0.58,1.5,5.0,6.5,1.3,1.2,1.2,1.3,12.4,2007-08,0.56,0.22,,0
Tim Thomas,LAC,63.0,30.8,4.6,11.2,0.413,1.3,0.306,3.3,0.479,0.472,1.8,2.4,0.752,1.0,4.1,5.1,2.7,0.6,0.5,1.6,12.4,2007-08,0.51,0.2,,0
Francisco García,SAC,79.0,26.5,4.4,9.5,0.463,1.4,0.391,3.0,0.508,0.538,2.1,2.6,0.779,0.7,2.7,3.3,1.6,1.2,0.6,1.6,12.3,2007-08,0.58,0.15,,0
J.R. Smith,DEN,74.0,19.2,4.2,9.1,0.461,2.1,0.403,2.1,0.542,0.578,1.7,2.4,0.719,0.6,1.5,2.1,1.7,0.8,0.2,1.5,12.3,2007-08,0.61,0.14,,0
Larry Hughes,2TM,68.0,29.7,4.5,11.8,0.381,1.0,0.345,3.5,0.392,0.423,2.2,2.8,0.798,0.6,2.8,3.4,2.7,1.5,0.3,1.7,12.2,2007-08,0.47,0.15,,0
Troy Murphy,IND,75.0,28.1,4.2,9.2,0.455,1.3,0.398,2.9,0.484,0.522,2.6,3.2,0.797,1.4,5.8,7.2,2.2,0.7,0.4,1.3,12.2,2007-08,0.58,0.21,,0
T.J. Ford,TOR,51.0,23.5,4.8,10.3,0.469,0.3,0.294,4.5,0.488,0.484,2.2,2.5,0.88,0.5,1.5,2.0,6.1,1.1,0.0,2.0,12.1,2007-08,0.53,0.26,,0
Drew Gooden,2TM,69.0,30.8,4.8,10.7,0.449,0.0,0.0,4.8,0.452,0.449,2.3,3.1,0.753,2.5,6.0,8.6,1.2,0.7,0.8,1.8,12.0,2007-08,0.5,0.21,,0
Ronnie Brewer,UTA,76.0,27.5,4.7,8.3,0.558,0.1,0.22,4.5,0.587,0.567,2.6,3.4,0.759,1.3,1.6,2.9,1.8,1.7,0.3,0.9,12.0,2007-08,0.61,0.18,,0
Udonis Haslem,MIA,49.0,36.8,4.8,10.3,0.467,0.0,,4.8,0.467,0.467,2.3,2.9,0.81,2.2,6.9,9.0,1.4,0.8,0.4,1.4,12.0,2007-08,0.52,0.33,,0
Raja Bell,PHO,75.0,35.3,4.2,10.0,0.421,2.3,0.401,1.9,0.449,0.538,1.1,1.2,0.868,0.6,3.0,3.7,2.2,0.7,0.4,0.9,11.9,2007-08,0.57,0.16,,0
Jamaal Tinsley,IND,39.0,33.2,4.5,11.9,0.38,1.0,0.284,3.5,0.422,0.423,1.8,2.6,0.72,0.6,3.0,3.6,8.4,1.7,0.3,3.3,11.9,2007-08,0.46,0.37,,0
Tyson Chandler,NOH,79.0,35.2,4.8,7.7,0.623,0.0,0.0,4.8,0.624,0.623,2.2,3.7,0.593,4.1,7.7,11.7,1.0,0.6,1.1,1.7,11.8,2007-08,0.63,0.25,,0
Josh Childress,ATL,76.0,29.9,4.3,7.5,0.571,0.3,0.367,4.0,0.595,0.59,2.9,3.6,0.807,2.3,2.6,4.9,1.5,0.9,0.6,1.3,11.8,2007-08,0.65,0.19,,0
Derek Fisher,LAL,82.0,27.4,4.1,9.5,0.436,1.4,0.406,2.8,0.453,0.508,2.0,2.3,0.883,0.3,1.8,2.1,2.9,1.0,0.0,1.1,11.7,2007-08,0.56,0.13,,0
Charlie Villanueva,MIL,76.0,24.1,4.7,10.7,0.435,0.7,0.297,3.9,0.475,0.469,1.6,2.1,0.783,1.9,4.2,6.1,1.0,0.4,0.5,1.4,11.7,2007-08,0.5,0.16,,0
Wally Szczerbiak,2TM,75.0,23.1,4.1,9.6,0.431,1.2,0.413,2.9,0.438,0.493,2.0,2.3,0.851,0.5,2.4,2.9,1.4,0.3,0.2,1.0,11.5,2007-08,0.54,0.13,,0
Kirk Hinrich,CHI,75.0,31.7,4.4,10.6,0.414,1.1,0.35,3.3,0.442,0.467,1.6,1.9,0.831,0.4,2.9,3.3,6.0,1.2,0.3,2.1,11.5,2007-08,0.5,0.18,,0
Lou Williams,PHI,80.0,23.3,4.0,9.4,0.424,0.7,0.359,3.3,0.441,0.461,2.8,3.6,0.783,0.5,1.6,2.1,3.2,1.0,0.2,1.6,11.5,2007-08,0.52,0.13,,0
Hakim Warrick,MEM,75.0,23.4,4.4,8.7,0.502,0.2,0.271,4.2,0.521,0.512,2.4,3.5,0.704,1.6,3.1,4.7,0.7,0.5,0.4,1.1,11.4,2007-08,0.56,0.15,,0
Sam Cassell,2TM,55.0,23.2,4.2,9.7,0.438,0.4,0.303,3.8,0.461,0.46,2.3,2.6,0.882,0.3,2.2,2.5,3.9,0.7,0.1,1.8,11.2,2007-08,0.52,0.2,,0
José Calderón,TOR,82.0,30.3,4.5,8.6,0.519,1.0,0.429,3.5,0.551,0.575,1.3,1.5,0.908,0.4,2.5,2.9,8.3,1.1,0.1,1.5,11.2,2007-08,0.6,0.22,,0
DeShawn Stevenson,WAS,82.0,31.3,3.7,9.5,0.386,1.9,0.383,1.7,0.39,0.487,1.9,2.4,0.797,0.5,2.4,2.9,3.1,0.8,0.2,1.2,11.2,2007-08,0.53,0.13,,0
