Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,Previously_Nominated,TS%,EFF
Russell Westbrook,OKC,67.0,34.4,9.4,22.0,0.426,1.3,0.299,8.1,0.457,0.455,8.1,9.8,0.835,1.9,5.4,7.3,8.6,2.1,0.2,4.4,28.1,2014-15,0,0.53,0.41
James Harden,HOU,81.0,36.8,8.0,18.1,0.44,2.6,0.375,5.4,0.48,0.511,8.8,10.2,0.868,0.9,4.7,5.7,7.0,1.9,0.7,4.0,27.4,2014-15,0,0.61,0.34
Kevin Durant,OKC,27.0,33.8,8.8,17.3,0.51,2.4,0.403,6.4,0.565,0.578,5.4,6.3,0.854,0.6,6.0,6.6,4.1,0.9,0.9,2.7,25.4,2014-15,0,0.63,0.96
LeBron James,CLE,69.0,36.1,9.0,18.5,0.488,1.7,0.354,7.3,0.536,0.535,5.4,7.7,0.71,0.7,5.3,6.0,7.4,1.6,0.7,3.9,25.3,2014-15,0,0.58,0.37
Anthony Davis,NOP,68.0,36.1,9.4,17.6,0.535,0.0,0.083,9.4,0.54,0.536,5.5,6.8,0.805,2.5,7.7,10.2,2.2,1.5,2.9,1.4,24.4,2014-15,0,0.59,0.45
Carmelo Anthony,NYK,40.0,35.7,9.0,20.2,0.444,1.5,0.341,7.4,0.474,0.482,4.7,5.9,0.797,1.8,4.8,6.6,3.1,1.0,0.4,2.2,24.2,2014-15,0,0.53,0.52
DeMarcus Cousins,SAC,59.0,34.1,8.4,18.1,0.467,0.0,0.25,8.4,0.469,0.468,7.2,9.2,0.782,3.1,9.5,12.7,3.6,1.5,1.7,4.3,24.1,2014-15,0,0.54,0.47
Stephen Curry,GSW,80.0,32.7,8.2,16.8,0.487,3.6,0.443,4.6,0.528,0.594,3.9,4.2,0.914,0.7,3.6,4.3,7.7,2.0,0.2,3.1,23.8,2014-15,0,0.64,0.33
LaMarcus Aldridge,POR,71.0,35.4,9.3,19.9,0.466,0.5,0.352,8.8,0.475,0.479,4.3,5.1,0.845,2.5,7.7,10.2,1.7,0.7,1.0,1.7,23.4,2014-15,0,0.53,0.34
Kobe Bryant,LAL,35.0,34.5,7.6,20.4,0.373,1.5,0.293,6.1,0.401,0.411,5.6,6.9,0.813,0.7,4.9,5.7,5.6,1.3,0.2,3.7,22.3,2014-15,0,0.48,0.49
Blake Griffin,LAC,67.0,35.2,8.6,17.1,0.502,0.1,0.4,8.4,0.504,0.506,4.6,6.4,0.728,1.9,5.7,7.6,5.3,0.9,0.5,2.3,21.9,2014-15,0,0.55,0.35
Kyrie Irving,CLE,75.0,36.4,7.7,16.5,0.468,2.1,0.415,5.6,0.491,0.532,4.2,4.9,0.863,0.7,2.4,3.2,5.2,1.5,0.3,2.5,21.7,2014-15,0,0.58,0.27
Klay Thompson,GSW,77.0,31.9,7.8,16.9,0.463,3.1,0.439,4.7,0.481,0.555,2.9,3.3,0.879,0.4,2.9,3.2,2.9,1.1,0.8,1.9,21.7,2014-15,0,0.59,0.24
Dwyane Wade,MIA,62.0,31.8,8.2,17.5,0.47,0.5,0.284,7.7,0.489,0.483,4.6,6.0,0.768,0.9,2.6,3.5,4.8,1.2,0.3,3.4,21.5,2014-15,0,0.53,0.28
Chris Bosh,MIA,44.0,35.4,7.8,16.9,0.46,1.4,0.375,6.4,0.485,0.503,4.1,5.3,0.772,1.0,6.0,7.0,2.2,0.9,0.6,2.2,21.1,2014-15,0,0.55,0.44
Rudy Gay,SAC,68.0,35.4,7.5,16.4,0.455,1.2,0.359,6.3,0.479,0.491,5.0,5.8,0.858,1.4,4.4,5.9,3.7,1.0,0.6,2.7,21.1,2014-15,0,0.56,0.29
Damian Lillard,POR,82.0,35.7,7.2,16.6,0.434,2.4,0.343,4.8,0.5,0.506,4.2,4.9,0.864,0.6,4.0,4.6,6.2,1.2,0.3,2.7,21.0,2014-15,0,0.56,0.25
DeMar DeRozan,TOR,60.0,35.0,6.8,16.5,0.413,0.4,0.284,6.4,0.426,0.426,6.0,7.2,0.832,0.7,3.9,4.6,3.5,1.2,0.2,2.3,20.1,2014-15,0,0.51,0.27
Jimmy Butler,CHI,65.0,38.7,6.5,14.0,0.462,1.1,0.378,5.4,0.484,0.502,5.9,7.1,0.834,1.8,4.1,5.8,3.3,1.8,0.6,1.4,20.0,2014-15,0,0.58,0.33
Kevin Martin,MIN,39.0,33.4,6.8,16.0,0.427,1.9,0.393,4.9,0.442,0.487,4.4,4.9,0.881,0.5,3.2,3.6,2.3,0.8,0.0,1.9,20.0,2014-15,0,0.55,0.39
Gordon Hayward,UTA,76.0,34.4,6.4,14.3,0.445,1.6,0.364,4.8,0.481,0.5,4.9,6.1,0.812,0.7,4.2,4.9,4.1,1.4,0.4,2.7,19.3,2014-15,0,0.57,0.24
Nikola Vučević,ORL,74.0,34.2,8.5,16.3,0.523,0.0,0.333,8.5,0.524,0.524,2.2,2.9,0.752,3.2,7.7,10.9,2.0,0.7,0.7,2.0,19.3,2014-15,0,0.55,0.31
Chris Paul,LAC,82.0,34.8,6.9,14.3,0.485,1.7,0.398,5.2,0.523,0.545,3.5,3.9,0.9,0.6,4.0,4.6,10.2,1.9,0.2,2.3,19.1,2014-15,0,0.6,0.32
Monta Ellis,DAL,80.0,33.7,7.5,16.9,0.445,1.0,0.285,6.5,0.487,0.475,2.9,3.8,0.752,0.4,2.0,2.4,4.1,1.9,0.3,2.5,18.9,2014-15,0,0.51,0.18
Pau Gasol,CHI,78.0,34.4,7.3,14.8,0.494,0.2,0.462,7.2,0.495,0.5,3.8,4.7,0.803,2.8,9.0,11.8,2.7,0.3,1.9,2.0,18.5,2014-15,0,0.55,0.32
Victor Oladipo,ORL,72.0,35.7,6.6,15.1,0.436,1.2,0.339,5.4,0.464,0.474,3.6,4.4,0.819,0.7,3.5,4.2,4.1,1.7,0.3,2.8,17.9,2014-15,0,0.53,0.22
Kyle Lowry,TOR,70.0,34.5,6.1,14.9,0.412,1.9,0.338,4.3,0.457,0.476,3.6,4.5,0.808,0.8,3.9,4.7,6.8,1.6,0.2,2.5,17.8,2014-15,0,0.53,0.27
