Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,MVP_Rank
Allen Iverson,PHI,71.0,42.0,10.7,25.5,0.42,1.4,0.32,9.4,0.441,0.447,8.2,10.1,0.814,0.7,3.1,3.8,4.6,2.5,0.3,3.3,31.1,2000-01,0.52,0.31,
Jerry Stackhouse,DET,80.0,40.2,9.7,24.1,0.402,2.1,0.351,7.6,0.418,0.445,8.3,10.1,0.822,1.2,2.7,3.9,5.1,1.2,0.7,4.1,29.8,2000-01,0.52,0.26,
Shaquille O'Neal,LAL,74.0,39.5,11.0,19.2,0.572,0.0,0.0,11.0,0.573,0.572,6.7,13.1,0.513,3.9,8.8,12.7,3.7,0.6,2.8,2.9,28.7,2000-01,0.57,0.42,
Kobe Bryant,LAL,68.0,40.9,10.3,22.2,0.464,0.9,0.305,9.4,0.489,0.484,7.0,8.2,0.853,1.5,4.3,5.9,5.0,1.7,0.6,3.2,28.5,2000-01,0.55,0.37,
Vince Carter,TOR,75.0,39.7,10.2,22.1,0.46,2.2,0.408,8.0,0.477,0.509,5.1,6.7,0.765,2.3,3.2,5.5,3.9,1.5,1.1,2.2,27.6,2000-01,0.55,0.32,
Chris Webber,SAC,70.0,40.5,11.2,23.4,0.481,0.0,0.071,11.2,0.488,0.481,4.6,6.6,0.703,2.6,8.5,11.1,4.2,1.3,1.7,2.8,27.1,2000-01,0.52,0.41,
Tracy McGrady,ORL,77.0,40.1,10.2,22.4,0.457,0.8,0.355,9.5,0.468,0.474,5.6,7.6,0.733,2.5,5.0,7.5,4.6,1.5,1.5,2.6,26.8,2000-01,0.52,0.33,
Paul Pierce,BOS,82.0,38.0,8.4,18.5,0.454,1.8,0.383,6.6,0.478,0.503,6.7,9.0,0.745,1.1,5.2,6.4,3.1,1.7,0.8,3.2,25.3,2000-01,0.56,0.26,
Antawn Jamison,GSW,82.0,41.4,9.8,22.1,0.442,0.8,0.302,9.0,0.459,0.459,4.7,6.5,0.715,3.4,5.3,8.7,2.0,1.4,0.3,2.4,24.9,2000-01,0.5,0.25,
Stephon Marbury,NJN,67.0,38.2,8.4,19.1,0.441,1.6,0.328,6.8,0.481,0.484,5.4,6.8,0.79,0.8,2.3,3.1,7.6,1.2,0.1,2.9,23.9,2000-01,0.54,0.31,
Antoine Walker,BOS,81.0,41.9,8.8,21.2,0.413,2.7,0.367,6.0,0.439,0.478,3.1,4.3,0.716,1.9,7.0,8.9,5.5,1.7,0.6,3.7,23.4,2000-01,0.51,0.28,
Karl Malone,UTA,81.0,35.7,8.3,16.6,0.498,0.0,0.4,8.2,0.499,0.499,6.6,8.3,0.793,1.4,6.9,8.3,4.5,1.1,0.8,3.0,23.2,2000-01,0.57,0.31,
Gary Payton,SEA,79.0,41.1,9.2,20.1,0.456,1.3,0.375,7.9,0.472,0.488,3.4,4.5,0.766,0.9,3.6,4.6,8.1,1.6,0.3,2.6,23.1,2000-01,0.52,0.29,
Tim Duncan,SAS,82.0,38.7,8.6,17.1,0.499,0.1,0.259,8.5,0.504,0.502,5.0,8.1,0.618,3.2,9.0,12.2,3.0,0.9,2.3,3.0,22.2,2000-01,0.54,0.32,
Ray Allen,MIL,82.0,38.2,7.7,16.0,0.48,2.5,0.433,5.2,0.506,0.557,4.2,4.8,0.888,1.2,4.0,5.2,4.6,1.5,0.2,2.5,22.0,2000-01,0.61,0.27,
Kevin Garnett,MIN,81.0,39.5,8.7,18.2,0.477,0.2,0.288,8.5,0.486,0.484,4.4,5.8,0.764,2.7,8.7,11.4,5.0,1.4,1.8,2.8,22.0,2000-01,0.53,0.34,
Glenn Robinson,MIL,76.0,37.0,9.0,19.2,0.468,0.7,0.299,8.3,0.493,0.487,3.3,4.0,0.82,1.6,5.3,6.9,3.3,1.1,0.8,2.9,22.0,2000-01,0.52,0.27,
Dirk Nowitzki,DAL,82.0,38.1,7.2,15.2,0.474,1.8,0.387,5.4,0.513,0.534,5.5,6.6,0.838,1.5,7.7,9.2,2.1,1.0,1.2,1.9,21.8,2000-01,0.6,0.3,
Michael Finley,DAL,82.0,42.0,8.7,18.9,0.458,1.1,0.346,7.6,0.481,0.487,3.1,4.0,0.775,1.3,3.9,5.2,4.4,1.4,0.4,2.3,21.5,2000-01,0.52,0.24,
Antonio McDyess,DEN,70.0,36.5,8.2,16.6,0.495,0.0,,8.2,0.495,0.495,4.3,6.2,0.7,3.4,8.6,12.1,2.1,0.6,1.5,2.3,20.8,2000-01,0.54,0.35,
