Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated
Carmelo Anthony,NYK,67.0,37.0,10.0,22.2,0.449,2.3,0.379,7.6,0.476,0.502,6.3,7.6,0.83,2.0,4.9,6.9,2.6,0.8,0.5,2.6,28.7,2012-13,0.56,0.35,0
Kevin Durant,OKC,81.0,38.5,9.0,17.7,0.51,1.7,0.416,7.3,0.539,0.559,8.4,9.3,0.905,0.6,7.3,7.9,4.6,1.4,1.3,3.5,28.1,2012-13,0.64,0.37,1
Kobe Bryant,LAL,78.0,38.6,9.5,20.4,0.463,1.7,0.324,7.8,0.51,0.504,6.7,8.0,0.839,0.8,4.7,5.6,6.0,1.4,0.3,3.7,27.3,2012-13,0.57,0.32,1
LeBron James,MIA,76.0,37.9,10.1,17.8,0.565,1.4,0.406,8.7,0.602,0.603,5.3,7.0,0.753,1.3,6.8,8.0,7.3,1.7,0.9,3.0,26.8,2012-13,0.64,0.42,1
James Harden,HOU,78.0,38.3,7.5,17.1,0.438,2.3,0.368,5.2,0.477,0.504,8.6,10.2,0.851,0.8,4.1,4.9,5.8,1.8,0.5,3.8,25.9,2012-13,0.6,0.31,0
Russell Westbrook,OKC,82.0,34.9,8.2,18.7,0.438,1.2,0.323,7.0,0.466,0.47,5.6,7.0,0.8,1.4,3.9,5.2,7.4,1.8,0.3,3.3,23.2,2012-13,0.53,0.28,1
Stephen Curry,GSW,78.0,38.2,8.0,17.8,0.451,3.5,0.453,4.5,0.449,0.549,3.4,3.7,0.9,0.8,3.3,4.0,6.9,1.6,0.2,3.1,22.9,2012-13,0.59,0.29,0
Kyrie Irving,CLE,59.0,34.7,8.2,18.1,0.452,1.8,0.391,6.4,0.474,0.503,4.2,4.9,0.855,0.6,3.1,3.7,5.9,1.5,0.4,3.2,22.5,2012-13,0.56,0.34,0
Dwyane Wade,MIA,69.0,34.7,8.2,15.8,0.521,0.2,0.258,8.0,0.537,0.528,4.5,6.2,0.725,1.2,3.7,5.0,5.1,1.9,0.8,2.8,21.2,2012-13,0.57,0.32,1
LaMarcus Aldridge,POR,74.0,37.7,8.6,17.8,0.484,0.0,0.143,8.6,0.488,0.485,3.8,4.7,0.81,2.4,6.7,9.1,2.6,0.8,1.2,1.9,21.1,2012-13,0.53,0.31,0
Tony Parker,SAS,66.0,32.9,7.9,15.1,0.522,0.4,0.353,7.5,0.534,0.534,4.2,5.0,0.845,0.3,2.7,3.0,7.6,0.8,0.1,2.6,20.3,2012-13,0.59,0.32,1
Brook Lopez,BRK,74.0,30.4,7.7,14.8,0.521,0.0,0.0,7.7,0.522,0.521,4.0,5.3,0.758,2.8,4.1,6.9,0.9,0.4,2.1,1.8,19.4,2012-13,0.57,0.26,0
Monta Ellis,MIL,82.0,37.5,7.3,17.5,0.416,1.1,0.287,6.1,0.454,0.448,3.5,4.6,0.773,0.5,3.3,3.9,6.0,2.1,0.4,3.1,19.2,2012-13,0.49,0.21,0
Damian Lillard,POR,82.0,38.6,6.7,15.7,0.429,2.3,0.368,4.5,0.469,0.501,3.3,3.9,0.844,0.5,2.6,3.1,6.5,0.9,0.2,3.0,19.0,2012-13,0.55,0.21,0
Deron Williams,BRK,78.0,36.4,6.3,14.4,0.44,2.2,0.378,4.2,0.482,0.516,4.1,4.7,0.859,0.4,2.6,3.0,7.7,1.0,0.4,2.8,18.9,2012-13,0.57,0.25,0
Paul Pierce,BOS,77.0,33.4,6.2,14.2,0.436,1.9,0.38,4.3,0.466,0.502,4.3,5.5,0.787,0.6,5.7,6.3,4.8,1.1,0.4,2.8,18.6,2012-13,0.56,0.25,0
David Lee,GSW,79.0,36.8,7.6,14.7,0.519,0.0,0.0,7.6,0.521,0.519,3.2,4.1,0.797,2.8,8.5,11.2,3.5,0.8,0.3,2.6,18.5,2012-13,0.56,0.3,0
John Wall,WAS,49.0,32.7,6.6,15.0,0.441,0.2,0.267,6.4,0.452,0.449,5.0,6.2,0.804,0.7,3.3,4.0,7.6,1.3,0.8,3.2,18.5,2012-13,0.52,0.4,0
Kevin Love,MIN,18.0,34.3,5.8,16.6,0.352,1.1,0.217,4.7,0.413,0.386,5.6,7.9,0.704,3.6,10.4,14.0,2.3,0.7,0.5,2.2,18.3,2012-13,0.46,1.14,1
Rudy Gay,2TM,75.0,35.8,6.9,16.7,0.416,1.1,0.323,5.8,0.44,0.449,3.2,3.9,0.814,1.3,4.8,6.1,2.7,1.5,0.7,2.6,18.2,2012-13,0.49,0.21,0
