Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated
DeMar DeRozan,TOR,82.0,36.7,6.7,15.0,0.445,0.4,0.283,6.3,0.463,0.459,4.3,5.2,0.831,0.6,3.3,3.9,2.5,0.9,0.3,1.8,18.1,2012-13,0.52,0.18,0
J.R. Smith,NYK,80.0,33.5,6.6,15.6,0.422,1.9,0.356,4.7,0.458,0.484,3.0,3.9,0.762,0.8,4.5,5.3,2.7,1.3,0.3,1.7,18.1,2012-13,0.52,0.2,0
Blake Griffin,LAC,80.0,32.5,7.2,13.4,0.538,0.1,0.179,7.2,0.548,0.541,3.5,5.3,0.66,2.3,6.0,8.3,3.7,1.2,0.6,2.3,18.0,2012-13,0.57,0.27,0
Tim Duncan,SAS,69.0,30.1,7.1,14.1,0.502,0.0,0.286,7.1,0.504,0.503,3.6,4.3,0.817,1.8,8.1,9.9,2.7,0.7,2.7,2.1,17.8,2012-13,0.56,0.35,1
Al Jefferson,UTA,78.0,33.1,7.8,15.8,0.494,0.0,0.118,7.8,0.5,0.495,2.1,2.8,0.77,2.0,7.2,9.2,2.1,1.0,1.1,1.3,17.8,2012-13,0.52,0.27,0
Jrue Holiday,PHI,78.0,37.5,7.1,16.5,0.431,1.2,0.368,5.9,0.446,0.466,2.3,3.1,0.752,1.1,3.1,4.2,8.0,1.6,0.4,3.7,17.7,2012-13,0.5,0.23,0
Kemba Walker,CHA,82.0,34.9,6.4,15.2,0.423,1.3,0.322,5.1,0.459,0.466,3.6,4.5,0.798,0.7,2.7,3.5,5.7,2.0,0.4,2.4,17.7,2012-13,0.52,0.21,0
Brandon Jennings,MIL,80.0,36.2,6.2,15.6,0.399,2.2,0.375,4.1,0.412,0.468,2.9,3.5,0.819,0.7,2.3,3.1,6.5,1.6,0.1,2.5,17.5,2012-13,0.51,0.2,0
Josh Smith,ATL,76.0,35.3,7.2,15.6,0.465,0.8,0.303,6.4,0.498,0.491,2.2,4.2,0.517,1.8,6.7,8.4,4.2,1.2,1.8,3.0,17.5,2012-13,0.5,0.26,0
Paul George,IND,79.0,37.6,6.2,14.9,0.419,2.2,0.362,4.1,0.457,0.491,2.8,3.5,0.807,1.1,6.5,7.6,4.1,1.8,0.6,2.9,17.4,2012-13,0.53,0.24,0
Al Horford,ATL,74.0,37.2,7.8,14.3,0.543,0.0,0.5,7.7,0.544,0.545,1.8,2.8,0.644,2.6,7.6,10.2,3.2,1.1,1.1,2.0,17.4,2012-13,0.56,0.32,0
Dirk Nowitzki,DAL,53.0,31.3,6.5,13.7,0.471,1.2,0.414,5.2,0.487,0.516,3.1,3.6,0.86,0.7,6.2,6.8,2.5,0.7,0.7,1.3,17.3,2012-13,0.57,0.36,1
DeMarcus Cousins,SAC,75.0,30.5,6.4,13.8,0.465,0.1,0.182,6.4,0.471,0.467,4.2,5.6,0.738,3.0,7.0,9.9,2.7,1.4,0.7,3.0,17.1,2012-13,0.53,0.27,0
Dwight Howard,LAL,76.0,35.8,6.2,10.7,0.578,0.0,0.167,6.2,0.581,0.579,4.7,9.5,0.492,3.3,9.1,12.4,1.4,1.1,2.4,3.0,17.1,2012-13,0.57,0.29,1
David West,IND,73.0,33.4,6.9,13.8,0.498,0.1,0.211,6.8,0.503,0.5,3.3,4.3,0.768,2.0,5.7,7.7,2.9,1.0,0.9,2.2,17.1,2012-13,0.54,0.27,0
Eric Gordon,NOH,42.0,30.1,5.6,13.9,0.402,1.3,0.324,4.3,0.436,0.45,4.5,5.3,0.842,0.2,1.6,1.8,3.3,1.1,0.2,2.8,17.0,2012-13,0.52,0.27,0
Chris Paul,LAC,70.0,33.4,5.9,12.2,0.481,1.1,0.328,4.8,0.538,0.526,4.1,4.6,0.885,0.8,3.0,3.7,9.7,2.4,0.1,2.3,16.9,2012-13,0.59,0.34,1
Ty Lawson,DEN,73.0,34.4,6.1,13.3,0.461,1.2,0.366,5.0,0.491,0.505,3.2,4.3,0.756,0.5,2.2,2.7,6.9,1.5,0.1,2.5,16.7,2012-13,0.55,0.23,0
Chris Bosh,MIA,74.0,33.2,6.6,12.3,0.535,0.3,0.284,6.3,0.557,0.546,3.3,4.1,0.798,1.8,5.0,6.8,1.7,0.9,1.4,1.7,16.6,2012-13,0.59,0.26,0
Klay Thompson,GSW,82.0,35.8,6.2,14.7,0.422,2.6,0.401,3.6,0.437,0.509,1.6,1.9,0.841,0.4,3.3,3.7,2.2,1.0,0.5,1.9,16.6,2012-13,0.53,0.16,0
Arron Afflalo,ORL,64.0,36.0,6.2,14.1,0.439,1.1,0.3,5.1,0.489,0.478,3.0,3.5,0.857,0.5,3.3,3.7,3.2,0.6,0.2,2.2,16.5,2012-13,0.53,0.21,0
Jamal Crawford,LAC,76.0,29.3,5.9,13.4,0.438,2.0,0.376,3.9,0.477,0.511,2.8,3.3,0.871,0.3,1.4,1.7,2.5,1.0,0.2,1.9,16.5,2012-13,0.56,0.16,0
Luol Deng,CHI,75.0,38.7,6.2,14.6,0.426,1.0,0.322,5.2,0.455,0.461,3.1,3.8,0.816,2.2,4.2,6.3,3.0,1.1,0.4,1.9,16.5,2012-13,0.51,0.22,0
Joe Johnson,BRK,72.0,36.7,6.2,14.6,0.423,2.1,0.375,4.1,0.452,0.493,1.8,2.2,0.82,0.7,2.3,3.0,3.5,0.7,0.2,1.7,16.3,2012-13,0.52,0.18,1
Nikola Peković,MIN,62.0,31.6,6.2,12.0,0.52,0.0,,6.2,0.52,0.52,3.9,5.2,0.744,3.7,5.1,8.8,0.9,0.7,0.8,1.6,16.3,2012-13,0.57,0.3,0
Ryan Anderson,NOH,81.0,30.9,5.8,13.8,0.423,2.6,0.382,3.2,0.464,0.519,1.9,2.2,0.844,2.4,4.0,6.4,1.2,0.5,0.4,1.2,16.2,2012-13,0.55,0.19,0
Carlos Boozer,CHI,79.0,32.2,6.9,14.4,0.477,0.0,0.0,6.9,0.478,0.477,2.4,3.3,0.731,2.2,7.5,9.8,2.3,0.8,0.4,2.2,16.2,2012-13,0.51,0.24,0
Danilo Gallinari,DEN,71.0,32.5,5.1,12.3,0.418,1.9,0.373,3.2,0.45,0.495,4.0,4.9,0.822,0.9,4.3,5.2,2.5,0.9,0.5,1.6,16.2,2012-13,0.56,0.22,0
Greg Monroe,DET,81.0,33.2,6.3,13.1,0.486,0.0,0.0,6.3,0.488,0.486,3.3,4.8,0.689,2.9,6.7,9.6,3.5,1.3,0.7,2.9,16.0,2012-13,0.53,0.25,0
Gerald Henderson,CHA,68.0,31.4,5.6,12.6,0.447,0.5,0.33,5.1,0.462,0.466,3.8,4.6,0.824,0.8,2.9,3.7,2.6,1.0,0.5,1.6,15.5,2012-13,0.53,0.2,0
Chandler Parsons,HOU,76.0,36.3,6.0,12.4,0.486,2.0,0.385,4.0,0.559,0.567,1.5,2.0,0.729,1.0,4.3,5.3,3.5,1.0,0.4,1.9,15.5,2012-13,0.58,0.22,0
Zach Randolph,MEM,76.0,34.3,6.2,13.5,0.46,0.0,0.087,6.2,0.469,0.461,3.0,3.9,0.75,4.1,7.2,11.2,1.4,0.8,0.4,2.0,15.4,2012-13,0.51,0.25,0
O.J. Mayo,DAL,82.0,35.5,5.6,12.5,0.449,1.7,0.407,3.9,0.471,0.519,2.3,2.8,0.82,0.4,3.1,3.5,4.4,1.1,0.3,2.6,15.3,2012-13,0.56,0.18,0
Tyreke Evans,SAC,65.0,31.0,5.6,11.8,0.478,0.7,0.338,4.9,0.508,0.508,3.2,4.2,0.775,0.9,3.6,4.4,3.5,1.4,0.4,2.0,15.2,2012-13,0.56,0.24,0
Glen Davis,ORL,34.0,31.3,6.3,14.1,0.448,0.0,0.0,6.3,0.45,0.448,2.5,3.4,0.718,1.6,5.6,7.2,2.1,0.9,0.6,1.9,15.1,2012-13,0.48,0.45,0
Kevin Garnett,BOS,68.0,29.7,6.2,12.5,0.496,0.0,0.125,6.2,0.504,0.498,2.3,3.0,0.786,1.1,6.7,7.8,2.3,1.1,0.9,1.6,14.8,2012-13,0.54,0.27,0
Wesley Matthews,POR,69.0,34.8,5.1,11.7,0.436,2.4,0.398,2.7,0.478,0.54,2.2,2.7,0.797,0.5,2.3,2.8,2.5,1.3,0.3,1.6,14.8,2012-13,0.57,0.19,0
Thaddeus Young,PHI,76.0,34.6,6.7,12.6,0.531,0.0,0.125,6.7,0.535,0.532,1.4,2.5,0.574,2.4,5.1,7.5,1.6,1.8,0.7,1.2,14.8,2012-13,0.54,0.24,0
Goran Dragić,PHO,77.0,33.5,5.2,11.8,0.443,1.1,0.319,4.1,0.497,0.491,3.2,4.2,0.748,0.8,2.3,3.1,7.4,1.6,0.3,2.8,14.7,2012-13,0.54,0.22,0
Jameer Nelson,ORL,56.0,35.3,5.5,13.9,0.392,2.2,0.341,3.3,0.435,0.47,1.6,1.8,0.873,0.4,3.3,3.7,7.4,1.3,0.1,2.8,14.7,2012-13,0.5,0.28,0
Dion Waiters,CLE,61.0,28.8,5.5,13.4,0.412,1.0,0.31,4.5,0.446,0.451,2.6,3.5,0.746,0.4,2.1,2.4,3.0,1.0,0.3,2.0,14.7,2012-13,0.49,0.17,0
Mike Conley,MEM,80.0,34.5,5.2,11.8,0.44,1.3,0.362,3.9,0.476,0.497,2.9,3.5,0.83,0.5,2.3,2.8,6.1,2.2,0.3,2.4,14.6,2012-13,0.55,0.2,0
Paul Millsap,UTA,78.0,30.4,5.5,11.2,0.49,0.2,0.333,5.3,0.498,0.498,3.4,4.6,0.742,2.3,4.8,7.1,2.6,1.3,1.0,1.8,14.6,2012-13,0.55,0.23,0
Jeff Teague,ATL,80.0,32.9,5.5,12.2,0.451,1.1,0.359,4.4,0.482,0.496,2.5,2.8,0.881,0.3,1.9,2.3,7.2,1.5,0.4,2.9,14.6,2012-13,0.54,0.2,0
Ramon Sessions,CHA,61.0,27.1,4.5,11.1,0.408,0.5,0.308,4.0,0.427,0.433,4.8,5.7,0.839,0.4,2.3,2.8,3.8,0.8,0.1,1.7,14.4,2012-13,0.53,0.21,0
Nicolas Batum,POR,73.0,38.5,4.8,11.4,0.423,2.3,0.372,2.6,0.481,0.522,2.4,2.9,0.848,1.3,4.3,5.6,4.9,1.2,1.1,2.6,14.3,2012-13,0.56,0.24,0
George Hill,IND,76.0,34.5,5.1,11.5,0.443,1.7,0.368,3.4,0.494,0.518,2.3,2.8,0.817,0.6,3.1,3.7,4.7,1.1,0.3,1.5,14.2,2012-13,0.56,0.21,0
Amar'e Stoudemire,NYK,29.0,23.5,5.3,9.2,0.577,0.0,,5.3,0.577,0.577,3.6,4.5,0.808,2.1,2.9,5.0,0.4,0.3,0.7,1.7,14.2,2012-13,0.64,0.49,0
JJ Redick,2TM,78.0,30.5,4.9,11.3,0.434,2.1,0.366,2.8,0.506,0.528,2.2,2.4,0.9,0.2,2.0,2.2,3.8,0.5,0.1,1.8,14.1,2012-13,0.57,0.16,0
Marc Gasol,MEM,80.0,35.0,5.4,10.9,0.494,0.0,0.071,5.4,0.501,0.494,3.4,4.0,0.848,2.3,5.5,7.8,4.0,1.0,1.7,2.0,14.1,2012-13,0.56,0.26,0
Gordon Hayward,UTA,72.0,29.2,4.7,10.7,0.435,1.4,0.415,3.3,0.444,0.501,3.4,4.1,0.827,0.7,2.4,3.1,3.0,0.8,0.5,1.7,14.1,2012-13,0.56,0.18,0
Anderson Varejão,CLE,25.0,36.0,5.5,11.6,0.478,0.0,0.0,5.5,0.486,0.478,3.1,4.1,0.755,5.5,8.9,14.4,3.4,1.5,0.6,1.8,14.1,2012-13,0.53,1.0,0
Lou Williams,ATL,39.0,28.7,4.8,11.4,0.422,1.8,0.367,2.9,0.466,0.503,2.7,3.1,0.868,0.2,1.8,2.1,3.6,1.1,0.3,1.9,14.1,2012-13,0.55,0.32,0
Kevin Martin,OKC,77.0,27.7,4.5,10.1,0.45,2.1,0.426,2.5,0.472,0.551,2.8,3.2,0.89,0.4,1.9,2.3,1.4,0.9,0.1,1.3,14.0,2012-13,0.61,0.15,0
Bradley Beal,WAS,56.0,31.2,5.0,12.3,0.41,1.6,0.386,3.4,0.424,0.477,2.2,2.8,0.786,0.8,3.0,3.8,2.4,0.9,0.5,1.6,13.9,2012-13,0.51,0.21,0
Raymond Felton,NYK,68.0,34.0,5.5,13.0,0.427,1.4,0.36,4.2,0.455,0.48,1.5,1.9,0.789,0.8,2.1,2.9,5.5,1.4,0.2,2.3,13.9,2012-13,0.5,0.2,0
Isaiah Thomas,SAC,79.0,26.9,4.6,10.5,0.44,1.5,0.358,3.2,0.491,0.509,3.2,3.6,0.882,0.4,1.7,2.0,4.0,0.8,0.0,1.8,13.9,2012-13,0.58,0.16,0
Greivis Vásquez,NOH,78.0,34.4,5.6,13.0,0.433,1.1,0.342,4.6,0.462,0.474,1.6,2.0,0.805,0.6,3.8,4.3,9.0,0.8,0.1,3.2,13.9,2012-13,0.5,0.22,0
Pau Gasol,LAL,49.0,33.8,5.5,11.8,0.466,0.2,0.286,5.3,0.475,0.473,2.6,3.6,0.702,2.3,6.3,8.6,4.1,0.5,1.2,2.1,13.7,2012-13,0.51,0.38,0
Rajon Rondo,BOS,38.0,37.4,5.9,12.2,0.484,0.3,0.24,5.6,0.513,0.497,1.6,2.4,0.645,1.1,4.4,5.6,11.1,1.8,0.2,3.9,13.7,2012-13,0.52,0.56,1
Anthony Davis,NOH,64.0,28.8,5.5,10.6,0.516,0.0,0.0,5.5,0.521,0.516,2.6,3.5,0.751,2.6,5.6,8.2,1.0,1.2,1.8,1.4,13.5,2012-13,0.56,0.29,0
Vince Carter,DAL,81.0,25.8,4.6,10.6,0.435,2.0,0.406,2.6,0.461,0.53,2.2,2.8,0.816,0.7,3.4,4.1,2.4,0.9,0.5,1.3,13.4,2012-13,0.57,0.17,0
Jeremy Lin,HOU,82.0,32.2,4.8,10.9,0.441,1.1,0.339,3.8,0.483,0.49,2.6,3.4,0.785,0.4,2.6,3.0,6.1,1.6,0.4,2.9,13.4,2012-13,0.54,0.18,0
Brandon Knight,DET,75.0,31.5,4.8,11.7,0.407,1.6,0.367,3.2,0.43,0.475,2.2,3.0,0.733,0.7,2.6,3.3,4.0,0.8,0.1,2.7,13.3,2012-13,0.51,0.15,0
Evan Turner,PHI,82.0,35.3,5.4,12.8,0.419,0.7,0.365,4.7,0.428,0.446,1.9,2.5,0.74,0.7,5.6,6.3,4.3,0.9,0.2,2.3,13.3,2012-13,0.48,0.18,0
Serge Ibaka,OKC,80.0,31.1,5.6,9.7,0.573,0.3,0.351,5.3,0.591,0.586,1.8,2.4,0.749,2.8,4.9,7.7,0.5,0.4,3.0,1.6,13.2,2012-13,0.61,0.23,0
Ersan İlyasova,MIL,73.0,27.6,5.1,11.0,0.462,1.3,0.444,3.8,0.469,0.521,1.7,2.2,0.796,2.1,5.0,7.1,1.6,0.9,0.5,1.0,13.2,2012-13,0.55,0.22,0
Nate Robinson,CHI,82.0,25.4,4.9,11.2,0.433,1.7,0.405,3.1,0.45,0.51,1.6,2.1,0.799,0.4,1.9,2.2,4.4,1.0,0.1,1.8,13.1,2012-13,0.54,0.15,0
Nikola Vučević,ORL,77.0,33.2,6.0,11.5,0.519,0.0,0.0,6.0,0.52,0.519,1.1,1.6,0.683,3.5,8.4,11.9,1.9,0.8,1.0,1.8,13.1,2012-13,0.54,0.27,0
Wilson Chandler,DEN,43.0,25.1,4.9,10.6,0.462,1.2,0.413,3.7,0.48,0.519,2.0,2.6,0.793,1.0,4.0,5.1,1.3,1.0,0.3,1.4,13.0,2012-13,0.55,0.3,0
Andre Iguodala,DEN,80.0,34.7,5.0,11.0,0.451,1.1,0.317,3.8,0.515,0.502,1.9,3.4,0.574,1.0,4.3,5.3,5.4,1.7,0.7,2.6,13.0,2012-13,0.52,0.2,0
Jarrett Jack,GSW,79.0,29.7,4.9,10.8,0.452,1.0,0.404,3.9,0.466,0.499,2.1,2.5,0.843,0.3,2.8,3.1,5.6,0.8,0.1,2.0,12.9,2012-13,0.54,0.18,0
Mo Williams,UTA,46.0,30.8,5.0,11.6,0.43,1.3,0.383,3.7,0.449,0.485,1.6,1.8,0.882,0.5,1.9,2.4,6.2,1.0,0.2,2.7,12.9,2012-13,0.52,0.29,0
Jeff Green,BOS,81.0,27.8,4.6,10.0,0.467,0.9,0.385,3.8,0.49,0.51,2.6,3.3,0.808,0.7,3.2,3.9,1.6,0.7,0.8,1.6,12.8,2012-13,0.56,0.15,0
Luis Scola,PHO,82.0,26.6,5.3,11.2,0.472,0.0,0.188,5.2,0.477,0.474,2.2,2.8,0.787,1.9,4.7,6.6,2.2,0.8,0.4,1.5,12.8,2012-13,0.51,0.18,0
Andrea Bargnani,TOR,35.0,28.7,4.9,12.2,0.399,1.1,0.309,3.8,0.436,0.444,1.9,2.2,0.844,0.7,2.9,3.7,1.1,0.6,0.7,1.5,12.7,2012-13,0.48,0.28,0
J.J. Hickson,POR,80.0,29.0,5.2,9.3,0.562,0.0,0.0,5.2,0.563,0.562,2.3,3.4,0.679,3.3,7.0,10.4,1.1,0.6,0.6,1.8,12.7,2012-13,0.59,0.23,0
Steve Nash,LAL,50.0,32.5,4.7,9.5,0.497,1.1,0.438,3.6,0.519,0.557,2.1,2.3,0.922,0.5,2.3,2.8,6.7,0.6,0.1,2.5,12.7,2012-13,0.6,0.31,1
Marcus Thornton,SAC,72.0,24.0,4.6,10.8,0.429,2.0,0.372,2.7,0.484,0.52,1.5,1.8,0.881,0.7,1.8,2.5,1.3,0.8,0.1,0.9,12.7,2012-13,0.55,0.14,0
Nenê,WAS,61.0,27.2,4.7,9.7,0.48,0.0,0.0,4.7,0.481,0.48,3.2,4.4,0.729,1.7,5.0,6.7,2.9,0.9,0.6,2.3,12.6,2012-13,0.54,0.25,0
Andrei Kirilenko,MIN,64.0,31.8,4.4,8.8,0.507,0.5,0.292,3.9,0.566,0.538,2.9,3.9,0.752,1.6,4.1,5.7,2.8,1.5,1.0,1.9,12.4,2012-13,0.59,0.25,0
Metta World Peace,LAL,75.0,33.7,4.4,11.0,0.403,1.9,0.342,2.5,0.464,0.488,1.7,2.3,0.734,1.3,3.6,5.0,1.5,1.6,0.6,1.3,12.4,2012-13,0.52,0.17,0
Corey Brewer,DEN,82.0,24.4,4.6,10.8,0.425,1.1,0.296,3.5,0.493,0.476,1.8,2.6,0.69,0.7,2.2,2.9,1.5,1.4,0.3,1.2,12.1,2012-13,0.51,0.12,0
Shawn Marion,DAL,67.0,30.0,5.3,10.3,0.514,0.3,0.315,5.0,0.538,0.531,1.2,1.5,0.782,2.2,5.7,7.8,2.4,1.1,0.7,1.5,12.1,2012-13,0.55,0.26,0
Darren Collison,DAL,81.0,29.3,4.2,8.9,0.471,0.6,0.353,3.6,0.498,0.504,3.0,3.4,0.88,0.4,2.3,2.7,5.1,1.2,0.1,2.1,12.0,2012-13,0.58,0.17,0
Derrick Williams,MIN,78.0,24.6,4.3,10.1,0.43,0.8,0.332,3.5,0.463,0.471,2.5,3.5,0.706,1.2,4.3,5.5,0.6,0.6,0.5,1.3,12.0,2012-13,0.52,0.14,0
Roy Hibbert,IND,79.0,28.7,4.9,10.9,0.448,0.0,0.25,4.9,0.449,0.449,2.1,2.8,0.741,3.7,4.6,8.3,1.4,0.5,2.6,2.1,11.9,2012-13,0.49,0.2,0
Kawhi Leonard,SAS,58.0,31.2,4.5,9.1,0.494,1.1,0.374,3.4,0.554,0.556,1.8,2.2,0.825,1.1,4.9,6.0,1.6,1.7,0.6,1.1,11.9,2012-13,0.59,0.27,0
Joakim Noah,CHI,66.0,36.8,4.6,9.5,0.481,0.0,0.0,4.6,0.485,0.481,2.7,3.6,0.751,3.9,7.2,11.1,4.0,1.2,2.1,2.7,11.9,2012-13,0.54,0.33,0
Manu Ginóbili,SAS,60.0,23.2,3.8,9.0,0.425,1.4,0.353,2.4,0.48,0.502,2.7,3.4,0.796,0.5,2.9,3.4,4.6,1.3,0.2,2.2,11.8,2012-13,0.56,0.22,0
Tristan Thompson,CLE,82.0,31.3,4.8,9.7,0.488,0.0,0.0,4.8,0.49,0.488,2.2,3.5,0.608,3.7,5.7,9.4,1.3,0.7,0.9,1.5,11.7,2012-13,0.52,0.2,0
Jordan Crawford,2TM,70.0,24.4,4.3,10.4,0.415,1.2,0.337,3.1,0.455,0.472,1.8,2.3,0.811,0.6,2.4,3.0,3.2,0.6,0.1,2.0,11.6,2012-13,0.51,0.14,0
Kyle Lowry,TOR,68.0,29.7,3.7,9.2,0.401,1.5,0.362,2.2,0.433,0.482,2.8,3.5,0.795,0.8,3.9,4.7,6.4,1.4,0.4,2.3,11.6,2012-13,0.54,0.24,0
Kenneth Faried,DEN,80.0,28.1,4.8,8.6,0.552,0.0,,4.8,0.552,0.552,2.0,3.3,0.613,3.3,5.9,9.2,1.0,1.0,1.0,1.4,11.5,2012-13,0.57,0.22,0
Luke Ridnour,MIN,82.0,30.2,4.5,9.9,0.453,0.8,0.311,3.7,0.503,0.493,1.7,2.0,0.848,0.5,2.0,2.5,3.8,1.0,0.2,1.6,11.5,2012-13,0.53,0.14,0
Rodney Stuckey,DET,76.0,28.6,4.0,9.8,0.406,0.7,0.302,3.3,0.44,0.443,2.8,3.6,0.783,0.6,2.2,2.8,3.6,0.7,0.2,1.8,11.5,2012-13,0.51,0.14,0
Martell Webster,WAS,76.0,28.9,3.7,8.4,0.442,1.8,0.422,1.9,0.463,0.551,2.2,2.6,0.848,0.7,3.2,3.9,1.9,0.6,0.2,1.2,11.4,2012-13,0.6,0.15,0
José Calderón,2TM,73.0,29.6,4.3,8.7,0.491,1.8,0.461,2.5,0.516,0.594,1.0,1.1,0.9,0.3,2.1,2.4,7.1,0.8,0.1,1.7,11.3,2012-13,0.62,0.21,0
J.J. Barea,MIN,74.0,23.1,4.3,10.2,0.417,1.3,0.346,3.0,0.458,0.481,1.4,1.8,0.784,0.5,2.3,2.8,4.0,0.4,0.0,2.0,11.3,2012-13,0.51,0.14,0
Robin Lopez,NOH,82.0,26.0,4.7,8.8,0.534,0.0,,4.7,0.534,0.534,2.0,2.5,0.778,2.8,2.9,5.6,0.8,0.4,1.6,1.3,11.3,2012-13,0.57,0.17,0
Ben Gordon,CHA,75.0,20.8,4.1,10.1,0.408,1.5,0.387,2.6,0.421,0.482,1.4,1.7,0.843,0.2,1.5,1.7,1.9,0.5,0.2,1.8,11.2,2012-13,0.52,0.1,0
C.J. Miles,CLE,65.0,21.0,3.9,9.4,0.415,1.9,0.384,2.0,0.451,0.518,1.4,1.6,0.869,0.4,2.3,2.7,1.0,0.8,0.3,1.1,11.2,2012-13,0.55,0.14,0
Marcin Gortat,PHO,61.0,30.8,4.8,9.3,0.521,0.0,0.0,4.8,0.524,0.521,1.5,2.3,0.652,2.1,6.4,8.5,1.2,0.7,1.6,1.6,11.1,2012-13,0.54,0.27,0
Tobias Harris,2TM,55.0,23.6,4.2,9.3,0.455,0.6,0.315,3.6,0.493,0.488,1.9,2.5,0.752,1.3,3.9,5.2,1.3,0.6,0.8,1.2,11.0,2012-13,0.53,0.22,0
