Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,Previously_Nominated,TS%,EFF
Michael Jordan,CHI,78.0,39.3,12.7,25.7,0.495,1.0,0.352,11.7,0.514,0.515,6.1,7.3,0.837,1.7,5.0,6.7,5.5,2.8,0.8,2.7,32.6,1992-93,1,0.56,0.4
Dominique Wilkins,ATL,71.0,37.3,10.4,22.3,0.468,1.7,0.38,8.7,0.49,0.506,7.3,8.8,0.828,2.6,4.2,6.8,3.2,1.0,0.4,2.6,29.9,1992-93,0,0.57,0.36
Karl Malone,UTA,82.0,37.8,9.7,17.6,0.552,0.0,0.2,9.7,0.557,0.554,7.5,10.2,0.74,2.8,8.4,11.2,3.8,1.5,1.0,2.9,27.0,1992-93,1,0.61,0.38
Hakeem Olajuwon,HOU,82.0,39.5,10.3,19.5,0.529,0.0,0.0,10.3,0.532,0.529,5.4,7.0,0.779,3.5,9.6,13.0,3.5,1.8,4.2,3.2,26.1,1992-93,0,0.58,0.42
Chris Mullin,GSW,46.0,41.3,10.3,20.2,0.51,1.3,0.451,9.0,0.519,0.542,4.0,4.9,0.81,0.9,4.1,5.0,3.6,1.5,0.9,3.0,25.9,1992-93,1,0.58,0.5
Charles Barkley,PHO,76.0,37.6,9.4,18.1,0.52,0.9,0.305,8.5,0.561,0.545,5.9,7.7,0.765,3.1,9.1,12.2,5.1,1.6,1.0,3.1,25.6,1992-93,1,0.6,0.42
Patrick Ewing,NYK,81.0,37.1,9.6,19.1,0.503,0.0,0.143,9.6,0.504,0.503,4.9,6.9,0.719,2.4,9.7,12.1,1.9,0.9,2.0,3.3,24.2,1992-93,1,0.55,0.32
Joe Dumars,DET,77.0,40.2,8.8,18.9,0.466,1.5,0.375,7.3,0.489,0.504,4.5,5.2,0.864,0.8,1.1,1.9,4.0,1.0,0.1,1.8,23.5,1992-93,0,0.55,0.23
Shaquille O'Neal,ORL,81.0,37.9,9.0,16.1,0.562,0.0,0.0,9.0,0.563,0.562,5.3,8.9,0.592,4.2,9.6,13.9,1.9,0.7,3.5,3.8,23.4,1992-93,0,0.58,0.36
David Robinson,SAS,82.0,39.2,8.2,16.4,0.501,0.0,0.176,8.2,0.506,0.503,6.8,9.3,0.732,2.8,8.9,11.7,3.7,1.5,3.2,2.9,23.4,1992-93,1,0.57,0.36
Danny Manning,LAC,79.0,34.9,8.9,17.5,0.509,0.1,0.267,8.8,0.514,0.512,4.9,6.1,0.802,2.5,4.1,6.6,2.6,1.4,1.3,2.9,22.8,1992-93,1,0.56,0.28
Dražen Petrović,NJN,70.0,38.0,8.4,16.2,0.518,1.1,0.449,7.3,0.529,0.551,4.5,5.2,0.87,0.6,2.1,2.7,3.5,1.3,0.2,2.9,22.3,1992-93,0,0.6,0.27
Larry Johnson,CHH,82.0,40.5,8.9,16.9,0.526,0.2,0.254,8.7,0.54,0.532,4.1,5.3,0.767,3.4,7.1,10.5,4.3,0.6,0.3,2.8,22.1,1992-93,0,0.57,0.31
Mitch Richmond,SAC,45.0,38.4,8.2,17.4,0.474,1.1,0.369,7.2,0.495,0.505,4.4,5.2,0.845,0.4,3.0,3.4,4.9,1.2,0.2,2.9,21.9,1992-93,0,0.56,0.42
Tim Hardaway,GSW,66.0,39.5,7.9,17.7,0.447,1.5,0.33,6.4,0.489,0.491,4.1,5.6,0.744,0.9,3.1,4.0,10.6,1.8,0.2,3.3,21.5,1992-93,1,0.53,0.36
Reggie Miller,IND,82.0,36.0,7.0,14.5,0.479,2.0,0.399,4.9,0.522,0.549,5.2,5.9,0.88,0.8,2.3,3.1,3.2,1.5,0.3,1.8,21.2,1992-93,0,0.62,0.24
Alonzo Mourning,CHH,78.0,33.9,7.3,14.3,0.511,0.0,0.0,7.3,0.513,0.511,6.3,8.1,0.781,3.4,6.9,10.3,1.0,0.3,3.5,3.0,21.0,1992-93,0,0.59,0.31
Reggie Lewis,BOS,80.0,39.3,8.3,17.6,0.47,0.2,0.233,8.1,0.481,0.475,4.1,4.7,0.867,1.1,3.2,4.3,3.7,1.5,1.0,1.7,20.8,1992-93,0,0.53,0.25
Derrick Coleman,NJN,76.0,36.3,7.4,16.1,0.46,0.3,0.232,7.1,0.48,0.469,5.5,6.9,0.808,3.3,8.0,11.2,3.6,1.2,1.7,3.2,20.7,1992-93,0,0.54,0.33
Hersey Hawkins,PHI,81.0,36.8,6.8,14.5,0.47,1.5,0.397,5.3,0.496,0.522,5.2,6.0,0.86,1.1,3.1,4.3,3.9,1.7,0.4,2.2,20.3,1992-93,0,0.59,0.25
