Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF
Chris Jent,NYK,3.0,3.3,0.7,2.0,0.333,0.7,0.667,0.0,0.0,0.5,0.0,0.0,,0.3,0.0,0.3,0.3,0.0,0.0,0.0,2.0,1996-97,0.5,0.43
Mark Strickland,MIA,31.0,4.9,0.8,1.9,0.417,0.0,0.0,0.8,0.424,0.417,0.4,0.7,0.571,0.5,0.7,1.2,0.0,0.1,0.3,0.5,2.0,1996-97,0.45,0.05
Steve Scheffler,SEA,7.0,4.1,0.9,1.0,0.857,0.0,,0.9,0.857,0.857,0.1,0.3,0.5,0.1,0.3,0.4,0.0,0.0,0.0,0.7,1.9,1996-97,0.84,0.19
Dickey Simpkins,CHI,48.0,8.2,0.6,1.9,0.333,0.0,0.25,0.6,0.337,0.339,0.6,0.8,0.7,0.8,1.2,1.9,0.6,0.1,0.1,0.7,1.9,1996-97,0.42,0.05
Herb Williams,NYK,21.0,8.8,0.9,2.2,0.391,0.0,0.0,0.9,0.4,0.391,0.1,0.2,0.75,0.4,1.0,1.5,0.2,0.2,0.2,0.2,1.9,1996-97,0.42,0.11
Darrin Hancock,3TM,24.0,5.5,0.7,1.5,0.457,0.0,,0.7,0.457,0.457,0.4,0.6,0.714,0.2,0.6,0.8,0.5,0.4,0.0,0.5,1.8,1996-97,0.51,0.08
Darrin Hancock,MIL,9.0,4.3,0.2,0.7,0.333,0.0,,0.2,0.333,0.333,0.0,0.0,,0.1,0.4,0.6,0.4,0.2,0.0,0.4,0.4,1996-97,0.29,0.08
Darrin Hancock,ATL,14.0,6.1,0.9,1.9,0.481,0.0,,0.9,0.481,0.481,0.6,0.9,0.667,0.2,0.7,0.9,0.5,0.5,0.1,0.5,2.4,1996-97,0.52,0.19
Darrin Hancock,SAS,1.0,8.0,1.0,2.0,0.5,0.0,,1.0,0.5,0.5,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1996-97,0.69,4.0
Jud Buechler,CHI,76.0,9.3,0.8,2.1,0.367,0.2,0.333,0.5,0.385,0.424,0.1,0.2,0.357,0.6,1.1,1.7,0.8,0.3,0.3,0.4,1.8,1996-97,0.41,0.04
Michael Cage,PHI,82.0,15.2,0.8,1.7,0.468,0.0,,0.8,0.468,0.468,0.2,0.5,0.463,1.4,2.5,3.9,0.5,0.6,0.5,0.2,1.8,1996-97,0.47,0.07
Walter McCarty,NYK,35.0,5.5,0.7,1.9,0.382,0.1,0.286,0.6,0.407,0.412,0.2,0.4,0.571,0.2,0.4,0.7,0.4,0.2,0.3,0.5,1.8,1996-97,0.43,0.04
Fred Roberts,DAL,12.0,3.3,0.5,1.3,0.4,0.0,,0.5,0.4,0.4,0.8,1.2,0.714,0.2,0.7,0.8,0.0,0.0,0.1,0.4,1.8,1996-97,0.49,0.09
Stevin Smith,DAL,8.0,7.5,0.8,2.3,0.333,0.1,0.167,0.6,0.417,0.361,0.1,0.1,1.0,0.3,1.0,1.3,0.5,0.1,0.0,0.5,1.8,1996-97,0.38,0.21
Randolph Childress,2TM,23.0,6.7,0.6,1.7,0.35,0.2,0.263,0.4,0.429,0.413,0.3,0.3,0.75,0.0,0.2,0.3,0.7,0.4,0.0,0.8,1.7,1996-97,0.46,0.05
Eric Leckner,2TM,20.0,6.3,0.7,1.7,0.424,0.0,,0.7,0.424,0.424,0.3,0.6,0.5,0.3,1.6,1.8,0.3,0.2,0.1,0.5,1.7,1996-97,0.43,0.12
Shane Heal,MIN,43.0,5.5,0.6,2.3,0.268,0.5,0.308,0.1,0.188,0.371,0.1,0.1,0.6,0.0,0.4,0.4,0.8,0.1,0.1,0.4,1.7,1996-97,0.36,0.02
Horacio Llamas,PHO,20.0,5.1,0.8,1.4,0.536,0.0,,0.8,0.536,0.536,0.2,0.4,0.5,0.2,0.7,0.9,0.2,0.5,0.3,0.6,1.7,1996-97,0.54,0.11
Brad Lohaus,TOR,6.0,7.5,0.7,2.5,0.267,0.3,0.286,0.3,0.25,0.333,0.0,0.0,,0.2,1.0,1.2,0.2,0.2,0.0,0.2,1.7,1996-97,0.34,0.22
Joe Wolf,MIL,56.0,9.4,0.7,1.6,0.449,0.0,0.143,0.7,0.476,0.455,0.3,0.3,0.737,0.6,1.4,2.0,0.4,0.3,0.2,0.3,1.7,1996-97,0.49,0.06
Mark Bradtke,PHI,36.0,7.0,0.7,1.6,0.431,0.0,,0.7,0.431,0.431,0.3,0.4,0.692,0.7,1.2,1.9,0.2,0.1,0.1,0.3,1.6,1996-97,0.45,0.07
Tom Chambers,CHH,12.0,6.9,0.6,2.6,0.226,0.2,0.667,0.4,0.179,0.258,0.3,0.3,0.75,0.3,0.9,1.2,0.3,0.1,0.0,0.8,1.6,1996-97,0.29,0.03
Martin Lewis,TOR,9.0,5.6,0.7,1.6,0.429,0.1,0.333,0.6,0.455,0.464,0.1,0.2,0.5,0.4,0.2,0.7,0.4,0.1,0.2,0.1,1.6,1996-97,0.47,0.21
Alton Lister,BOS,53.0,9.7,0.6,1.5,0.416,0.0,,0.6,0.416,0.416,0.4,0.6,0.742,1.2,1.9,3.2,0.2,0.2,0.3,0.6,1.6,1996-97,0.45,0.07
Amal McCaskill,ORL,17.0,6.4,0.6,1.9,0.313,0.0,0.0,0.6,0.333,0.313,0.5,0.7,0.667,0.2,1.1,1.3,0.4,0.2,0.3,0.6,1.6,1996-97,0.36,0.1
