Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,Previously_Nominated,TS%,EFF
Allen Iverson,PHI,60.0,43.7,11.1,27.8,0.398,1.3,0.291,9.8,0.419,0.422,7.9,9.8,0.812,0.7,3.8,4.5,5.5,2.8,0.2,4.0,31.4,2001-02,1,0.49,0.36
Shaquille O'Neal,LAL,67.0,36.1,10.6,18.3,0.579,0.0,0.0,10.6,0.58,0.579,5.9,10.7,0.555,3.5,7.2,10.7,3.0,0.6,2.0,2.6,27.2,2001-02,1,0.59,0.42
Paul Pierce,BOS,82.0,40.3,8.6,19.5,0.442,2.6,0.404,6.1,0.461,0.508,6.3,7.8,0.809,1.0,5.9,6.9,3.2,1.9,1.0,2.9,26.1,2001-02,1,0.57,0.29
Tracy McGrady,ORL,76.0,38.3,9.4,20.9,0.451,1.4,0.364,8.1,0.47,0.483,5.5,7.3,0.748,2.0,5.9,7.9,5.3,1.6,1.0,2.5,25.6,2001-02,1,0.53,0.34
Tim Duncan,SAS,82.0,40.6,9.3,18.3,0.508,0.0,0.1,9.3,0.511,0.508,6.8,8.5,0.799,3.3,9.4,12.7,3.7,0.7,2.5,3.2,25.5,2001-02,1,0.58,0.38
Kobe Bryant,LAL,80.0,38.3,9.4,20.0,0.469,0.4,0.25,9.0,0.489,0.479,6.1,7.4,0.829,1.4,4.1,5.5,5.5,1.5,0.4,2.8,25.2,2001-02,1,0.54,0.29
Vince Carter,TOR,60.0,39.8,9.3,21.8,0.428,2.0,0.387,7.3,0.441,0.474,4.1,5.1,0.798,2.3,2.9,5.2,4.0,1.6,0.7,2.6,24.7,2001-02,1,0.51,0.34
Chris Webber,SAC,54.0,38.4,9.9,19.9,0.495,0.1,0.263,9.8,0.499,0.497,4.7,6.3,0.749,2.8,7.3,10.1,4.8,1.7,1.4,2.9,24.5,2001-02,1,0.54,0.52
Dirk Nowitzki,DAL,76.0,38.0,7.9,16.6,0.477,1.8,0.397,6.1,0.508,0.532,5.8,6.8,0.853,1.6,8.4,9.9,2.4,1.1,1.0,1.9,23.4,2001-02,0,0.6,0.34
Michael Jordan,WAS,60.0,34.9,9.2,22.1,0.416,0.2,0.189,9.0,0.426,0.42,4.4,5.6,0.79,0.8,4.8,5.7,5.2,1.4,0.4,2.7,22.9,2001-02,0,0.47,0.31
Karl Malone,UTA,80.0,38.0,7.9,17.5,0.454,0.1,0.36,7.8,0.456,0.457,6.4,8.0,0.797,1.8,6.8,8.6,4.3,1.9,0.7,3.3,22.4,2001-02,1,0.53,0.29
Gary Payton,SEA,82.0,40.3,9.0,19.2,0.467,0.9,0.314,8.1,0.494,0.49,3.3,4.1,0.797,1.0,3.9,4.8,9.0,1.6,0.3,2.5,22.1,2001-02,0,0.53,0.3
Antoine Walker,BOS,81.0,42.0,8.2,20.9,0.394,2.7,0.344,5.5,0.425,0.46,3.0,4.0,0.741,1.9,7.0,8.8,5.0,1.5,0.5,3.1,22.1,2001-02,0,0.49,0.26
Ray Allen,MIL,69.0,36.6,7.7,16.6,0.462,3.3,0.434,4.4,0.485,0.561,3.1,3.6,0.873,1.2,3.3,4.5,3.9,1.3,0.3,2.3,21.8,2001-02,1,0.6,0.29
Cuttino Mobley,HOU,74.0,42.1,8.0,18.4,0.438,2.0,0.395,6.0,0.455,0.493,3.6,4.2,0.85,0.9,3.2,4.1,2.5,1.5,0.5,2.4,21.7,2001-02,0,0.54,0.23
Steve Francis,HOU,57.0,41.1,7.4,17.7,0.417,1.2,0.324,6.2,0.442,0.451,5.7,7.4,0.773,1.8,5.2,7.0,6.4,1.2,0.4,3.9,21.6,2001-02,0,0.52,0.36
Jamal Mashburn,CHH,40.0,40.0,7.6,18.6,0.407,1.0,0.366,6.6,0.415,0.435,5.3,6.0,0.876,0.8,5.3,6.1,4.3,1.1,0.2,2.8,21.5,2001-02,0,0.51,0.47
Jerry Stackhouse,DET,76.0,35.3,6.9,17.4,0.397,1.1,0.287,5.8,0.43,0.43,6.5,7.6,0.858,1.0,3.1,4.1,5.3,1.0,0.5,3.5,21.4,2001-02,1,0.52,0.23
Shareef Abdur-Rahim,ATL,77.0,38.7,7.8,16.8,0.461,0.3,0.3,7.5,0.47,0.469,5.4,6.8,0.801,2.6,6.5,9.0,3.1,1.3,1.1,3.2,21.2,2001-02,0,0.54,0.29
Kevin Garnett,MIN,81.0,39.2,8.1,17.3,0.47,0.5,0.319,7.7,0.484,0.484,4.4,5.5,0.801,3.0,9.1,12.1,5.2,1.2,1.6,2.8,21.2,2001-02,1,0.54,0.35
Peja Stojaković,SAC,71.0,37.3,7.7,15.9,0.484,1.8,0.416,5.9,0.51,0.541,4.0,4.5,0.876,1.0,4.2,5.3,2.5,1.1,0.2,2.0,21.2,2001-02,0,0.59,0.28
