Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated
Tracy McGrady,ORL,67.0,39.9,9.7,23.4,0.417,2.6,0.339,7.1,0.455,0.473,5.9,7.5,0.796,1.4,4.6,6.0,5.5,1.4,0.6,2.7,28.0,2003-04,0.52,0.35,1
Allen Iverson,PHI,48.0,42.5,9.1,23.4,0.387,1.2,0.286,7.9,0.408,0.412,7.1,9.5,0.745,0.7,3.0,3.7,6.8,2.4,0.1,4.4,26.4,2003-04,0.48,0.38,1
Kevin Garnett,MIN,82.0,39.4,9.8,19.6,0.499,0.1,0.256,9.7,0.506,0.502,4.5,5.7,0.791,3.0,10.9,13.9,5.0,1.5,2.2,2.6,24.2,2003-04,0.55,0.4,1
Peja Stojaković,SAC,81.0,40.3,8.2,17.1,0.48,3.0,0.433,5.2,0.511,0.566,4.9,5.2,0.927,1.1,5.1,6.3,2.1,1.3,0.2,1.9,24.2,2003-04,0.62,0.28,0
Kobe Bryant,LAL,65.0,37.6,7.9,18.1,0.438,1.1,0.327,6.8,0.463,0.468,7.0,8.2,0.852,1.6,3.9,5.5,5.1,1.7,0.4,2.6,24.0,2003-04,0.55,0.35,1
Ray Allen,SEA,56.0,38.4,8.0,18.2,0.44,2.6,0.392,5.3,0.468,0.512,4.4,4.8,0.904,1.2,3.9,5.1,4.8,1.3,0.2,2.8,23.0,2003-04,0.57,0.38,0
Paul Pierce,BOS,80.0,38.7,7.5,18.7,0.402,1.4,0.299,6.1,0.438,0.441,6.5,7.9,0.819,0.9,5.7,6.5,5.1,1.6,0.7,3.8,23.0,2003-04,0.52,0.26,1
Baron Davis,NOH,67.0,40.1,8.3,20.9,0.395,2.8,0.321,5.5,0.448,0.462,3.5,5.3,0.673,1.0,3.3,4.3,7.5,2.4,0.4,3.2,22.9,2003-04,0.49,0.3,0
Vince Carter,TOR,73.0,38.2,8.3,20.0,0.417,1.3,0.383,7.1,0.424,0.449,4.6,5.7,0.806,1.3,3.5,4.8,4.8,1.2,0.9,3.1,22.5,2003-04,0.5,0.25,0
Tim Duncan,SAS,69.0,36.6,8.6,17.1,0.501,0.0,0.167,8.6,0.505,0.502,5.1,8.5,0.599,3.3,9.2,12.4,3.1,0.9,2.7,2.7,22.3,2003-04,0.54,0.39,1
Dirk Nowitzki,DAL,77.0,37.9,7.9,17.0,0.462,1.3,0.341,6.6,0.496,0.5,4.8,5.5,0.877,1.2,7.5,8.7,2.7,1.2,1.4,1.8,21.8,2003-04,0.56,0.31,1
Michael Redd,MIL,82.0,36.8,7.7,17.5,0.44,1.5,0.35,6.2,0.47,0.484,4.7,5.4,0.868,1.4,3.5,5.0,2.3,1.0,0.1,1.4,21.7,2003-04,0.55,0.22,0
Shaquille O'Neal,LAL,67.0,36.8,8.3,14.1,0.584,0.0,,8.3,0.584,0.584,4.9,10.1,0.49,3.7,7.8,11.5,2.9,0.5,2.5,2.9,21.5,2003-04,0.58,0.37,1
Carmelo Anthony,DEN,82.0,36.5,7.6,17.9,0.426,0.8,0.322,6.8,0.444,0.449,5.0,6.4,0.777,2.2,3.8,6.1,2.8,1.2,0.5,3.0,21.0,2003-04,0.51,0.21,0
LeBron James,CLE,79.0,39.5,7.9,18.9,0.417,0.8,0.29,7.1,0.438,0.438,4.4,5.8,0.754,1.3,4.2,5.5,5.9,1.6,0.7,3.5,20.9,2003-04,0.49,0.24,0
Jamal Mashburn,NOH,19.0,38.4,8.2,20.9,0.392,1.0,0.284,7.2,0.414,0.416,3.4,4.2,0.813,1.0,5.2,6.2,2.5,0.7,0.3,1.9,20.8,2003-04,0.46,0.79,1
