Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,Previously_Nominated,TS%,EFF
Kevin Durant,OKC,78.0,38.9,9.1,19.7,0.462,1.9,0.35,7.3,0.504,0.509,7.6,8.7,0.88,0.7,6.1,6.8,2.7,1.1,1.0,2.8,27.7,2010-11,0,0.59,0.32
LeBron James,MIA,79.0,38.8,9.6,18.8,0.51,1.2,0.33,8.4,0.552,0.541,6.4,8.4,0.759,1.0,6.5,7.5,7.0,1.6,0.6,3.6,26.7,2010-11,0,0.59,0.36
Carmelo Anthony,2TM,77.0,35.7,8.9,19.5,0.455,1.2,0.378,7.6,0.47,0.487,6.6,7.9,0.838,1.5,5.8,7.3,2.9,0.9,0.6,2.7,25.6,2010-11,0,0.56,0.29
Dwyane Wade,MIA,76.0,37.1,9.1,18.2,0.5,0.8,0.306,8.3,0.534,0.523,6.5,8.6,0.758,1.6,4.8,6.4,4.6,1.5,1.1,3.1,25.5,2010-11,0,0.58,0.33
Kobe Bryant,LAL,82.0,33.9,9.0,20.0,0.451,1.4,0.323,7.6,0.487,0.487,5.9,7.1,0.828,1.0,4.1,5.1,4.7,1.2,0.1,3.0,25.3,2010-11,0,0.55,0.26
Amar'e Stoudemire,NYK,78.0,36.8,9.5,19.0,0.502,0.1,0.435,9.4,0.503,0.505,6.1,7.7,0.792,2.5,5.6,8.2,2.6,0.9,1.9,3.2,25.3,2010-11,0,0.57,0.32
Derrick Rose,CHI,81.0,37.4,8.8,19.7,0.445,1.6,0.332,7.2,0.481,0.485,5.9,6.9,0.858,1.0,3.1,4.1,7.7,1.0,0.6,3.4,25.0,2010-11,0,0.55,0.29
Monta Ellis,GSW,80.0,40.3,9.1,20.1,0.451,1.7,0.361,7.4,0.478,0.493,4.3,5.4,0.789,0.6,3.0,3.5,5.6,2.1,0.3,3.2,24.1,2010-11,0,0.54,0.25
Kevin Martin,HOU,80.0,32.5,6.9,15.8,0.436,2.2,0.383,4.7,0.467,0.506,7.4,8.4,0.888,0.4,2.9,3.2,2.5,1.0,0.2,2.3,23.5,2010-11,0,0.6,0.23
Dirk Nowitzki,DAL,73.0,34.3,8.4,16.2,0.517,0.9,0.393,7.5,0.538,0.545,5.4,6.1,0.892,0.7,6.3,7.0,2.6,0.5,0.6,1.9,23.0,2010-11,0,0.61,0.32
Dwight Howard,ORL,78.0,37.6,7.9,13.4,0.593,0.0,0.0,7.9,0.597,0.593,7.0,11.7,0.596,4.0,10.1,14.1,1.4,1.4,2.4,3.6,22.9,2010-11,0,0.62,0.36
Blake Griffin,LAC,82.0,38.0,8.5,16.8,0.506,0.1,0.292,8.4,0.51,0.508,5.4,8.5,0.642,3.3,8.8,12.1,3.8,0.8,0.5,2.7,22.5,2010-11,0,0.55,0.31
Eric Gordon,LAC,56.0,37.7,7.6,16.9,0.45,1.9,0.364,5.7,0.488,0.506,5.1,6.2,0.825,0.8,2.1,2.9,4.4,1.3,0.3,2.7,22.3,2010-11,0,0.57,0.32
Russell Westbrook,OKC,82.0,34.7,7.5,17.0,0.442,0.4,0.33,7.1,0.451,0.454,6.5,7.7,0.842,1.5,3.1,4.6,8.2,1.9,0.4,3.9,21.9,2010-11,0,0.54,0.27
LaMarcus Aldridge,POR,81.0,39.6,8.7,17.5,0.5,0.0,0.174,8.7,0.505,0.501,4.3,5.5,0.791,3.4,5.3,8.8,2.1,1.0,1.2,1.9,21.8,2010-11,0,0.55,0.28
Andrea Bargnani,TOR,66.0,35.7,8.0,17.8,0.448,1.2,0.345,6.8,0.472,0.48,4.3,5.3,0.82,1.1,4.1,5.2,1.8,0.5,0.7,2.3,21.4,2010-11,0,0.53,0.25
Danny Granger,IND,79.0,35.0,6.8,15.9,0.425,2.0,0.386,4.8,0.443,0.487,5.0,5.9,0.848,1.1,4.3,5.4,2.6,1.1,0.8,2.6,20.5,2010-11,0,0.55,0.23
Brook Lopez,NJN,82.0,35.2,7.9,16.0,0.492,0.0,0.0,7.9,0.492,0.492,4.7,6.0,0.787,2.4,3.5,6.0,1.6,0.6,1.5,2.1,20.4,2010-11,0,0.55,0.23
Kevin Love,MIN,73.0,35.8,6.6,14.1,0.47,1.2,0.417,5.4,0.483,0.513,5.8,6.8,0.85,4.5,10.7,15.2,2.5,0.6,0.4,2.1,20.2,2010-11,0,0.59,0.39
Deron Williams,2TM,65.0,37.9,6.6,15.0,0.439,1.6,0.331,5.0,0.491,0.493,5.4,6.3,0.845,0.6,3.4,4.0,10.3,1.2,0.2,3.5,20.1,2010-11,0,0.57,0.35
