Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,MVP_Rank
Deron Williams,UTA,80.0,36.9,6.2,13.5,0.456,1.0,0.322,5.2,0.498,0.494,2.8,3.7,0.767,0.5,2.8,3.3,9.3,1.0,0.2,3.1,16.2,2006-07,0.54,0.23,
Al Jefferson,BOS,69.0,33.6,6.6,12.8,0.514,0.0,0.0,6.6,0.514,0.514,2.9,4.3,0.681,3.4,7.5,11.0,1.3,0.7,1.5,2.0,16.0,2006-07,0.54,0.3,
Jason Richardson,GSW,51.0,32.8,6.0,14.4,0.417,2.2,0.365,3.8,0.453,0.492,1.8,2.7,0.657,1.4,3.7,5.1,3.4,1.1,0.6,1.6,16.0,2006-07,0.51,0.3,
Lamar Odom,LAL,56.0,39.3,5.7,12.2,0.468,1.0,0.297,4.7,0.531,0.508,3.5,5.1,0.7,1.8,7.9,9.8,4.8,0.9,0.6,2.9,15.9,2006-07,0.55,0.38,
Stephen Jackson,2TM,75.0,33.1,5.5,12.6,0.433,1.3,0.322,4.1,0.488,0.486,3.2,4.0,0.813,0.8,2.1,3.0,3.8,1.1,0.5,2.4,15.5,2006-07,0.54,0.18,
Wally Szczerbiak,BOS,32.0,28.1,5.0,12.1,0.415,1.4,0.415,3.7,0.415,0.472,3.5,3.9,0.897,0.5,2.6,3.1,1.7,0.6,0.1,1.7,15.0,2006-07,0.54,0.35,
Larry Hughes,CLE,70.0,37.1,5.4,13.6,0.4,1.1,0.333,4.4,0.42,0.439,3.0,4.4,0.676,0.6,3.2,3.8,3.7,1.3,0.4,2.2,14.9,2006-07,0.48,0.18,
Raja Bell,PHO,78.0,37.4,5.3,12.2,0.432,2.6,0.413,2.6,0.452,0.539,1.5,1.9,0.776,0.6,2.6,3.2,2.5,0.6,0.3,1.1,14.7,2006-07,0.56,0.17,
Ruben Patterson,MIL,81.0,31.0,5.9,10.7,0.548,0.0,0.158,5.8,0.557,0.55,3.0,4.6,0.641,2.3,3.1,5.4,2.9,1.4,0.3,2.5,14.7,2006-07,0.58,0.2,
Earl Boykins,2TM,66.0,30.8,4.9,11.7,0.42,1.4,0.397,3.5,0.43,0.482,3.3,3.7,0.898,0.7,1.4,2.1,4.4,0.8,0.0,1.8,14.6,2006-07,0.55,0.2,
Grant Hill,ORL,65.0,30.9,5.3,10.2,0.518,0.0,0.167,5.2,0.525,0.52,3.8,5.0,0.765,0.8,2.8,3.6,2.1,0.9,0.4,2.2,14.4,2006-07,0.58,0.2,
Kyle Korver,PHI,74.0,30.9,5.0,11.4,0.44,1.8,0.43,3.2,0.446,0.518,2.6,2.8,0.914,0.4,3.1,3.5,1.4,0.8,0.3,1.6,14.4,2006-07,0.57,0.16,
Emeka Okafor,CHA,67.0,34.8,5.9,11.0,0.532,0.0,,5.9,0.532,0.532,2.6,4.4,0.593,3.9,7.4,11.3,1.2,0.9,2.6,1.7,14.4,2006-07,0.56,0.33,
Tayshaun Prince,DET,82.0,36.6,5.6,12.2,0.46,1.0,0.386,4.6,0.48,0.501,2.1,2.7,0.768,1.8,3.5,5.2,2.8,0.6,0.7,1.2,14.3,2006-07,0.53,0.19,
Andrés Nocioni,CHI,53.0,26.5,5.2,11.0,0.467,1.5,0.383,3.6,0.515,0.536,2.3,2.7,0.848,0.8,4.9,5.7,1.1,0.5,0.5,2.0,14.1,2006-07,0.58,0.26,
Raymond Felton,CHA,78.0,36.3,5.0,13.1,0.384,1.3,0.33,3.7,0.407,0.434,2.6,3.3,0.797,0.7,2.8,3.4,7.0,1.5,0.1,2.9,14.0,2006-07,0.48,0.18,
T.J. Ford,TOR,75.0,29.9,5.2,12.0,0.436,0.3,0.304,5.0,0.447,0.447,3.2,3.9,0.819,0.7,2.4,3.1,7.9,1.3,0.1,3.1,14.0,2006-07,0.51,0.21,
Danny Granger,IND,82.0,34.0,4.9,10.6,0.459,1.3,0.382,3.5,0.497,0.522,2.9,3.6,0.803,1.4,3.3,4.6,1.4,0.8,0.7,1.6,13.9,2006-07,0.57,0.16,
Cuttino Mobley,LAC,78.0,36.4,5.0,11.3,0.44,1.3,0.411,3.7,0.451,0.497,2.6,3.1,0.837,0.7,2.8,3.4,2.5,1.2,0.3,1.9,13.8,2006-07,0.54,0.16,
Desmond Mason,NOK,75.0,34.3,5.4,12.0,0.452,0.0,,5.4,0.452,0.452,2.9,4.3,0.663,1.7,2.9,4.6,1.5,0.7,0.3,2.6,13.7,2006-07,0.49,0.14,
Charlie Bell,MIL,82.0,34.7,5.2,11.9,0.437,1.5,0.352,3.6,0.488,0.503,1.6,2.0,0.78,0.7,2.2,2.9,3.0,1.2,0.0,1.3,13.5,2006-07,0.53,0.15,
Chris Wilcox,SEA,82.0,31.5,5.3,10.0,0.529,0.0,0.0,5.3,0.533,0.529,2.9,4.3,0.684,2.2,5.5,7.7,1.0,0.9,0.5,1.5,13.5,2006-07,0.57,0.2,
Andre Miller,2TM,80.0,37.1,5.3,11.4,0.466,0.1,0.143,5.2,0.479,0.469,2.8,3.5,0.784,1.2,3.2,4.4,7.8,1.4,0.1,2.8,13.4,2006-07,0.52,0.22,
Rafer Alston,HOU,82.0,37.1,4.7,12.4,0.375,2.3,0.363,2.3,0.389,0.47,1.6,2.2,0.734,0.4,3.1,3.4,5.4,1.6,0.1,2.1,13.3,2006-07,0.5,0.16,
Hedo Türkoğlu,ORL,73.0,31.1,4.7,11.3,0.419,1.5,0.388,3.2,0.435,0.485,2.3,3.0,0.781,0.8,3.2,4.0,3.2,1.0,0.2,2.0,13.3,2006-07,0.53,0.17,
Chucky Atkins,MEM,75.0,27.5,4.1,9.5,0.434,1.5,0.379,2.6,0.474,0.515,3.4,4.1,0.81,0.2,1.6,1.9,4.6,0.7,0.1,1.7,13.2,2006-07,0.58,0.17,
Marvin Williams,ATL,64.0,34.0,4.8,11.0,0.433,0.2,0.244,4.6,0.446,0.441,3.4,4.1,0.815,1.3,4.0,5.3,1.9,0.8,0.5,2.0,13.1,2006-07,0.51,0.2,
Josh Childress,ATL,55.0,36.8,4.7,9.4,0.504,0.5,0.338,4.3,0.533,0.529,3.0,3.8,0.795,2.2,3.9,6.2,2.3,1.1,0.7,1.5,13.0,2006-07,0.59,0.3,
Jason Kidd,NJN,80.0,36.7,4.6,11.4,0.406,1.6,0.343,3.1,0.448,0.475,2.2,2.9,0.778,1.7,6.5,8.2,9.2,1.6,0.3,2.7,13.0,2006-07,0.51,0.28,
Jameer Nelson,ORL,77.0,30.3,4.9,11.4,0.43,0.8,0.335,4.0,0.457,0.467,2.4,2.9,0.828,0.6,2.4,3.1,4.3,0.9,0.1,2.4,13.0,2006-07,0.51,0.16,
Quentin Richardson,NYK,49.0,33.1,4.7,11.1,0.418,2.0,0.376,2.7,0.456,0.507,1.7,2.4,0.692,1.3,5.9,7.2,2.2,0.7,0.1,1.4,13.0,2006-07,0.53,0.3,
J.R. Smith,DEN,63.0,23.3,4.5,10.2,0.441,2.4,0.39,2.1,0.515,0.557,1.6,2.0,0.81,0.5,1.8,2.3,1.4,0.8,0.1,1.3,13.0,2006-07,0.59,0.16,
Mike Dunleavy,2TM,82.0,31.5,4.7,10.4,0.452,0.9,0.313,3.8,0.502,0.493,2.6,3.3,0.784,1.0,4.2,5.3,2.8,1.0,0.3,1.8,12.8,2006-07,0.54,0.17,
Jamaal Tinsley,IND,72.0,31.2,4.8,12.3,0.389,0.8,0.316,4.0,0.409,0.424,2.4,3.3,0.72,0.8,2.5,3.3,6.9,1.6,0.3,2.8,12.8,2006-07,0.47,0.19,
Hakim Warrick,MEM,82.0,26.2,4.5,8.7,0.524,0.0,0.0,4.5,0.53,0.524,3.6,4.7,0.771,1.6,3.5,5.1,0.9,0.5,0.4,2.0,12.7,2006-07,0.59,0.15,
Anthony Parker,TOR,73.0,33.4,4.5,9.4,0.477,1.6,0.441,2.9,0.5,0.561,1.8,2.2,0.835,0.8,3.1,3.9,2.1,1.0,0.2,1.0,12.4,2006-07,0.6,0.18,
Mark Blount,MIN,82.0,31.0,5.2,10.2,0.509,0.1,0.29,5.1,0.517,0.514,1.8,2.4,0.754,1.7,4.5,6.2,0.8,0.5,0.7,1.9,12.3,2006-07,0.55,0.16,
Andrew Bogut,MIL,66.0,34.2,5.3,9.5,0.553,0.0,0.2,5.3,0.556,0.554,1.7,2.9,0.577,2.5,6.3,8.8,3.0,0.7,0.5,2.3,12.3,2006-07,0.57,0.27,
Sam Cassell,LAC,58.0,24.3,4.5,10.8,0.418,0.6,0.294,3.9,0.444,0.443,2.8,3.1,0.879,0.5,2.4,2.9,4.7,0.5,0.1,1.7,12.3,2006-07,0.51,0.21,
Rasheed Wallace,DET,75.0,32.3,4.8,11.2,0.423,1.4,0.351,3.4,0.463,0.485,1.4,1.8,0.788,1.2,6.0,7.2,1.7,1.0,1.6,1.3,12.3,2006-07,0.51,0.21,
Nenê,DEN,64.0,26.8,4.6,8.1,0.57,0.0,0.0,4.6,0.571,0.57,3.0,4.4,0.689,2.3,4.7,7.0,1.2,1.0,0.9,2.0,12.2,2006-07,0.61,0.24,
Zaza Pachulia,ATL,72.0,28.1,4.0,8.5,0.474,0.0,0.0,4.0,0.475,0.474,4.1,5.2,0.786,2.8,4.2,6.9,1.5,1.1,0.5,2.3,12.2,2006-07,0.57,0.2,
Delonte West,BOS,69.0,32.2,4.4,10.4,0.427,0.9,0.365,3.5,0.447,0.472,2.4,2.9,0.853,0.5,2.6,3.0,4.4,1.1,0.5,2.0,12.2,2006-07,0.52,0.18,
Matt Carroll,CHA,72.0,26.1,4.0,9.1,0.433,1.5,0.416,2.4,0.445,0.517,2.6,2.9,0.904,0.5,2.4,2.9,1.3,0.7,0.1,1.0,12.1,2006-07,0.58,0.15,
Ryan Gomes,BOS,73.0,31.2,4.6,9.9,0.467,0.2,0.381,4.4,0.473,0.479,2.6,3.2,0.811,1.7,3.9,5.6,1.6,0.7,0.2,1.4,12.1,2006-07,0.54,0.18,
Jarrett Jack,POR,79.0,33.6,4.1,8.9,0.454,0.8,0.35,3.3,0.49,0.499,3.1,3.5,0.871,0.2,2.4,2.6,5.3,1.1,0.1,2.4,12.0,2006-07,0.57,0.17,
Jerry Stackhouse,DAL,67.0,24.1,4.2,9.8,0.428,0.9,0.383,3.3,0.443,0.476,2.7,3.2,0.847,0.6,1.6,2.2,2.8,0.8,0.1,1.7,12.0,2006-07,0.54,0.15,
Zydrunas Ilgauskas,CLE,78.0,27.3,4.9,10.2,0.485,0.0,0.0,4.9,0.486,0.485,2.0,2.5,0.807,3.1,4.6,7.7,1.6,0.6,1.3,1.8,11.9,2006-07,0.53,0.2,
Sean May,CHA,35.0,23.9,4.7,9.4,0.5,0.1,0.667,4.6,0.498,0.503,2.5,3.2,0.768,2.1,4.6,6.7,1.9,0.5,0.7,1.6,11.9,2006-07,0.55,0.42,
Adam Morrison,CHA,78.0,29.8,4.6,12.1,0.376,1.1,0.337,3.4,0.391,0.422,1.5,2.2,0.71,0.7,2.3,2.9,2.1,0.4,0.1,1.7,11.8,2006-07,0.45,0.09,
Charlie Villanueva,MIL,39.0,25.2,4.6,9.8,0.47,0.7,0.337,3.9,0.508,0.508,1.9,2.3,0.82,1.6,4.3,5.8,0.9,0.6,0.3,1.4,11.8,2006-07,0.55,0.32,
Andrea Bargnani,TOR,65.0,25.1,4.1,9.6,0.427,1.5,0.373,2.6,0.468,0.507,1.8,2.2,0.824,0.8,3.1,3.9,0.8,0.5,0.8,1.6,11.6,2006-07,0.55,0.16,
Devin Brown,NOK,58.0,28.7,4.0,9.6,0.42,1.4,0.357,2.6,0.463,0.493,2.1,2.7,0.794,0.9,3.4,4.3,2.6,0.8,0.2,1.6,11.6,2006-07,0.54,0.2,
Matt Harpring,UTA,77.0,25.5,4.2,8.5,0.491,0.2,0.333,4.0,0.501,0.501,3.1,4.0,0.767,1.5,3.1,4.6,1.3,0.7,0.1,1.5,11.6,2006-07,0.57,0.15,
Tony Allen,BOS,33.0,24.4,4.0,7.8,0.514,0.2,0.242,3.8,0.553,0.529,3.2,4.1,0.784,1.1,2.7,3.8,1.7,1.5,0.4,2.3,11.5,2006-07,0.6,0.36,
Tyronn Lue,ATL,56.0,26.6,3.9,9.4,0.416,1.0,0.348,2.9,0.446,0.469,2.6,2.9,0.883,0.3,1.5,1.9,3.6,0.4,0.0,1.5,11.4,2006-07,0.53,0.18,
Luke Walton,LAL,60.0,33.0,4.4,9.3,0.474,0.8,0.387,3.6,0.499,0.517,1.8,2.4,0.745,1.5,3.6,5.0,4.3,1.0,0.4,2.0,11.4,2006-07,0.55,0.24,
Steve Francis,NYK,44.0,28.1,3.2,7.8,0.408,1.0,0.378,2.2,0.422,0.469,4.0,4.8,0.829,0.8,2.8,3.6,3.9,0.9,0.3,2.3,11.3,2006-07,0.57,0.28,
Willie Green,PHI,74.0,24.9,4.8,11.7,0.411,0.7,0.325,4.1,0.43,0.441,1.0,1.5,0.667,0.6,1.6,2.1,1.5,0.8,0.1,1.4,11.3,2006-07,0.46,0.09,
Chris Webber,2TM,61.0,29.9,4.7,10.5,0.452,0.1,0.364,4.7,0.454,0.455,1.7,2.6,0.638,2.0,5.1,7.2,3.1,1.0,0.7,1.8,11.2,2006-07,0.48,0.24,
Marcus Camby,DEN,70.0,33.8,4.5,9.4,0.473,0.0,0.0,4.5,0.475,0.473,2.3,3.2,0.729,2.3,9.3,11.7,3.2,1.2,3.3,1.7,11.2,2006-07,0.52,0.33,
DeShawn Stevenson,WAS,82.0,29.5,4.2,9.2,0.461,0.9,0.404,3.3,0.479,0.51,1.9,2.6,0.704,0.7,2.0,2.6,2.7,0.8,0.2,1.5,11.2,2006-07,0.54,0.13,
