Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,MVP_Rank
Kobe Bryant,LAL,77.0,40.8,10.6,22.8,0.463,1.8,0.344,8.8,0.497,0.502,8.7,10.0,0.868,1.0,4.7,5.7,5.4,1.4,0.5,3.3,31.6,2006-07,0.58,0.36,
Carmelo Anthony,DEN,65.0,38.2,10.6,22.4,0.476,0.6,0.268,10.0,0.499,0.489,7.1,8.7,0.808,2.2,3.8,6.0,3.8,1.2,0.4,3.6,28.9,2006-07,0.55,0.36,
Gilbert Arenas,WAS,74.0,39.8,8.7,20.9,0.418,2.8,0.351,6.0,0.459,0.484,8.2,9.7,0.844,0.8,3.7,4.6,6.0,1.9,0.2,3.2,28.4,2006-07,0.56,0.33,
Dwyane Wade,MIA,51.0,37.9,9.3,18.9,0.491,0.4,0.266,8.8,0.511,0.502,8.5,10.5,0.807,1.0,3.7,4.7,7.5,2.1,1.2,4.2,27.4,2006-07,0.58,0.53,
LeBron James,CLE,78.0,40.9,9.9,20.8,0.476,1.3,0.319,8.6,0.513,0.507,6.3,9.0,0.698,1.1,5.7,6.7,6.0,1.6,0.7,3.2,27.3,2006-07,0.55,0.33,
Michael Redd,MIL,53.0,38.4,9.0,19.3,0.465,2.2,0.382,6.8,0.501,0.522,6.5,7.8,0.829,0.8,2.9,3.7,2.3,1.2,0.2,2.3,26.7,2006-07,0.59,0.38,
Ray Allen,SEA,55.0,40.3,9.2,21.0,0.438,3.0,0.372,6.2,0.479,0.51,5.1,5.6,0.903,1.0,3.5,4.5,4.1,1.5,0.2,2.8,26.4,2006-07,0.56,0.39,
Allen Iverson,2TM,65.0,42.5,8.9,20.2,0.442,1.0,0.315,8.0,0.465,0.466,7.5,9.4,0.795,0.4,2.6,3.0,7.2,1.9,0.2,4.1,26.3,2006-07,0.54,0.33,
Vince Carter,NJN,82.0,38.1,8.9,19.5,0.454,1.9,0.357,7.0,0.491,0.503,5.6,7.0,0.802,1.4,4.6,6.0,4.8,1.0,0.4,2.6,25.2,2006-07,0.56,0.28,
Joe Johnson,ATL,57.0,41.4,9.4,20.0,0.471,2.1,0.381,7.3,0.504,0.523,4.1,5.5,0.748,0.9,3.3,4.2,4.4,1.1,0.2,3.1,25.0,2006-07,0.56,0.35,
Yao Ming,HOU,48.0,33.8,8.8,17.1,0.516,0.0,0.0,8.8,0.518,0.516,7.4,8.6,0.862,2.1,7.3,9.4,2.0,0.4,2.0,3.5,25.0,2006-07,0.6,0.54,
Paul Pierce,BOS,47.0,37.0,7.9,18.1,0.439,2.3,0.389,5.7,0.463,0.502,6.8,8.6,0.796,0.8,5.1,5.9,4.1,1.0,0.3,3.2,25.0,2006-07,0.57,0.45,
Tracy McGrady,HOU,71.0,35.8,9.0,20.8,0.431,1.8,0.331,7.2,0.466,0.474,4.9,6.9,0.707,0.8,4.5,5.3,6.5,1.3,0.5,3.0,24.6,2006-07,0.52,0.3,
Dirk Nowitzki,DAL,78.0,36.2,8.6,17.2,0.502,0.9,0.416,7.7,0.515,0.529,6.4,7.1,0.904,1.6,7.3,8.9,3.4,0.7,0.8,2.1,24.6,2006-07,0.61,0.35,
Zach Randolph,POR,68.0,35.7,8.8,18.9,0.467,0.2,0.292,8.6,0.473,0.472,5.8,7.1,0.819,2.9,7.2,10.1,2.2,0.8,0.2,3.2,23.6,2006-07,0.54,0.33,
Chris Bosh,TOR,69.0,38.5,7.9,15.9,0.496,0.2,0.343,7.7,0.501,0.502,6.7,8.6,0.785,2.7,8.0,10.7,2.5,0.6,1.3,2.6,22.6,2006-07,0.57,0.37,
Kevin Garnett,MIN,76.0,39.4,8.4,17.6,0.476,0.2,0.214,8.2,0.487,0.48,5.5,6.6,0.835,2.4,10.4,12.8,4.1,1.2,1.7,2.7,22.4,2006-07,0.55,0.38,
Rashard Lewis,SEA,60.0,39.1,7.7,16.8,0.461,2.5,0.39,5.2,0.505,0.536,4.4,5.3,0.841,1.5,5.1,6.6,2.4,1.1,0.7,2.0,22.4,2006-07,0.59,0.35,
Ben Gordon,CHI,82.0,33.0,7.4,16.3,0.455,1.9,0.413,5.5,0.471,0.513,4.6,5.4,0.864,0.4,2.7,3.1,3.6,0.8,0.2,3.0,21.4,2006-07,0.57,0.2,
Carlos Boozer,UTA,74.0,34.6,8.7,15.6,0.561,0.0,,8.7,0.561,0.561,3.4,5.0,0.685,3.2,8.5,11.7,3.0,0.9,0.3,2.6,20.9,2006-07,0.59,0.35,
Pau Gasol,MEM,59.0,36.2,7.8,14.5,0.538,0.1,0.273,7.8,0.542,0.54,5.1,6.8,0.748,2.5,7.3,9.8,3.4,0.5,2.1,2.7,20.8,2006-07,0.59,0.43,
Elton Brand,LAC,80.0,38.5,8.1,15.1,0.533,0.0,1.0,8.1,0.532,0.533,4.4,5.8,0.761,3.4,6.0,9.3,2.9,1.0,2.2,2.5,20.5,2006-07,0.58,0.31,
Amar'e Stoudemire,PHO,82.0,32.8,7.4,12.9,0.575,0.0,0.0,7.4,0.577,0.575,5.6,7.1,0.781,2.7,6.9,9.6,1.0,1.0,1.3,2.8,20.4,2006-07,0.64,0.29,
Kevin Martin,SAC,80.0,35.2,6.3,13.3,0.473,1.6,0.381,4.7,0.515,0.533,6.0,7.1,0.844,0.9,3.4,4.3,2.2,1.2,0.1,1.7,20.2,2006-07,0.61,0.23,
Baron Davis,GSW,63.0,35.3,7.2,16.3,0.439,1.3,0.304,5.8,0.489,0.48,4.4,5.9,0.745,0.8,3.6,4.4,8.1,2.1,0.5,3.1,20.1,2006-07,0.53,0.34,
Tim Duncan,SAS,80.0,34.1,7.7,14.1,0.546,0.0,0.111,7.7,0.55,0.547,4.5,7.1,0.637,2.7,7.9,10.6,3.4,0.8,2.4,2.8,20.0,2006-07,0.58,0.32,
Richard Hamilton,DET,75.0,36.8,7.3,15.6,0.468,0.6,0.341,6.7,0.483,0.486,4.6,5.4,0.861,1.0,2.8,3.8,3.8,0.8,0.2,2.1,19.8,2006-07,0.55,0.23,
Antawn Jamison,WAS,70.0,38.0,7.3,16.3,0.45,2.0,0.364,5.3,0.492,0.51,3.2,4.4,0.736,1.9,6.1,8.0,1.9,1.1,0.5,1.5,19.8,2006-07,0.54,0.28,
Eddy Curry,NYK,81.0,35.2,7.2,12.5,0.576,0.0,1.0,7.2,0.575,0.576,5.0,8.1,0.615,2.4,4.6,7.0,0.8,0.4,0.5,3.6,19.5,2006-07,0.61,0.2,
Jermaine O'Neal,IND,69.0,35.6,7.2,16.5,0.436,0.0,0.0,7.2,0.439,0.436,5.0,6.5,0.767,2.2,7.4,9.6,2.4,0.7,2.6,2.9,19.4,2006-07,0.5,0.3,
Caron Butler,WAS,63.0,39.3,7.2,15.5,0.463,0.3,0.25,6.9,0.48,0.472,4.5,5.2,0.863,2.3,5.1,7.4,3.7,2.1,0.3,2.9,19.1,2006-07,0.54,0.33,
Josh Howard,DAL,70.0,35.1,7.0,15.4,0.459,1.3,0.385,5.7,0.48,0.501,3.5,4.2,0.827,1.9,4.9,6.8,1.8,1.2,0.8,1.8,18.9,2006-07,0.55,0.27,
Luol Deng,CHI,82.0,37.5,7.7,14.9,0.517,0.0,0.143,7.7,0.519,0.518,3.4,4.4,0.777,1.8,5.3,7.1,2.5,1.2,0.6,1.9,18.8,2006-07,0.56,0.25,
Metta World Peace,SAC,70.0,37.7,6.5,14.9,0.44,1.3,0.358,5.2,0.468,0.485,4.4,5.9,0.74,1.5,5.0,6.5,3.4,2.1,0.6,2.1,18.8,2006-07,0.54,0.28,
Steve Nash,PHO,76.0,35.3,6.8,12.8,0.532,2.1,0.455,4.8,0.575,0.613,2.9,3.3,0.899,0.4,3.1,3.5,11.6,0.8,0.1,3.8,18.6,2006-07,0.65,0.32,
Tony Parker,SAS,77.0,32.5,7.4,14.2,0.52,0.2,0.395,7.2,0.525,0.527,3.6,4.5,0.783,0.4,2.8,3.2,5.5,1.1,0.1,2.5,18.6,2006-07,0.57,0.24,
Mike Miller,MEM,70.0,39.1,6.6,14.4,0.46,2.9,0.406,3.8,0.514,0.56,2.3,2.9,0.793,0.7,4.7,5.4,4.3,0.8,0.3,2.6,18.5,2006-07,0.59,0.26,
David West,NOK,52.0,36.5,7.3,15.2,0.476,0.2,0.32,7.1,0.481,0.481,3.6,4.4,0.824,2.4,5.7,8.2,2.2,0.8,0.7,1.9,18.3,2006-07,0.53,0.38,
Andre Iguodala,PHI,76.0,40.3,5.8,13.0,0.447,0.6,0.31,5.2,0.472,0.471,5.9,7.3,0.82,1.0,4.7,5.7,5.7,2.0,0.4,3.4,18.2,2006-07,0.56,0.26,
Leandro Barbosa,PHO,80.0,32.7,6.6,13.9,0.476,2.4,0.434,4.2,0.504,0.562,2.5,2.9,0.845,0.3,2.4,2.7,4.0,1.2,0.2,1.8,18.1,2006-07,0.6,0.21,
Gerald Wallace,CHA,72.0,36.7,6.6,13.2,0.502,0.5,0.325,6.1,0.528,0.523,4.3,6.2,0.691,2.0,5.2,7.2,2.6,2.0,1.0,2.2,18.1,2006-07,0.57,0.28,
Peja Stojaković,NOK,13.0,32.7,6.4,15.1,0.423,2.6,0.405,3.8,0.438,0.51,2.4,2.9,0.816,0.8,3.3,4.2,0.8,0.6,0.3,1.5,17.8,2006-07,0.54,1.0,
Jamal Crawford,NYK,59.0,37.3,6.0,15.0,0.4,1.7,0.32,4.3,0.445,0.458,3.9,4.6,0.838,0.7,2.5,3.2,4.4,1.0,0.1,2.7,17.6,2006-07,0.52,0.24,
Dwight Howard,ORL,82.0,36.9,6.4,10.6,0.603,0.0,0.5,6.4,0.603,0.603,4.8,8.1,0.586,3.5,8.8,12.3,1.9,0.9,1.9,3.9,17.6,2006-07,0.62,0.28,
Mehmet Okur,UTA,80.0,33.3,6.1,13.3,0.462,1.6,0.384,4.5,0.498,0.523,3.7,4.8,0.765,2.0,5.2,7.2,2.0,0.5,0.5,1.6,17.6,2006-07,0.57,0.22,
Shawn Marion,PHO,80.0,37.6,7.0,13.4,0.524,1.0,0.317,6.0,0.587,0.561,2.5,3.1,0.81,2.2,7.7,9.8,1.7,2.0,1.5,1.4,17.5,2006-07,0.59,0.3,
Shaquille O'Neal,MIA,40.0,28.4,7.1,12.0,0.591,0.0,,7.1,0.591,0.591,3.1,7.4,0.422,2.4,5.0,7.4,2.0,0.2,1.4,2.4,17.3,2006-07,0.57,0.42,
Chris Paul,NOK,64.0,36.8,6.0,13.6,0.437,0.8,0.35,5.2,0.455,0.466,4.6,5.6,0.818,0.8,3.5,4.4,8.9,1.8,0.0,2.5,17.3,2006-07,0.54,0.33,
Mo Williams,MIL,68.0,36.4,6.9,15.4,0.446,1.2,0.346,5.7,0.474,0.484,2.3,2.7,0.855,0.8,4.0,4.8,6.1,1.3,0.1,3.0,17.3,2006-07,0.52,0.26,
Mike Bibby,SAC,82.0,34.0,5.7,14.2,0.404,2.1,0.36,3.6,0.435,0.478,3.5,4.2,0.83,0.5,2.7,3.2,4.7,1.1,0.1,2.4,17.1,2006-07,0.53,0.18,
Chauncey Billups,DET,70.0,36.2,5.0,11.6,0.427,1.6,0.345,3.4,0.479,0.494,5.5,6.2,0.883,0.3,3.1,3.4,7.2,1.2,0.2,2.0,17.0,2006-07,0.59,0.28,
Ricky Davis,MIN,81.0,37.3,6.2,13.4,0.465,1.5,0.397,4.7,0.492,0.521,3.0,3.5,0.839,0.7,3.2,3.9,4.8,1.0,0.3,2.6,17.0,2006-07,0.57,0.21,
Corey Maggette,LAC,75.0,30.5,4.9,10.8,0.454,0.2,0.2,4.7,0.476,0.462,6.9,8.4,0.82,1.2,4.7,5.9,2.8,0.9,0.2,2.7,16.9,2006-07,0.58,0.22,
Brandon Roy,POR,57.0,35.4,6.1,13.4,0.456,1.0,0.377,5.2,0.475,0.492,3.5,4.2,0.838,1.0,3.4,4.4,4.0,1.2,0.2,2.0,16.8,2006-07,0.55,0.29,
Jason Terry,DAL,81.0,35.1,6.3,13.1,0.484,2.0,0.438,4.3,0.508,0.56,2.0,2.5,0.804,0.5,2.3,2.9,5.2,1.0,0.2,1.9,16.7,2006-07,0.59,0.21,
Kirk Hinrich,CHI,80.0,35.5,5.9,13.3,0.448,1.8,0.415,4.2,0.463,0.514,3.0,3.6,0.835,0.4,3.0,3.4,6.3,1.3,0.3,2.4,16.6,2006-07,0.56,0.22,
Al Harrington,2TM,78.0,32.9,6.3,13.9,0.457,1.6,0.433,4.7,0.466,0.516,2.2,3.1,0.694,1.9,4.4,6.4,1.9,0.8,0.3,2.2,16.5,2006-07,0.54,0.19,
Monta Ellis,GSW,77.0,34.3,6.2,13.1,0.475,0.5,0.273,5.7,0.509,0.495,3.5,4.6,0.763,0.8,2.4,3.2,4.1,1.7,0.3,2.9,16.5,2006-07,0.55,0.19,
Manu Ginóbili,SAS,75.0,27.5,5.3,11.4,0.464,1.7,0.396,3.6,0.505,0.539,4.3,5.0,0.86,0.8,3.6,4.4,3.5,1.5,0.4,2.1,16.5,2006-07,0.61,0.23,
Nenad Krstić,NJN,26.0,32.6,6.5,12.4,0.526,0.0,0.0,6.5,0.528,0.526,3.3,4.7,0.711,2.0,4.8,6.8,1.8,0.4,0.9,2.0,16.4,2006-07,0.57,0.65,
Stephon Marbury,NYK,74.0,37.1,5.3,12.9,0.415,1.7,0.357,3.7,0.448,0.48,4.0,5.2,0.769,0.5,2.4,2.9,5.4,1.0,0.1,2.4,16.4,2006-07,0.54,0.2,
Josh Smith,ATL,72.0,36.8,6.1,13.8,0.439,0.5,0.25,5.5,0.473,0.458,3.7,5.4,0.693,2.3,6.3,8.6,3.3,1.4,2.9,3.2,16.4,2006-07,0.51,0.28,
Richard Jefferson,NJN,55.0,35.6,5.5,12.1,0.456,0.9,0.359,4.6,0.483,0.495,4.3,5.9,0.733,0.9,3.5,4.4,2.7,0.6,0.1,2.2,16.3,2006-07,0.55,0.25,
