Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,Previously_Nominated,TS%,EFF
David Robinson,SAS,80.0,40.5,10.5,20.7,0.507,0.1,0.345,10.4,0.51,0.51,8.7,11.6,0.749,3.0,7.7,10.7,4.8,1.7,3.3,3.2,29.8,1993-94,1,0.58,0.42
Shaquille O'Neal,ORL,81.0,39.8,11.8,19.6,0.599,0.0,0.0,11.8,0.6,0.599,5.8,10.5,0.554,4.7,8.5,13.2,2.4,0.9,2.9,2.7,29.3,1993-94,1,0.6,0.41
Hakeem Olajuwon,HOU,80.0,41.0,11.2,21.2,0.528,0.1,0.421,11.1,0.529,0.53,4.9,6.8,0.716,2.9,9.1,11.9,3.6,1.6,3.7,3.4,27.3,1993-94,1,0.56,0.41
Dominique Wilkins,2TM,74.0,35.6,9.4,21.5,0.44,1.1,0.288,8.3,0.474,0.466,6.0,7.1,0.847,2.5,4.0,6.5,2.3,1.2,0.4,2.3,26.0,1993-94,1,0.53,0.28
Karl Malone,UTA,82.0,40.6,9.4,18.9,0.497,0.1,0.25,9.3,0.503,0.5,6.2,9.0,0.694,2.9,8.6,11.5,4.0,1.5,1.5,2.9,25.2,1993-94,1,0.55,0.35
Patrick Ewing,NYK,79.0,37.6,9.4,19.0,0.496,0.1,0.286,9.4,0.498,0.497,5.6,7.4,0.765,2.8,8.4,11.2,2.3,1.1,2.7,3.3,24.5,1993-94,1,0.55,0.34
Mitch Richmond,SAC,78.0,37.1,8.1,18.3,0.445,1.6,0.407,6.5,0.455,0.489,5.5,6.6,0.834,0.9,2.8,3.7,4.0,1.3,0.2,2.8,23.4,1993-94,0,0.55,0.24
Scottie Pippen,CHI,72.0,38.3,8.7,17.8,0.491,0.9,0.32,7.8,0.522,0.515,3.8,5.7,0.66,2.4,6.3,8.7,5.6,2.9,0.8,3.2,22.0,1993-94,0,0.54,0.36
Charles Barkley,PHO,65.0,35.4,8.0,16.1,0.495,0.7,0.27,7.2,0.541,0.518,4.9,7.0,0.704,3.0,8.1,11.2,4.6,1.6,0.6,3.2,21.6,1993-94,1,0.56,0.4
Alonzo Mourning,CHH,60.0,33.6,7.1,14.1,0.505,0.0,0.0,7.1,0.507,0.505,7.2,9.5,0.762,3.0,7.2,10.2,1.4,0.5,3.1,3.3,21.5,1993-94,0,0.59,0.4
Glen Rice,MIA,81.0,37.0,8.2,17.5,0.467,1.6,0.382,6.6,0.494,0.513,3.1,3.5,0.88,0.9,4.4,5.4,2.3,1.4,0.4,1.6,21.1,1993-94,0,0.55,0.24
Latrell Sprewell,GSW,82.0,43.1,7.5,17.3,0.433,1.7,0.361,5.8,0.46,0.482,4.3,5.6,0.774,1.0,3.9,4.9,4.7,2.2,0.9,2.8,21.0,1993-94,0,0.53,0.24
Danny Manning,2TM,68.0,37.1,8.6,17.7,0.488,0.0,0.176,8.6,0.492,0.489,3.4,5.0,0.669,1.9,4.9,6.8,3.8,1.5,1.2,3.4,20.6,1993-94,0,0.52,0.29
Joe Dumars,DET,69.0,37.6,7.3,16.2,0.452,1.8,0.388,5.5,0.477,0.507,4.0,4.8,0.836,0.5,1.7,2.2,3.8,0.9,0.1,2.3,20.4,1993-94,1,0.56,0.22
Derrick Coleman,NJN,77.0,36.1,7.0,15.7,0.447,0.5,0.314,6.5,0.462,0.463,5.7,7.4,0.774,3.4,7.9,11.3,3.4,0.9,1.8,2.7,20.2,1993-94,0,0.53,0.32
Ron Harper,LAC,75.0,38.1,7.6,17.8,0.426,0.9,0.301,6.6,0.453,0.453,4.0,5.6,0.715,1.7,4.4,6.1,4.6,1.9,0.7,3.2,20.1,1993-94,0,0.5,0.25
Clifford Robinson,POR,82.0,34.8,7.8,17.1,0.457,0.2,0.245,7.7,0.465,0.461,4.3,5.6,0.765,2.0,4.7,6.7,1.9,1.4,1.4,2.1,20.1,1993-94,0,0.51,0.23
Kevin Johnson,PHO,67.0,36.6,7.1,14.6,0.487,0.1,0.222,7.0,0.494,0.49,5.7,6.9,0.819,0.8,1.7,2.5,9.5,1.9,0.1,3.5,20.0,1993-94,0,0.57,0.33
