Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,Previously_Nominated,TS%,EFF
Kevin Durant,OKC,82.0,39.5,9.7,20.3,0.476,1.6,0.365,8.1,0.506,0.514,9.2,10.2,0.9,1.3,6.3,7.6,2.8,1.4,1.0,3.3,30.1,2009-10,0,0.61,0.34
LeBron James,CLE,76.0,39.0,10.1,20.1,0.503,1.7,0.333,8.4,0.56,0.545,7.8,10.2,0.767,0.9,6.4,7.3,8.6,1.6,1.0,3.4,29.7,2009-10,0,0.6,0.43
Carmelo Anthony,DEN,69.0,38.2,10.0,21.8,0.458,0.9,0.316,9.1,0.478,0.478,7.4,8.9,0.83,2.2,4.4,6.6,3.2,1.3,0.4,3.0,28.2,2009-10,0,0.55,0.34
Kobe Bryant,LAL,73.0,38.8,9.8,21.5,0.456,1.4,0.329,8.5,0.487,0.488,6.0,7.4,0.811,1.1,4.3,5.4,5.0,1.5,0.3,3.2,27.0,2009-10,0,0.55,0.31
Dwyane Wade,MIA,77.0,36.3,9.3,19.6,0.476,0.9,0.3,8.4,0.509,0.5,6.9,9.1,0.761,1.4,3.5,4.8,6.5,1.8,1.1,3.3,26.6,2009-10,0,0.56,0.32
Monta Ellis,GSW,64.0,41.4,9.9,22.0,0.449,1.2,0.338,8.7,0.47,0.476,4.6,6.1,0.753,0.7,3.3,4.0,5.3,2.2,0.4,3.8,25.5,2009-10,0,0.52,0.31
Dirk Nowitzki,DAL,81.0,37.5,8.9,18.5,0.481,0.6,0.421,8.3,0.487,0.498,6.6,7.2,0.915,1.0,6.7,7.7,2.7,0.9,1.0,1.8,25.0,2009-10,0,0.58,0.31
Danny Granger,IND,62.0,36.7,7.9,18.4,0.428,2.5,0.361,5.3,0.471,0.498,5.9,6.9,0.848,1.1,4.4,5.5,2.8,1.5,0.8,2.5,24.1,2009-10,0,0.56,0.33
Chris Bosh,TOR,70.0,36.1,8.6,16.5,0.518,0.1,0.364,8.5,0.521,0.522,6.7,8.4,0.797,2.9,7.9,10.8,2.4,0.6,1.0,2.4,24.0,2009-10,0,0.59,0.38
Amar'e Stoudemire,PHO,82.0,34.6,8.6,15.4,0.557,0.0,0.167,8.6,0.559,0.557,5.9,7.7,0.771,2.8,6.1,8.9,1.0,0.6,1.0,2.6,23.1,2009-10,0,0.61,0.29
Gilbert Arenas,WAS,32.0,36.5,7.9,19.3,0.411,2.0,0.348,5.9,0.437,0.462,4.8,6.5,0.739,0.5,3.6,4.2,7.2,1.3,0.3,3.7,22.6,2009-10,0,0.51,0.59
Brandon Roy,POR,65.0,37.2,7.6,16.0,0.473,1.1,0.33,6.4,0.512,0.508,5.3,6.8,0.78,1.1,3.3,4.4,4.7,0.9,0.2,2.0,21.5,2009-10,0,0.57,0.3
Joe Johnson,ATL,76.0,38.0,8.4,18.2,0.458,1.7,0.369,6.7,0.488,0.505,2.9,3.5,0.818,1.0,3.7,4.6,4.9,1.1,0.1,1.9,21.3,2009-10,0,0.54,0.26
Zach Randolph,MEM,81.0,37.7,8.0,16.5,0.488,0.2,0.288,7.9,0.496,0.494,4.5,5.7,0.778,4.1,7.7,11.7,1.8,1.0,0.4,2.1,20.8,2009-10,0,0.55,0.3
Derrick Rose,CHI,78.0,36.8,8.6,17.6,0.489,0.2,0.267,8.4,0.5,0.495,3.3,4.3,0.766,0.8,2.9,3.8,6.0,0.7,0.3,2.8,20.8,2009-10,0,0.53,0.24
Kevin Martin,2TM,46.0,35.5,6.3,15.1,0.417,1.5,0.333,4.8,0.453,0.468,6.5,7.4,0.876,0.6,2.9,3.6,2.4,1.0,0.1,2.0,20.6,2009-10,0,0.56,0.35
Stephen Jackson,2TM,81.0,38.6,7.4,17.5,0.423,1.6,0.328,5.8,0.46,0.469,4.2,5.4,0.779,1.0,4.0,5.0,3.7,1.6,0.5,3.2,20.6,2009-10,0,0.52,0.21
David Lee,NYK,81.0,37.3,8.5,15.5,0.545,0.0,0.0,8.5,0.549,0.545,3.3,4.1,0.812,2.8,8.9,11.7,3.6,1.0,0.5,2.3,20.2,2009-10,0,0.58,0.33
Tyreke Evans,SAC,72.0,37.2,7.4,16.2,0.458,0.5,0.255,6.9,0.485,0.473,4.8,6.5,0.748,0.9,4.4,5.3,5.8,1.5,0.4,3.0,20.1,2009-10,0,0.53,0.27
Corey Maggette,GSW,70.0,29.7,6.5,12.7,0.516,0.2,0.26,6.3,0.531,0.523,6.6,7.9,0.835,1.3,4.0,5.3,2.5,0.7,0.1,2.4,19.8,2009-10,0,0.61,0.26
Aaron Brooks,HOU,82.0,35.6,7.0,16.2,0.432,2.5,0.398,4.5,0.454,0.511,3.0,3.6,0.822,0.7,2.0,2.6,5.3,0.8,0.2,2.8,19.6,2009-10,0,0.55,0.19
Rudy Gay,MEM,80.0,39.7,7.5,16.1,0.466,0.8,0.327,6.7,0.492,0.491,3.8,5.0,0.753,1.4,4.5,5.9,1.9,1.5,0.8,2.1,19.6,2009-10,0,0.54,0.22
Chauncey Billups,DEN,73.0,34.1,5.5,13.2,0.418,2.2,0.386,3.4,0.441,0.499,6.4,7.0,0.91,0.3,2.8,3.1,5.6,1.1,0.1,2.4,19.5,2009-10,0,0.6,0.26
Carlos Boozer,UTA,78.0,34.3,7.9,14.1,0.562,0.0,,7.9,0.562,0.562,3.7,4.9,0.742,2.3,8.9,11.2,3.2,1.1,0.5,2.7,19.5,2009-10,0,0.6,0.33
David West,NOH,81.0,36.4,7.6,15.1,0.505,0.1,0.259,7.6,0.51,0.508,3.7,4.2,0.865,2.0,5.4,7.5,3.0,0.9,0.7,2.1,19.0,2009-10,0,0.56,0.26
Brook Lopez,NJN,82.0,36.9,6.9,13.8,0.499,0.0,0.0,6.9,0.5,0.499,5.1,6.2,0.817,3.3,5.4,8.6,2.3,0.7,1.7,2.5,18.8,2009-10,0,0.57,0.26
Antawn Jamison,2TM,66.0,36.5,7.2,15.7,0.461,1.3,0.344,6.0,0.498,0.502,2.9,4.5,0.647,2.1,6.3,8.4,1.3,1.1,0.3,1.4,18.7,2009-10,0,0.53,0.28
Chris Paul,NOH,45.0,38.0,7.0,14.2,0.493,1.2,0.409,5.8,0.514,0.534,3.6,4.2,0.847,0.4,3.8,4.2,10.7,2.1,0.2,2.5,18.7,2009-10,0,0.58,0.57
Deron Williams,UTA,76.0,36.9,6.5,13.9,0.469,1.3,0.371,5.2,0.501,0.515,4.4,5.5,0.801,0.7,3.3,4.0,10.5,1.3,0.2,3.3,18.7,2009-10,0,0.57,0.3
Chris Kaman,LAC,76.0,34.3,7.8,15.8,0.49,0.0,0.0,7.8,0.492,0.49,3.0,4.0,0.749,2.4,6.8,9.3,1.6,0.5,1.2,2.9,18.5,2009-10,0,0.53,0.25
Pau Gasol,LAL,65.0,37.0,7.0,13.0,0.536,0.0,0.0,7.0,0.539,0.536,4.4,5.6,0.79,3.7,7.6,11.3,3.4,0.6,1.7,2.2,18.3,2009-10,0,0.59,0.4
Dwight Howard,ORL,82.0,34.7,6.2,10.2,0.612,0.0,0.0,6.2,0.617,0.612,5.9,10.0,0.592,3.5,9.7,13.2,1.8,0.9,2.8,3.3,18.3,2009-10,0,0.63,0.31
Paul Pierce,BOS,71.0,34.0,5.8,12.2,0.472,1.5,0.414,4.2,0.497,0.535,5.2,6.1,0.852,0.5,3.8,4.4,3.1,1.2,0.4,2.3,18.3,2009-10,0,0.61,0.25
Gerald Wallace,CHA,76.0,41.0,6.0,12.4,0.484,0.7,0.371,5.3,0.503,0.511,5.6,7.2,0.776,2.0,8.1,10.0,2.1,1.5,1.1,2.3,18.2,2009-10,0,0.58,0.3
Richard Hamilton,DET,46.0,33.7,6.4,15.6,0.409,0.9,0.297,5.5,0.435,0.437,4.4,5.2,0.846,0.7,2.0,2.7,4.4,0.7,0.1,2.5,18.1,2009-10,0,0.51,0.29
Jamal Crawford,ATL,79.0,31.1,6.3,14.0,0.449,2.1,0.382,4.2,0.491,0.523,3.4,4.0,0.857,0.4,2.1,2.5,3.0,0.8,0.2,1.7,18.0,2009-10,0,0.57,0.18
LaMarcus Aldridge,POR,78.0,37.5,7.4,15.0,0.495,0.1,0.313,7.4,0.498,0.497,2.9,3.9,0.757,2.5,5.6,8.0,2.1,0.9,0.6,1.3,17.9,2009-10,0,0.54,0.25
Tim Duncan,SAS,78.0,31.3,7.2,13.9,0.518,0.0,0.182,7.2,0.522,0.519,3.5,4.8,0.725,2.8,7.3,10.1,3.2,0.6,1.5,1.8,17.9,2009-10,0,0.56,0.3
Al Harrington,NYK,72.0,30.5,6.2,14.3,0.435,1.9,0.342,4.3,0.496,0.503,3.3,4.4,0.757,1.2,4.4,5.6,1.5,0.9,0.4,1.8,17.7,2009-10,0,0.55,0.21
Luol Deng,CHI,70.0,37.9,6.8,14.5,0.466,0.5,0.386,6.3,0.474,0.482,3.6,4.7,0.764,1.9,5.4,7.3,2.0,0.9,0.9,1.9,17.6,2009-10,0,0.53,0.26
Stephen Curry,GSW,80.0,36.2,6.6,14.3,0.462,2.1,0.437,4.5,0.474,0.535,2.2,2.5,0.885,0.6,3.9,4.5,5.9,1.9,0.2,3.0,17.5,2009-10,0,0.57,0.24
O.J. Mayo,MEM,82.0,38.0,6.6,14.4,0.458,1.7,0.383,5.0,0.49,0.516,2.6,3.2,0.809,0.7,3.0,3.8,3.0,1.2,0.2,2.1,17.5,2009-10,0,0.55,0.19
Andrea Bargnani,TOR,80.0,35.0,6.7,14.3,0.47,1.5,0.372,5.2,0.509,0.523,2.3,2.9,0.774,1.3,4.9,6.2,1.2,0.3,1.4,1.5,17.2,2009-10,0,0.55,0.21
Andre Iguodala,PHI,82.0,38.9,6.0,13.7,0.443,1.1,0.31,4.9,0.492,0.485,3.8,5.2,0.733,1.0,5.5,6.5,5.8,1.7,0.7,2.7,17.1,2009-10,0,0.53,0.24
Al Jefferson,MIN,76.0,32.4,7.4,14.8,0.498,0.0,0.0,7.4,0.5,0.498,2.4,3.5,0.68,2.4,6.9,9.3,1.8,0.8,1.3,1.8,17.1,2009-10,0,0.52,0.26
Eric Gordon,LAC,62.0,36.0,5.7,12.6,0.449,1.9,0.371,3.8,0.503,0.525,3.6,4.8,0.742,0.4,2.2,2.6,3.0,1.1,0.2,2.3,16.9,2009-10,0,0.57,0.22
Devin Harris,NJN,64.0,34.7,5.6,13.8,0.403,0.9,0.276,4.6,0.444,0.437,4.8,6.0,0.798,0.4,2.8,3.2,6.6,1.2,0.3,2.8,16.9,2009-10,0,0.51,0.25
Carl Landry,2TM,80.0,30.9,6.2,11.6,0.536,0.0,0.333,6.2,0.537,0.537,4.3,5.3,0.806,2.4,3.5,5.9,0.8,0.7,0.8,1.7,16.8,2009-10,0,0.6,0.21
Vince Carter,ORL,75.0,30.8,5.8,13.5,0.428,1.6,0.367,4.2,0.456,0.486,3.4,4.1,0.84,0.4,3.5,3.9,3.1,0.7,0.2,1.4,16.6,2009-10,0,0.54,0.2
Rodney Stuckey,DET,73.0,34.2,6.2,15.2,0.405,0.2,0.228,5.9,0.418,0.413,4.1,4.9,0.833,0.9,2.9,3.8,4.8,1.4,0.2,2.2,16.6,2009-10,0,0.48,0.2
Jason Terry,DAL,77.0,33.0,5.9,13.5,0.438,1.8,0.365,4.2,0.479,0.503,3.0,3.5,0.866,0.2,1.6,1.8,3.8,1.2,0.2,1.4,16.6,2009-10,0,0.55,0.18
Manu Ginóbili,SAS,75.0,28.7,5.3,12.0,0.441,1.8,0.377,3.5,0.481,0.514,4.1,4.7,0.87,0.9,2.9,3.8,4.9,1.4,0.3,2.1,16.5,2009-10,0,0.59,0.23
Steve Nash,PHO,81.0,32.8,6.2,12.2,0.507,1.5,0.426,4.6,0.54,0.57,2.6,2.8,0.938,0.4,2.9,3.3,11.0,0.5,0.1,3.6,16.5,2009-10,0,0.61,0.27
Caron Butler,2TM,74.0,37.6,6.1,14.2,0.428,0.6,0.29,5.5,0.45,0.448,3.6,4.3,0.838,1.4,4.8,6.2,2.1,1.6,0.3,2.2,16.3,2009-10,0,0.51,0.21
Ray Allen,BOS,80.0,35.2,5.8,12.2,0.477,1.8,0.363,4.0,0.556,0.551,2.9,3.2,0.913,0.6,2.6,3.2,2.6,0.8,0.3,1.6,16.3,2009-10,0,0.6,0.19
Luis Scola,HOU,82.0,32.6,6.8,13.3,0.514,0.0,0.2,6.8,0.515,0.514,2.5,3.3,0.779,2.1,6.5,8.6,2.1,0.8,0.3,2.0,16.2,2009-10,0,0.55,0.23
Russell Westbrook,OKC,82.0,34.3,5.9,14.1,0.418,0.3,0.221,5.6,0.438,0.428,4.0,5.1,0.78,1.7,3.1,4.9,8.0,1.3,0.4,3.3,16.1,2009-10,0,0.49,0.22
Tony Parker,SAS,56.0,30.9,6.2,12.8,0.487,0.2,0.294,6.1,0.497,0.494,3.3,4.4,0.756,0.1,2.3,2.4,5.7,0.5,0.1,2.7,16.0,2009-10,0,0.54,0.26
Andrew Bogut,MIL,69.0,32.3,6.9,13.2,0.52,0.0,0.0,6.9,0.521,0.52,2.2,3.4,0.629,3.0,7.1,10.2,1.8,0.6,2.5,1.9,15.9,2009-10,0,0.54,0.31
Mo Williams,CLE,69.0,34.2,5.5,12.4,0.442,2.3,0.429,3.2,0.452,0.535,2.6,2.9,0.894,0.4,2.6,3.0,5.3,1.0,0.3,2.5,15.8,2009-10,0,0.58,0.23
Jason Richardson,PHO,79.0,31.5,6.0,12.6,0.474,2.0,0.393,4.0,0.528,0.553,1.7,2.3,0.739,1.0,4.1,5.1,1.8,0.8,0.4,1.2,15.7,2009-10,0,0.58,0.19
