Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF
Joel Embiid,PHI,66.0,34.6,11.0,20.1,0.548,1.0,0.33,10.0,0.587,0.573,10.0,11.7,0.857,1.7,8.4,10.2,4.2,1.0,1.7,3.4,33.1,2022-23,0.66,0.55
Luka Dončić,DAL,66.0,36.2,10.9,22.0,0.496,2.8,0.342,8.1,0.588,0.56,7.8,10.5,0.742,0.8,7.8,8.6,8.0,1.4,0.5,3.6,32.4,2022-23,0.61,0.51
Damian Lillard,POR,58.0,36.3,9.6,20.7,0.463,4.2,0.371,5.4,0.574,0.564,8.8,9.6,0.914,0.8,4.0,4.8,7.3,0.9,0.3,3.3,32.2,2022-23,0.65,0.52
Shai Gilgeous-Alexander,OKC,68.0,35.5,10.4,20.3,0.51,0.9,0.345,9.5,0.533,0.531,9.8,10.9,0.905,0.9,4.0,4.8,5.5,1.6,1.0,2.8,31.4,2022-23,0.63,0.45
Giannis Antetokounmpo,MIL,63.0,32.1,11.2,20.3,0.553,0.7,0.275,10.5,0.596,0.572,7.9,12.3,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,31.1,2022-23,0.6,0.52
Jayson Tatum,BOS,74.0,36.9,9.8,21.1,0.466,3.2,0.35,6.6,0.558,0.543,7.2,8.4,0.854,1.1,7.7,8.8,4.6,1.1,0.7,2.9,30.1,2022-23,0.61,0.4
Stephen Curry,GSW,56.0,34.7,10.0,20.2,0.493,4.9,0.427,5.1,0.579,0.614,4.6,5.0,0.915,0.7,5.4,6.1,6.3,0.9,0.4,3.2,29.4,2022-23,0.66,0.52
Kevin Durant,2TM,47.0,35.6,10.3,18.3,0.56,2.0,0.404,8.3,0.617,0.614,6.5,7.1,0.919,0.4,6.3,6.7,5.0,0.7,1.4,3.3,29.1,2022-23,0.68,0.66
LeBron James,LAL,55.0,35.5,11.1,22.2,0.5,2.2,0.321,8.9,0.58,0.549,4.6,5.9,0.768,1.2,7.1,8.3,6.8,0.9,0.6,3.2,28.9,2022-23,0.58,0.54
Donovan Mitchell,CLE,68.0,35.8,10.0,20.6,0.484,3.6,0.386,6.4,0.566,0.572,4.7,5.4,0.867,0.9,3.3,4.3,4.4,1.5,0.4,2.6,28.3,2022-23,0.62,0.37
Devin Booker,PHO,53.0,34.6,9.9,20.1,0.494,2.1,0.351,7.8,0.554,0.546,5.8,6.8,0.855,0.9,3.7,4.5,5.5,1.0,0.3,2.7,27.8,2022-23,0.6,0.48
Kyrie Irving,2TM,60.0,37.4,9.9,20.1,0.494,3.1,0.379,6.8,0.574,0.572,4.1,4.6,0.905,1.0,4.1,5.1,5.5,1.1,0.8,2.1,27.1,2022-23,0.61,0.45
Jaylen Brown,BOS,67.0,35.9,10.1,20.6,0.491,2.4,0.335,7.7,0.576,0.55,3.9,5.1,0.765,1.2,5.7,6.9,3.5,1.1,0.4,2.9,26.6,2022-23,0.58,0.36
Ja Morant,MEM,61.0,31.9,9.3,19.9,0.466,1.5,0.307,7.8,0.519,0.504,6.1,8.1,0.748,1.0,4.9,5.9,8.1,1.1,0.3,3.4,26.2,2022-23,0.56,0.42
Trae Young,ATL,73.0,34.8,8.2,19.0,0.429,2.1,0.335,6.1,0.476,0.485,7.8,8.8,0.886,0.8,2.2,3.0,10.2,1.1,0.1,4.1,26.2,2022-23,0.57,0.34
Zion Williamson,NOP,29.0,33.0,9.8,16.2,0.608,0.2,0.368,9.6,0.618,0.615,6.1,8.6,0.714,2.0,5.0,7.0,4.6,1.1,0.6,3.4,26.0,2022-23,0.65,0.93
Anthony Davis,LAL,56.0,34.0,9.7,17.2,0.563,0.3,0.257,9.3,0.589,0.573,6.2,7.9,0.784,3.5,9.1,12.5,2.6,1.1,2.0,2.2,25.9,2022-23,0.63,0.58
Lauri Markkanen,UTA,66.0,34.4,8.7,17.3,0.499,3.0,0.391,5.6,0.585,0.586,5.3,6.0,0.875,2.0,6.7,8.6,1.9,0.6,0.6,1.9,25.6,2022-23,0.64,0.4
