Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated
Ivano Newbill,DET,34.0,9.7,0.5,1.3,0.356,0.0,,0.5,0.356,0.356,0.2,0.6,0.364,1.2,1.2,2.4,0.5,0.4,0.3,0.4,1.2,1994-95,0.38,0.09,0
Tree Rollins,ORL,51.0,9.4,0.4,0.8,0.476,0.0,,0.4,0.476,0.476,0.4,0.6,0.677,0.6,1.3,1.9,0.2,0.1,0.7,0.5,1.2,1994-95,0.56,0.06,0
Jay Humphries,2TM,18.0,11.2,0.4,1.9,0.235,0.1,0.5,0.3,0.2,0.265,0.1,0.2,0.5,0.2,0.5,0.7,1.1,0.5,0.0,0.9,1.1,1994-95,0.28,0.05,0
Gerald Madkins,CLE,7.0,4.0,0.3,0.9,0.333,0.1,0.5,0.1,0.25,0.417,0.4,0.6,0.75,0.0,0.0,0.0,0.1,0.3,0.0,0.4,1.1,1994-95,0.47,0.04,0
Lester Conner,LAL,2.0,2.5,0.0,0.0,,0.0,,0.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1994-95,1.14,0.75,0
Ron Grandison,NYK,2.0,4.0,0.5,2.0,0.25,0.0,,0.5,0.25,0.25,0.0,0.0,,1.5,1.0,2.5,1.0,0.0,0.0,0.0,1.0,1994-95,0.25,1.5,0
Charles Jones,HOU,3.0,12.0,0.3,1.0,0.333,0.0,,0.3,0.333,0.333,0.3,0.7,0.5,0.7,1.7,2.3,0.0,0.0,0.3,0.0,1.0,1994-95,0.38,0.83,0
Corey Crowder,SAS,7.0,4.1,0.3,1.4,0.2,0.0,0.0,0.3,0.333,0.2,0.3,0.9,0.333,0.1,0.3,0.4,0.1,0.1,0.0,0.3,0.9,1994-95,0.25,-0.07,0
Antonio Lang,PHO,12.0,4.4,0.3,0.8,0.4,0.0,,0.3,0.4,0.4,0.3,0.3,0.75,0.3,0.1,0.3,0.1,0.0,0.2,0.4,0.9,1994-95,0.48,0.05,0
Mark Randall,DEN,8.0,4.9,0.4,1.3,0.3,0.0,0.0,0.4,0.333,0.3,0.0,0.0,,0.5,1.0,1.5,0.1,0.0,0.0,0.1,0.8,1994-95,0.31,0.18,0
Mark Strickland,IND,4.0,2.3,0.3,0.8,0.333,0.0,,0.3,0.333,0.333,0.3,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.3,0.3,0.8,1994-95,0.39,0.28,0
Fred Vinson,ATL,5.0,5.4,0.2,1.4,0.143,0.2,0.167,0.0,0.0,0.214,0.2,0.2,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.8,1994-95,0.27,-0.12,0
Greg Kite,2TM,11.0,7.0,0.3,1.5,0.176,0.0,,0.3,0.176,0.176,0.2,0.9,0.2,1.1,0.9,2.0,0.1,0.0,0.0,0.5,0.7,1994-95,0.18,0.04,0
Adrian Caldwell,HOU,7.0,4.3,0.1,0.6,0.25,0.0,,0.1,0.25,0.25,0.4,0.9,0.5,0.1,1.3,1.4,0.0,0.1,0.0,0.1,0.7,1994-95,0.35,0.16,0
Keith Tower,ORL,3.0,2.3,0.0,0.7,0.0,0.0,,0.0,0.0,0.0,0.3,0.7,0.5,0.3,0.7,1.0,0.0,0.0,0.0,0.3,0.3,1994-95,0.15,-0.03,0
Yinka Dare,NJN,1.0,3.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1994-95,0.0,-1.0,0
Tom Hovasse,ATL,2.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1994-95,0.0,0.0,0
Rich King,SEA,2.0,3.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994-95,0.0,-1.0,0
Derrick Phelps,SAC,3.0,1.7,0.0,0.3,0.0,0.0,,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1994-95,0.0,-0.23,0
League Average,,,,,,0.466,,0.359,,0.491,0.5,,,0.737,,,,,,,,,1994-95,,,0
