Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,Nominated
Tracy McGrady,ORL,75.0,39.4,11.1,24.2,0.457,2.3,0.386,8.7,0.481,0.505,7.7,9.7,0.793,1.6,4.9,6.5,5.5,1.7,0.8,2.6,32.1,2002-03,0.56,0.39,1
Kobe Bryant,LAL,82.0,41.5,10.6,23.5,0.451,1.5,0.383,9.1,0.465,0.483,7.3,8.7,0.843,1.3,5.6,6.9,5.9,2.2,0.8,3.5,30.0,2002-03,0.55,0.34,1
Allen Iverson,PHI,82.0,42.5,9.8,23.7,0.414,1.0,0.277,8.8,0.44,0.436,7.0,9.0,0.774,0.8,3.4,4.2,5.5,2.7,0.2,3.5,27.6,2002-03,0.5,0.25,1
Shaquille O'Neal,LAL,67.0,37.8,10.4,18.1,0.574,0.0,,10.4,0.574,0.574,6.7,10.8,0.622,3.9,7.2,11.1,3.1,0.6,2.4,2.9,27.5,2002-03,0.6,0.45,1
Paul Pierce,BOS,79.0,39.2,8.4,20.2,0.416,1.5,0.302,6.9,0.454,0.454,7.6,9.5,0.802,1.3,6.0,7.3,4.4,1.8,0.8,3.6,25.9,2002-03,0.53,0.29,1
Dirk Nowitzki,DAL,80.0,39.0,8.6,18.6,0.463,1.9,0.379,6.8,0.493,0.513,6.0,6.9,0.881,1.0,8.9,9.9,3.0,1.4,1.0,1.9,25.1,2002-03,0.58,0.34,1
Tim Duncan,SAS,81.0,39.3,8.8,17.2,0.513,0.1,0.273,8.7,0.517,0.515,5.6,7.8,0.71,3.2,9.7,12.9,3.9,0.7,2.9,3.1,23.3,2002-03,0.56,0.37,1
Kevin Garnett,MIN,82.0,40.5,9.1,18.1,0.502,0.2,0.282,8.8,0.513,0.508,4.6,6.1,0.751,3.0,10.5,13.4,6.0,1.4,1.6,2.8,23.0,2002-03,0.55,0.39,1
Chris Webber,SAC,67.0,39.1,9.9,21.4,0.461,0.1,0.238,9.8,0.465,0.463,3.2,5.3,0.607,2.4,8.1,10.5,5.4,1.6,1.3,3.2,23.0,2002-03,0.48,0.37,1
Ray Allen,2TM,76.0,37.9,7.9,17.9,0.439,2.6,0.377,5.2,0.478,0.512,4.2,4.5,0.916,1.2,3.8,5.0,4.4,1.4,0.2,2.6,22.5,2002-03,0.57,0.27,0
Allan Houston,NYK,82.0,37.9,8.0,17.9,0.445,2.2,0.396,5.8,0.467,0.506,4.4,4.8,0.919,0.3,2.5,2.8,2.7,0.7,0.1,2.2,22.5,2002-03,0.56,0.2,0
Stephon Marbury,PHO,81.0,40.0,8.3,18.9,0.439,1.1,0.301,7.2,0.472,0.468,4.6,5.8,0.803,0.7,2.6,3.2,8.1,1.3,0.2,3.2,22.3,2002-03,0.52,0.25,0
Antawn Jamison,GSW,82.0,39.3,8.4,17.9,0.47,0.8,0.311,7.6,0.496,0.492,4.6,5.8,0.789,2.4,4.7,7.0,1.9,0.9,0.5,2.2,22.2,2002-03,0.54,0.24,0
Jalen Rose,CHI,82.0,40.9,7.8,19.3,0.406,1.6,0.37,6.2,0.416,0.448,4.9,5.7,0.854,0.8,3.5,4.3,4.8,0.9,0.3,3.5,22.1,2002-03,0.51,0.2,0
Jamal Mashburn,NOH,82.0,40.5,8.2,19.3,0.422,1.5,0.389,6.7,0.43,0.46,3.8,4.5,0.848,0.8,5.3,6.1,5.6,1.0,0.2,2.8,21.6,2002-03,0.51,0.24,0
