Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF
Kevin Durant,OKC,66.0,38.6,9.7,19.7,0.496,2.0,0.387,7.7,0.535,0.547,6.5,7.6,0.86,0.6,7.4,8.0,3.5,1.3,1.2,3.8,28.0,2011-12,0.61,0.41
Kobe Bryant,LAL,58.0,38.5,9.9,23.0,0.43,1.5,0.303,8.4,0.464,0.462,6.6,7.8,0.845,1.1,4.3,5.4,4.6,1.2,0.3,3.5,27.9,2011-12,0.53,0.37
LeBron James,MIA,62.0,37.5,10.0,18.9,0.531,0.9,0.362,9.1,0.556,0.554,6.2,8.1,0.771,1.5,6.4,7.9,6.2,1.9,0.8,3.4,27.1,2011-12,0.6,0.48
Kevin Love,MIN,55.0,39.0,8.6,19.3,0.448,1.9,0.372,6.7,0.475,0.497,6.9,8.4,0.824,4.1,9.2,13.3,2.0,0.9,0.5,2.3,26.0,2011-12,0.57,0.51
Russell Westbrook,OKC,66.0,35.3,8.8,19.2,0.457,0.9,0.316,7.8,0.482,0.481,5.2,6.3,0.823,1.5,3.1,4.6,5.5,1.7,0.3,3.6,23.6,2011-12,0.54,0.31
Carmelo Anthony,NYK,55.0,34.1,8.0,18.6,0.43,1.2,0.335,6.8,0.454,0.463,5.4,6.7,0.804,1.6,4.7,6.3,3.6,1.1,0.4,2.6,22.6,2011-12,0.52,0.35
Dwyane Wade,MIA,49.0,33.2,8.5,17.1,0.497,0.3,0.268,8.2,0.513,0.506,4.8,6.1,0.791,1.5,3.3,4.8,4.6,1.7,1.3,2.6,22.1,2011-12,0.56,0.45
Derrick Rose,CHI,39.0,35.3,7.7,17.8,0.435,1.4,0.312,6.4,0.475,0.473,5.0,6.1,0.812,0.7,2.7,3.4,7.9,0.9,0.7,3.1,21.8,2011-12,0.53,0.52
LaMarcus Aldridge,POR,55.0,36.3,8.8,17.1,0.512,0.0,0.182,8.7,0.516,0.513,4.1,5.0,0.814,2.7,5.3,8.0,2.4,0.9,0.8,2.0,21.7,2011-12,0.56,0.41
Dirk Nowitzki,DAL,62.0,33.5,7.6,16.7,0.457,1.3,0.368,6.4,0.481,0.495,5.1,5.7,0.896,0.7,6.0,6.7,2.2,0.7,0.5,1.9,21.6,2011-12,0.56,0.32
Deron Williams,NJN,55.0,36.3,7.1,17.5,0.407,2.1,0.336,5.0,0.446,0.467,4.7,5.5,0.843,0.4,2.9,3.3,8.7,1.2,0.4,4.0,21.0,2011-12,0.53,0.35
Blake Griffin,LAC,66.0,36.2,8.5,15.5,0.549,0.0,0.125,8.5,0.556,0.55,3.7,7.1,0.521,3.3,7.6,10.9,3.2,0.8,0.7,2.3,20.7,2011-12,0.56,0.36
Eric Gordon,NOH,9.0,34.4,7.0,15.6,0.45,1.1,0.25,5.9,0.53,0.486,5.4,7.2,0.754,0.2,2.6,2.8,3.4,1.4,0.4,2.7,20.6,2011-12,0.55,1.72
Dwight Howard,ORL,54.0,38.3,7.7,13.4,0.573,0.0,0.0,7.7,0.579,0.573,5.2,10.6,0.491,3.7,10.8,14.5,1.9,1.5,2.1,3.2,20.6,2011-12,0.57,0.49
Monta Ellis,2TM,58.0,36.6,7.8,17.9,0.433,1.1,0.308,6.7,0.462,0.463,3.8,4.7,0.796,0.3,3.1,3.4,6.0,1.5,0.3,3.1,20.4,2011-12,0.51,0.3
David Lee,GSW,57.0,37.2,8.1,16.2,0.503,0.0,0.0,8.1,0.506,0.503,3.8,4.9,0.782,3.0,6.6,9.6,2.8,0.9,0.4,2.6,20.1,2011-12,0.55,0.39
Chris Paul,LAC,60.0,36.4,7.1,14.8,0.478,1.3,0.371,5.8,0.511,0.522,4.3,5.0,0.861,0.7,2.9,3.6,9.1,2.5,0.1,2.1,19.8,2011-12,0.58,0.41
Andrea Bargnani,TOR,31.0,33.3,6.7,15.6,0.432,1.1,0.296,5.6,0.474,0.467,4.9,5.6,0.873,0.8,4.8,5.5,2.0,0.6,0.5,2.2,19.5,2011-12,0.54,0.53
Paul Pierce,BOS,61.0,34.0,6.5,14.6,0.443,1.6,0.366,4.8,0.476,0.499,4.8,5.6,0.852,0.6,4.6,5.2,4.5,1.1,0.4,2.8,19.4,2011-12,0.57,0.31
Al Jefferson,UTA,61.0,34.0,8.5,17.2,0.492,0.0,0.25,8.4,0.493,0.493,2.2,2.9,0.774,2.2,7.4,9.6,2.2,0.8,1.7,1.0,19.2,2011-12,0.52,0.38
Brook Lopez,NJN,5.0,27.2,7.6,15.4,0.494,0.0,,7.6,0.494,0.494,4.0,6.4,0.625,1.6,2.0,3.6,1.2,0.2,0.8,1.2,19.2,2011-12,0.53,2.72
Brandon Jennings,MIL,66.0,35.3,7.1,17.0,0.418,2.0,0.332,5.2,0.464,0.476,2.9,3.6,0.808,0.7,2.7,3.4,5.5,1.6,0.3,2.2,19.1,2011-12,0.51,0.26
Rudy Gay,MEM,65.0,37.3,7.5,16.4,0.455,0.8,0.312,6.6,0.482,0.48,3.2,4.0,0.791,2.0,4.4,6.4,2.3,1.5,0.8,2.5,19.0,2011-12,0.52,0.27
Joe Johnson,ATL,60.0,35.5,7.1,15.5,0.454,2.1,0.388,5.0,0.489,0.521,2.6,3.1,0.849,0.9,2.8,3.7,3.9,0.8,0.2,1.9,18.8,2011-12,0.56,0.28
