Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Normalized Team,Conference,Division
Miami Heat,33,17,.660,—,89.0,84.0,5.11,Miami Heat,Eastern,Atlantic
Orlando Magic,33,17,.660,—,89.5,86.9,3.11,Orlando Magic,Eastern,Atlantic
Philadelphia 76ers,28,22,.560,5.0,89.7,87.6,2.56,Philadelphia 76ers,Eastern,Atlantic
New York Knicks,27,23,.540,6.0,86.4,85.4,1.45,New York Knicks,Eastern,Atlantic
Boston Celtics,19,31,.380,14.0,93.0,94.9,-1.75,Boston Celtics,Eastern,Atlantic
Washington Wizards,18,32,.360,15.0,91.2,93.4,-1.75,Washington Wizards,Eastern,Atlantic
New Jersey Nets,16,34,.320,17.0,91.4,95.2,-3.20,Brooklyn Nets,Eastern,Atlantic
Indiana Pacers,33,17,.660,—,94.7,90.9,3.86,Indiana Pacers,Eastern,Central
Atlanta Hawks,31,19,.620,2.0,86.3,83.4,2.82,Atlanta Hawks,Eastern,Central
Detroit Pistons,29,21,.580,4.0,90.4,86.9,3.97,Detroit Pistons,Eastern,Central
Milwaukee Bucks,28,22,.560,5.0,91.7,90.0,1.66,Milwaukee Bucks,Eastern,Central
Charlotte Hornets,26,24,.520,7.0,92.9,93.0,0.63,New Orleans Hornets,Eastern,Central
Toronto Raptors,23,27,.460,10.0,91.1,92.8,-1.32,Toronto Raptors,Eastern,Central
Cleveland Cavaliers,22,28,.440,11.0,86.4,88.2,-0.94,Cleveland Cavaliers,Eastern,Central
Chicago Bulls,13,37,.260,20.0,81.9,91.4,-8.58,Chicago Bulls,Eastern,Central
San Antonio Spurs,37,13,.740,—,92.8,84.7,7.12,San Antonio Spurs,Western,Midwest
Utah Jazz,37,13,.740,—,93.3,86.8,5.54,Utah Jazz,Western,Midwest
Houston Rockets,31,19,.620,6.0,94.2,91.9,1.39,Houston Rockets,Western,Midwest
Minnesota Timberwolves,25,25,.500,12.0,92.9,92.6,-0.17,Minnesota Timberwolves,Western,Midwest
Dallas Mavericks,19,31,.380,18.0,91.6,94.0,-2.50,Dallas Mavericks,Western,Midwest
Denver Nuggets,14,36,.280,23.0,93.5,100.1,-6.67,Denver Nuggets,Western,Midwest
Vancouver Grizzlies,8,42,.160,29.0,88.9,97.5,-8.94,Memphis Grizzlies,Western,Midwest
Portland Trail Blazers,35,15,.700,—,94.8,88.5,5.67,Portland Trail Blazers,Western,Pacific
Los Angeles Lakers,31,19,.620,4.0,99.0,96.0,2.68,Los Angeles Lakers,Western,Pacific
Phoenix Suns,27,23,.540,8.0,95.6,93.3,2.15,Phoenix Suns,Western,Pacific
Sacramento Kings,27,23,.540,8.0,100.2,100.6,-0.89,Sacramento Kings,Western,Pacific
Seattle SuperSonics,25,25,.500,10.0,94.9,95.9,-1.43,Seattle SuperSonics,Western,Pacific
Golden State Warriors,21,29,.420,14.0,88.3,90.8,-2.63,Golden State Warriors,Western,Pacific
Los Angeles Clippers,9,41,.180,26.0,90.4,99.2,-8.94,Los Angeles Clippers,Western,Pacific
