Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Normalized Team,Conference,Division
Orlando Magic,57,25,.695,—,110.9,103.8,6.44,Orlando Magic,Eastern,Atlantic
New York Knicks,55,27,.671,2.0,98.2,95.1,2.78,New York Knicks,Eastern,Atlantic
Boston Celtics,35,47,.427,22.0,102.8,104.7,-1.92,Boston Celtics,Eastern,Atlantic
Miami Heat,32,50,.390,25.0,101.1,102.8,-1.85,Miami Heat,Eastern,Atlantic
New Jersey Nets,30,52,.366,27.0,98.1,101.2,-3.28,Brooklyn Nets,Eastern,Atlantic
Philadelphia 76ers,24,58,.293,33.0,95.4,100.4,-5.06,Philadelphia 76ers,Eastern,Atlantic
Washington Bullets,21,61,.256,36.0,100.5,106.1,-5.56,Washington Wizards,Eastern,Atlantic
Indiana Pacers,52,30,.634,—,99.2,95.5,3.35,Indiana Pacers,Eastern,Central
Charlotte Hornets,50,32,.610,2.0,100.6,97.3,2.87,New Orleans Hornets,Eastern,Central
Chicago Bulls,47,35,.573,5.0,101.5,96.7,4.32,Chicago Bulls,Eastern,Central
Cleveland Cavaliers,43,39,.524,9.0,90.5,89.8,0.55,Cleveland Cavaliers,Eastern,Central
Atlanta Hawks,42,40,.512,10.0,96.6,95.3,1.06,Atlanta Hawks,Eastern,Central
Milwaukee Bucks,34,48,.415,18.0,99.3,103.7,-4.30,Milwaukee Bucks,Eastern,Central
Detroit Pistons,28,54,.341,24.0,98.2,105.5,-7.08,Detroit Pistons,Eastern,Central
San Antonio Spurs,62,20,.756,—,106.6,100.6,5.90,San Antonio Spurs,Western,Midwest
Utah Jazz,60,22,.732,2.0,106.4,98.4,7.76,Utah Jazz,Western,Midwest
Houston Rockets,47,35,.573,15.0,103.5,101.4,2.32,Houston Rockets,Western,Midwest
Denver Nuggets,41,41,.500,21.0,101.3,100.5,0.96,Denver Nuggets,Western,Midwest
Dallas Mavericks,36,46,.439,26.0,103.2,106.1,-2.39,Dallas Mavericks,Western,Midwest
Minnesota Timberwolves,21,61,.256,41.0,94.2,103.2,-8.22,Minnesota Timberwolves,Western,Midwest
Phoenix Suns,59,23,.720,—,110.6,106.8,3.86,Phoenix Suns,Western,Pacific
Seattle SuperSonics,57,25,.695,2.0,110.4,102.2,7.91,Seattle SuperSonics,Western,Pacific
Los Angeles Lakers,48,34,.585,11.0,105.1,105.3,-0.01,Los Angeles Lakers,Western,Pacific
Portland Trail Blazers,44,38,.537,15.0,103.1,99.2,3.80,Portland Trail Blazers,Western,Pacific
Sacramento Kings,39,43,.476,20.0,98.2,99.2,-0.74,Sacramento Kings,Western,Pacific
Golden State Warriors,26,56,.317,33.0,105.7,111.1,-4.90,Golden State Warriors,Western,Pacific
Los Angeles Clippers,17,65,.207,42.0,96.7,105.8,-8.43,Los Angeles Clippers,Western,Pacific
