Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Normalized Team,Conference,Division
Cleveland Cavaliers (1),21,4,0.84,—,121.4,111.5,7.74,Cleveland Cavaliers (1),Eastern,Unknown
Boston Celtics (2),19,5,0.792,1.5,120.1,110.7,8.52,Boston Celtics (2),Eastern,Unknown
Orlando Magic (3),17,9,0.654,4.5,107.6,103.3,2.83,Orlando Magic (3),Eastern,Unknown
New York Knicks (4),15,9,0.625,5.5,117.8,111.0,5.2,New York Knicks (4),Eastern,Unknown
Miami Heat (5),12,10,0.545,7.5,112.2,109.3,2.34,Miami Heat (5),Eastern,Unknown
Milwaukee Bucks (6),12,11,0.522,8.0,113.4,112.4,0.93,Milwaukee Bucks (6),Eastern,Unknown
Atlanta Hawks (7),13,12,0.52,8.0,117.1,119.8,-3.79,Atlanta Hawks (7),Eastern,Unknown
Brooklyn Nets (8),10,14,0.417,10.5,110.1,113.8,-2.44,Brooklyn Nets (8),Eastern,Unknown
Indiana Pacers (9),10,15,0.4,11.0,114.0,118.2,-5.05,Indiana Pacers (9),Eastern,Unknown
Chicago Bulls (10),10,15,0.4,11.0,119.1,123.0,-3.08,Chicago Bulls (10),Eastern,Unknown
Detroit Pistons (11),10,15,0.4,11.0,110.5,113.0,-2.63,Detroit Pistons (11),Eastern,Unknown
Philadelphia 76ers (12),7,15,0.318,12.5,105.2,110.1,-4.11,Philadelphia 76ers (12),Eastern,Unknown
Charlotte Hornets (13),7,17,0.292,13.5,107.1,112.6,-4.3,Charlotte Hornets (13),Eastern,Unknown
Toronto Raptors (14),7,18,0.28,14.0,112.3,117.2,-3.7,Toronto Raptors (14),Eastern,Unknown
Washington Wizards (15),3,19,0.136,16.5,107.6,123.8,-13.56,Washington Wizards (15),Eastern,Unknown
Oklahoma City Thunder (1),18,5,0.783,—,115.7,103.8,11.18,Oklahoma City Thunder (1),Western,Unknown
Memphis Grizzlies (2),17,8,0.68,2.0,122.1,113.4,6.39,Memphis Grizzlies (2),Western,Unknown
Houston Rockets (3),16,8,0.667,2.5,113.6,106.6,7.5,Houston Rockets (3),Western,Unknown
Dallas Mavericks (4),16,8,0.667,2.5,119.1,111.5,6.56,Dallas Mavericks (4),Western,Unknown
Golden State Warriors (5),14,9,0.609,4.0,114.1,109.2,5.42,Golden State Warriors (5),Western,Unknown
Los Angeles Clippers (6),14,11,0.56,5.0,108.7,107.4,2.57,Los Angeles Clippers (6),Western,Unknown
Denver Nuggets (7),12,10,0.545,5.5,118.7,116.8,2.81,Denver Nuggets (7),Western,Unknown
Los Angeles Lakers (8),13,11,0.542,5.5,112.1,115.8,-3.99,Los Angeles Lakers (8),Western,Unknown
Minnesota Timberwolves (9),12,11,0.522,6.0,110.5,107.0,3.57,Minnesota Timberwolves (9),Western,Unknown
Phoenix Suns (10),12,11,0.522,6.0,113.0,113.9,-0.4,Phoenix Suns (10),Western,Unknown
San Antonio Spurs (11),12,12,0.5,6.5,111.4,113.1,-1.71,San Antonio Spurs (11),Western,Unknown
Sacramento Kings (12),12,13,0.48,7.0,116.4,113.2,2.21,Sacramento Kings (12),Western,Unknown
Portland Trail Blazers (13),8,16,0.333,10.5,106.4,116.0,-8.47,Portland Trail Blazers (13),Western,Unknown
Utah Jazz (14),5,18,0.217,13.0,109.2,118.7,-7.92,Utah Jazz (14),Western,Unknown
New Orleans Pelicans (15),5,20,0.2,14.0,105.0,116.7,-10.94,New Orleans Pelicans (15),Western,Unknown
