Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Normalized Team,Conference,Division
Boston Celtics,50,32,.610,—,99.2,95.6,3.37,Boston Celtics,Eastern,Atlantic
Toronto Raptors,40,42,.488,10.0,104.1,105.9,-1.83,Toronto Raptors,Eastern,Atlantic
New York Knicks,29,53,.354,21.0,102.1,105.9,-4.01,New York Knicks,Eastern,Atlantic
Philadelphia 76ers,27,55,.329,23.0,97.7,101.6,-3.93,Philadelphia 76ers,Eastern,Atlantic
New Jersey Nets,12,70,.146,38.0,92.4,101.5,-8.93,Brooklyn Nets,Eastern,Atlantic
Cleveland Cavaliers,61,21,.744,—,102.1,95.6,6.17,Cleveland Cavaliers,Eastern,Central
Milwaukee Bucks,46,36,.561,15.0,97.7,96.0,1.37,Milwaukee Bucks,Eastern,Central
Chicago Bulls,41,41,.500,20.0,97.5,99.1,-1.64,Chicago Bulls,Eastern,Central
Indiana Pacers,32,50,.390,29.0,100.8,103.8,-3.11,Indiana Pacers,Eastern,Central
Detroit Pistons,27,55,.329,34.0,94.0,99.1,-5.02,Detroit Pistons,Eastern,Central
Orlando Magic,59,23,.720,—,102.8,95.3,7.12,Orlando Magic,Eastern,Southeast
Atlanta Hawks,53,29,.646,6.0,101.7,97.0,4.44,Atlanta Hawks,Eastern,Southeast
Miami Heat,47,35,.573,12.0,96.5,94.2,1.99,Miami Heat,Eastern,Southeast
Charlotte Bobcats,44,38,.537,15.0,95.3,93.8,1.30,Charlotte Hornets,Eastern,Southeast
Washington Wizards,26,56,.317,33.0,96.2,101.0,-4.72,Washington Wizards,Eastern,Southeast
Denver Nuggets,53,29,.646,—,106.5,102.4,4.15,Denver Nuggets,Western,Northwest
Utah Jazz,53,29,.646,—,104.2,98.9,5.33,Utah Jazz,Western,Northwest
Portland Trail Blazers,50,32,.610,3.0,98.1,94.8,3.18,Portland Trail Blazers,Western,Northwest
Oklahoma City Thunder,50,32,.610,3.0,101.5,98.0,3.55,Oklahoma City Thunder,Western,Northwest
Minnesota Timberwolves,15,67,.183,38.0,98.2,107.8,-9.06,Minnesota Timberwolves,Western,Northwest
Los Angeles Lakers,57,25,.695,—,101.7,97.0,4.78,Los Angeles Lakers,Western,Pacific
Phoenix Suns,54,28,.659,3.0,110.2,105.3,4.67,Phoenix Suns,Western,Pacific
Los Angeles Clippers,29,53,.354,28.0,95.7,102.1,-6.01,Los Angeles Clippers,Western,Pacific
Golden State Warriors,26,56,.317,31.0,108.8,112.4,-3.28,Golden State Warriors,Western,Pacific
Sacramento Kings,25,57,.305,32.0,100.0,104.4,-4.06,Sacramento Kings,Western,Pacific
Dallas Mavericks,55,27,.671,—,102.0,99.3,2.66,Dallas Mavericks,Western,Southwest
San Antonio Spurs,50,32,.610,5.0,101.4,96.3,5.07,San Antonio Spurs,Western,Southwest
Houston Rockets,42,40,.512,13.0,102.4,102.7,-0.02,Houston Rockets,Western,Southwest
Memphis Grizzlies,40,42,.488,15.0,102.5,104.0,-1.39,Memphis Grizzlies,Western,Southwest
New Orleans Hornets,37,45,.451,18.0,100.2,102.7,-2.27,New Orleans Pelicans,Western,Southwest
